player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kyle Eckel,2574,FB,NO,6,2,0,0,0.0,0,0,6,0,0,0,4,0.0,0,1,20,0,0,67.8,52.8,77.1,,73.2,60.2,62.2,49.6,7,0,14,2,29,76,0,0,3,4,0,6,4,2.0,3.0,0.48,0
Davone Bess,4694,WR,MIA,16,2,0,0,0.0,0,0,9,7,11,0,3,21.2,1,1,17,2,0,28.3,83.4,68.4,,,84.4,36.9,63.5,11,1,760,76,372,179,0,0,106,78,0,9,3,1.5,4.5,2.04,0
Roscoe Parrish,2272,WR,BUF,7,2,1,0,0.0,0,0,4,0,0,1,1,10.0,0,0,4,0,0,68.7,53.5,76.1,,,54.0,59.1,54.3,9,0,14,3,24,17,0,0,4,5,0,4,1,0.5,2.0,0.58,0
Mark Bradley,2256,WR,TB,13,2,0,1,110.0,22,0,20,8,2,0,6,23.1,1,1,30,0,0,76.2,52.9,61.7,72.0,,51.3,59.8,64.8,22,2,320,24,264,111,0,0,49,26,0,20,6,3.0,10.0,1.21,0
Darrius Heyward-Bey,4930,WR,OAK,11,2,0,1,105.3,20,0,19,5,0,0,3,0.0,1,1,23,0,0,72.0,47.6,88.3,,,44.3,61.2,72.9,20,0,124,9,323,225,0,0,38,11,0,19,3,1.5,9.5,0.38,0
Carey Davis,2029,FB,PIT,2,2,0,0,0.0,0,0,15,0,0,0,11,0.0,1,1,25,0,0,65.2,64.5,73.0,,40.9,53.5,65.0,62.8,14,0,0,0,4,19,0,0,0,2,0,15,11,5.5,7.5,0.0,0
Jeremy Maclin,4942,WR,PHI,15,2,0,0,0.0,0,0,-7,5,2,0,0,0.0,0,0,24,0,0,80.4,68.8,74.7,,,67.7,54.6,74.0,-1,2,762,55,480,217,0,0,86,57,0,-7,0,0.0,-3.5,1.59,0
Mike Karney,1875,FB,SL,14,2,0,0,0.0,0,0,8,1,0,0,3,0.0,0,0,26,0,0,71.5,67.6,33.9,,52.2,44.8,62.8,79.3,8,1,16,6,89,157,0,0,7,8,0,8,3,1.5,4.0,0.18,0
Hakeem Nicks,4952,WR,NYG,14,2,0,0,0.0,0,0,8,2,9,0,5,45.9,0,0,21,2,0,50.3,75.8,87.9,,,74.4,54.6,76.7,9,0,790,47,344,156,0,0,71,49,0,8,5,2.5,4.0,2.3,0
Jerricho Cotchery,1829,WR,NYJ,14,2,0,0,0.0,0,0,7,2,6,0,4,20.3,0,1,22,0,0,80.3,82.5,87.4,,,80.3,59.1,82.6,6,0,821,57,367,393,0,0,93,59,1,7,4,2.0,3.5,2.24,0
Bobby Wade,1448,WR,KC,12,2,0,0,0.0,0,0,11,8,3,0,5,19.2,0,0,16,0,0,78.6,57.3,53.5,,,55.6,54.4,77.9,8,1,367,37,363,228,0,0,70,39,0,11,5,2.5,5.5,1.01,0
Nate Burleson,1386,WR,SEA,13,2,0,0,0.0,0,1,4,7,5,0,2,7.7,0,0,29,1,0,46.0,70.8,60.8,,,70.3,54.6,71.7,2,2,812,63,480,224,0,0,100,65,0,4,2,1.0,2.0,1.69,0
Anquan Boldin,1369,WR,ARZ,15,2,0,0,0.0,0,0,7,3,7,0,7,28.2,0,0,1,3,0,24.9,79.2,85.8,,,77.2,50.7,83.1,4,2,1029,85,514,227,0,0,118,87,0,7,7,3.5,3.5,2.0,0
Dallas Clark,1340,TE,IND,16,2,0,0,0.0,0,0,11,8,9,0,4,17.6,0,1,14,1,0,58.7,85.4,84.0,,70.3,87.0,59.2,76.8,7,1,1106,100,502,359,0,0,129,102,0,11,4,2.0,5.5,2.2,0
Austin Collie,5051,WR,IND,16,2,1,0,0.0,0,1,1,3,5,1,9,43.5,0,0,14,0,0,80.8,70.4,69.0,,,68.3,50.7,86.5,2,3,676,60,485,206,0,0,85,62,0,1,9,4.5,0.5,1.39,0
Andre Johnson,1319,WR,HST,16,2,0,0,0.0,0,0,10,9,7,0,5,17.0,0,1,13,1,0,58.5,87.9,90.1,,69.9,85.8,59.1,81.7,7,0,1569,101,620,370,0,0,152,103,0,10,5,2.5,5.0,2.53,0
Santana Moss,786,WR,WAS,16,2,1,0,0.0,0,1,8,9,9,1,10,69.4,0,0,32,2,0,27.6,61.1,43.5,,,60.7,63.5,67.1,6,4,909,70,576,319,0,0,114,72,0,8,10,5.0,4.0,1.58,0
Laveranues Coles,638,WR,CIN,16,2,1,0,0.0,0,1,10,5,3,1,10,44.4,0,1,7,0,0,78.9,68.1,73.8,,,66.5,59.4,73.4,8,1,514,43,394,346,0,0,75,45,0,10,10,5.0,5.0,1.3,0
Chad Pennington,596,QB,MIA,3,2,0,0,0.0,0,0,4,0,0,0,0,0.0,0,2,17,2,0,50.1,74.1,82.2,72.9,,,58.8,60.0,4,0,0,0,0,69,3,1,0,1,0,7,2,1.0,3.5,,0
Brandon Tate,5006,WR,NE,2,1,0,0,0.0,0,0,11,0,0,0,4,0.0,1,1,19,0,0,61.9,56.1,76.0,,,52.6,63.2,59.6,11,0,0,0,14,10,0,0,2,1,0,11,4,4.0,11.0,0.0,0
Marty Booker,487,WR,ATL,16,1,0,0,0.0,0,0,7,1,0,0,2,0.0,0,0,2,0,0,73.8,58.7,80.9,,67.9,57.1,56.7,85.7,7,0,181,16,186,43,0,0,29,17,0,7,2,2.0,7.0,0.97,0
Kelley Washington,1380,WR,BLT,15,1,0,0,0.0,0,0,1,2,5,0,0,0.0,0,0,3,0,0,77.4,74.1,81.9,,,71.5,56.8,88.4,1,1,431,34,310,116,0,0,45,35,0,1,0,0.0,1.0,1.39,0
Isaac Bruce,80,WR,SF,10,1,0,0,0.0,0,1,-8,4,0,0,0,0.0,0,0,28,0,0,75.2,63.8,58.4,,,63.1,60.0,70.2,-8,1,264,21,210,95,0,0,44,22,0,-8,0,0.0,-8.0,1.26,0
Quan Cosby,5342,WR,CIN,6,1,0,0,0.0,0,0,-2,1,0,0,2,0.0,0,0,7,0,0,68.3,77.0,74.1,,,76.2,59.8,60.2,-2,0,55,4,21,6,0,0,6,5,0,-2,2,2.0,-2.0,2.62,0
