player,player_key,pos,pred_fp_per_game,stored_pred_salary,pred_salary_raw,base_salary_observed,salary_resid_5,salary_resid_10,salary_resid_25,salary_resid_75,salary_resid_90,salary_resid_95,espn_source_salary,salary_model_matched,espn_source_matched,raw_point_salary,point_salary,year
Alexander Mattison,alexandermattison,RB,8.616082191467285,3.1426133900724547,2.289850623386025,0.0,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,,True,False,2.289850623386025,2.362402,2022
Allen Lazard,allenlazard,WR,8.974535942077637,12.240210625882359,11.387447859195929,1.0,-9.231581041880641,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,4.0,True,True,11.387447859195929,11.97172,2022
Alvin Kamara,alvinkamara,RB,13.856033325195312,85.72635600151607,84.87359323482964,1.0,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,81.0,True,True,84.87359323482964,89.59131,2022
Amari Cooper,amaricooper,WR,10.31868839263916,17.6017958497668,16.74903308308037,1.0,-9.231581041880641,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,12.0,True,True,16.74903308308037,17.634884,2022
Amari Rodgers,amarirodgers,WR,7.209855079650879,1.8527627666864297,1.0,0.0,-9.231581041880641,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,,True,False,1.0,1.0,2022
Austin Hooper,austinhooper,TE,6.908958435058594,1.8527627666864297,1.0,0.0,-10.703953657402913,-8.017540626047161,-4.319489590638967,0.5409270717913711,4.9235693781091365,9.03876542550219,,True,False,1.0,1.0,2022
Baker Mayfield,bakermayfield,QB,14.359182357788086,1.8527627666864297,1.0,0.0,-10.703953657402913,-8.017540626047161,-4.319489590638967,0.5409270717913711,4.9235693781091365,9.03876542550219,,True,False,1.0,1.0,2022
Benny Snell,bennysnell,RB,6.416409492492676,,,,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,,False,False,1.0,1.0,2022
Boston Scott,bostonscott,RB,6.847029209136963,1.8527627666864297,1.0,0.0,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,,True,False,1.0,1.0,2022
Brandin Cooks,brandincooks,WR,10.482514381408691,37.23655897397876,36.38379620729233,1.0,-9.231581041880641,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,38.0,True,True,36.38379620729233,38.37406,2022
Brandon Aiyuk,brandonaiyuk,WR,9.455514907836914,11.605015497618515,10.752252730932085,1.0,-9.231581041880641,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,4.0,True,True,10.752252730932085,11.3007965,2022
Braxton Berrios,braxtonberrios,WR,7.5475664138793945,1.8527627666864297,1.0,0.0,-9.231581041880641,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,,True,False,1.0,1.0,2022
Breece Hall,breecehall,RB,14.028142929077148,46.364866915282775,45.51210414859634,1.0,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,33.0,True,True,45.51210414859634,48.015816,2022
Brevin Jordan,brevinjordan,TE,6.908616065979004,1.8527627666864297,1.0,0.0,-10.703953657402913,-8.017540626047161,-4.319489590638967,0.5409270717913711,4.9235693781091365,9.03876542550219,,True,False,1.0,1.0,2022
Brian Robinson,brianrobinson,RB,7.117944240570068,4.066149538245209,3.2133867715587785,1.0,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,0.0,True,True,3.2133867715587785,3.3378851,2022
Bryan Edwards,bryanedwards,WR,7.607735633850098,1.8527627666864297,1.0,0.0,-9.231581041880641,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,,True,False,1.0,1.0,2022
