run_id,target_name,model_name,slice_type,slice_value,metric,n_rows,n_seasons,value,baseline_value,delta
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2023,bias,415,1,0.33979500026603665,-1.9127507670094155,2.252545767275452
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2023,spearman,415,1,0.8067612112686647,0.6928791932643551,0.11388201800430964
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2024,rmse,408,1,3.2266262254836913,4.2776523227631555,-1.0510260972794643
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2024,mae,408,1,2.5505500606871703,3.2002566358121665,-0.6497065751249962
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2024,bias,408,1,0.03189456815013934,-2.022226818172098,2.054121386322237
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2024,spearman,408,1,0.8033759168827289,0.7254682010396428,0.07790771584308609
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2025,rmse,416,1,3.177890461603367,3.552154687210895,-0.3742642256075279
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2025,mae,416,1,2.4949039844871446,2.7289555795750813,-0.23405159508793671
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2025,bias,416,1,0.6931017851174587,-1.2328853324361086,1.9259871175535674
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2025,spearman,416,1,0.8055001816272601,0.782469913058102,0.02303026856915813
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,other_no_history,rmse,27,8,2.4142288077429774,6.4683220498114276,-4.054093242068451
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,other_no_history,mae,27,8,1.873138068776771,4.461598216447073,-2.588460147670302
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,other_no_history,bias,27,8,0.38582164824099324,-4.368357475706332,4.754179123947325
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,other_no_history,spearman,27,8,0.38705738705738707,0.3099630400605697,0.07709434699681739
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,rookie,rmse,532,9,3.553921725406842,4.9501399507842265,-1.3962182253773845
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,rookie,mae,532,9,2.8594320464799616,3.6281836185347482,-0.7687515720547866
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,rookie,bias,532,9,0.27510715174126443,-2.8213558829459355,3.0964630346871997
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,rookie,spearman,532,9,0.6395591562017681,0.5456141139567152,0.09394504224505285
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,second_year,rmse,568,9,3.2512815983596006,4.259843856007934,-1.0085622576483333
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,second_year,mae,568,9,2.4614459979839927,3.194144907042518,-0.7326989090585254
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,second_year,bias,568,9,0.008997417170175222,-2.2698764585662343,2.2788738757364095
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,second_year,spearman,568,9,0.7615545218337616,0.7154312477547689,0.04612327407899275
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,veteran_with_history,rmse,2574,9,3.095082099586684,4.018822079009796,-0.9237399794231123
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,veteran_with_history,mae,2574,9,2.406383074410844,2.9739951969693554,-0.5676121225585113
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,veteran_with_history,bias,2574,9,0.05917153150308872,-1.8547363189666835,1.9139078504697722
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,history_depth,veteran_with_history,spearman,2574,9,0.8276331017650351,0.7696548572471656,0.05797824451786948
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_depth,one,rmse,119,9,2.7663501391305614,5.335759809018117,-2.5694096698875555
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_depth,one,mae,119,9,2.185890202172482,4.162035059985875,-1.9761448578133933
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_depth,one,bias,119,9,0.08891165346326085,-4.075903666251912,4.1648153197151725
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_depth,one,spearman,119,9,0.41060472803291354,0.0846903736327424,0.32591435440017114
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_depth,three_plus,rmse,3047,9,3.314270392532133,4.234561588827272,-0.9202911962951386
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_depth,three_plus,mae,3047,9,2.5944605124087365,3.083413022185609,-0.48895250977687255
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_depth,three_plus,bias,3047,9,0.13024921952202279,-1.8601803512837727,1.9904295708057955
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_depth,three_plus,spearman,3047,9,0.8133438375381761,0.7420132292410677,0.07133060829710836
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_depth,two,rmse,535,9,2.429788065376049,3.8717805693613485,-1.4419925039852997
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_depth,two,mae,535,9,1.8663211618781066,3.0458937016186125,-1.179572539740506
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_depth,two,bias,535,9,-0.17431329789768618,-2.8584785577785787,2.6841652598808925
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_depth,two,spearman,535,9,0.18723001909410097,0.18403251077198343,0.0031975083221175427
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_era,2017_2019,rmse,1199,3,3.318293892529775,4.503004396091149,-1.1847105035613739
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_era,2017_2019,mae,1199,3,2.5724718610925756,3.350291605304253,-0.7778197442116772
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_era,2017_2019,bias,1199,3,-0.34694260177094355,-2.3847328396014364,2.037790237830493
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_era,2017_2019,spearman,1199,3,0.7826453924215285,0.7186707029412654,0.06397468948026308
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_era,2020_2022,rmse,1263,3,3.0525779391723615,4.137612979315968,-1.0850350401436062
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_era,2020_2022,mae,1263,3,2.37365129731596,3.011228599272546,-0.6375773019565858
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_era,2020_2022,bias,1263,3,0.22788453861386052,-2.13084165634086,2.3587261949547207
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_era,2020_2022,spearman,1263,3,0.8072094595964368,0.7457313838185303,0.06147807577790643
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_era,2023_plus,rmse,1239,3,3.1848443866611444,4.028826907371568,-0.8439825207104232
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_era,2023_plus,mae,1239,3,2.4871740008173338,2.986128672689914,-0.49895467187258014
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_era,2023_plus,bias,1239,3,0.35702845159364394,-1.7205330172853468,2.077561468878991
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,provider_era,2023_plus,spearman,1239,3,0.8032361836762959,0.7342988709869787,0.06893731268931724
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_history,position,QB,rmse,380,9,3.623509416381185,7.40325384335132,-3.779744426970135
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_history,position,QB,mae,380,9,2.8759782113710552,5.406778790352811,-2.5308005789817556
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_history,position,QB,bias,380,9,0.03793121915604793,-4.351816669206204,4.389747888362252
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_history,position,QB,spearman,380,9,0.5665658076014062,0.6033518575734516,-0.036786049972045376
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_history,position,RB,rmse,1016,9,3.5667411494851415,4.177344718174207,-0.6106035686890654
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_history,position,RB,mae,1016,9,2.7811303838654062,3.1666944752693302,-0.385564091403924
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_history,position,RB,bias,1016,9,-0.1671343891197155,-2.074252054734232,1.9071176656145163
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_history,position,RB,spearman,1016,9,0.7311394208636288,0.7284272163676383,0.0027122044959905223
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_history,position,TE,rmse,802,9,2.375867323208988,2.9331861674511854,-0.5573188442421975
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_history,position,TE,mae,802,9,1.8423825206865367,2.3188478825601355,-0.4764653618735988
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_history,position,TE,bias,802,9,-0.10719766215710222,-1.6125117927348234,1.5053141305777211
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_history,position,TE,spearman,802,9,0.6846960213460894,0.6893443768060465,-0.004648355459957121
