source,arm,player,selections,selection_rate
actual,full_exact,Chris Olave,1,0.0078125
actual,full_exact,Chris Rodriguez Jr.,1,0.0078125
actual,full_exact,Christian McCaffrey,96,0.75
actual,full_exact,Christian Watson,96,0.75
actual,full_exact,Colston Loveland,2,0.015625
actual,full_exact,Courtland Sutton,1,0.0078125
actual,full_exact,D'Andre Swift,33,0.2578125
actual,full_exact,DK Metcalf,32,0.25
actual,full_exact,Dallas Goedert,2,0.015625
actual,full_exact,Dalton Kincaid,1,0.0078125
actual,full_exact,Daniel Jones,25,0.1953125
actual,full_exact,David Montgomery,1,0.0078125
actual,full_exact,De'Von Achane,128,1.0
actual,full_exact,De'Zhaun Stribling,5,0.0390625
actual,full_exact,Deebo Samuel Sr.,1,0.0078125
actual,full_exact,Drake Maye,128,1.0
actual,full_exact,Emeka Egbuka,1,0.0078125
actual,full_exact,George Kittle,30,0.234375
actual,full_exact,George Pickens,31,0.2421875
actual,full_exact,Harold Fannin Jr.,2,0.015625
actual,full_exact,Hunter Henry,3,0.0234375
actual,full_exact,Jacory Croskey-Merritt,3,0.0234375
actual,full_exact,Jadarian Price,30,0.234375
actual,full_exact,Jakobi Meyers,4,0.03125
actual,full_exact,Jalen Coker,8,0.0625
actual,full_exact,Jameson Williams,64,0.5
actual,full_exact,Jonathan Taylor,32,0.25
actual,full_exact,Jordan Addison,3,0.0234375
actual,full_exact,Jordan Love,1,0.0078125
actual,full_exact,Jordan Mason,1,0.0078125
actual,full_exact,Josh Downs,18,0.140625
actual,full_exact,Josh Jacobs,31,0.2421875
actual,full_exact,KC Concepcion,4,0.03125
actual,full_exact,Kenyon Sadiq,3,0.0234375
actual,full_exact,Khalil Shakir,2,0.015625
actual,full_exact,Kyle Pitts,32,0.25
actual,full_exact,Kyren Williams,30,0.234375
actual,full_exact,Luther Burden III,1,0.0078125
actual,full_exact,Makai Lemon,4,0.03125
actual,full_exact,Mark Andrews,2,0.015625
actual,full_exact,Marvin Harrison Jr.,2,0.015625
actual,full_exact,Matthew Stafford,62,0.484375
actual,full_exact,Michael Pittman,1,0.0078125
actual,full_exact,Michael Wilson,2,0.015625
actual,full_exact,Mike Washington Jr.,1,0.0078125
actual,full_exact,Parker Washington,2,0.015625
actual,full_exact,Quentin Johnston,38,0.296875
actual,full_exact,RJ Harvey,2,0.015625
actual,full_exact,Rachaad White,1,0.0078125
actual,full_exact,Rashid Shaheed,1,0.0078125
actual,full_exact,Rhamondre Stevenson,33,0.2578125
actual,full_exact,Rome Odunze,64,0.5
actual,full_exact,Romeo Doubs,3,0.0234375
actual,full_exact,Sam LaPorta,1,0.0078125
actual,full_exact,Samaje Perine,3,0.0234375
actual,full_exact,Stefon Diggs,6,0.046875
actual,full_exact,T.J. Hockenson,1,0.0078125
actual,full_exact,Tee Higgins,33,0.2578125
actual,full_exact,Tetairoa McMillan,1,0.0078125
actual,full_exact,Tony Pollard,65,0.5078125
actual,full_exact,TreVeyon Henderson,4,0.03125
actual,full_exact,Tyjae Spears,1,0.0078125
actual,full_exact,Tyler Warren,60,0.46875
actual,full_exact,Wan'Dale Robinson,4,0.03125
actual,full_exact,Woody Marks,1,0.0078125
actual,full_exact,Xavier Worthy,4,0.03125
actual,full_exact,Zach Charbonnet,2,0.015625
actual,shortlist,A.J. Brown,1,0.0078125
actual,shortlist,Aaron Jones,2,0.015625
actual,shortlist,Aaron Rodgers,51,0.3984375
actual,shortlist,Ashton Jeanty,64,0.5
actual,shortlist,Blake Corum,1,0.0078125
actual,shortlist,Brian Robinson,3,0.0234375
actual,shortlist,Bryce Young,28,0.21875
actual,shortlist,Bucky Irving,31,0.2421875
actual,shortlist,Cam Skattebo,61,0.4765625
actual,shortlist,Cam Ward,60,0.46875
actual,shortlist,Carnell Tate,94,0.734375
actual,shortlist,Chris Godwin Jr.,4,0.03125
actual,shortlist,Chris Olave,1,0.0078125
actual,shortlist,Chris Rodriguez Jr.,1,0.0078125
actual,shortlist,Christian McCaffrey,96,0.75
actual,shortlist,Christian Watson,96,0.75
actual,shortlist,Colston Loveland,2,0.015625
actual,shortlist,Courtland Sutton,1,0.0078125
actual,shortlist,D'Andre Swift,33,0.2578125
actual,shortlist,DK Metcalf,32,0.25
actual,shortlist,Dallas Goedert,3,0.0234375
actual,shortlist,Dalton Kincaid,1,0.0078125
actual,shortlist,Daniel Jones,29,0.2265625
actual,shortlist,David Montgomery,1,0.0078125
actual,shortlist,De'Von Achane,128,1.0
actual,shortlist,De'Zhaun Stribling,5,0.0390625
actual,shortlist,Deebo Samuel Sr.,1,0.0078125
actual,shortlist,Drake Maye,128,1.0
actual,shortlist,Emeka Egbuka,1,0.0078125
actual,shortlist,George Kittle,33,0.2578125
actual,shortlist,George Pickens,31,0.2421875
actual,shortlist,Harold Fannin Jr.,2,0.015625
actual,shortlist,Hunter Henry,3,0.0234375
actual,shortlist,Jacory Croskey-Merritt,3,0.0234375
actual,shortlist,Jadarian Price,30,0.234375
actual,shortlist,Jakobi Meyers,4,0.03125
actual,shortlist,Jalen Coker,8,0.0625
actual,shortlist,Jameson Williams,64,0.5
actual,shortlist,Jonathan Taylor,32,0.25
actual,shortlist,Jordan Addison,2,0.015625
actual,shortlist,Jordan Love,1,0.0078125
actual,shortlist,Jordan Mason,1,0.0078125
actual,shortlist,Josh Downs,18,0.140625
actual,shortlist,Josh Jacobs,31,0.2421875
actual,shortlist,KC Concepcion,4,0.03125
actual,shortlist,Kenyon Sadiq,3,0.0234375
actual,shortlist,Khalil Shakir,2,0.015625
actual,shortlist,Kyle Pitts,32,0.25
actual,shortlist,Kyren Williams,62,0.484375
actual,shortlist,Luther Burden III,1,0.0078125
actual,shortlist,Makai Lemon,4,0.03125
actual,shortlist,Mark Andrews,1,0.0078125
actual,shortlist,Marvin Harrison Jr.,1,0.0078125
actual,shortlist,Matthew Stafford,30,0.234375
actual,shortlist,Michael Pittman,1,0.0078125
actual,shortlist,Michael Wilson,1,0.0078125
actual,shortlist,Mike Washington Jr.,1,0.0078125
actual,shortlist,Parker Washington,2,0.015625
actual,shortlist,Quentin Johnston,39,0.3046875
actual,shortlist,RJ Harvey,2,0.015625
actual,shortlist,Rachaad White,1,0.0078125
actual,shortlist,Rashid Shaheed,2,0.015625
actual,shortlist,Rhamondre Stevenson,33,0.2578125
actual,shortlist,Rome Odunze,64,0.5
actual,shortlist,Romeo Doubs,4,0.03125
actual,shortlist,Samaje Perine,3,0.0234375
actual,shortlist,Stefon Diggs,6,0.046875
actual,shortlist,T.J. Hockenson,1,0.0078125
actual,shortlist,Tee Higgins,33,0.2578125
actual,shortlist,Tetairoa McMillan,1,0.0078125
actual,shortlist,Tony Pollard,34,0.265625
actual,shortlist,TreVeyon Henderson,4,0.03125
actual,shortlist,Tyjae Spears,1,0.0078125
actual,shortlist,Tyler Warren,60,0.46875
actual,shortlist,Wan'Dale Robinson,3,0.0234375
actual,shortlist,Woody Marks,1,0.0078125
actual,shortlist,Xavier Worthy,3,0.0234375
actual,shortlist,Zach Charbonnet,2,0.015625
predicted,baseline,A.J. Brown,4,0.03125
predicted,baseline,Aaron Jones,1,0.0078125
predicted,baseline,Aaron Rodgers,9,0.0703125
predicted,baseline,Adonai Mitchell,1,0.0078125
predicted,baseline,Alec Pierce,5,0.0390625
predicted,baseline,Ashton Jeanty,1,0.0078125
predicted,baseline,Baker Mayfield,8,0.0625
predicted,baseline,Bhayshul Tuten,29,0.2265625
predicted,baseline,Bijan Robinson,1,0.0078125
predicted,baseline,Blake Corum,9,0.0703125
predicted,baseline,Braelon Allen,1,0.0078125
predicted,baseline,Breece Hall,19,0.1484375
predicted,baseline,Brenton Strange,1,0.0078125
predicted,baseline,Brian Thomas Jr.,10,0.078125
predicted,baseline,Bryce Young,10,0.078125
predicted,baseline,Bucky Irving,21,0.1640625
predicted,baseline,C.J. Stroud,6,0.046875
predicted,baseline,Cam Skattebo,15,0.1171875
predicted,baseline,Cam Ward,2,0.015625
predicted,baseline,Carnell Tate,46,0.359375
predicted,baseline,CeeDee Lamb,1,0.0078125
predicted,baseline,Chris Godwin Jr.,3,0.0234375
predicted,baseline,Chris Olave,2,0.015625
predicted,baseline,Christian McCaffrey,3,0.0234375
predicted,baseline,Christian Watson,65,0.5078125
predicted,baseline,Chuba Hubbard,23,0.1796875
predicted,baseline,Colston Loveland,14,0.109375
predicted,baseline,Courtland Sutton,3,0.0234375
predicted,baseline,D'Andre Swift,19,0.1484375
predicted,baseline,DJ Moore,8,0.0625
predicted,baseline,DK Metcalf,26,0.203125
predicted,baseline,Dallas Goedert,2,0.015625
predicted,baseline,Dalton Kincaid,1,0.0078125
predicted,baseline,Daniel Jones,16,0.125
predicted,baseline,Davante Adams,2,0.015625
predicted,baseline,David Montgomery,29,0.2265625
predicted,baseline,De'Von Achane,128,1.0
predicted,baseline,Denzel Boston,1,0.0078125
predicted,baseline,Derrick Henry,23,0.1796875
predicted,baseline,Drake London,1,0.0078125
predicted,baseline,Drake Maye,128,1.0
predicted,baseline,Emeka Egbuka,18,0.140625
predicted,baseline,Fernando Mendoza,4,0.03125
predicted,baseline,Garrett Wilson,5,0.0390625
predicted,baseline,George Kittle,22,0.171875
predicted,baseline,George Pickens,14,0.109375
predicted,baseline,Harold Fannin Jr.,21,0.1640625
predicted,baseline,Hunter Henry,3,0.0234375
predicted,baseline,Isaiah Likely,2,0.015625
predicted,baseline,J.K. Dobbins,13,0.1015625
predicted,baseline,Jacory Croskey-Merritt,6,0.046875
predicted,baseline,Jadarian Price,29,0.2265625
predicted,baseline,Jahmyr Gibbs,25,0.1953125
predicted,baseline,Jake Ferguson,1,0.0078125
predicted,baseline,Jakobi Meyers,1,0.0078125
predicted,baseline,Jalen Hurts,1,0.0078125
predicted,baseline,Jalen McMillan,2,0.015625
predicted,baseline,James Cook,1,0.0078125
predicted,baseline,Jameson Williams,44,0.34375
predicted,baseline,Jared Goff,5,0.0390625
predicted,baseline,Jayden Daniels,1,0.0078125
predicted,baseline,Jayden Reed,7,0.0546875
predicted,baseline,Jaylen Waddle,9,0.0703125
predicted,baseline,Jaylen Warren,16,0.125
predicted,baseline,Jeremiyah Love,8,0.0625
predicted,baseline,Jonathan Taylor,29,0.2265625
predicted,baseline,Jonathon Brooks,10,0.078125
predicted,baseline,Jordan Addison,9,0.0703125
predicted,baseline,Jordan Love,35,0.2734375
predicted,baseline,Jordan Mason,8,0.0625
predicted,baseline,Jordyn Tyson,6,0.046875
predicted,baseline,Josh Allen,5,0.0390625
predicted,baseline,Josh Downs,6,0.046875
predicted,baseline,Josh Jacobs,60,0.46875
predicted,baseline,Justin Herbert,1,0.0078125
predicted,baseline,KC Concepcion,2,0.015625
predicted,baseline,Keaton Mitchell,1,0.0078125
predicted,baseline,Kenneth Walker III,11,0.0859375
predicted,baseline,Kenny Gainwell,11,0.0859375
predicted,baseline,Kyle Monangai,10,0.078125
predicted,baseline,Kyle Pitts,23,0.1796875
predicted,baseline,Kyler Murray,4,0.03125
predicted,baseline,Kyren Williams,46,0.359375
predicted,baseline,Ladd McConkey,14,0.109375
predicted,baseline,Luther Burden III,46,0.359375
predicted,baseline,Makai Lemon,5,0.0390625
predicted,baseline,Malik Nabers,9,0.0703125
predicted,baseline,Malik Willis,5,0.0390625
predicted,baseline,Marvin Harrison Jr.,18,0.140625
predicted,baseline,Matthew Golden,1,0.0078125
predicted,baseline,Matthew Stafford,2,0.015625
predicted,baseline,Michael Pittman,2,0.015625
predicted,baseline,Michael Wilson,14,0.109375
predicted,baseline,Mike Evans,27,0.2109375
predicted,baseline,Nico Collins,3,0.0234375
predicted,baseline,Parker Washington,8,0.0625
predicted,baseline,Pat Bryant,1,0.0078125
predicted,baseline,Quentin Johnston,11,0.0859375
predicted,baseline,RJ Harvey,9,0.0703125
predicted,baseline,Rachaad White,9,0.0703125
predicted,baseline,Rashee Rice,2,0.015625
predicted,baseline,Rhamondre Stevenson,26,0.203125
predicted,baseline,Rico Dowdle,16,0.125
predicted,baseline,Rome Odunze,31,0.2421875
predicted,baseline,Romeo Doubs,1,0.0078125
predicted,baseline,Sam Darnold,12,0.09375
predicted,baseline,Sam LaPorta,4,0.03125
predicted,baseline,Saquon Barkley,4,0.03125
predicted,baseline,Tee Higgins,8,0.0625
predicted,baseline,Terry McLaurin,4,0.03125
predicted,baseline,Tetairoa McMillan,11,0.0859375
predicted,baseline,Tony Pollard,33,0.2578125
predicted,baseline,Travis Kelce,3,0.0234375
predicted,baseline,TreVeyon Henderson,46,0.359375
predicted,baseline,Trevor Lawrence,1,0.0078125
predicted,baseline,Trey McBride,1,0.0078125
predicted,baseline,Tyler Shough,2,0.015625
predicted,baseline,Tyler Warren,29,0.2265625
predicted,baseline,Wan'Dale Robinson,3,0.0234375
predicted,baseline,Xavier Worthy,1,0.0078125
predicted,baseline,Zay Flowers,6,0.046875
predicted,full_exact,A.J. Brown,1,0.0078125
predicted,full_exact,Aaron Jones,1,0.0078125
predicted,full_exact,Aaron Rodgers,14,0.109375
predicted,full_exact,Alec Pierce,7,0.0546875
predicted,full_exact,Ashton Jeanty,2,0.015625
predicted,full_exact,Baker Mayfield,12,0.09375
predicted,full_exact,Bhayshul Tuten,22,0.171875
predicted,full_exact,Bijan Robinson,1,0.0078125
predicted,full_exact,Blake Corum,8,0.0625
predicted,full_exact,Braelon Allen,1,0.0078125
predicted,full_exact,Breece Hall,20,0.15625
predicted,full_exact,Brenton Strange,1,0.0078125
predicted,full_exact,Brian Robinson,1,0.0078125
predicted,full_exact,Brian Thomas Jr.,10,0.078125
predicted,full_exact,Brock Purdy,4,0.03125
predicted,full_exact,Bryce Young,10,0.078125
predicted,full_exact,Bucky Irving,20,0.15625
predicted,full_exact,C.J. Stroud,10,0.078125
predicted,full_exact,Caleb Douglas,1,0.0078125
predicted,full_exact,Calvin Ridley,1,0.0078125
predicted,full_exact,Cam Skattebo,11,0.0859375
predicted,full_exact,Cam Ward,6,0.046875
predicted,full_exact,Carnell Tate,42,0.328125
predicted,full_exact,CeeDee Lamb,6,0.046875
predicted,full_exact,Chris Godwin Jr.,3,0.0234375
predicted,full_exact,Chris Olave,5,0.0390625
predicted,full_exact,Christian McCaffrey,6,0.046875
predicted,full_exact,Christian Watson,65,0.5078125
predicted,full_exact,Chuba Hubbard,20,0.15625
predicted,full_exact,Colston Loveland,20,0.15625
predicted,full_exact,Courtland Sutton,5,0.0390625
predicted,full_exact,Cyrus Allen,1,0.0078125
predicted,full_exact,D'Andre Swift,15,0.1171875
predicted,full_exact,DJ Moore,8,0.0625
predicted,full_exact,DK Metcalf,20,0.15625
predicted,full_exact,Dallas Goedert,3,0.0234375
predicted,full_exact,Dalton Kincaid,1,0.0078125
predicted,full_exact,Daniel Jones,18,0.140625
predicted,full_exact,Davante Adams,2,0.015625
predicted,full_exact,David Montgomery,23,0.1796875
predicted,full_exact,De'Von Achane,128,1.0
predicted,full_exact,Denzel Boston,1,0.0078125
predicted,full_exact,Derrick Henry,9,0.0703125
predicted,full_exact,Drake London,1,0.0078125
predicted,full_exact,Drake Maye,128,1.0
predicted,full_exact,Emeka Egbuka,15,0.1171875
predicted,full_exact,Fernando Mendoza,5,0.0390625
predicted,full_exact,Garrett Wilson,4,0.03125
predicted,full_exact,George Kittle,27,0.2109375
predicted,full_exact,George Pickens,16,0.125
predicted,full_exact,Harold Fannin Jr.,30,0.234375
predicted,full_exact,Hunter Henry,3,0.0234375
predicted,full_exact,Isaiah Likely,1,0.0078125
predicted,full_exact,J.K. Dobbins,10,0.078125
predicted,full_exact,Jacory Croskey-Merritt,5,0.0390625
predicted,full_exact,Jadarian Price,23,0.1796875
predicted,full_exact,Jahmyr Gibbs,25,0.1953125
predicted,full_exact,Jake Ferguson,1,0.0078125
predicted,full_exact,Jakobi Meyers,3,0.0234375
predicted,full_exact,Jalen Hurts,1,0.0078125
predicted,full_exact,Jalen McMillan,2,0.015625
predicted,full_exact,Jameson Williams,47,0.3671875
predicted,full_exact,Jared Goff,8,0.0625
predicted,full_exact,Jayden Daniels,2,0.015625
predicted,full_exact,Jayden Reed,6,0.046875
predicted,full_exact,Jaylen Waddle,9,0.0703125
predicted,full_exact,Jaylen Warren,16,0.125
predicted,full_exact,Jeremiyah Love,5,0.0390625
predicted,full_exact,Jonathan Taylor,30,0.234375
predicted,full_exact,Jonathon Brooks,9,0.0703125
predicted,full_exact,Jordan Addison,8,0.0625
predicted,full_exact,Jordan Love,31,0.2421875
predicted,full_exact,Jordan Mason,7,0.0546875
predicted,full_exact,Jordyn Tyson,3,0.0234375
predicted,full_exact,Josh Allen,9,0.0703125
predicted,full_exact,Josh Downs,4,0.03125
predicted,full_exact,Josh Jacobs,57,0.4453125
predicted,full_exact,KC Concepcion,2,0.015625
predicted,full_exact,Keaton Mitchell,1,0.0078125
predicted,full_exact,Kenneth Walker III,9,0.0703125
predicted,full_exact,Kenny Gainwell,8,0.0625
predicted,full_exact,Kyle Monangai,7,0.0546875
predicted,full_exact,Kyle Pitts,26,0.203125
predicted,full_exact,Kyler Murray,6,0.046875
predicted,full_exact,Kyren Williams,44,0.34375
predicted,full_exact,Ladd McConkey,13,0.1015625
predicted,full_exact,Luther Burden III,52,0.40625
predicted,full_exact,Makai Lemon,4,0.03125
predicted,full_exact,Malachi Fields,2,0.015625
predicted,full_exact,Malik Nabers,12,0.09375
predicted,full_exact,Malik Willis,8,0.0625
predicted,full_exact,MarShawn Lloyd,1,0.0078125
predicted,full_exact,Marvin Harrison Jr.,18,0.140625
predicted,full_exact,Matthew Golden,1,0.0078125
predicted,full_exact,Matthew Stafford,3,0.0234375
predicted,full_exact,Michael Pittman,4,0.03125
predicted,full_exact,Michael Wilson,14,0.109375
predicted,full_exact,Mike Evans,23,0.1796875
predicted,full_exact,Nico Collins,3,0.0234375
predicted,full_exact,Parker Washington,10,0.078125
predicted,full_exact,Quentin Johnston,11,0.0859375
predicted,full_exact,RJ Harvey,8,0.0625
predicted,full_exact,Rachaad White,7,0.0546875
predicted,full_exact,Rashee Rice,1,0.0078125
predicted,full_exact,Rashid Shaheed,1,0.0078125
predicted,full_exact,Rhamondre Stevenson,23,0.1796875
predicted,full_exact,Rico Dowdle,10,0.078125
predicted,full_exact,Rome Odunze,33,0.2578125
predicted,full_exact,Sam Darnold,11,0.0859375
predicted,full_exact,Sam LaPorta,11,0.0859375
predicted,full_exact,Samaje Perine,1,0.0078125
predicted,full_exact,Saquon Barkley,3,0.0234375
predicted,full_exact,Tee Higgins,9,0.0703125
predicted,full_exact,Terry McLaurin,5,0.0390625
predicted,full_exact,Tetairoa McMillan,12,0.09375
predicted,full_exact,Tony Pollard,29,0.2265625
predicted,full_exact,Travis Kelce,4,0.03125
predicted,full_exact,Tre Tucker,1,0.0078125
predicted,full_exact,TreVeyon Henderson,37,0.2890625
predicted,full_exact,Trevor Lawrence,1,0.0078125
predicted,full_exact,Trey McBride,4,0.03125
predicted,full_exact,Tyler Allgeier,1,0.0078125
predicted,full_exact,Tyler Shough,2,0.015625
predicted,full_exact,Tyler Warren,38,0.296875
predicted,full_exact,Wan'Dale Robinson,4,0.03125
predicted,full_exact,Xavier Worthy,1,0.0078125
predicted,full_exact,Zay Flowers,5,0.0390625
predicted,shortlist,A.J. Brown,1,0.0078125
predicted,shortlist,Aaron Jones,1,0.0078125
predicted,shortlist,Aaron Rodgers,14,0.109375
predicted,shortlist,Alec Pierce,7,0.0546875
predicted,shortlist,Ashton Jeanty,2,0.015625
predicted,shortlist,Baker Mayfield,12,0.09375
predicted,shortlist,Bhayshul Tuten,22,0.171875
predicted,shortlist,Bijan Robinson,1,0.0078125
predicted,shortlist,Blake Corum,8,0.0625
predicted,shortlist,Braelon Allen,1,0.0078125
predicted,shortlist,Breece Hall,20,0.15625
predicted,shortlist,Brenton Strange,1,0.0078125
predicted,shortlist,Brian Robinson,1,0.0078125
predicted,shortlist,Brian Thomas Jr.,10,0.078125
predicted,shortlist,Brock Purdy,4,0.03125
predicted,shortlist,Bryce Young,10,0.078125
predicted,shortlist,Bucky Irving,20,0.15625
predicted,shortlist,C.J. Stroud,10,0.078125
predicted,shortlist,Caleb Douglas,1,0.0078125
predicted,shortlist,Calvin Ridley,1,0.0078125
predicted,shortlist,Cam Skattebo,11,0.0859375
predicted,shortlist,Cam Ward,6,0.046875
predicted,shortlist,Carnell Tate,42,0.328125
predicted,shortlist,CeeDee Lamb,6,0.046875
predicted,shortlist,Chris Godwin Jr.,3,0.0234375
predicted,shortlist,Chris Olave,5,0.0390625
predicted,shortlist,Christian McCaffrey,6,0.046875
predicted,shortlist,Christian Watson,65,0.5078125
predicted,shortlist,Chuba Hubbard,20,0.15625
predicted,shortlist,Colston Loveland,20,0.15625
predicted,shortlist,Courtland Sutton,5,0.0390625
predicted,shortlist,Cyrus Allen,1,0.0078125
predicted,shortlist,D'Andre Swift,15,0.1171875
predicted,shortlist,DJ Moore,8,0.0625
predicted,shortlist,DK Metcalf,20,0.15625
predicted,shortlist,Dallas Goedert,3,0.0234375
predicted,shortlist,Dalton Kincaid,1,0.0078125
predicted,shortlist,Daniel Jones,18,0.140625
predicted,shortlist,Davante Adams,2,0.015625
predicted,shortlist,David Montgomery,23,0.1796875
predicted,shortlist,De'Von Achane,128,1.0
predicted,shortlist,Denzel Boston,1,0.0078125
predicted,shortlist,Derrick Henry,9,0.0703125
predicted,shortlist,Drake London,1,0.0078125
predicted,shortlist,Drake Maye,128,1.0
predicted,shortlist,Emeka Egbuka,15,0.1171875
predicted,shortlist,Fernando Mendoza,5,0.0390625
predicted,shortlist,Garrett Wilson,4,0.03125
predicted,shortlist,George Kittle,27,0.2109375
predicted,shortlist,George Pickens,16,0.125
predicted,shortlist,Harold Fannin Jr.,30,0.234375
predicted,shortlist,Hunter Henry,3,0.0234375
predicted,shortlist,Isaiah Likely,1,0.0078125
predicted,shortlist,J.K. Dobbins,10,0.078125
predicted,shortlist,Jacory Croskey-Merritt,5,0.0390625
predicted,shortlist,Jadarian Price,23,0.1796875
predicted,shortlist,Jahmyr Gibbs,25,0.1953125
predicted,shortlist,Jake Ferguson,1,0.0078125
predicted,shortlist,Jakobi Meyers,3,0.0234375
predicted,shortlist,Jalen Hurts,1,0.0078125
predicted,shortlist,Jalen McMillan,2,0.015625
predicted,shortlist,Jameson Williams,47,0.3671875
predicted,shortlist,Jared Goff,8,0.0625
predicted,shortlist,Jayden Daniels,2,0.015625
predicted,shortlist,Jayden Reed,6,0.046875
predicted,shortlist,Jaylen Waddle,9,0.0703125
predicted,shortlist,Jaylen Warren,16,0.125
predicted,shortlist,Jeremiyah Love,5,0.0390625
predicted,shortlist,Jonathan Taylor,30,0.234375
predicted,shortlist,Jonathon Brooks,9,0.0703125
predicted,shortlist,Jordan Addison,8,0.0625
predicted,shortlist,Jordan Love,31,0.2421875
predicted,shortlist,Jordan Mason,7,0.0546875
predicted,shortlist,Jordyn Tyson,3,0.0234375
predicted,shortlist,Josh Allen,9,0.0703125
predicted,shortlist,Josh Downs,4,0.03125
predicted,shortlist,Josh Jacobs,57,0.4453125
predicted,shortlist,KC Concepcion,2,0.015625
predicted,shortlist,Keaton Mitchell,1,0.0078125
predicted,shortlist,Kenneth Walker III,9,0.0703125
predicted,shortlist,Kenny Gainwell,8,0.0625
predicted,shortlist,Kyle Monangai,7,0.0546875
predicted,shortlist,Kyle Pitts,26,0.203125
predicted,shortlist,Kyler Murray,6,0.046875
predicted,shortlist,Kyren Williams,44,0.34375
predicted,shortlist,Ladd McConkey,13,0.1015625
predicted,shortlist,Luther Burden III,52,0.40625
predicted,shortlist,Makai Lemon,4,0.03125
predicted,shortlist,Malachi Fields,2,0.015625
predicted,shortlist,Malik Nabers,12,0.09375
predicted,shortlist,Malik Willis,8,0.0625
predicted,shortlist,MarShawn Lloyd,1,0.0078125
predicted,shortlist,Marvin Harrison Jr.,18,0.140625
predicted,shortlist,Matthew Golden,1,0.0078125
predicted,shortlist,Matthew Stafford,3,0.0234375
predicted,shortlist,Michael Pittman,4,0.03125
predicted,shortlist,Michael Wilson,14,0.109375
predicted,shortlist,Mike Evans,23,0.1796875
predicted,shortlist,Nico Collins,3,0.0234375
predicted,shortlist,Parker Washington,10,0.078125
predicted,shortlist,Quentin Johnston,11,0.0859375
predicted,shortlist,RJ Harvey,8,0.0625
predicted,shortlist,Rachaad White,7,0.0546875
