"Full Name",Position,"3-Cone Drill","Bench Press","Height-adjusted Speed Score",SPARQ-x,"Broad Jump","40-Yard Dash","Burst Score","Agility Score","Vertical Jump","Breakout Age"
"Brandon Bostick",TE,7.41,19,103.8,115.7,121,4.64,123.5,11.66,36.0,20.3
"Brandon Dillon",TE,7.05,19,91.4,103.4,117,4.82,115.4,11.38,32.5,-
"Brandon Myers",TE,7.36,17,91.4,94.8,116,4.83,112.3,11.81,31.0,22.0
"Brandon Pettigrew",TE,7.12,22,98.1,110.5,118,4.83,116.8,11.49,33.0,22.5
"Brandon Williams",TE,7.25,26,110.1,122.3,128,4.61,127.0,11.78,36.0,-
"Braxton Deaver",TE,7.50,26,88.5,110.8,110,4.85,110.1,11.94,31.5,21.3
"Brent Celek",TE,7.20,19,92.5,105.1,112,4.84,113.8,11.51,33.0,20.6
"Brian Parker",TE,7.03,25,97.4,121.8,119,4.80,126.9,11.43,38.5,21.3
"Bryce Williams",TE,7.19,19,88.1,92.2,111,4.94,107.1,11.72,29.5,22.5
"Bucky Hodges",TE,-,18,120.3,115.9,134,4.57,135.3,-,39.0,19.1
"C.J. Conrad",TE,7.14,21,89.5,104.5,113,4.85,114.3,11.55,33.0,20.3
"C.J. Fiedorowicz",TE,7.10,25,105.4,119.8,116,4.76,113.1,11.36,31.5,20.9
"C.J. Uzomah",TE,7.22,19,111.5,102.1,118,4.67,113.3,11.79,31.0,-
"Caleb Wilson",TE,7.20,-,110.4,-,113,4.56,107.3,11.60,29.0,22.1
"Cam Serigne",TE,7.09,17,73.2,92.8,109,5.02,110.5,11.43,32.0,20.1
"Cameron Brate",TE,7.16,24,87.8,107.1,117,4.82,117.1,11.64,33.5,20.2
"Cameron Clear",TE,7.52,-,90.8,-,108,4.98,110.0,12.00,32.0,-
"Cannon Smith",TE,7.57,26,80.2,97.0,105,5.02,99.8,12.23,27.0,-
"Carson Meier",TE,7.60,19,84.9,92.8,116,4.96,118.4,12.32,34.5,-
"Casey Pierce",TE,6.97,19,88.8,111.1,118,4.82,122.9,11.19,36.5,22.0
"Cethan Carter",TE,-,19,98.6,-,-,4.68,-,-,-,-
"Charles Clay",TE,7.07,18,98.1,112.0,118,4.73,117.6,11.22,33.5,18.6
"Charles Jones",TE,7.83,24,83.1,100.5,117,4.95,116.3,12.53,33.0,-
"Charles Scarff",TE,7.69,16,90.7,82.3,106,4.85,106.4,12.56,30.5,20.3
"Chase Coffman",TE,-,-,92.5,-,-,4.88,-,-,-,18.8
"Chase Dixon",TE,-,-,90.7,-,-,4.78,-,-,-,22.3
"Chase Ford",TE,7.34,20,94.2,105.2,110,4.80,112.8,11.69,33.0,-
"Chris Bazile",TE,-,23,86.3,-,-,4.90,-,-,29.5,-
"Chris Coyle",TE,7.20,16,76.3,87.1,108,5.00,107.4,11.66,30.5,21.5
"Chris Gragg",TE,7.08,18,116.8,118.0,125,4.50,128.1,11.43,37.5,-
"Chris Herndon",TE,7.38,21,-,-,116,-,117.5,11.97,34.0,21.5
"Chris Myarick",TE,7.20,23,86.6,105.7,116,4.90,114.9,11.63,32.5,-
"Clay Harbor",TE,7.12,30,102.3,137.5,120,4.69,130.0,11.48,40.0,21.2
"Clive Walford",TE,7.32,20,94.9,102.8,120,4.79,121.3,11.89,35.0,20.9
"Coby Fleener",TE,7.02,27,116.6,133.7,116,4.56,122.8,11.32,37.0,22.0
"Codey McElroy",TE,-,-,104.4,-,-,4.74,-,-,-,24.7
"Cole Herdman",TE,6.86,-,72.8,-,111,5.05,106.3,11.18,29.0,-
"Cole Hikutini",TE,7.22,20,85.2,98.4,120,4.90,120.4,11.79,34.5,19.2
"Cole Hunt",TE,7.15,21,91.5,104.3,115,4.88,113.5,11.52,32.0,-
"Cole Wick",TE,7.16,14,83.9,97.7,125,4.98,126.4,11.48,36.5,20.8
"Colin Thompson",TE,7.42,18,77.1,82.6,108,5.06,103.0,12.07,28.0,-
"Colt Lyerla",TE,6.92,15,106.6,118.4,128,4.61,132.3,11.03,39.0,19.8
"Cooper Helfet",TE,6.82,24,95.3,117.4,119,4.71,115.5,11.04,32.0,21.3
"Craig Stevens",TE,7.07,27,118.5,124.2,114,4.59,105.1,11.38,27.5,-
"Crockett Gillmore",TE,7.42,18,92.8,99.5,120,4.89,118.6,11.86,33.5,19.8
"D.J. Williams",TE,7.29,20,108.8,109.4,111,4.57,114.1,11.80,33.5,20.0
"Dallas Goedert",TE,7.02,23,-,-,121,-,121.8,11.33,35.0,21.7
"Dalton Schultz",TE,7.00,15,96.6,96.0,120,4.75,116.0,11.40,32.0,-
"Damon Gibson",TE,-,18,100.4,-,-,4.67,-,-,37.5,19.4
"Dan Arnold",TE,6.81,12,93.3,102.5,127,4.68,132.6,11.11,39.5,20.5
"Daniel Brown",TE,6.86,11,97.9,97.5,116,4.65,113.1,11.04,31.5,21.3
"Daniel Fells",TE,7.29,19,86.2,92.7,108,4.95,105.6,11.81,29.5,-
"Daniel Helm",TE,7.02,14,86.6,100.9,125,4.89,131.6,11.39,39.5,-
"Dante Rosario",TE,6.96,20,95.6,107.4,115,4.76,120.5,11.43,36.0,-
"Darion Griswold",TE,7.50,17,87.3,85.1,107,4.87,108.6,12.34,31.5,20.7
"Darrell Daniels",TE,7.09,17,113.1,104.7,116,4.55,114.0,11.56,32.0,-
"Darren Waller",TE,7.07,12,131.6,115.1,125,4.46,127.3,11.32,37.0,22.0
"Datryan Evans",TE,-,16,69.3,-,105,5.09,104.1,-,29.5,-
"David Ausberry",TE,7.08,23,109.6,119.9,121,4.53,123.5,11.51,36.0,-
"David Grinnage",TE,7.56,7,86.7,70.2,106,4.90,104.6,12.30,29.5,21.5
"David Morgan",TE,6.93,29,82.1,121.4,115,5.02,110.0,11.12,30.0,21.3
"David Njoku",TE,6.97,21,105.6,118.3,133,4.64,132.1,11.31,37.5,20.2
"David Paulson",TE,7.18,21,80.1,100.2,110,4.93,111.0,11.58,32.0,21.5
"David Wells",TE,7.50,20,102.3,101.7,116,4.75,115.8,12.09,33.0,21.4
"David Wright",TE,7.59,27,104.1,124.1,125,4.70,125.5,12.02,36.0,22.5
"Davis Koppenhaver",TE,7.38,14,79.9,85.4,113,4.97,112.5,11.89,32.0,22.6
"Dawson Knox",TE,7.12,16,109.0,109.9,122,4.64,121.4,11.39,34.5,-
"Dax Raymond",TE,7.15,15,102.7,98.6,109,4.73,110.5,11.54,32.0,-
"DeAndre Goolsby",TE,6.97,13,87.0,89.1,114,4.84,110.4,11.33,30.5,-
"Delanie Walker",TE,7.23,-,105.1,-,118,4.58,122.9,11.83,36.5,20.1
"Demetrius Harris",TE,-,-,111.4,-,122,4.57,124.9,-,36.5,-
"Dennis Pitta",TE,6.72,27,102.0,129.8,113,4.68,116.0,10.89,34.0,22.1
"Deon Yelder",TE,7.32,18,92.0,94.7,120,4.83,117.8,11.96,33.0,22.5
"Derek Carrier",TE,6.65,15,110.4,120.6,122,4.55,127.5,10.73,38.0,18.1
"Derrick Griffin",TE,-,11,-,-,119,-,113.8,-,31.0,22.0
"Devin Mahina",TE,7.12,23,91.7,103.1,117,4.87,110.1,11.57,29.5,-
"Devon Cajuste",TE,6.49,12,102.2,105.7,123,4.62,124.5,10.69,36.0,20.6
"Dion Sims",TE,7.16,22,103.7,110.6,112,4.75,117.3,11.68,35.0,21.6
"Dominique Jones",TE,-,-,-,-,-,-,-,-,-,23.1
"Donald Parham",TE,7.53,17,100.4,103.5,125,4.73,129.9,12.04,38.5,19.1
"Donnie Ernsberger",TE,7.09,15,90.6,95.2,114,4.78,111.3,11.43,31.0,20.9
"Drew Belcher",TE,7.05,15,83.4,98.1,116,4.89,117.5,11.32,34.0,-
"Drew Sample",TE,7.15,-,104.4,-,115,4.71,116.1,11.46,33.5,-
"Durham Smythe",TE,7.17,18,95.3,104.2,110,4.81,109.3,11.40,31.0,-
"Dustin Keller",TE,6.88,26,113.0,139.1,131,4.55,132.0,11.02,38.0,20.9
"Dwayne Allen",TE,7.12,27,87.6,115.8,110,4.89,111.0,11.49,32.0,21.5
"E.J. Bibbs",TE,7.22,20,89.2,97.0,110,4.93,110.1,11.74,31.5,22.0
"Ed Dickson",TE,7.32,23,106.7,110.9,115,4.67,117.0,11.91,34.0,21.1
"Ellis Richardson",TE,7.44,22,77.8,94.9,118,4.93,115.0,12.07,32.0,22.6
"Emanuel Byrd",TE,7.37,20,94.1,103.5,116,4.71,116.8,11.88,33.6,-
"Eric Ebron",TE,7.49,24,111.1,116.0,120,4.60,116.0,11.94,32.0,19.4
"Eric Frohnapfel",TE,7.42,16,88.6,91.2,114,4.85,110.4,11.85,30.5,-
"Eric Saubert",TE,7.34,22,101.0,105.4,121,4.74,118.3,11.93,33.0,20.4
"Eric Tomlinson",TE,7.46,19,87.3,93.1,110,4.98,108.4,12.00,30.5,-
"Eric Waters",TE,7.17,18,94.1,109.2,122,4.75,129.3,11.56,39.0,-
"Erik Swoope",TE,-,-,99.2,-,-,4.78,-,-,-,-
"Ethan Wolf",TE,7.14,15,80.4,90.0,110,5.03,106.6,11.43,29.5,21.8
"Evan Baylis",TE,7.23,17,83.9,90.7,114,4.92,107.8,11.62,29.0,-
"Evan Engram",TE,6.92,19,120.4,123.9,125,4.42,125.5,11.15,36.0,20.0
"Evan Wilson",TE,7.38,19,89.6,100.5,124,4.90,124.1,11.88,35.5,-
"Foster Moreau",TE,7.16,22,106.7,127.0,121,4.66,124.4,11.27,36.5,-
"Fred Davis",TE,7.36,24,98.2,106.2,116,4.73,115.8,12.04,33.0,21.6
"Gabe Holmes",TE,7.31,21,88.7,107.9,112,4.93,114.6,11.61,33.5,-
"Garrett Celek",TE,7.12,19,98.1,102.7,119,4.77,119.0,11.61,34.0,-
"Garrett Dickerson",TE,7.19,19,86.8,96.3,118,4.83,111.5,11.63,30.0,20.7
"Garrett Graham",TE,7.09,20,96.9,109.7,112,4.71,116.4,11.44,34.5,21.1
"Garrett Griffin",TE,7.13,15,88.8,93.7,117,4.80,121.5,11.69,36.0,20.5
"Gary Barnidge",TE,6.92,22,109.2,116.1,117,4.65,112.8,11.15,31.0,21.0
"Gator Hoskins",TE,7.22,22,93.9,109.9,116,4.78,121.9,11.75,36.5,20.7
"Gavin Escobar",TE,7.07,12,94.5,93.1,114,4.84,113.0,11.38,32.0,20.6
"Geoff Swaim",TE,7.31,-,94.6,-,124,4.75,124.1,11.83,35.5,-
"George Kittle",TE,6.76,18,117.7,124.1,132,4.52,127.3,10.83,35.0,21.9
"Gerald Christian",TE,7.62,28,85.2,-,-,4.87,-,12.32,-,21.0
"Gerald Everett",TE,6.99,22,103.0,120.1,126,4.62,128.6,11.32,37.5,21.2
"Gerell Robinson",TE,7.10,-,95.7,-,113,4.62,118.6,11.25,35.5,21.9
"Greg Olsen",TE,7.04,23,125.9,121.8,114,4.51,119.1,11.52,35.5,20.5
"Hakeem Valles",TE,7.28,15,94.1,96.1,118,4.74,117.6,11.74,33.5,-
"Hale Hentges",TE,7.39,12,75.0,82.4,107,5.09,112.1,11.92,33.5,-
"Harold Spears",TE,7.25,20,95.6,105.9,118,4.80,122.9,11.78,36.5,-
"Hayden Hurst",TE,7.19,16,105.9,101.5,120,4.67,115.1,11.56,31.5,23.0
"Hayden Plinke",TE,7.55,18,86.1,87.6,109,4.97,103.5,12.14,28.0,23.7
"Heath Miller",TE,-,-,94.0,-,115,4.84,113.3,-,32.0,19.9
"Henry Krieger-Coble",TE,7.16,10,80.8,83.3,110,4.96,113.6,11.64,33.5,-
"Hunter Henry",TE,7.16,13,101.5,94.1,113,4.72,111.6,11.57,31.5,18.7
"Ian Bunting",TE,7.31,17,83.1,96.7,123,4.98,122.8,11.70,35.0,-
"Ian Thomas",TE,7.15,-,102.1,-,123,4.74,124.5,11.35,36.0,21.3
"Ifeanyi Momah",TE,-,-,96.6,-,-,4.80,-,-,-,-
"Irv Smith",TE,7.32,19,102.0,108.9,110,4.63,111.9,11.65,32.5,-
"Isaac Nauta",TE,7.45,19,82.4,92.0,114,4.91,106.0,11.88,28.0,19.3
"Isaiah Searight",TE,7.29,27,83.8,115.9,125,4.88,122.9,11.70,34.5,-
"J.P. Holtz",TE,6.92,20,85.2,103.7,112,4.84,113.8,11.25,33.0,21.0
"Jace Amaro",TE,7.42,28,105.8,127.3,118,4.74,116.8,11.72,33.0,21.2
"Jace Sternberger",TE,7.19,17,98.1,102.1,113,4.75,111.6,11.50,31.5,22.2
"Jack Doyle",TE,-,-,88.1,-,-,4.91,-,-,-,19.3
"Jacob Hollister",TE,7.12,-,97.0,-,121,4.69,124.4,11.46,36.5,20.8
"Jacob Maxwell",TE,7.26,21,99.0,115.0,127,4.73,130.9,11.66,38.5,-
"Jacob Pedersen",TE,7.55,20,82.8,94.8,111,4.89,105.4,11.95,28.5,20.4
"Jacob Tamme",TE,6.99,18,105.3,107.1,109,4.58,107.0,11.26,30.0,22.5
"Jaeden Graham",TE,-,0,95.3,-,122,4.78,118.8,-,33.0,21.9
"Jake Ballard",TE,-,17,91.4,-,114,4.89,112.1,-,31.5,-
"Jake Butt",TE,-,-,-,-,-,-,-,-,-,19.2
"Jake Fisher",TE,7.25,25,91.4,114.6,-,5.01,-,11.58,32.5,-
"Jake McGee",TE,7.26,17,88.1,85.4,114,4.89,106.9,11.89,28.5,21.0
"Jake Murphy",TE,7.18,24,94.9,116.2,114,4.78,114.8,11.45,33.0,23.0
"Jake Powell",TE,7.41,10,82.8,77.3,108,4.90,104.8,11.92,29.0,-
"Jake Roh",TE,7.32,13,72.3,76.4,109,5.01,111.4,12.07,32.5,22.0
"Jake Sinkovec",TE,7.28,23,81.8,97.2,110,4.93,108.4,11.86,30.5,-
"Jake Stoneburner",TE,7.12,18,104.6,111.8,116,4.65,118.4,11.39,34.5,22.0
"James Casey",TE,7.00,28,99.9,124.5,111,4.66,118.5,11.48,36.0,24.0
"James Hanna",TE,6.76,24,121.9,136.1,122,4.49,124.0,10.87,36.0,21.1
"James O'Shaughnessy",TE,7.20,16,98.6,103.0,116,4.73,119.3,11.58,35.0,22.6
"Jared Cook",TE,7.25,23,121.9,125.6,123,4.50,133.3,11.81,41.0,21.4
"Jason Croom",TE,7.33,23,98.2,112.2,120,4.74,119.5,11.73,34.0,19.5
"Jason Vander Laan",TE,6.76,27,87.7,120.7,119,4.83,112.9,10.92,30.5,-
"Jason Witten",TE,-,25,109.2,-,111,4.70,109.8,-,31.0,20.3
"Je'Ron Hamm",TE,7.13,15,95.0,102.7,118,4.70,123.8,11.52,37.0,20.2
"Jean Sifrin",TE,7.50,15,90.0,89.2,114,4.84,114.8,12.10,33.0,27.1
"Jeff Cumberland",TE,6.89,20,126.1,120.4,118,4.50,121.1,11.28,35.5,20.3
"Jeff Heuerman",TE,-,26,91.8,-,120,4.86,120.4,-,34.5,-
"Jerell Adams",TE,7.05,18,107.4,108.1,117,4.64,115.4,11.36,32.5,22.7
"Jeremy Eddington",TE,7.67,17,88.5,98.3,125,4.82,124.6,12.20,35.5,18.1
"Jeremy Sprinkle",TE,7.10,15,105.0,92.1,116,4.69,108.8,11.63,29.0,21.1
"Jermaine Gresham",TE,7.07,20,113.0,109.6,113,4.66,117.8,11.60,35.0,19.2
"Jermichael Finley",TE,7.15,20,91.0,97.6,117,4.82,106.6,11.53,27.5,-
"Jerome Cunningham",TE,7.66,26,96.4,114.8,116,4.75,118.4,12.22,34.5,21.3
"Jerome Washington",TE,7.32,18,84.8,90.8,116,4.86,110.5,11.85,30.0,-
"Jesse James",TE,7.53,26,99.2,119.1,121,4.83,126.1,12.03,37.5,19.3
"Jim Dray",TE,7.14,17,91.4,99.9,113,4.87,116.0,11.52,34.0,22.7
"Jimmy Graham",TE,6.90,15,122.3,111.5,120,4.56,127.4,11.35,38.5,22.8
"Jody Fortson",TE,7.52,13,78.6,83.4,127,4.89,123.0,12.11,34.0,-
"Joe Don Duncan",TE,6.86,35,99.1,142.6,112,4.80,113.8,11.14,33.0,21.0
"Joel Dreessen",TE,7.10,22,100.2,126.0,113,4.72,119.5,11.15,36.0,21.1
"John Carlson",TE,7.12,20,88.1,102.6,113,4.88,109.9,11.40,30.5,22.3
"John Lovett",TE,6.83,-,90.6,-,121,4.73,116.5,10.96,32.0,-
"John Peters",TE,-,27,109.2,-,127,4.73,-,-,-,20.4
"John Phillips",TE,6.84,20,96.1,109.6,112,4.79,114.6,11.11,33.5,21.2
"Johnny Mundt",TE,7.21,21,91.8,107.0,113,4.79,109.0,11.45,30.0,21.8
"Jonnu Smith",TE,7.43,22,106.9,127.0,127,4.62,130.0,11.61,38.0,18.0
"Jordan Akins",TE,7.29,24,-,-,122,-,122.3,11.67,35.0,-
"Jordan Cameron",TE,6.82,23,111.3,134.1,119,4.59,125.1,10.85,37.5,-
"Jordan Franks",TE,7.20,22,96.6,106.9,111,4.66,110.6,11.65,31.5,19.6
"Jordan Leggett",TE,7.12,18,98.0,104.4,114,4.80,114.8,11.45,33.0,20.6
"Jordan Najvar",TE,7.14,18,88.5,95.8,112,4.93,112.9,11.61,32.5,-
"Jordan Reed",TE,6.86,16,92.1,103.2,113,4.72,114.3,11.11,33.0,21.2
"Jordan Thomas",TE,7.50,16,107.2,86.4,111,4.74,102.8,12.25,27.0,-
"Joseph Fauria",TE,7.49,17,101.9,100.4,120,4.77,122.1,12.02,35.5,21.6
"Josh Hill",TE,7.00,20,99.9,117.3,127,4.71,127.4,11.19,36.5,20.3
"Josh Oliver",TE,7.21,22,109.2,113.0,117,4.63,118.0,11.68,34.0,21.7
"Joshua Perkins",TE,7.04,12,89.7,93.1,126,4.70,122.5,11.42,34.0,21.1
"Josiah Price",TE,7.32,25,83.2,107.2,115,4.94,116.1,11.83,33.5,21.1
"Julius Thomas",TE,6.96,16,103.4,107.1,111,4.68,117.6,11.27,35.5,22.2
"Justice Cunningham",TE,7.12,17,85.1,93.6,116,4.94,113.1,11.57,31.5,-
"Justin Jones",TE,6.88,22,95.6,107.1,113,4.95,121.3,11.48,37.0,-
"Justin Perillo",TE,6.98,19,91.7,100.8,109,4.81,107.9,11.34,30.5,20.7
"Kaden Smith",TE,7.08,15,87.7,90.8,108,4.92,110.0,11.55,32.0,20.4
"Kahale Warring",TE,7.21,19,106.8,116.2,122,4.67,124.9,11.46,36.5,20.5
"Kano Dillon",TE,7.39,18,102.2,103.5,122,4.74,123.1,11.91,35.5,-
"Keenen Brown",TE,7.27,17,95.1,98.0,117,4.75,116.3,11.78,33.0,22.7
"Keith Towbridge",TE,7.10,19,100.7,110.9,125,4.77,128.1,11.50,37.5,-
"Kellen Davis",TE,7.25,22,119.5,111.6,118,4.60,108.0,11.63,28.0,21.9
"Kendall Blanton",TE,7.37,22,89.1,102.9,113,4.95,110.8,11.79,31.0,-
"Kennard Backman",TE,7.23,17,102.9,104.0,117,4.71,120.6,11.72,35.5,19.5
"Kent Taylor",TE,7.54,-,101.7,-,120,4.69,116.0,11.95,32.0,-
"Kevin Rader",TE,7.07,17,81.5,94.3,112,4.97,115.5,11.53,34.0,-
"Khari Lee",TE,7.62,18,70.2,94.7,115,5.08,120.5,12.04,36.0,20.6
"Kyle Carter",TE,7.09,13,100.6,100.7,122,4.69,123.1,11.46,35.5,-
"Kyle Nelson",TE,7.32,21,96.9,106.1,107,4.68,106.0,11.69,30.0,-
"Kyle Rudolph",TE,7.24,19,92.9,104.4,113,4.88,116.9,11.61,34.5,-
"Ladarius Green",TE,7.12,16,116.4,106.0,124,4.53,122.4,11.59,34.5,18.3
"Lance Kendricks",TE,6.94,25,93.7,124.1,122,4.75,121.4,11.09,34.5,21.6
"Larry Donnell",TE,7.41,-,89.4,-,116,4.96,118.4,12.00,34.5,21.8
"Lee Smith",TE,7.13,25,86.2,109.6,108,5.01,104.8,11.41,29.0,-
"Levine Toilolo",TE,7.09,17,97.6,95.1,117,4.86,117.1,11.66,33.5,20.1
"Logan Parker",TE,7.20,17,79.1,94.3,114,4.93,112.1,11.53,31.5,-
"Logan Paulsen",TE,7.36,25,89.4,102.1,107,4.94,101.6,11.88,27.5,-
"Logan Thomas",TE,7.05,-,112.1,-,118,4.61,121.1,11.23,35.5,-
"Luke Stocker",TE,7.03,27,96.9,118.6,115,4.79,115.3,11.43,33.0,21.1
"Luke Willson",TE,7.08,23,117.0,127.7,122,4.56,127.5,11.37,38.0,20.6
"Manasseh Garner",TE,7.12,25,87.0,106.0,118,4.81,112.4,11.59,30.5,-
"MarQueis Gray",TE,7.25,15,99.4,98.3,111,4.73,108.0,11.55,30.0,-
"Marcedes Lewis",TE,7.24,23,105.8,107.7,118,4.80,123.8,12.08,37.0,21.3
"Marcel Jensen",TE,7.38,24,95.6,108.6,115,4.85,118.8,11.98,35.0,-
"Marcus Baugh",TE,7.28,-,87.4,-,117,4.87,116.3,11.79,33.0,-
"Marcus Lucas",TE,7.07,20,96.9,114.8,124,4.60,125.0,11.32,36.0,19.5
"Mark Andrews",TE,7.34,17,108.5,102.9,113,4.67,110.8,11.72,31.0,21.0
"Mark Harrison",TE,6.99,17,114.6,118.0,129,4.46,131.9,11.32,38.5,19.7
"Martellus Bennett",TE,7.64,18,112.8,104.9,118,4.68,118.5,12.17,34.0,18.5
"Mason Schreck",TE,7.36,19,94.0,108.8,118,4.81,119.4,11.63,34.5,22.8
"Matt Flanagan",TE,7.21,-,97.1,-,116,4.82,113.1,11.59,31.5,-
"Matt LaCosse",TE,7.30,20,99.4,97.6,116,4.76,110.5,11.87,30.0,-
"Matt Lengel",TE,7.26,26,92.3,115.4,117,4.96,114.5,11.59,32.0,-
"Matt Sokol",TE,7.35,23,87.0,105.7,112,4.92,109.4,11.69,30.5,-
"Matt Weiser",TE,7.15,18,87.8,94.4,114,4.85,109.5,11.56,30.0,22.9
"Matthew Mulligan",TE,-,-,90.7,-,-,4.91,-,-,-,22.6
"Mavin Saunders",TE,-,12,81.2,-,111,4.92,109.8,-,31.0,-
"Maxx Williams",TE,7.30,17,94.9,102.6,117,4.78,118.9,11.67,34.5,19.4
"Michael Egnew",TE,7.03,21,112.8,119.2,131,4.62,128.5,11.35,36.0,20.8
"Michael Hoomanawanui",TE,7.67,25,97.3,111.4,110,4.82,111.9,12.19,32.5,-
"Michael Roberts",TE,7.05,-,96.3,-,110,4.86,107.5,11.56,30.0,22.3
"Mickey Shuler",TE,6.77,28,102.4,133.5,131,4.68,131.1,11.02,37.5,-
"Micky Crum",TE,7.22,15,76.5,80.7,106,5.03,107.3,11.88,31.0,-
"Mik'Quan Deane",TE,7.37,19,103.0,105.5,122,4.61,121.4,11.90,34.5,-
"Mike Flacco",TE,7.21,14,96.1,97.9,115,4.79,116.1,11.55,33.5,26.6
"Mike Gesicki",TE,6.76,22,118.7,136.9,129,4.54,137.1,10.86,41.5,20.9
"Mike McFarland",TE,7.15,18,91.8,102.3,116,4.85,119.3,11.55,35.0,-
"Mitchell Henry",TE,7.15,15,96.6,106.1,114,4.74,121.8,11.43,37.0,-
"Mo Alie-Cox",TE,7.25,23,98.2,113.2,122,4.80,123.1,11.70,35.5,-
"Moral Stephens",TE,7.37,12,90.9,74.0,112,4.83,110.3,12.51,31.0,-
"Moritz Boehringer",TE,6.65,17,112.1,124.8,131,4.48,133.8,10.75,39.0,-
"MyCole Pruitt",TE,7.25,17,110.5,114.2,118,4.58,125.5,11.62,38.0,19.5
"Mychal Rivera",TE,7.17,17,88.8,94.7,112,4.81,110.3,11.60,31.0,-
"Nate Becker",TE,7.41,24,73.9,104.1,114,5.15,118.3,11.91,35.0,-
"Neal Sterling",TE,7.07,16,106.6,110.8,116,4.68,120.1,11.32,35.5,21.6
"Nic Jacobs",TE,7.40,15,101.3,93.4,117,4.81,119.8,12.12,35.0,21.9
