"Full Name",Position,"Arm Length","Height (Inches)",Weight,BMI,"Draft Pick","Hand Size",Age,"20-Yard Shuttle","Athleticism Score","Catch Radius"
"Chase Coffman",TE,"33 1/2",78,"257 lbs",29.7,3.34,"9 3/4",32.8,-,-,-
"Chase Dixon",TE,-,76,"238 lbs",29.0,Undrafted,-,28.2,-,-,-
"Chase Ford",TE,"33    ",78,"245 lbs",28.3,Undrafted,"10 1/4",29.1,4.35,98.5,10.02
"Chris Bazile",TE,-,76,"250 lbs",30.4,Undrafted,-,25.8,-,-,-
"Chris Coyle",TE,"32 3/8",75,"243 lbs",30.4,Undrafted,"9 1/4",28.4,4.46,93.3,9.73
"Chris Gragg",TE,"33 5/8",75,"244 lbs",30.5,7.16,"9    ",29.1,4.35,104.2,10.26
"Chris Herndon",TE,"32 3/4",76,"253 lbs",30.8,4.07,"9 3/4",23.5,4.59,-,-
"Chris Manhertz",TE,-,77,"238 lbs",28.2,Undrafted,-,27.3,-,-,-
"Chris Myarick",TE,"33 3/8",76,"251 lbs",30.5,Undrafted,"9 1/4",23.9,4.43,98.4,9.91
"Christian Scotland-Williamson",TE,-,81,"275 lbs",29.5,Undrafted,-,26.1,-,-,-
"Clay Harbor",TE,"32 5/8",75,"252 lbs",31.5,4.27,"9 1/2",32.1,4.36,103.6,10.23
"Clive Walford",TE,"34    ",76,"251 lbs",30.5,3.04,"10 1/4",27.8,4.57,100.7,9.98
"Coby Fleener",TE,"33 3/8",78,"247 lbs",28.5,2.02,"10    ",30.9,4.30,104.6,10.35
"Codey McElroy",TE,-,78,"258 lbs",29.8,Undrafted,-,26.7,-,-,-
"Cole Herdman",TE,"32 1/8",76,"238 lbs",29.0,Undrafted,"9 1/4",24.1,4.32,92.9,9.82
"Cole Hikutini",TE,"32 3/4",76,"247 lbs",30.1,Undrafted,"10    ",25.2,4.57,98.2,9.90
"Cole Hunt",TE,"32 1/4",78,"254 lbs",29.3,Undrafted,"9    ",25.2,4.37,99.6,9.97
"Cole Wick",TE,"33 3/4",77,"256 lbs",30.4,Undrafted,"10 3/8",25.7,4.32,102.0,10.12
"Colin Thompson",TE,"32 3/4",76,"254 lbs",30.9,Undrafted,"10 7/8",25.7,4.65,93.5,9.54
"Colt Lyerla",TE,"32 3/4",76,"242 lbs",29.5,Undrafted,"10 1/4",26.7,4.11,104.4,10.41
"Cooper Helfet",TE,-,75,"239 lbs",29.9,Undrafted,-,30.2,4.22,102.4,10.08
"Craig Stevens",TE,"31 1/4",75,"268 lbs",33.5,3.22,-,35.0,4.31,102.1,9.83
"Crockett Gillmore",TE,"33 3/4",78,"260 lbs",30.0,3.35,"10 3/8",27.7,4.44,101.7,9.98
"D.J. Williams",TE,"31 1/2",74,"245 lbs",31.5,5.10,"10 1/4",30.9,4.51,98.4,9.88
"Dallas Goedert",TE,"32 7/8",77,"256 lbs",30.4,2.17,"9 1/4",24.6,4.31,-,-
"Dalton Schultz",TE,"31 3/4",77,"244 lbs",28.9,4.37,"9 1/4",23.1,4.40,99.1,9.99
"Damon Gibson",TE,-,76,"240 lbs",29.2,Undrafted,-,23.3,-,-,-
"Dan Arnold",TE,"32 1/8",77,"222 lbs",26.3,Undrafted,"9 5/8",24.4,4.30,99.3,10.37
"Daniel Brown",TE,"34 5/8",77,"227 lbs",26.9,Undrafted,"9 7/8",27.2,4.18,98.0,10.22
"Daniel Fells",TE,-,76,"260 lbs",31.6,Undrafted,-,35.9,4.52,97.1,9.71
"Daniel Helm",TE,"33 3/8",76,"249 lbs",30.3,Undrafted,"9 1/2",24.3,4.37,102.2,10.23
"Dante Rosario",TE,"32 3/4",75,"250 lbs",31.2,5.18,"9 5/8",34.8,4.47,100.6,10.07
"Darion Griswold",TE,-,75,"250 lbs",31.2,Undrafted,-,26.6,4.84,-,9.60
"Darrell Daniels",TE,"34 1/2",75,"247 lbs",30.9,Undrafted,"10 1/4",24.7,4.47,101.4,10.04
"Darren Fells",TE,-,79,"281 lbs",31.7,Undrafted,-,33.3,-,-,-
"Darren Waller",TE,"33 1/4",78,"255 lbs",29.5,6.28,"9    ",26.9,4.25,108.3,10.39
"Datryan Evans",TE,"32 3/4",74,"240 lbs",30.8,Undrafted,"8 1/2",-,-,-,-
"David Ausberry",TE,-,75,"235 lbs",29.4,7.38,-,31.9,4.43,100.5,10.13
"David Grinnage",TE,"34 1/2",77,"248 lbs",29.4,Undrafted,"10 1/8",26.5,4.74,95.1,9.68
"David Morgan",TE,"33 5/8",76,"262 lbs",31.9,6.13,"10 1/2",26.2,4.19,99.4,9.95
"David Njoku",TE,"35 1/4",76,"246 lbs",29.9,1.29,"10    ",23.1,4.34,105.5,10.33
"David Paulson",TE,"32 3/4",75,"241 lbs",30.1,7.33,"10 1/8",30.5,4.40,94.7,9.84
"David Wells",TE,"32 1/4",78,"255 lbs",29.5,Undrafted,"9 5/8",24.3,4.59,100.4,9.88
"David Wright",TE,"32 1/2",77,"252 lbs",29.9,Undrafted,"9 3/8",28.4,4.43,102.3,10.02
"Davis Koppenhaver",TE,"31 1/4",76,"245 lbs",29.8,Undrafted,"9 1/8",23.6,4.51,94.5,9.72
"Dawson Knox",TE,"33 1/2",76,"254 lbs",30.9,3.32,"9 3/4",22.7,4.27,103.8,10.16
"Dax Raymond",TE,"32 5/8",77,"255 lbs",30.2,Undrafted,"10 1/4",-,4.39,100.4,9.99
"DeAndre Goolsby",TE,"32 3/4",76,"240 lbs",29.2,Undrafted,"10 5/8",23.2,4.36,96.3,9.93
"Delanie Walker",TE,"32    ",73,"242 lbs",31.9,6.06,-,35.0,4.60,99.2,9.94
"Demetrius Harris",TE,"34 1/4",79,"235 lbs",26.5,Undrafted,-,28.0,-,103.1,-
"Dennis Pitta",TE,"32 1/4",76,"246 lbs",29.9,4.16,"10    ",34.0,4.17,101.1,10.22
"Deon Yelder",TE,"33    ",75,"255 lbs",31.9,Undrafted,"10 1/8",24.4,4.64,99.2,9.80
"Derek Carrier",TE,"32    ",75,"241 lbs",30.1,Undrafted,-,29.1,4.08,103.6,10.41
"Derrick Griffin",TE,"33 3/4",78,"248 lbs",28.7,Undrafted,"8 7/8",25.9,4.49,-,-
"Devin Mahina",TE,"33 3/4",77,"256 lbs",30.4,Undrafted,"10 1/4",30.6,4.45,99.5,9.88
"Devon Cajuste",TE,"33    ",76,"234 lbs",28.5,Undrafted,"10 3/4",26.5,4.20,101.8,10.38
"Dion Sims",TE,"33 1/8",77,"262 lbs",31.1,4.09,"10 1/2",28.5,4.52,103.0,10.05
"Dominique Jones",TE,-,75,"270 lbs",33.7,Undrafted,-,32.0,-,-,-
"Donald Parham",TE,"35 1/2",80,"240 lbs",26.4,Undrafted,"10 1/4",22.0,4.51,103.1,10.30
"Donnie Ernsberger",TE,"31 5/8",75,"241 lbs",30.1,Undrafted,"9 3/4",22.8,4.34,96.2,9.87
"Drew Belcher",TE,"32 3/4",75,"243 lbs",30.4,Undrafted,"10 1/4",-,4.27,97.5,10.01
"Drew Sample",TE,"33 3/8",77,"255 lbs",30.2,2.20,"9 5/8",23.3,4.31,102.4,10.11
"Durham Smythe",TE,"32 1/2",77,"253 lbs",30.0,4.23,"10 3/4",24.0,4.23,99.2,9.98
"Dustin Keller",TE,"32 3/8",74,"250 lbs",32.1,1.30,-,34.9,4.14,105.5,10.31
"Dwayne Allen",TE,"33    ",75,"255 lbs",31.9,3.01,"9 5/8",29.5,4.37,98.2,9.89
"E.J. Bibbs",TE,"33 1/8",78,"258 lbs",29.8,Undrafted,"10 1/4",28.0,4.52,99.0,9.89
"Ed Dickson",TE,"33    ",76,"255 lbs",31.0,3.06,"9 3/4",32.1,4.59,101.4,9.94
"Ellis Richardson",TE,"32 3/8",75,"234 lbs",29.2,Undrafted,"10 5/8",24.5,4.63,93.0,9.68
"Emanuel Byrd",TE,"33    ",74,"239 lbs",30.7,Undrafted,"9 3/8",24.7,4.51,96.9,9.87
"Eric Ebron",TE,"33 1/4",76,"250 lbs",30.4,1.10,"10    ",26.3,4.45,101.0,9.92
"Eric Frohnapfel",TE,"34 1/8",78,"240 lbs",27.7,Undrafted,"10 1/4",26.8,4.43,96.6,9.90
"Eric Saubert",TE,"33 1/2",77,"253 lbs",30.0,5.31,"10 3/8",25.3,4.59,101.1,9.93
"Eric Tomlinson",TE,"32 7/8",78,"263 lbs",30.4,Undrafted,"10    ",27.3,4.54,98.3,9.76
"Eric Waters",TE,"33 3/4",75,"244 lbs",30.5,Undrafted,"9 5/8",28.0,4.39,101.5,10.19
"Erik Swoope",TE,-,77,"257 lbs",30.5,Undrafted,-,27.3,-,-,-
"Ethan Wolf",TE,"32 1/2",78,"252 lbs",29.1,Undrafted,"8 7/8",23.8,4.29,96.4,9.87
"Evan Baylis",TE,"32 1/2",77,"244 lbs",28.9,Undrafted,"9    ",25.7,4.39,95.4,9.80
"Evan Engram",TE,"33 1/2",75,"234 lbs",29.2,1.23,"10    ",24.9,4.23,102.8,10.32
"Evan Wilson",TE,"33 1/2",78,"253 lbs",29.2,Undrafted,"10    ",27.5,4.50,101.2,10.02
"Foster Moreau",TE,"33 1/2",76,"253 lbs",30.8,4.35,"9 5/8",22.3,4.11,104.3,10.27
"Fred Davis",TE,"33 1/4",76,"247 lbs",30.1,2.17,-,33.6,4.68,98.7,9.85
"Gabe Holmes",TE,"33    ",77,"260 lbs",30.8,Undrafted,"10 1/8",28.4,4.30,100.1,9.98
"Garrett Celek",TE,"31 1/8",77,"252 lbs",29.9,Undrafted,-,31.2,4.49,100.4,9.96
"Garrett Dickerson",TE,"32 3/8",74,"244 lbs",31.3,Undrafted,"9    ",23.6,4.44,95.7,9.75
"Garrett Graham",TE,"32    ",75,"243 lbs",30.4,4.20,"9 1/2",33.0,4.35,98.5,10.02
"Garrett Griffin",TE,"32    ",76,"237 lbs",28.8,Undrafted,"9 1/2",25.4,4.56,97.3,9.99
"Gary Barnidge",TE,"32    ",78,"250 lbs",28.9,5.06,-,33.9,4.23,101.8,10.12
"Gator Hoskins",TE,"32 7/8",74,"253 lbs",32.5,Undrafted,"9 3/4",27.7,4.53,100.2,9.96
"Gavin Escobar",TE,"33 5/8",78,"254 lbs",29.3,2.15,"9 3/4",28.5,4.31,100.8,10.07
"Geoff Swaim",TE,"33 5/8",76,"242 lbs",29.5,7.29,"10    ",25.9,4.52,99.9,10.02
"George Kittle",TE,"33 1/8",76,"247 lbs",30.1,5.02,"9 1/4",25.8,4.07,106.0,10.37
"Gerald Christian",TE,"32 1/2",75,"244 lbs",30.5,7.39,"10 3/4",26.0,4.70,-,-
"Gerald Everett",TE,"33    ",75,"239 lbs",29.9,2.12,"8 1/2",25.1,4.33,101.9,10.23
"Gerell Robinson",TE,"33    ",75,"222 lbs",27.7,Undrafted,"10 1/8",29.8,4.15,96.3,10.20
"Greg Olsen",TE,"32 3/8",78,"255 lbs",29.5,1.31,"9 5/8",34.4,4.48,105.1,10.21
"Hakeem Valles",TE,"33 3/8",75,"242 lbs",30.2,Undrafted,"9 3/4",26.7,4.46,98.2,9.94
"Hale Hentges",TE,"33 1/4",76,"253 lbs",30.8,Undrafted,"9 1/4",-,4.53,95.5,9.79
"Harold Spears",TE,"32    ",76,"255 lbs",31.0,Undrafted,"9 7/8",27.4,4.53,101.0,9.99
"Hayden Hurst",TE,"32 1/8",77,"250 lbs",29.6,1.25,"9 3/4",26.0,4.37,100.8,9.98
"Hayden Plinke",TE,"32 1/2",76,"264 lbs",32.1,Undrafted,"10    ",26.7,4.59,96.2,9.56
"Heath Miller",TE,"33    ",77,"256 lbs",30.4,1.30,"10 3/4",36.8,-,100.2,-
"Henry Krieger-Coble",TE,"32 1/2",75,"249 lbs",31.1,Undrafted,"9 5/8",27.2,4.48,96.3,9.85
"Hunter Henry",TE,"32 3/4",77,"250 lbs",29.6,2.04,"9 1/4",24.7,4.41,99.8,9.97
"Ian Bunting",TE,"34    ",79,"247 lbs",27.8,Undrafted,"10 5/8",23.5,4.39,99.9,10.09
"Ian Thomas",TE,"34 1/8",76,"259 lbs",31.5,4.01,"11 1/2",23.2,4.20,104.8,10.22
"Ifeanyi Momah",TE,-,79,"248 lbs",27.9,Undrafted,-,29.8,-,-,-
"Irv Smith",TE,"31 1/2",74,"242 lbs",31.1,2.18,"9 1/2",21.0,4.33,97.1,9.89
"Isaac Nauta",TE,"31 7/8",75,"244 lbs",30.5,7.10,"9 3/8",22.2,4.43,93.5,9.61
"Isaiah Searight",TE,"34    ",75,"242 lbs",30.2,Undrafted,"10 3/8",-,4.41,98.2,9.96
"J.P. Holtz",TE,"31 1/4",75,"238 lbs",29.7,Undrafted,"10 1/4",26.0,4.33,95.7,9.95
"Jace Amaro",TE,"34    ",77,"265 lbs",31.4,2.17,"9    ",27.1,4.30,103.9,10.04
"Jace Sternberger",TE,"32 1/8",76,"251 lbs",30.5,3.11,"9 3/4",23.1,4.31,99.1,9.94
"Jack Doyle",TE,"32 1/8",77,"254 lbs",30.1,Undrafted,"9 3/8",29.3,-,-,-
"Jacob Hollister",TE,"30 7/8",75,"239 lbs",29.9,Undrafted,"9 3/4",25.7,4.34,99.0,10.06
"Jacob Maxwell",TE,"32    ",76,"249 lbs",30.3,Undrafted,"10 1/8",28.6,4.40,103.6,10.13
"Jacob Pedersen",TE,"31 3/4",76,"238 lbs",29.0,Undrafted,"9    ",28.3,4.40,92.6,9.65
"Jacob Tamme",TE,"32    ",75,"236 lbs",29.5,4.28,-,34.4,4.27,96.9,9.98
"Jaeden Graham",TE,-,76,"250 lbs",30.4,Undrafted,-,23.8,-,-,-
"Jake Ballard",TE,-,78,"256 lbs",29.6,Undrafted,-,31.6,-,99.7,-
"Jake Butt",TE,"32    ",77,"246 lbs",29.2,5.01,"10    ",24.1,-,-,-
"Jake Fisher",TE,"33 3/4",78,"282 lbs",32.6,2.21,"10 3/8",26.3,4.33,-,9.98
"Jake McGee",TE,"32 3/8",77,"250 lbs",29.6,Undrafted,"9 5/8",27.9,4.63,96.1,9.69
"Jake Murphy",TE,"31 3/4",76,"249 lbs",30.3,Undrafted,"10    ",29.9,4.27,99.0,9.98
"Jake Powell",TE,"32 1/4",76,"240 lbs",29.2,Undrafted,"9    ",-,4.51,93.0,9.67
"Jake Roh",TE,"30 5/8",74,"235 lbs",30.2,Undrafted,"9 3/8",23.9,4.75,90.4,9.56
"Jake Sinkovec",TE,"30 5/8",76,"243 lbs",29.6,Undrafted,"9 1/2",28.5,4.58,93.5,9.66
"Jake Stoneburner",TE,"32 1/4",75,"249 lbs",31.1,Undrafted,"9 3/8",30.0,4.27,101.0,10.08
"James Casey",TE,"30 5/8",75,"240 lbs",30.0,5.16,-,34.9,4.48,98.1,10.02
"James Hanna",TE,"33 1/8",76,"249 lbs",30.3,6.16,"9 7/8",30.1,4.11,105.9,10.40
"James O'Shaughnessy",TE,"32 1/8",76,"248 lbs",30.2,5.37,"9 3/4",27.6,4.38,100.1,10.04
"Jared Cook",TE,"35 3/4",77,"248 lbs",29.4,3.25,"10 1/4",32.4,4.56,107.2,10.41
"Jason Croom",TE,"33 3/8",77,"246 lbs",29.2,Undrafted,"9 5/8",25.5,4.40,100.4,10.04
"Jason Vander Laan",TE,"31 1/2",75,"243 lbs",30.4,Undrafted,"9 5/8",26.9,4.16,97.4,9.98
"Jason Witten",TE,-,78,"261 lbs",30.2,3.05,-,37.3,-,102.3,-
"Je'Ron Hamm",TE,"33    ",75,"236 lbs",29.5,Undrafted,"9 1/4",27.2,4.39,99.0,10.12
"Jean Sifrin",TE,"33 3/8",77,"245 lbs",29.0,Undrafted,"11    ",32.1,4.60,97.3,9.85
"Jeff Cumberland",TE,-,76,"260 lbs",31.6,Undrafted,-,32.3,4.39,106.6,10.23
"Jeff Heuerman",TE,"33 1/4",77,"254 lbs",30.1,3.28,"10 1/8",26.7,-,-,-
"Jerell Adams",TE,"34 3/8",77,"247 lbs",29.3,6.09,"9 3/4",26.6,4.31,102.0,10.16
"Jeremy Eddington",TE,"32 5/8",73,"250 lbs",33.0,Undrafted,"9 3/8",27.0,4.53,98.2,9.77
"Jeremy Sprinkle",TE,"34 1/2",77,"252 lbs",29.9,5.10,"10 3/4",25.0,4.53,100.6,9.93
"Jermaine Gresham",TE,"34 3/4",78,"261 lbs",30.2,1.21,"9 5/8",31.2,4.53,105.3,10.20
"Jermichael Finley",TE,-,76,"247 lbs",30.1,3.28,-,32.4,4.38,96.8,9.78
"Jerome Cunningham",TE,-,75,"250 lbs",31.2,Undrafted,-,28.2,4.56,-,9.82
"Jerome Washington",TE,"33 1/4",75,"241 lbs",30.1,Undrafted,"9 1/2",-,4.53,95.0,9.73
"Jesse James",TE,"33    ",79,"261 lbs",29.4,5.24,"9 3/8",25.2,4.50,103.9,10.10
"Jevoni Robinson",TE,-,80,"240 lbs",26.4,Undrafted,-,26.7,-,-,-
"Jim Dray",TE,"33    ",77,"255 lbs",30.2,7.26,"10 1/8",32.6,4.38,100.3,10.03
"Jimmy Graham",TE,"35    ",78,"259 lbs",29.9,3.31,"10 5/8",32.7,4.45,108.8,10.43
"Jody Fortson",TE,"33 1/4",76,"226 lbs",27.5,Undrafted,"10    ",-,4.59,94.1,9.83
"Joe Don Duncan",TE,"32 3/8",75,"268 lbs",33.5,Undrafted,"10 1/8",28.9,4.28,102.7,10.04
"Joel Dreessen",TE,"33 3/8",76,"250 lbs",30.4,6.24,"9 1/4",37.1,4.05,102.2,10.27
"John Carlson",TE,"34 1/2",77,"248 lbs",29.4,2.07,-,35.3,4.28,98.4,10.00
"John Lovett",TE,"31 1/4",74,"234 lbs",30.0,Undrafted,"9 3/4",23.3,4.13,96.7,10.02
"John Peters",TE,-,80,"261 lbs",28.7,Undrafted,-,27.3,-,-,-
"John Phillips",TE,"34 1/2",77,"251 lbs",29.8,6.35,"10 1/4",32.2,4.27,101.7,10.21
"Johnny Mundt",TE,"32 3/8",76,"243 lbs",29.6,Undrafted,"9 5/8",24.7,4.24,96.7,9.90
"Jonnu Smith",TE,"32 7/8",75,"248 lbs",31.0,3.36,"9 1/4",24.0,4.18,103.4,10.19
"Jordan Akins",TE,"32 1/2",75,"249 lbs",31.1,3.34,"9 1/2",27.3,4.38,-,-
"Jordan Cameron",TE,"33 1/2",77,"245 lbs",29.0,4.05,"9 5/8",31.0,4.03,104.9,10.48
"Jordan Franks",TE,"31 7/8",75,"232 lbs",29.0,Undrafted,"9 5/8",23.5,4.45,95.1,9.87
"Jordan Leggett",TE,"33 1/2",77,"258 lbs",30.6,5.06,"10 3/8",24.5,4.33,101.8,10.06
"Jordan Najvar",TE,"32 1/4",78,"256 lbs",29.6,Undrafted,"10    ",28.6,4.47,99.1,9.93
"Jordan Reed",TE,"33 1/2",74,"236 lbs",30.3,3.23,"10    ",29.1,4.25,97.5,10.08
"Jordan Thomas",TE,"32 1/4",78,"265 lbs",30.6,6.37,"9 5/8",23.0,4.75,99.2,9.62
"Joseph Fauria",TE,"33 3/4",79,"255 lbs",28.7,Undrafted,"10 7/8",29.6,4.53,102.9,10.08
"Josh Hill",TE,"33    ",77,"244 lbs",28.9,Undrafted,"9    ",29.2,4.19,102.9,10.28
"Josh Oliver",TE,"33 1/2",77,"249 lbs",29.5,3.05,"10 3/4",22.6,4.47,102.0,10.08
"Joshua Perkins",TE,"33 3/8",75,"223 lbs",27.9,Undrafted,"9 1/4",26.0,4.38,96.3,10.06
"Josiah Price",TE,"30 1/8",76,"249 lbs",30.3,Undrafted,"9 5/8",26.1,4.51,96.0,9.76
"Julius Thomas",TE,"33    ",77,"246 lbs",29.2,4.32,"10 1/4",31.1,4.31,101.5,10.22
"Justice Cunningham",TE,"33 7/8",75,"258 lbs",32.2,7.48,"10    ",28.6,4.45,98.9,9.86
