"Full Name",Position,"Breakout Year","College Dominator Rating","College YPR"
"Owen Daniels",TE,2005,16.5%,15.6
"Paul Butler",TE,-,6.2%,11.5
"Pharaoh Brown",TE,2014,20.8%,12.9
"Pharoah McKever",TE,-,12.9%,11.1
"Phazahn Odom",TE,2015,12.5%,13.5
"Phillip Supernaw",TE,2009,23.2%,13.7
"Randall Telfer",TE,-,7.7%,11.2
"Reggie Jordan",TE,2012,19.6%,15.9
"Rhett Ellison",TE,-,8.2%,10.3
"Richard Rodgers",TE,-,10.5%,15.6
"Ricky Seals-Jones",TE,2015,16.4%,12.4
"Rob Blanchflower",TE,2012,25.0%,11.6
"Rob Gronkowski",TE,2007,19.1%,14.3
"Rob Housler",TE,2008,24.3%,16.1
"Robert Tonyan",TE,2014,38.0%,12.5
"Romello Brooker",TE,-,14.2%,12.4
"Rory Anderson",TE,-,5.3%,11.8
"Ross Dwelley",TE,2015,29.6%,12.7
"Ryan Griffin",TE,2011,38.8%,16.7
"Ryan Izzo",TE,2017,19.3%,15.9
"Ryan Malleck",TE,-,9.3%,10.9
"Ryan Nall",TE,2016,17.1%,9.7
"Ryan O'Malley",TE,-,10.2%,10.1
"Ryan Smith",TE,2015,19.5%,12.5
"Ryan Yurachek",TE,2015,27.9%,9.1
"Scott Chandler",TE,2006,23.8%,12.8
"Scott Orndoff",TE,2015,20.6%,16.5
"Scott Simonson",TE,2011,36.1%,15.5
"Sean Culkin",TE,-,7.5%,10.2
"Sean McGrath",TE,2010,14.8%,11.0
"Seth Devalve",TE,2013,18.3%,10.2
"Shane Smith",TE,-,2.2%,6.0
"Stephen Anderson",TE,2014,12.4%,13.0
"Stephen Carlson",TE,2017,28.1%,13.3
"Steven Scheu",TE,2014,18.9%,11.2
"T.J. Hockenson",TE,2018,24.0%,15.5
"Tanner Hudson",TE,2015,22.6%,15.2
"Taylor McNamara",TE,-,5.5%,8.1
"Ted Bolser",TE,2010,14.5%,9.1
"Temarrick Hemingway",TE,2013,14.4%,9.8
"Thomas Duarte",TE,2015,33.4%,16.5
"Tim Semisch",TE,-,3.3%,12.0
"Timothy Wright",TE,-,13.2%,12.4
"Tom Crabtree",TE,-,3.9%,7.8
"Tommy Sweeney",TE,2016,19.6%,12.5
"Tony Moeaki",TE,2009,25.8%,12.9
"Travis Beckum",TE,2006,20.6%,13.1
"Travis Kelce",TE,2012,27.6%,16.0
"Trevon Wesco",TE,-,5.7%,14.1
"Trevor Wood",TE,-,2.0%,7.8
"Trey Burton",TE,2013,15.4%,11.7
"Troy Fumagalli",TE,2016,19.9%,12.1
"Troy Niklas",TE,2013,16.8%,15.6
"Tyler Beck",TE,-,9.4%,17.7
"Tyler Conklin",TE,2016,27.4%,14.4
"Tyler Eifert",TE,2011,26.9%,13.7
"Tyler Higbee",TE,2015,20.8%,14.8
"Tyler Kroft",TE,2013,11.5%,13.3
"Tyler Petite",TE,-,6.4%,9.7
"Tyree Mayfield",TE,2018,28.0%,16.2
"Vance McDonald",TE,2010,26.6%,12.5
"Vernon Davis",TE,2005,35.9%,17.1
"Vince Mayle",TE,2013,22.9%,14.0
"Virgil Green",TE,2009,19.5%,14.7
"Wes Saxton",TE,-,6.7%,12.7
"Will Dissly",TE,-,10.3%,13.8
"Will Tye",TE,2013,36.1%,14.6
"Xavier Grimble",TE,-,13.1%,10.9
"Zach Ertz",TE,2012,31.8%,13.0
"Zach Gentry",TE,2017,15.6%,16.9
"Zach Miller",TE,2006,18.1%,9.7
"Zach Sudfeld",TE,2012,26.1%,13.3
