lock_version,model_run_id,model_name,forecast_origin,candidate_id,parameters_json,selection_metric,selection_score,selection_start_season,selection_end_season,selection_seasons
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,participation_lightgbm,2026,5,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 5.0}",brier,0.12785123366654294,2013,2025,13
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg_log_adp_lasso,2017,4,"{""alpha"": 0.1}",rmse,3.3780506497578355,2013,2016,4
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg_log_adp_lasso,2018,4,"{""alpha"": 0.1}",rmse,3.2834226366129022,2013,2017,5
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg_log_adp_lasso,2019,4,"{""alpha"": 0.1}",rmse,3.235101157328586,2013,2018,6
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg_log_adp_lasso,2020,4,"{""alpha"": 0.1}",rmse,3.198928138641861,2013,2019,7
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg_log_adp_lasso,2021,3,"{""alpha"": 0.03}",rmse,3.1876791398987163,2013,2020,8
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg_log_adp_lasso,2022,3,"{""alpha"": 0.03}",rmse,3.146920277990325,2013,2021,9
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg_log_adp_lasso,2023,3,"{""alpha"": 0.03}",rmse,3.089446513388349,2013,2022,10
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg_log_adp_lasso,2024,3,"{""alpha"": 0.03}",rmse,3.0810138483383827,2013,2023,11
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg_log_adp_lasso,2025,3,"{""alpha"": 0.03}",rmse,3.074634115183212,2013,2024,12
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg_log_adp_lasso,2026,3,"{""alpha"": 0.03}",rmse,3.0549748909445347,2013,2025,13
