lock_version,model_run_id,target_name,method,slice_type,slice_value,metric,n_rows,n_seasons,value
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,other_no_history,rmse,23,7,2.156734269434488
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,other_no_history,mae,23,7,1.7262552850299278
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,other_no_history,bias,23,7,1.0552818588876727
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,other_no_history,spearman,23,7,0.00691699604743083
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,rookie,rmse,518,9,3.234830333735767
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,rookie,mae,518,9,2.550830093122285
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,rookie,bias,518,9,0.20178157352005982
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,rookie,spearman,518,9,0.6226321386797662
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,second_year,rmse,558,9,2.9264337583088507
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,second_year,mae,558,9,2.2234654706466284
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,second_year,bias,558,9,0.11762019976243442
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,second_year,spearman,558,9,0.7536511146223817
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,veteran_with_history,rmse,2523,9,2.8009734747020563
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,veteran_with_history,mae,2523,9,2.1762644748347495
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,veteran_with_history,bias,2523,9,0.11038508397941317
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,history_depth,veteran_with_history,spearman,2523,9,0.8207079658513954
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_lasso,pooled,all,rmse,3622,9,2.9479160381396334
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_lasso,pooled,all,mae,3622,9,2.27081943349562
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_lasso,pooled,all,bias,3622,9,0.005394241443415769
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_lasso,pooled,all,spearman,3622,9,0.7763271457818828
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_lasso,provider_era,2023_2025,rmse,1226,3,2.9565186058738546
