player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
Rock Cartwright,1211,HB,11,WAS,30,27,0,27,0.0
Corey McIntyre,1278,FB,9,BUF,8,7,0,7,0.0
Larry Johnson,1343,HB,7,KC,14,11,0,11,0.0
L.J. Smith,1376,TE,9,BLT,3,2,0,2,0.0
Kassim Osgood,1676,WR,4,SD,5,1,0,1,0.0
Greg Lewis,1650,WR,12,MIN,11,8,0,8,0.0
B.J. Askew,1400,FB,5,TB,2,2,0,2,0.0
Kevin Walter,1549,WR,14,HST,68,53,1,54,1.9
Frank Gore,2282,HB,14,SF,60,51,1,52,1.9
Maurice Jones-Drew,3005,HB,16,JAX,66,53,1,54,1.9
Mike Thomas,5030,WR,14,JAX,59,48,1,49,2.0
Steve Slaton,4403,HB,11,HST,52,44,1,45,2.2
Jason Avant,3054,WR,16,PHI,55,41,1,42,2.4
Owen Daniels,3043,TE,8,HST,53,40,1,41,2.4
Kevin Boss,3769,TE,15,NYG,63,41,1,42,2.4
Eddie Royal,4356,WR,14,DEN,69,37,1,38,2.6
David Anderson,3196,WR,16,HST,52,38,1,39,2.6
Chris Chambers,821,WR,9,KC,59,36,1,37,2.7
Reggie Wayne,800,WR,16,IND,146,100,3,103,2.9
Vincent Jackson,2278,WR,15,SD,105,68,2,70,2.9
Larry Fitzgerald,1724,WR,16,ARZ,147,97,3,100,3.0
Mike Sims-Walker,3695,WR,15,JAX,100,63,2,65,3.1
Jason Snelling,3860,HB,14,ATL,34,30,1,31,3.2
Greg Olsen,3647,TE,16,CHI,105,59,2,61,3.3
Anquan Boldin,1369,WR,15,ARZ,118,85,3,88,3.4
Chris Cooley,1802,TE,7,WAS,40,28,1,29,3.4
Jerricho Cotchery,1829,WR,14,NYJ,93,57,2,59,3.4
Steve Breaston,3758,WR,15,ARZ,79,55,2,57,3.5
Sidney Rice,3660,WR,16,MIN,119,83,3,86,3.5
Tony Gonzalez,237,TE,16,ATL,125,83,3,86,3.5
Alge Crumpler,805,TE,16,TEN,37,27,1,28,3.6
Muhsin Muhammad,173,WR,14,CAR,86,53,2,55,3.6
Miles Austin,3211,WR,16,DAL,120,81,3,84,3.6
Marion Barber III,2326,HB,15,DAL,33,26,1,27,3.7
Joel Dreessen,2415,TE,16,HST,34,25,1,26,3.8
Torry Holt,441,WR,15,JAX,90,51,2,53,3.8
Todd Heap,801,TE,16,BLT,67,50,2,52,3.8
Legedu Naanee,3788,WR,15,SD,27,24,1,25,4.0
Jeremy Shockey,1021,TE,13,NO,65,48,2,50,4.0
Hakeem Nicks,4952,WR,14,NYG,70,47,2,49,4.1
Darren Sproles,2347,HB,16,SD,52,45,2,47,4.3
Bo Scaife,2396,TE,14,TEN,63,45,2,47,4.3
Steve Smith,837,WR,15,CAR,123,65,3,68,4.4
Mewelde Moore,1840,HB,16,PIT,27,21,1,22,4.5
Delanie Walker,3120,TE,16,SF,32,21,1,22,4.5
Wes Welker,2204,WR,14,NE,153,123,6,129,4.7
LaDainian Tomlinson,777,HB,14,SD,24,20,1,21,4.8
Austin Collie,5051,WR,16,IND,85,60,3,63,4.8
Jamaal Charles,4387,HB,15,KC,52,40,2,42,4.8
Sam Aiken,1439,WR,12,NE,42,20,1,21,4.8
Justin Griffith,1433,FB,13,SEA,24,19,1,20,5.0
Matt Forte,4358,HB,16,CHI,66,57,3,60,5.0
Heath Miller,2247,TE,16,PIT,90,74,4,78,5.1
Ray Rice,4369,HB,16,BLT,92,75,4,79,5.1
Bernard Berrian,1799,WR,16,MIN,90,55,3,58,5.2
Steve Smith,3667,WR,16,NYG,151,107,6,113,5.3
Jerheme Urban,1709,WR,9,ARZ,28,18,1,19,5.3
Earl Bennett,4384,WR,16,CHI,85,54,3,57,5.3
Julius Jones,1764,HB,14,SEA,40,35,2,37,5.4
Greg Jennings,2997,WR,16,GB,107,68,4,72,5.6
Mark Clayton,2239,WR,14,BLT,70,34,2,36,5.6
Justin Fargas,1410,HB,12,OAK,19,17,1,18,5.6
Dwayne Jarrett,3661,WR,13,CAR,29,17,1,18,5.6
Kelley Washington,1380,WR,15,BLT,45,34,2,36,5.6
Ladell Betts,1063,HB,10,WAS,20,17,1,18,5.6
Zach Miller,3654,TE,15,OAK,92,66,4,70,5.7
Steven Jackson,1745,HB,15,STR,66,50,3,53,5.7
Michael Bush,3716,HB,14,OAK,17,16,1,17,5.9
Marty Booker,487,WR,16,ATL,29,16,1,17,5.9
Chris Brown,1407,HB,14,HST,19,16,1,17,5.9
T.J. Houshmandzadeh,921,WR,16,SEA,129,79,5,84,6.0
Correll Buckhalter,869,HB,14,DEN,36,31,2,33,6.1
Tony Scheffler,3006,TE,15,DEN,46,31,2,33,6.1
Jason Witten,1384,TE,16,DAL,118,93,6,99,6.1
Kellen Winslow,1727,TE,16,TB,117,77,5,82,6.1
Willis McGahee,1339,HB,14,BLT,20,15,1,16,6.3
Malcom Floyd,2044,WR,16,SD,74,45,3,48,6.3
Percy Harvin,4945,WR,15,MIN,86,60,4,64,6.3
Fred Jackson,3368,HB,16,BUF,56,44,3,47,6.4
Lee Evans,1734,WR,16,BUF,83,44,3,47,6.4
Danny Amendola,4717,WR,14,STR,61,43,3,46,6.5
Roddy White,2244,WR,16,ATL,152,85,6,91,6.6
Devin Hester,3002,WR,13,CHI,89,57,4,61,6.6
Lance Moore,2718,WR,7,NO,18,14,1,15,6.7
Ronnie Brown,2219,HB,9,MIA,18,14,1,15,6.7
David Clowney,3773,WR,13,NYJ,20,14,1,15,6.7
Laurence Maroney,2966,HB,15,NE,15,14,1,15,6.7
Justin Forsett,4547,HB,16,SEA,51,41,3,44,6.8
Jermichael Finley,4405,TE,13,GB,71,55,4,59,6.8
Calvin Johnson,3618,WR,14,DET,132,67,5,72,6.9
John Paul Foschi,2046,TE,15,CIN,36,27,2,29,6.9
Jabar Gaffney,1040,WR,16,DEN,85,54,4,58,6.9
Hines Ward,380,WR,16,PIT,129,95,7,102,6.9
Josh Morgan,4488,WR,16,SF,73,52,4,56,7.1
Laurent Robinson,3691,WR,3,STR,22,13,1,14,7.1
Dante Rosario,3771,TE,14,CAR,45,26,2,28,7.1
Andre Caldwell,4411,WR,16,CIN,80,51,4,55,7.3
Brandon Marshall,3064,WR,15,DEN,149,101,8,109,7.3
Joseph Addai,2975,HB,15,IND,62,51,4,55,7.3
Dallas Clark,1340,TE,16,IND,129,100,8,108,7.4
John Carlson,4352,TE,16,SEA,79,50,4,54,7.4
DeSean Jackson,4363,WR,15,PHI,112,63,5,68,7.4
Julian Edelman,5156,WR,11,NE,50,37,3,40,7.5
Kevin Faulk,470,HB,15,NE,48,37,3,40,7.5
Derrick Mason,271,WR,16,BLT,128,73,6,79,7.6
Ben Patrick,3831,TE,9,ARZ,14,12,1,13,7.7
Gary Russell,4059,FB,9,OAK,13,12,1,13,7.7
Chad Johnson,806,WR,16,CIN,124,72,6,78,7.7
Devin Aromashodu,3178,WR,9,CHI,40,24,2,26,7.7
Evan Moore,4771,TE,5,CLV,20,12,1,13,7.7
Pierre Garcon,4519,WR,14,IND,88,47,4,51,7.8
Andre Johnson,1319,WR,16,HST,152,101,9,110,8.2
Johnny Knox,5064,WR,15,CHI,75,45,4,49,8.2
Antonio Gates,1609,TE,16,SD,109,78,7,85,8.2
Mike Furrey,726,WR,13,CLV,38,22,2,24,8.3
Brian Finneran,423,WR,10,ATL,15,11,1,12,8.3
Ernest Wilford,1841,TE,15,JAX,17,11,1,12,8.3
Jeremy Maclin,4942,WR,15,PHI,86,55,5,60,8.3
Chester Taylor,1182,HB,16,MIN,58,44,4,48,8.3
Davone Bess,4694,WR,16,MIA,106,76,7,83,8.4
Kenny Britt,4953,WR,16,TEN,70,42,4,46,8.7
Brandon Jackson,3679,HB,12,GB,25,21,2,23,8.7
Zach Miller,5104,TE,13,JAX,28,21,2,23,8.7
Brian Hartline,5031,WR,16,MIA,54,31,3,34,8.8
Randy Moss,342,WR,16,NE,136,83,8,91,8.8
Anthony Fasano,2998,TE,14,MIA,51,31,3,34,8.8
Devery Henderson,1771,WR,16,NO,82,51,5,56,8.9
Braylon Edwards,2220,WR,4,CLV,22,10,1,11,9.1
Kevin Smith,4378,HB,13,DET,54,40,4,44,9.1
Darren McFadden,4318,HB,12,OAK,29,20,2,22,9.1
Vonta Leach,2100,FB,16,HST,23,20,2,22,9.1
Thomas Jones,585,HB,16,NYJ,16,10,1,11,9.1
Mike Cox,4716,FB,16,KC,13,10,1,11,9.1
Steve Heiden,481,TE,7,CLV,15,10,1,11,9.1
Le'Ron McClain,3753,FB,16,BLT,25,20,2,22,9.1
Michael Jenkins,1750,WR,15,ATL,87,50,5,55,9.1
Tony Stewart,887,TE,15,OAK,13,10,1,11,9.1
Leonard Pope,3017,TE,12,KC,29,20,2,22,9.1
Santonio Holmes,2970,WR,16,PIT,127,79,8,87,9.2
Mike Wallace,5007,WR,16,PIT,71,39,4,43,9.3
Michael Crabtree,4933,WR,11,SF,82,48,5,53,9.4
Chaz Schilens,4540,WR,8,OAK,49,29,3,32,9.4
Cadillac Williams,2222,HB,16,TB,39,29,3,32,9.4
Benjamin Watson,1753,TE,16,NE,40,29,3,32,9.4
Joey Haynos,4711,TE,16,MIA,33,19,2,21,9.5
Brent Celek,3778,TE,16,PHI,106,76,8,84,9.5
Knowshon Moreno,4935,HB,16,DEN,38,28,3,31,9.7
Patrick Crayton,1932,WR,16,DAL,64,37,4,41,9.8
Kellen Davis,4472,TE,13,CHI,13,9,1,10,10.0
Gijon Robinson,4056,TE,12,IND,14,9,1,10,10.0
Dustin Keller,4344,TE,16,NYJ,78,45,5,50,10.0
Chris Jennings,5480,HB,8,CLV,13,9,1,10,10.0
Marshawn Lynch,3628,HB,13,BUF,32,27,3,30,10.0
Nate Burleson,1386,WR,13,SEA,100,63,7,70,10.0
Josh Reed,1043,WR,14,BUF,44,27,3,30,10.0
Casey Fitzsimmons,1607,TE,9,DET,26,18,2,20,10.0
Brad Cottam,4390,TE,8,KC,15,9,1,10,10.0
Jonathan Stewart,4327,HB,16,CAR,25,18,2,20,10.0
Tim Hightower,4463,HB,16,ARZ,74,63,7,70,10.0
Deion Branch,1072,WR,14,SEA,75,45,5,50,10.0
Reggie Brown,2252,WR,14,PHI,20,9,1,10,10.0
Maurice Morris,1061,HB,14,DET,35,26,3,29,10.3
Braylon Edwards,2220,WR,12,NYJ,70,35,4,39,10.3
Donald Driver,533,WR,16,GB,109,70,8,78,10.3
Laveranues Coles,638,WR,16,CIN,75,43,5,48,10.4
Brandon Gibson,5118,WR,9,STR,64,34,4,38,10.5
Kenneth Darby,3862,HB,15,STR,23,17,2,19,10.5
Shawn Nelson,5045,TE,12,BUF,28,17,2,19,10.5
Antwaan Randle El,1069,WR,16,WAS,66,50,6,56,10.7
Rashard Mendenhall,4337,HB,14,PIT,32,25,3,28,10.7
Ryan Grant,2609,HB,16,GB,30,25,3,28,10.7
Chris Johnson,4338,HB,16,TEN,62,49,6,55,10.9
LeSean McCoy,4976,HB,16,PHI,49,40,5,45,11.1
Visanthe Shiancoe,1406,TE,16,MIN,76,56,7,63,11.1
Billy Bajema,2466,TE,14,STR,10,8,1,9,11.1
Todd Watkins,3163,WR,10,OAK,18,8,1,9,11.1
Marcedes Lewis,2973,TE,15,JAX,49,32,4,36,11.1
Tom Santi,4510,TE,3,IND,11,8,1,9,11.1
Danny Woodhead,4914,HB,6,NYJ,13,8,1,9,11.1
Maurice Stovall,3035,WR,11,TB,43,24,3,27,11.1
Donnie Avery,4347,WR,16,STR,92,47,6,53,11.3
Santana Moss,786,WR,16,WAS,113,70,9,79,11.4
Sammie Stroughter,5157,WR,13,TB,58,31,4,35,11.4
Jerramy Stevens,1035,TE,16,TB,30,15,2,17,11.8
Tashard Choice,4436,HB,16,DAL,21,15,2,17,11.8
Leon Washington,3062,HB,7,NYJ,22,15,2,17,11.8
Jordy Nelson,4350,WR,13,GB,28,22,3,25,12.0
DeAngelo Williams,2972,HB,13,CAR,40,29,4,33,12.1
Will Heller,1623,TE,16,DET,47,29,4,33,12.1
Adrian Peterson,3623,HB,16,MIN,55,43,6,49,12.2
Moran Norris,865,FB,15,SF,9,7,1,8,12.5
Marques Colston,3197,WR,16,NO,102,70,10,80,12.5
Earnest Graham,1613,FB,12,TB,20,14,2,16,12.5
Brad Smith,3048,WR,11,NYJ,12,7,1,8,12.5
Anthony Becht,602,TE,16,ARZ,10,7,1,8,12.5
Mohamed Massaquoi,4973,WR,16,CLV,87,34,5,39,12.8
Dennis Northcutt,605,WR,15,DET,56,34,5,39,12.8
Daniel Graham,1028,TE,16,DEN,34,27,4,31,12.9
Joshua Cribbs,2544,WR,16,CLV,31,20,3,23,13.0
Daniel Fells,3309,TE,14,STR,32,20,3,23,13.0
Nate Washington,2832,WR,16,TEN,89,47,7,54,13.0
Antonio Bryant,1070,WR,13,TB,83,39,6,45,13.3
Sammy Morris,678,HB,12,NE,26,19,3,22,13.6
Brandon Stokley,498,WR,16,DEN,28,19,3,22,13.6
Desmond Clark,529,TE,11,CHI,31,19,3,22,13.6
Devin Thomas,4348,WR,14,WAS,41,25,4,29,13.8
Terrell Owens,188,WR,16,BUF,105,55,9,64,14.1
Vernon Davis,2951,TE,16,SF,116,78,13,91,14.3
Ahmard Hall,3336,FB,16,TEN,16,12,2,14,14.3
Derrick Williams,5005,WR,9,DET,13,6,1,7,14.3
Ruvell Martin,2111,WR,8,STR,11,6,1,7,14.3
Donald Lee,1465,TE,16,GB,51,36,6,42,14.3
Owen Schmitt,4477,FB,13,SEA,9,6,1,7,14.3
Mike Karney,1875,FB,14,STR,7,6,1,7,14.3
Andre' Davis,1054,WR,12,HST,10,6,1,7,14.3
Michael Robinson,3045,HB,10,SF,9,6,1,7,14.3
Mario Manningham,4409,WR,14,NYG,96,57,10,67,14.9
Ricky Williams,440,HB,16,MIA,48,34,6,40,15.0
Early Doucet,4395,WR,9,ARZ,23,17,3,20,15.0
Cedric Benson,2221,HB,13,CIN,21,17,3,20,15.0
Mike Tolbert,4740,FB,14,SD,22,17,3,20,15.0
Chansi Stuckey,3851,WR,4,NYJ,25,11,2,13,15.4
Glen Coffee,4997,HB,11,SF,15,11,2,13,15.4
Lousaka Polite,2152,FB,16,MIA,18,11,2,13,15.4
Jerome Harrison,3090,HB,14,CLV,44,33,6,39,15.4
Jacoby Jones,3689,WR,14,HST,35,27,5,32,15.6
Fred Davis,4362,TE,16,WAS,65,48,9,57,15.8
Isaac Bruce,80,WR,9,SF,44,21,4,25,16.0
Dwayne Bowe,3639,WR,11,KC,83,47,9,56,16.1
Brandon Pettigrew,4943,TE,11,DET,52,31,6,37,16.2
Bryant Johnson,1333,WR,16,DET,83,36,7,43,16.3
Lance Long,4648,WR,7,KC,37,20,4,24,16.7
Michael Gaines,1946,TE,8,CLV,9,5,1,6,16.7
Bobby Engram,177,WR,5,KC,9,5,1,6,16.7
Rashied Davis,2554,WR,11,CHI,7,5,1,6,16.7
Deon Butler,5014,WR,16,SEA,40,15,3,18,16.7
Nate Hughes,4902,WR,7,JAX,12,5,1,6,16.7
Louis Rankin,4590,HB,5,SEA,6,5,1,6,16.7
Mike Hart,4516,HB,5,IND,7,5,1,6,16.7
Darcy Johnson,3377,TE,13,NYG,7,5,1,6,16.7
Korey Hall,3807,FB,10,GB,7,5,1,6,16.7
Michael Turner,1873,HB,10,ATL,7,5,1,6,16.7
Greg Jones II,1776,FB,13,JAX,8,5,1,6,16.7
Lynell Hamilton,4770,HB,5,NO,7,5,1,6,16.7
Jason McKie,1279,FB,16,CHI,10,5,1,6,16.7
Heath Evans,843,FB,6,NO,12,10,2,12,16.7
Jim Kleinsasser,469,TE,16,MIN,15,10,2,12,16.7
Louis Murphy,5048,WR,16,OAK,91,34,7,41,17.1
Roy Williams,1728,WR,15,DAL,84,38,8,46,17.4
Justin Gage,1452,WR,12,TEN,60,28,6,34,17.6
Bobby Wade,1448,WR,12,KC,70,37,8,45,17.8
Randy McMichael,1114,TE,16,STR,56,32,7,39,17.9
Derek Fine,4446,TE,8,BUF,12,9,2,11,18.2
Brandon Jacobs,2327,HB,15,NYG,28,18,4,22,18.2
Ahmad Bradshaw,3866,HB,15,NYG,29,21,5,26,19.2
Marko Mitchell,5167,WR,9,WAS,7,4,1,5,20.0
Hank Baskett,3220,WR,6,IND,10,4,1,5,20.0
Ben Obomanu,3194,WR,7,SEA,5,4,1,5,20.0
Greg Estandia,3597,TE,4,CLV,9,4,1,5,20.0
Jamal Lewis,583,HB,9,CLV,11,8,2,10,20.0
Terrance Copper,2016,WR,6,KC,5,4,1,5,20.0
Kris Wilson,1782,TE,7,SD,5,4,1,5,20.0
Peyton Hillis,4541,FB,9,DEN,6,4,1,5,20.0
Brandon Lloyd,1436,WR,2,DEN,18,8,2,10,20.0
Quan Cosby,5342,WR,5,CIN,6,4,1,5,20.0
Ted Ginn Jr.,3625,WR,16,MIA,73,38,10,48,20.8
Leonard Weaver,2835,FB,16,PHI,21,15,4,19,21.1
James Jones,3694,WR,16,GB,59,32,9,41,22.0
Sam Hurd,3362,WR,10,DAL,12,7,2,9,22.2
Dantrell Savage,4822,HB,5,KC,11,7,2,9,22.2
Sean Ryan,1865,TE,8,KC,23,14,4,18,22.2
Joey Galloway,117,WR,3,NE,20,7,2,9,22.2
Michael Clayton,1736,WR,12,TB,44,16,5,21,23.8
Chansi Stuckey,3851,WR,11,CLV,39,19,6,25,24.0
Johnnie Lee Higgins,3715,WR,14,OAK,40,19,6,25,24.0
Ahman Green,374,HB,7,GB,4,3,1,4,25.0
Alex Smith,2288,TE,16,PHI,7,3,1,4,25.0
Brian Clark,3271,WR,13,TB,17,6,2,8,25.0
Larry Johnson,1343,HB,6,CIN,4,3,1,4,25.0
Kevin Curtis,1389,WR,3,PHI,15,6,2,8,25.0
Mark Bradley,2256,WR,13,KC,49,24,8,32,25.0
Isaiah Stanback,3719,WR,5,NE,7,3,1,4,25.0
Lawrence Vickers,3125,FB,16,CLV,16,8,3,11,27.3
Jonathan Stupar,4601,TE,10,BUF,7,5,2,7,28.6
Luke Lawton,2099,FB,10,OAK,10,7,3,10,30.0
Daniel Coats,3908,TE,16,CIN,29,16,7,23,30.4
Chris Chambers,821,WR,7,SD,26,9,4,13,30.8
Robert Royal,1151,TE,13,CLV,24,11,5,16,31.3
Clifton Smith,4854,HB,4,TB,4,2,1,3,33.3
Dan Kreider,749,FB,13,ARZ,6,4,2,6,33.3
Terrelle Smith,651,FB,5,DET,4,2,1,3,33.3
Fred Taylor,333,HB,6,NE,3,2,1,3,33.3
Jeremi Johnson,1430,FB,16,CIN,12,6,3,9,33.3
Martellus Bennett,4375,TE,14,DAL,28,14,7,21,33.3
David Johnson,5165,FB,11,PIT,3,2,1,3,33.3
Darrius Heyward-Bey,4930,WR,11,OAK,38,9,5,14,35.7
John Owens,1133,TE,16,SEA,6,3,2,5,40.0
Madison Hedgecock,2468,FB,16,NYG,9,4,3,7,42.9
Brad Hoover,740,FB,11,CAR,9,4,3,7,42.9
Jake O'Connell,5161,TE,4,KC,9,2,2,4,50.0
Dan Gronkowski,5179,TE,1,DET,3,1,1,2,50.0
Joe Klopfenstein,2991,TE,1,BUF,2,1,1,2,50.0
Tim Carter,1053,WR,2,STR,5,1,1,2,50.0
Deon Anderson,3811,FB,15,DAL,3,1,1,2,50.0
Tyler Grisham,5230,WR,2,PIT,2,1,1,2,50.0
Kahlil Bell,5243,HB,7,CHI,3,1,1,2,50.0
Limas Sweed,4367,WR,5,PIT,5,1,1,2,50.0
Quinn Johnson,5069,FB,8,GB,4,2,2,4,50.0
BenJarvus Green-Ellis,4599,HB,7,NE,5,2,3,5,60.0
Deshawn Wynn,3844,HB,4,GB,6,2,3,5,60.0
Greg Estandia,3597,TE,2,JAX,2,0,1,1,100.0
Gartrell Johnson,5058,HB,2,NYG,1,0,1,1,100.0
Tony Fiammetta,5052,FB,6,CAR,3,0,2,2,100.0
Lance Long,4648,WR,1,ARZ,1,0,1,1,100.0
Montell Owens,3452,FB,3,JAX,1,0,1,1,100.0
