year,variant,salary_draw_count,nominal_buffer,trials,unique_rosters,actual_points,drafted_only_points,cap_feasible_rate,feasible_trials,mean_cap_overage,median_cap_overage,p90_cap_overage,actual_salary_spend,forecast_salary_spend,normalized_nominal_salary_spend,raw_nominal_salary_spend,near_nominal_cap_within_1_rate,baseline_nominal_violation_rate,forecast_ev,absolute_forecast_error,actual_waiver_starts,actual_price_missing,salary_source_missing,actual_points_feasible,nominal_buffer_dollars
2023,d1_nominal10,1,10,250,250,1699.85223828125,1391.9311220703125,0.26,65,14.2,9.0,36.0,309.064,286.20832043457034,300.6014697265625,263.784,0.112,0.82,1524.342767578125,175.552427734375,61.484,0.816,0.46,1723.567687049279,10.0
2023,d1_nominal15,1,15,250,250,1704.4479975585937,1396.8573598632813,0.228,57,17.02,13.0,43.099999999999994,312.328,287.2034959716797,304.00061352539063,266.748,0.104,0.76,1526.5970424804686,177.893912109375,61.28,0.796,0.452,1728.9466702645286,15.0
2023,d1_nominal25,1,25,250,250,1710.0704755859374,1411.5883913574219,0.12,30,23.872,21.0,48.099999999999994,320.444,289.8419696044922,311.67965002441406,273.444,0.064,0.6,1531.5383159179687,178.53215966796876,60.428,0.708,0.428,1726.7573282877604,25.0
2023,d1_nominal5,1,5,250,250,1698.0915170898438,1377.7296040039062,0.38,95,10.856,5.0,32.0,303.872,283.94683752441404,295.2206409912109,259.092,0.0,0.86,1520.1811362304688,178.2509072265625,62.564,0.784,0.428,1721.9980944181743,5.0
2023,d1_nominalnone,1,none,250,250,1718.3204741210936,1431.0487958984374,0.068,17,39.404,37.5,78.0,336.308,292.27691979980466,327.4368116455078,287.184,0.0,0.0,1540.2699541015625,178.07610205078126,59.072,0.66,0.384,1705.8282255284926,
2023,d5_nominal0,5,0,250,250,1696.2327211914062,1372.9047985839843,0.468,117,8.624,1.5,26.099999999999994,299.808,289.22073657226565,290.58294165039064,255.048,0.144,0.512,1517.7876694335937,178.4450517578125,62.564,0.776,0.48,1711.178468883547,0.0
2023,d5_nominal10,5,10,250,250,1706.11631640625,1393.5056020507814,0.38,95,11.588,7.0,33.0,304.56,291.54586096191406,296.0234072265625,259.792,0.044,0.164,1522.1403774414061,183.97593896484375,61.288,0.796,0.464,1726.7042043585527,10.0
2023,d5_nominal15,5,15,250,250,1706.2441586914063,1391.7817578125,0.376,94,12.764,8.0,35.0,305.968,292.0285408935547,297.2023267822266,260.82,0.024,0.072,1522.5308134765626,183.71334521484374,61.252,0.796,0.472,1718.764253656915,15.0
2023,d5_nominal25,5,25,250,250,1706.6367172851562,1390.403279296875,0.36,90,12.856,8.0,37.0,306.124,292.1590185546875,298.06013989257815,261.568,0.0,0.0,1523.0349506835937,183.6017666015625,61.464,0.788,0.476,1721.7331081814236,25.0
2023,d5_nominal5,5,5,250,250,1702.856240234375,1382.6381591796876,0.444,111,9.98,3.0,29.099999999999994,302.08,290.4305473632813,293.69308898925783,257.76,0.0,0.328,1520.6099614257812,182.24627880859376,62.008,0.768,0.444,1718.2565807995495,5.0
2023,d5_nominalnone,5,none,250,250,1706.23327734375,1389.310478515625,0.36,90,12.856,8.0,37.0,306.124,292.15684045410154,298.11518664550783,261.616,0.0,0.0,1523.0552592773438,183.17801806640625,61.596,0.784,0.476,1721.7331081814236,
2024,d1_nominal0,1,0,250,250,1598.1358442382812,1560.6204775390624,0.288,72,18.492,13.5,45.0,312.984,286.3440247192383,291.534943359375,283.3,0.092,0.796,1625.9287470703125,92.56684619140626,31.728,0.212,0.06,1603.7194519042969,0.0
2024,d1_nominal10,1,10,250,250,1610.6531181640626,1573.8221640625,0.192,48,25.62,24.5,55.0,321.612,290.4815697021484,299.65913830566404,291.184,0.064,0.52,1633.10186328125,95.1767509765625,30.824,0.176,0.056,1596.4999974568684,10.0
2024,d1_nominal15,1,15,250,250,1615.2808798828125,1579.74880078125,0.144,36,27.756,27.0,57.19999999999999,324.3,291.11684753417967,302.75465954589845,294.188,0.044,0.376,1634.642498046875,92.0652119140625,30.708,0.168,0.044,1592.4700080023872,15.0
2024,d1_nominal25,1,25,250,250,1620.5215146484375,1582.883041015625,0.108,27,31.384,28.0,67.1,328.328,291.99784912109374,306.28297399902345,297.612,0.024,0.124,1637.7134140625,91.7120595703125,30.456,0.168,0.048,1629.3607403790509,25.0
2024,d1_nominal5,1,5,250,250,1601.4513637695313,1565.3895258789062,0.224,56,22.06,18.5,50.0,317.724,288.8177541503906,295.83404772949217,287.472,0.052,0.68,1629.7908193359376,93.20394384765625,31.348,0.192,0.06,1614.1028682163783,5.0
2024,d1_nominalnone,1,none,250,250,1622.8829594726562,1587.5520036621094,0.104,26,32.82,31.0,67.1,329.752,292.8276193847656,308.6695333251953,299.928,0.0,0.0,1639.5009169921875,90.64718505859375,30.284,0.16,0.048,1621.3907658503606,
2024,d5_nominal0,5,0,250,250,1599.858240234375,1566.3703178710937,0.252,63,18.78,13.0,48.0,313.712,290.26601953125,291.3494606933594,283.12,0.084,0.384,1625.340654296875,92.638388671875,31.6,0.184,0.052,1604.677455357143,0.0
2024,d5_nominal10,5,10,250,250,1607.7836821289063,1571.6316811523438,0.224,56,21.492,18.0,49.099999999999994,317.288,292.67741735839843,295.3641553955078,287.016,0.008,0.024,1629.3967919921874,94.20577490234375,31.336,0.192,0.06,1594.2246398925781,10.0
2024,d5_nominal15,5,15,250,250,1605.7120009765624,1569.955361328125,0.212,53,21.568,18.5,50.0,317.376,292.8243151855469,295.67329541015624,287.316,0.004,0.0,1629.552048828125,94.0937421875,31.48,0.192,0.06,1589.832072707842,15.0
2024,d5_nominal25,5,25,250,250,1605.7120009765624,1569.955361328125,0.212,53,21.568,18.5,50.0,317.376,292.8243151855469,295.67329541015624,287.316,0.0,0.0,1629.552048828125,94.0937421875,31.48,0.192,0.06,1589.832072707842,25.0
2024,d5_nominal5,5,5,250,250,1601.4395224609375,1566.0844765625,0.208,52,21.62,18.0,48.099999999999994,317.26,292.1035197753906,294.07401232910155,285.764,0.032,0.144,1629.0362368164062,91.70105224609375,31.46,0.184,0.056,1591.3600064791167,5.0
2024,d5_nominalnone,5,none,250,250,1605.7120009765624,1569.955361328125,0.212,53,21.568,18.5,50.0,317.376,292.8243151855469,295.67329541015624,287.316,0.0,0.0,1629.552048828125,94.0937421875,31.48,0.192,0.06,1589.832072707842,
2025,d1_nominal0,1,0,250,250,1602.7446391601563,1482.6131948242187,0.168,42,22.632,19.0,51.0,318.924,287.4035668334961,293.0371364746094,285.916,0.172,0.912,1625.8631083984376,92.50378369140626,37.828,0.264,0.252,1558.9099934895833,0.0
2025,d1_nominal10,1,10,250,250,1606.4087138671875,1491.5388842773436,0.12,30,28.356,27.0,59.0,325.276,290.5642235107422,301.44699145507815,294.112,0.12,0.712,1632.9849658203125,90.6306572265625,36.88,0.26,0.26,1557.8813191731772,10.0
2025,d1_nominal15,1,15,250,250,1605.2888798828126,1481.8312817382812,0.108,27,31.708,31.0,59.099999999999994,328.612,291.5843603515625,305.24353479003906,297.812,0.096,0.544,1636.8512407226563,93.06793115234375,37.084,0.244,0.24,1553.0740695529514,15.0
2025,d1_nominal25,1,25,250,250,1607.37319921875,1491.7116015625,0.068,17,36.708,35.0,63.0,334.2,293.08093395996093,311.05532373046873,303.476,0.068,0.264,1644.2468857421875,93.486716796875,36.148,0.216,0.224,1552.0917466107537,25.0
2025,d1_nominal5,1,5,250,250,1605.5249565429688,1490.8644780273437,0.124,31,26.036,24.0,54.0,322.784,289.3755313720703,297.071732421875,289.848,0.124,0.824,1630.7427939453125,95.19807177734376,36.792,0.228,0.224,1545.1148209110384,5.0
2025,d1_nominalnone,1,none,250,250,1609.32255859375,1494.8959990234375,0.06,15,40.448,39.0,68.1,338.0,293.4721912841797,314.6959018554688,307.024,0.0,0.0,1648.3779501953125,96.013908203125,35.844,0.212,0.212,1549.9066569010417,
2025,d5_nominal0,5,0,250,250,1598.2209536132812,1482.712080078125,0.192,48,22.348,19.5,51.099999999999994,318.304,291.8861859130859,292.13827966308594,285.04,0.128,0.532,1626.2452666015624,85.20504443359376,37.588,0.26,0.244,1552.3483276367188,0.0
2025,d5_nominal10,5,10,250,250,1599.8895966796874,1486.5195249023438,0.156,39,25.308,23.0,52.099999999999994,322.084,293.8437796630859,296.97733264160155,289.756,0.04,0.08,1631.457359375,86.9334169921875,37.368,0.252,0.244,1560.652822641226,10.0
2025,d5_nominal15,5,15,250,250,1599.055275390625,1482.88144140625,0.156,39,26.228,24.0,54.0,322.996,293.9927805175781,297.70791040039063,290.468,0.008,0.004,1633.2695151367188,86.52726708984375,37.344,0.228,0.22,1554.6030742938701,15.0
2025,d5_nominal25,5,25,250,250,1598.7292758789063,1482.8190415039062,0.156,39,26.368,24.0,54.0,323.136,293.9028781738281,297.6791796875,290.44,0.0,0.0,1633.188126953125,86.83150244140624,37.412,0.228,0.22,1554.6030742938701,25.0
2025,d5_nominal5,5,5,250,250,1599.9859965820312,1480.1343227539062,0.168,42,24.776,23.0,52.19999999999999,321.144,292.93442175292967,295.09753076171876,287.924,0.06,0.256,1629.2357641601564,90.536279296875,37.664,0.26,0.252,1563.5542893182665,5.0
2025,d5_nominalnone,5,none,250,250,1598.7292758789063,1482.8190415039062,0.156,39,26.368,24.0,54.0,323.136,293.9028781738281,297.6791796875,290.44,0.0,0.0,1633.188126953125,86.83150244140624,37.412,0.228,0.22,1554.6030742938701,
