player,player_key,pos,raw_nominal_salary,salary_source_matched,year,normalized_nominal_salary,actual_salary,actual_salary_matched
George Kittle,georgekittle,TE,16.0,True,2022,20.448374,17.0,True
George Pickens,georgepickens,WR,2.0,False,2022,2.2965581,3.0,True
Gerald Everett,geraldeverett,TE,2.0,False,2022,2.2965581,1.0,False
Greg Dulcich,gregdulcich,TE,2.0,False,2022,2.2965581,1.0,False
Gus Edwards,gusedwards,RB,2.0,False,2022,2.2965581,1.0,False
Harrison Bryant,harrisonbryant,TE,2.0,False,2022,2.2965581,1.0,False
Hassan Haskins,hassanhaskins,RB,2.0,False,2022,2.2965581,1.0,False
Hayden Hurst,haydenhurst,TE,2.0,False,2022,2.2965581,1.0,False
Hunter Henry,hunterhenry,TE,1.0,True,2022,1.0,1.0,True
Hunter Renfrow,hunterrenfrow,WR,10.0,True,2022,12.669024,16.0,True
Isaiah Likely,isaiahlikely,TE,2.0,False,2022,2.2965581,1.0,False
Isaiah Mckenzie,isaiahmckenzie,WR,2.0,False,2022,2.2965581,1.0,True
Isaiah Spiller,isaiahspiller,RB,2.0,False,2022,2.2965581,1.0,False
Isiah Pacheco,isiahpacheco,RB,2.0,False,2022,2.2965581,1.0,False
Jacoby Brissett,jacobybrissett,QB,2.0,False,2022,2.2965581,1.0,False
Jakobi Meyers,jakobimeyers,WR,1.0,True,2022,1.0,3.0,True
Jalen Guyton,jalenguyton,WR,2.0,False,2022,2.2965581,1.0,False
Jalen Hurts,jalenhurts,QB,12.0,True,2022,15.26214,12.0,True
Jalen Tolbert,jalentolbert,WR,2.0,False,2022,2.2965581,1.0,True
Jamaal Williams,jamaalwilliams,RB,2.0,False,2022,2.2965581,1.0,True
James Cook,jamescook,RB,11.0,True,2022,13.965582,14.0,True
Jameson Williams,jamesonwilliams,WR,1.0,True,2022,1.0,1.0,True
James Proche,jamesproche,WR,2.0,False,2022,2.2965581,1.0,False
James Robinson,jamesrobinson,RB,3.0,True,2022,3.5931165,6.0,True
James Washington,jameswashington,WR,2.0,False,2022,2.2965581,1.0,False
Jamison Crowder,jamisoncrowder,WR,2.0,False,2022,2.2965581,1.0,False
Jared Goff,jaredgoff,QB,2.0,False,2022,2.2965581,1.0,False
Jarvis Landry,jarvislandry,WR,1.0,True,2022,1.0,1.0,False
Jauan Jennings,jauanjennings,WR,2.0,False,2022,2.2965581,1.0,False
Jaylen Waddle,jaylenwaddle,WR,41.0,True,2022,52.862328,38.0,True
Jelani Woods,jelaniwoods,TE,2.0,False,2022,2.2965581,1.0,False
Jeremy Ruckert,jeremyruckert,TE,2.0,False,2022,2.2965581,1.0,False
Jerick Mckinnon,jerickmckinnon,RB,2.0,False,2022,2.2965581,1.0,False
Jerome Ford,jeromeford,RB,2.0,False,2022,2.2965581,1.0,False
Jerry Jeudy,jerryjeudy,WR,19.0,True,2022,24.338049,29.0,True
Jimmy Garoppolo,jimmygaroppolo,QB,2.0,False,2022,2.2965581,1.0,False
Joe Burrow,joeburrow,QB,16.0,True,2022,20.448374,12.0,True
Joe Mixon,joemixon,RB,74.0,True,2022,95.64875,96.0,True
John Metchie,johnmetchie,WR,2.0,False,2022,2.2965581,1.0,False
Jonnu Smith,jonnusmith,TE,2.0,False,2022,2.2965581,1.0,False
Josh Allen,joshallen,QB,43.0,True,2022,55.455444,41.0,True
Josh Jacobs,joshjacobs,RB,33.0,True,2022,42.489864,37.0,True
Joshua Palmer,joshuapalmer,WR,2.0,False,2022,2.2965581,1.0,False
Josiah Deguara,josiahdeguara,TE,2.0,False,2022,2.2965581,1.0,False
Juju Smith Schuster,jujusmithschuster,WR,11.0,True,2022,13.965582,22.0,True
Justin Fields,justinfields,QB,2.0,False,2022,2.2965581,1.0,False
Justin Herbert,justinherbert,QB,28.0,True,2022,36.007072,29.0,True
Kadarius Toney,kadariustoney,WR,3.0,True,2022,3.5931165,5.0,True
Kareem Hunt,kareemhunt,RB,11.0,True,2022,13.965582,27.0,True
Keaontay Ingram,keaontayingram,RB,2.0,False,2022,2.2965581,1.0,False
Keenan Allen,keenanallen,WR,51.0,True,2022,65.82791,53.0,True
Kendrick Bourne,kendrickbourne,WR,2.0,False,2022,2.2965581,1.0,False
Kenneth Gainwell,kennethgainwell,RB,2.0,False,2022,2.2965581,1.0,True
Kenneth Walker,kennethwalker,RB,2.0,False,2022,2.2965581,17.0,True
Kenny Golladay,kennygolladay,WR,1.0,True,2022,1.0,1.0,True
Kenny Pickett,kennypickett,QB,2.0,False,2022,2.2965581,1.0,False
Kenyan Drake,kenyandrake,RB,2.0,False,2022,2.2965581,1.0,False
Keshawn Vaughn,keshawnvaughn,RB,2.0,False,2022,2.2965581,1.0,False
Khalil Herbert,khalilherbert,RB,2.0,False,2022,2.2965581,1.0,False
Khalil Shakir,khalilshakir,WR,2.0,False,2022,2.2965581,1.0,False
Kirk Cousins,kirkcousins,QB,5.0,True,2022,6.186233,2.0,True
Kj Osborn,kjosborn,WR,2.0,False,2022,2.2965581,1.0,False
Kyle Philips,kylephilips,WR,2.0,False,2022,2.2965581,1.0,False
Kyle Pitts,kylepitts,TE,28.0,True,2022,36.007072,38.0,True
Kyler Murray,kylermurray,QB,16.0,True,2022,20.448374,12.0,True
Kyren Williams,kyrenwilliams,RB,2.0,False,2022,2.2965581,1.0,False
Lamar Jackson,lamarjackson,QB,20.0,True,2022,25.634605,22.0,True
Laviska Shenault,laviskashenault,WR,2.0,False,2022,2.2965581,1.0,False
Mac Jones,macjones,QB,2.0,False,2022,2.2965581,1.0,False
Malik Willis,malikwillis,QB,2.0,False,2022,2.2965581,1.0,False
Mark Andrews,markandrews,TE,46.0,True,2022,59.34512,50.0,True
Mark Ingram,markingram,RB,2.0,False,2022,2.2965581,1.0,False
Marquez Callaway,marquezcallaway,WR,2.0,False,2022,2.2965581,1.0,False
Marquez Valdes Scantling,marquezvaldesscantling,WR,1.0,True,2022,1.0,7.0,True
Marquise Brown,marquisebrown,WR,27.0,True,2022,34.710514,20.0,True
Marvin Jones,marvinjones,WR,1.0,True,2022,1.0,2.0,True
Matt Breida,mattbreida,RB,2.0,False,2022,2.2965581,1.0,False
Matt Corral,mattcorral,QB,2.0,False,2022,2.2965581,1.0,False
Matthew Stafford,matthewstafford,QB,7.0,True,2022,8.779349,1.0,True
Matt Ryan,mattryan,QB,2.0,False,2022,2.2965581,1.0,False
Mecole Hardman,mecolehardman,WR,1.0,True,2022,1.0,2.0,True
Melvin Gordon,melvingordon,RB,5.0,True,2022,6.186233,22.0,True
Michael Carter,michaelcarter,RB,3.0,True,2022,3.5931165,7.0,True
Michael Gallup,michaelgallup,WR,2.0,False,2022,2.2965581,3.0,True
Michael Pittman,michaelpittman,WR,36.0,True,2022,46.37954,52.0,True
Mike Davis,mikedavis,RB,2.0,False,2022,2.2965581,2.0,True
Mike Evans,mikeevans,WR,52.0,True,2022,67.124466,57.0,True
Mike Gesicki,mikegesicki,TE,1.0,True,2022,1.0,1.0,False
Mike Williams,mikewilliams,WR,28.0,True,2022,36.007072,37.0,True
Miles Sanders,milessanders,RB,16.0,True,2022,20.448374,20.0,True
Mo Alie Cox,moaliecox,TE,2.0,False,2022,2.2965581,1.0,False
Myles Gaskin,mylesgaskin,RB,2.0,False,2022,2.2965581,1.0,False
Najee Harris,najeeharris,RB,85.0,True,2022,109.91089,92.0,True
Nelson Agholor,nelsonagholor,WR,2.0,False,2022,2.2965581,1.0,False
Nick Chubb,nickchubb,RB,49.0,True,2022,63.234795,81.0,True
Nick Westbrook Ikhine,nickwestbrookikhine,WR,2.0,False,2022,2.2965581,1.0,False
Nico Collins,nicocollins,WR,2.0,False,2022,2.2965581,1.0,False
Noah Fant,noahfant,TE,1.0,True,2022,1.0,1.0,False
Nyheim Hines,nyheimhines,RB,2.0,False,2022,2.2965581,1.0,True
Oj Howard,ojhoward,TE,2.0,False,2022,2.2965581,1.0,False
Olamide Zaccheaus,olamidezaccheaus,WR,2.0,False,2022,2.2965581,1.0,False
Pat Freiermuth,patfreiermuth,TE,1.0,True,2022,1.0,4.0,True
Patrick Mahomes,patrickmahomes,QB,36.0,True,2022,46.37954,29.0,True
Phillip Lindsay,philliplindsay,RB,2.0,False,2022,2.2965581,1.0,False
Pierre Strong,pierrestrong,RB,2.0,False,2022,2.2965581,1.0,False
Quez Watkins,quezwatkins,WR,2.0,False,2022,2.2965581,1.0,False
Rachaad White,rachaadwhite,RB,2.0,False,2022,2.2965581,1.0,False
Randall Cobb,randallcobb,WR,2.0,False,2022,2.2965581,1.0,False
Rashaad Penny,rashaadpenny,RB,8.0,True,2022,10.075908,27.0,True
Rashod Bateman,rashodbateman,WR,11.0,True,2022,13.965582,21.0,True
Rex Burkhead,rexburkhead,RB,2.0,False,2022,2.2965581,1.0,False
Rhamondre Stevenson,rhamondrestevenson,RB,7.0,True,2022,8.779349,25.0,True
Ricky Seals Jones,rickysealsjones,TE,2.0,False,2022,2.2965581,1.0,False
Robert Woods,robertwoods,WR,3.0,True,2022,3.5931165,2.0,True
Romeo Doubs,romeodoubs,WR,2.0,False,2022,2.2965581,1.0,True
Ronald Jones,ronaldjones,RB,2.0,True,2022,2.2965581,1.0,False
Rondale Moore,rondalemoore,WR,2.0,False,2022,2.2965581,1.0,True
Russell Gage,russellgage,WR,5.0,True,2022,6.186233,1.0,True
Russell Wilson,russellwilson,QB,12.0,True,2022,15.26214,3.0,True
Ryan Tannehill,ryantannehill,QB,2.0,False,2022,2.2965581,1.0,False
Samaje Perine,samajeperine,RB,2.0,False,2022,2.2965581,1.0,False
Sam Darnold,samdarnold,QB,2.0,False,2022,2.2965581,1.0,False
Sam Howell,samhowell,QB,2.0,False,2022,2.2965581,1.0,False
Sammy Watkins,sammywatkins,WR,2.0,False,2022,2.2965581,1.0,False
Skyy Moore,skyymoore,WR,1.0,True,2022,1.0,4.0,True
Snoop Conner,snoopconner,RB,2.0,False,2022,2.2965581,1.0,False
Sony Michel,sonymichel,RB,2.0,False,2022,2.2965581,1.0,False
Sterling Shepard,sterlingshepard,WR,2.0,False,2022,2.2965581,1.0,False
Taysom Hill,taysomhill,TE,2.0,False,2022,2.2965581,1.0,False
Tee Higgins,teehiggins,WR,50.0,True,2022,64.53136,49.0,True
Terrace Marshall,terracemarshall,WR,2.0,False,2022,2.2965581,1.0,False
Tim Patrick,timpatrick,WR,2.0,False,2022,2.2965581,1.0,False
Tj Hockenson,tjhockenson,TE,7.0,True,2022,8.779349,5.0,True
Tom Brady,tombrady,QB,9.0,True,2022,11.372466,7.0,True
Tommy Tremble,tommytremble,TE,2.0,False,2022,2.2965581,1.0,False
Tony Pollard,tonypollard,RB,8.0,True,2022,10.075908,26.0,True
Travis Etienne,travisetienne,RB,32.0,True,2022,41.193306,56.0,True
Travis Kelce,traviskelce,TE,45.0,True,2022,58.04856,55.0,True
Trequan Smith,trequansmith,WR,2.0,False,2022,2.2965581,1.0,False
Trevor Lawrence,trevorlawrence,QB,4.0,True,2022,4.8896747,1.0,False
Treylon Burks,treylonburks,WR,7.0,True,2022,8.779349,5.0,True
Trey Mcbride,treymcbride,TE,2.0,False,2022,2.2965581,1.0,False
Trey Sermon,treysermon,RB,2.0,False,2022,2.2965581,1.0,False
Tua Tagovailoa,tuatagovailoa,QB,5.0,True,2022,6.186233,1.0,False
Tyler Allgeier,tylerallgeier,RB,2.0,False,2022,2.2965581,1.0,False
Tyler Badie,tylerbadie,RB,2.0,False,2022,2.2965581,1.0,False
Tyler Boyd,tylerboyd,WR,1.0,True,2022,1.0,4.0,True
Tyler Conklin,tylerconklin,TE,2.0,False,2022,2.2965581,1.0,False
Tyler Higbee,tylerhigbee,TE,1.0,True,2022,1.0,1.0,False
Tyler Lockett,tylerlockett,WR,14.0,True,2022,17.855257,9.0,True
Tyquan Thornton,tyquanthornton,WR,2.0,False,2022,2.2965581,1.0,False
Tyreek Hill,tyreekhill,WR,61.0,True,2022,78.793495,58.0,True
Tyrion Davis Price,tyriondavisprice,RB,2.0,False,2022,2.2965581,1.0,True
Van Jefferson,vanjefferson,WR,2.0,False,2022,2.2965581,1.0,True
Velus Jones,velusjones,WR,2.0,False,2022,2.2965581,1.0,False
Wandale Robinson,wandalerobinson,WR,2.0,False,2022,2.2965581,1.0,False
Zach Ertz,zachertz,TE,2.0,True,2022,2.2965581,3.0,True
Zach Wilson,zachwilson,QB,2.0,False,2022,2.2965581,1.0,False
Zack Moss,zackmoss,RB,2.0,False,2022,2.2965581,1.0,False
Zamir White,zamirwhite,RB,2.0,False,2022,2.2965581,1.0,False
Zay Jones,zayjones,WR,2.0,False,2022,2.2965581,1.0,False
Aaron Jones,aaronjones,RB,46.0,True,2023,52.606426,65.0,True
Aaron Rodgers,aaronrodgers,QB,1.0,True,2023,1.0,4.0,True
Adam Thielen,adamthielen,WR,1.0,True,2023,1.0,1.0,True
Adam Trautman,adamtrautman,TE,2.0,False,2023,2.1468096,1.0,False
Aidan Oconnell,aidanoconnell,QB,2.0,False,2023,2.1468096,1.0,False
Aj Dillon,ajdillon,RB,10.0,True,2023,11.321285,11.0,True
Alec Pierce,alecpierce,WR,1.0,True,2023,1.0,1.0,False
Alexander Mattison,alexandermattison,RB,27.0,True,2023,30.817045,40.0,True
Allen Lazard,allenlazard,WR,1.0,True,2023,1.0,1.0,True
Allen Robinson,allenrobinson,WR,2.0,False,2023,2.1468096,1.0,False
Alvin Kamara,alvinkamara,RB,27.0,True,2023,30.817045,27.0,True
Andrei Iosivas,andreiiosivas,WR,2.0,False,2023,2.1468096,1.0,False
Andy Dalton,andydalton,QB,2.0,False,2023,2.1468096,1.0,False
Anthony Richardson,anthonyrichardson,QB,2.0,False,2023,2.1468096,5.0,True
Antoine Green,antoinegreen,WR,2.0,False,2023,2.1468096,1.0,False
Antonio Gibson,antoniogibson,RB,8.0,True,2023,9.027666,7.0,True
At Perry,atperry,WR,2.0,False,2023,2.1468096,1.0,False
Austin Ekeler,austinekeler,RB,98.0,True,2023,112.24052,99.0,True
Austin Hooper,austinhooper,TE,2.0,False,2023,2.1468096,1.0,False
Baker Mayfield,bakermayfield,QB,2.0,False,2023,2.1468096,1.0,False
Bijan Robinson,bijanrobinson,RB,91.0,True,2023,104.21285,100.0,True
Brandin Cooks,brandincooks,WR,8.0,True,2023,9.027666,11.0,True
Brandon Aiyuk,brandonaiyuk,WR,15.0,True,2023,17.055332,14.0,True
Breece Hall,breecehall,RB,35.0,True,2023,39.99152,34.0,True
Brenton Strange,brentonstrange,TE,2.0,False,2023,2.1468096,1.0,False
Brian Robinson,brianrobinson,RB,11.0,True,2023,12.468095,12.0,True
Brock Purdy,brockpurdy,QB,2.0,False,2023,2.1468096,1.0,False
Bryce Ford Wheaton,brycefordwheaton,WR,2.0,False,2023,2.1468096,1.0,False
Bryce Young,bryceyoung,QB,2.0,False,2023,2.1468096,1.0,False
Cade Otton,cadeotton,TE,2.0,False,2023,2.1468096,1.0,False
Calvin Ridley,calvinridley,WR,39.0,True,2023,44.57876,41.0,True
Cam Akers,camakers,RB,24.0,True,2023,27.376617,27.0,True
Cameron Latu,cameronlatu,TE,2.0,False,2023,2.1468096,1.0,False
Cedric Tillman,cedrictillman,WR,2.0,False,2023,2.1468096,1.0,False
Charlie Jones,charliejones,WR,2.0,False,2023,2.1468096,1.0,False
Chase Brown,chasebrown,RB,2.0,False,2023,2.1468096,1.0,False
Chase Claypool,chaseclaypool,WR,1.0,True,2023,1.0,1.0,False
Chase Edmonds,chaseedmonds,RB,2.0,False,2023,2.1468096,1.0,False
Chigoziem Okonkwo,chigoziemokonkwo,TE,1.0,True,2023,1.0,1.0,False
Chris Godwin,chrisgodwin,WR,25.0,True,2023,28.523428,20.0,True
Chris Olave,chrisolave,WR,51.0,True,2023,58.340473,65.0,True
Chris Rodriguez,chrisrodriguez,RB,2.0,False,2023,2.1468096,1.0,False
Christian Kirk,christiankirk,WR,13.0,True,2023,14.761714,15.0,True
Christian Mccaffrey,christianmccaffrey,RB,99.0,True,2023,113.38733,105.0,True
Christian Watson,christianwatson,WR,29.0,True,2023,33.110664,28.0,True
Chuba Hubbard,chubahubbard,RB,2.0,False,2023,2.1468096,1.0,False
Cj Stroud,cjstroud,QB,2.0,False,2023,2.1468096,1.0,False
Cj Uzomah,cjuzomah,TE,2.0,False,2023,2.1468096,1.0,False
Clayton Tune,claytontune,QB,2.0,False,2023,2.1468096,1.0,False
Clyde Edwards Helaire,clydeedwardshelaire,RB,1.0,True,2023,1.0,1.0,False
Cole Kmet,colekmet,TE,1.0,True,2023,1.0,1.0,True
Cooper Rush,cooperrush,QB,2.0,False,2023,2.1468096,1.0,False
Cordarrelle Patterson,cordarrellepatterson,RB,1.0,True,2023,1.0,1.0,False
Corey Davis,coreydavis,WR,2.0,False,2023,2.1468096,1.0,False
Courtland Sutton,courtlandsutton,WR,8.0,True,2023,9.027666,9.0,True
Curtis Samuel,curtissamuel,WR,1.0,True,2023,1.0,1.0,True
Dak Prescott,dakprescott,QB,2.0,True,2023,2.1468096,6.0,True
Dallas Goedert,dallasgoedert,TE,8.0,True,2023,9.027666,6.0,True
Dalton Kincaid,daltonkincaid,TE,2.0,False,2023,2.1468096,5.0,True
Dalton Schultz,daltonschultz,TE,1.0,True,2023,1.0,1.0,True
Dalvin Cook,dalvincook,RB,20.0,True,2023,22.78938,22.0,True
Dameon Pierce,dameonpierce,RB,32.0,True,2023,36.551094,31.0,True
Damien Harris,damienharris,RB,2.0,True,2023,2.1468096,1.0,True
Dandre Swift,dandreswift,RB,16.0,True,2023,18.202143,22.0,True
Daniel Bellinger,danielbellinger,TE,2.0,False,2023,2.1468096,1.0,False
Daniel Jones,danieljones,QB,1.0,True,2023,1.0,1.0,True
Darius Slayton,dariusslayton,WR,2.0,False,2023,2.1468096,1.0,False
Darnell Mooney,darnellmooney,WR,1.0,True,2023,1.0,2.0,True
Darnell Washington,darnellwashington,TE,2.0,False,2023,2.1468096,1.0,False
Darren Waller,darrenwaller,TE,12.0,True,2023,13.614904,26.0,True
Davante Adams,davanteadams,WR,73.0,True,2023,83.57028,95.0,True
David Bell,davidbell,WR,2.0,False,2023,2.1468096,1.0,False
David Montgomery,davidmontgomery,RB,18.0,True,2023,20.49576,16.0,True
David Njoku,davidnjoku,TE,1.0,True,2023,1.0,6.0,True
Davis Mills,davismills,QB,2.0,False,2023,2.1468096,1.0,False
Dawson Knox,dawsonknox,TE,2.0,False,2023,2.1468096,1.0,False
Deandre Hopkins,deandrehopkins,WR,29.0,True,2023,33.110664,41.0,True
Deebo Samuel,deebosamuel,WR,38.0,True,2023,43.43195,44.0,True
Demario Douglas,demariodouglas,WR,2.0,False,2023,2.1468096,1.0,False
Deneric Prince,denericprince,RB,2.0,False,2023,2.1468096,1.0,False
Deon Jackson,deonjackson,RB,2.0,False,2023,2.1468096,1.0,False
Derek Carr,derekcarr,QB,2.0,False,2023,2.1468096,1.0,False
Derius Davis,deriusdavis,WR,2.0,False,2023,2.1468096,1.0,False
Derrick Henry,derrickhenry,RB,79.0,True,2023,90.45114,91.0,True
Deshaun Watson,deshaunwatson,QB,4.0,True,2023,4.4404283,2.0,True
Deuce Vaughn,deucevaughn,RB,2.0,False,2023,2.1468096,1.0,True
Devante Parker,devanteparker,WR,1.0,True,2023,1.0,1.0,True
Devin Duvernay,devinduvernay,WR,2.0,False,2023,2.1468096,1.0,False
Devin Singletary,devinsingletary,RB,1.0,True,2023,1.0,1.0,True
Devon Achane,devonachane,RB,9.0,True,2023,10.174476,2.0,True
Dewayne Mcbride,dewaynemcbride,RB,2.0,False,2023,2.1468096,1.0,False
Diontae Johnson,diontaejohnson,WR,23.0,True,2023,26.229809,24.0,True
Dj Chark,djchark,WR,1.0,True,2023,1.0,2.0,True
Dj Moore,djmoore,WR,20.0,True,2023,22.78938,28.0,True
Dk Metcalf,dkmetcalf,WR,51.0,True,2023,58.340473,52.0,True
Donovan Peoples Jones,donovanpeoplesjones,WR,2.0,False,2023,2.1468096,1.0,False
Donta Foreman,dontaforeman,RB,1.0,True,2023,1.0,1.0,False
Dontayvion Wicks,dontayvionwicks,WR,2.0,False,2023,2.1468096,1.0,False
Dorian Thompson Robinson,dorianthompsonrobinson,QB,2.0,False,2023,2.1468096,1.0,False
Drake London,drakelondon,WR,15.0,True,2023,17.055332,24.0,True
Durham Smythe,durhamsmythe,TE,2.0,False,2023,2.1468096,1.0,False
