player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
C.J. Anderson,8101,HB,2,DEN,7,38,0,0,0.0
Antonio Brown,5718,WR,7,PIT,7,4,0,0,0.0
Mike Goodson,5034,HB,2,NYJ,7,61,2,44,72.1
Justin Forsett,4547,HB,5,JAX,6,31,0,0,0.0
Kenjon Barner,7963,HB,2,CAR,6,7,0,0,0.0
Mike Gillislee,7946,HB,1,MIA,6,21,0,0,0.0
Charlie Whitehurst,3026,QB,2,SD,6,-5,0,0,0.0
Marcus Thigpen,5488,HB,3,MIA,6,18,0,0,0.0
LaRod Stephens-Howling,5164,HB,1,PIT,6,19,0,0,0.0
Josh Johnson,4474,QB,2,CIN,6,8,0,0,0.0
Colt McCoy,5609,QB,2,SF,6,-6,0,0,0.0
Matt Flynn,4523,QB,4,GB,6,-5,0,0,0.0
MarQueis Gray,8286,TE,5,CLV,6,43,1,18,41.9
Jacoby Ford,5632,WR,5,OAK,5,15,0,0,0.0
Dan Herron,7179,HB,2,IND,5,33,1,22,66.7
Taiwan Jones,6277,CB,3,OAK,5,23,1,19,82.6
Derek Anderson,2430,QB,3,CAR,5,0,0,0,
Brandon Weeden,7028,QB,3,CLV,5,2,0,0,0.0
Josh Gordon,7618,WR,5,CLV,5,88,3,78,88.6
Josh McCown,1085,QB,4,CHI,5,-6,0,0,0.0
Antone Smith,5440,HB,4,ATL,5,145,3,126,86.9
Tyrod Taylor,6332,QB,2,BLT,5,25,2,35,140.0
James Develin,6142,FB,3,NE,4,10,0,0,0.0
T.J. Graham,7071,WR,4,BUF,4,14,0,0,0.0
Sheldon Richardson,7794,DI,2,NYJ,4,4,0,0,0.0
Shaun Draughn,6440,HB,1,BLT,4,2,0,0,0.0
Jeremy Kerley,6305,WR,4,NYJ,4,11,0,0,0.0
Ray Graham,8380,HB,1,HST,4,8,0,0,0.0
Randall Cobb,6216,WR,2,GB,4,78,1,67,85.9
Tarvaris Jackson,3009,QB,2,SEA,4,1,0,0,0.0
Ted Ginn Jr.,3625,WR,4,CAR,4,29,0,0,0.0
Bernard Scott,5133,HB,2,BLT,4,14,0,0,0.0
Brian Hoyer,5277,QB,2,CLV,4,-3,0,0,0.0
Patrick Peterson,6157,CB,4,ARZ,4,21,0,0,0.0
Armond Smith,6824,HB,2,CAR,4,5,0,0,0.0
Mohamed Sanu,7084,WR,2,CIN,4,16,0,0,0.0
Santana Moss,786,WR,3,WAS,3,25,1,18,72.0
Luke McCown,1827,QB,2,NO,3,-4,0,0,0.0
Golden Tate,5585,WR,2,SEA,3,31,1,20,64.5
Darrius Heyward-Bey,4930,WR,3,IND,3,26,1,30,115.4
Chris Givens,7096,WR,3,STR,3,8,1,16,200.0
Josh Freeman,4940,QB,2,TB,3,-5,0,0,0.0
Aldrick Robinson,6330,WR,3,WAS,3,-4,0,0,0.0
DeSean Jackson,4363,WR,2,PHI,3,2,0,0,0.0
Jamize Olawale,7572,FB,2,OAK,3,6,0,0,0.0
Spencer Ware,7975,FB,1,SEA,3,10,0,0,0.0
Kenny Stills,7926,WR,3,NO,3,10,0,0,0.0
Mike Wallace,5007,WR,3,MIA,3,33,0,0,0.0
Marquise Goodwin,7859,WR,3,BUF,3,13,1,17,130.8
Eddie Royal,4356,WR,2,SD,3,21,1,15,71.4
Cierre Wood,8343,HB,2,HST,3,9,0,0,0.0
Curtis Painter,5125,QB,1,NYG,3,-2,0,0,0.0
Matt Barkley,7880,QB,1,PHI,2,-2,0,0,0.0
Matt Hasselbeck,408,QB,2,IND,2,-2,0,0,0.0
Julian Edelman,5156,WR,2,NE,2,11,0,0,0.0
Matt Flynn,4523,QB,1,OAK,2,2,0,0,0.0
Brandon LaFell,5602,WR,2,CAR,2,15,0,0,0.0
Donnie Avery,4347,WR,2,KC,2,6,0,0,0.0
Pierre Garcon,4519,WR,2,WAS,2,19,0,0,0.0
Josh Morgan,4488,WR,2,WAS,2,13,0,0,0.0
Skye Dawson,8453,WR,2,TB,2,15,0,0,0.0
Kyle Williams,5729,WR,2,SF,2,23,0,0,0.0
Jerrel Jernigan,6235,WR,1,NYG,2,57,1,49,86.0
Jacoby Jones,3689,WR,2,BLT,2,0,0,0,
Evan Royster,6329,HB,1,WAS,2,0,0,0,
Robert Meachem,3643,WR,2,NO,2,-1,0,0,0.0
Eric Weddle,3653,S,2,SD,2,4,0,0,0.0
Andrew Hawkins,6125,WR,2,CIN,2,3,0,0,0.0
Brad Smith,3048,WR,2,PHI,2,2,0,0,0.0
A.J. Jenkins,7034,WR,2,KC,2,6,0,0,0.0
Blaine Gabbert,6162,QB,1,JAX,2,3,0,0,0.0
Brock Osweiler,7059,QB,2,DEN,2,-2,0,0,0.0
Greg Jones II,1776,FB,1,HST,2,2,0,0,0.0
T.Y. Hilton,7092,WR,1,IND,2,6,0,0,0.0
Kirk Cousins,7102,QB,2,WAS,2,5,0,0,0.0
Mikel Leshoure,6209,HB,1,DET,2,9,0,0,0.0
Nate Burleson,1386,WR,2,DET,2,-8,0,0,0.0
Larry Fitzgerald,1724,WR,2,ARZ,2,8,0,0,0.0
Anthony Sherman,6288,FB,2,KC,2,3,0,0,0.0
Saalim Hakim,7334,WR,2,NYJ,2,-3,0,0,0.0
Rod Streater,7416,WR,2,OAK,2,17,0,0,0.0
Jeremy Stewart,7534,HB,1,OAK,2,2,0,0,0.0
Anquan Boldin,1369,WR,2,SF,2,11,0,0,0.0
Terrance Williams,7855,WR,2,DAL,2,7,0,0,0.0
Stedman Bailey,7873,WR,2,STR,2,33,1,27,81.8
Shaun Hill,1255,QB,1,DET,2,-2,0,0,0.0
Ace Sanders,7883,WR,2,JAX,2,4,0,0,0.0
Sam Martin,7947,P,2,DET,2,-6,0,0,0.0
Robert Woods,7822,WR,2,BUF,2,16,0,0,0.0
Jeremy Ross,6476,WR,2,DET,2,40,2,40,100.0
Doug Baldwin,6615,WR,2,SEA,2,6,0,0,0.0
Derrick Coleman,7377,FB,1,SEA,2,3,0,0,0.0
Bear Pascoe,5108,TE,1,NYG,1,2,0,0,0.0
Josh Vaughan,5289,HB,1,ATL,1,1,0,0,0.0
Matt Schaub,1811,QB,1,HST,1,0,0,0,
Gino Gradkowski,7098,C,1,BLT,1,0,0,0,
Quinton Patton,7910,WR,1,SF,1,26,1,26,100.0
Ryan Wendell,4602,C,1,NE,1,0,0,0,
Stephen Burton,6388,WR,1,JAX,1,-9,0,0,0.0
Travis Benjamin,7100,WR,1,CLV,1,45,1,45,100.0
Jerricho Cotchery,1829,WR,1,PIT,1,-5,0,0,0.0
Armanti Edwards,5613,WR,1,CLV,1,0,0,0,
Tim Wright,8392,TE,1,TB,1,2,0,0,0.0
Danny Amendola,4717,WR,1,NE,1,1,0,0,0.0
Steve Johnson,4538,WR,1,BUF,1,10,0,0,0.0
Jeff Tuel,8508,QB,1,BUF,1,1,0,0,0.0
Jeff Demps,7760,HB,1,TB,1,14,0,0,0.0
Brett Kern,4580,P,1,TEN,1,0,0,0,
Matt Simms,7423,QB,1,NYJ,1,0,0,0,
Kevin Huber,5066,P,1,CIN,1,0,0,0,
Marlon Moore,5887,WR,1,SF,1,9,0,0,0.0
Chris Maragos,5906,S,1,SEA,1,0,0,0,
Richard Brockel,6037,FB,1,CAR,1,1,0,0,0.0
Da'Rick Rogers,8444,WR,1,IND,1,0,0,0,
Josh Aubrey,8428,S,1,CLV,1,34,1,34,100.0
Dashon Goldson,3742,S,1,TB,1,22,1,22,100.0
Andre Caldwell,4411,WR,1,DEN,1,7,0,0,0.0
Riley Cooper,5682,WR,1,PHI,1,18,1,18,100.0
Ronnie Wingo,8067,HB,1,BUF,1,4,0,0,0.0
Lyle Sendlein,4062,C,1,ARZ,1,0,0,0,
Brandon Fields,3841,P,1,MIA,1,0,0,0,
Shiloh Keo,6296,S,1,HST,1,8,0,0,0.0
T.J. Yates,6304,QB,1,HST,1,-9,0,0,0.0
Dwayne Harris,6328,WR,1,DAL,1,6,0,0,0.0
Marlon Brown,8179,WR,1,BLT,1,-2,0,0,0.0
Trindon Holliday,5720,WR,1,DEN,1,7,0,0,0.0
Emmanuel Sanders,5606,WR,1,PIT,1,25,1,25,100.0
Jordan Reed,7866,TE,1,WAS,1,18,1,18,100.0
Steve Weatherford,3552,P,1,NYG,1,0,0,0,
Michael Robinson,3045,FB,1,SEA,1,0,0,0,
Ricardo Lockette,6622,WR,1,SEA,1,-2,0,0,0.0
Eric Page,8539,WR,1,TB,1,19,1,19,100.0
Dez Bryant,5549,WR,1,DAL,1,1,0,0,0.0
Nick Mangold,2974,C,1,NYJ,1,0,0,0,
Leon Washington,3062,HB,1,NE,1,1,0,0,0.0
Justin Blackmon,7011,WR,1,JAX,1,-1,0,0,0.0
Josh Hill,8200,TE,1,NO,1,-8,0,0,0.0
Corey Lynch,4491,S,1,IND,1,3,0,0,0.0
Darius Reynaud,4661,HB,1,TEN,1,0,0,0,
Jason Campbell,2242,QB,1,CLV,1,-1,0,0,0.0
Julio Jones,6158,WR,1,ATL,1,7,0,0,0.0
Vincent Jackson,2278,WR,1,TB,1,0,0,0,
