player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
Jake Plummer,248,QB,10,DEN,25,25,0,0,0.0
Kenny Watson,1001,HB,10,CIN,25,138,1,18,13.0
Mewelde Moore,1840,HB,12,MIN,24,131,1,15,11.5
Aveion Cason,945,HB,5,DET,24,94,1,16,17.0
Rex Grossman,1338,QB,11,CHI,23,-20,0,0,0.0
Derrick Blaylock,889,HB,2,NYJ,23,39,0,0,0.0
Ryan Moats,2294,HB,5,PHI,22,69,0,0,0.0
Brad Hoover,740,FB,8,CAR,22,72,1,17,23.6
Reshard Lee,1647,FB,10,OAK,21,72,0,0,0.0
Alex Smith,2218,QB,11,SF,21,17,1,18,105.9
David Garrard,1109,QB,8,JAX,20,26,0,0,0.0
Jerome Harrison,3090,HB,8,CLV,20,60,1,15,25.0
J.P. Losman,1743,QB,13,BUF,20,-5,0,0,0.0
Carson Palmer,1317,QB,10,CIN,20,-1,0,0,0.0
Eli Manning,1722,QB,11,NYG,20,-13,0,0,0.0
Alvin Pearman,2344,HB,5,JAX,19,89,0,0,0.0
Brett Favre,14,QB,11,GB,19,-18,0,0,0.0
Travis Minor,846,HB,4,MIA,19,74,0,0,0.0
Justin Griffith,1433,FB,6,ATL,19,106,2,36,34.0
Brad Smith,3048,WR,11,NYJ,18,103,2,52,50.5
Damian Nash,2359,HB,3,DEN,18,66,2,48,72.7
Antwaan Randle El,1069,WR,13,WAS,18,115,3,57,49.6
Ciatrick Fason,2329,HB,3,MIN,18,99,1,15,15.2
Ben Roethlisberger,1732,QB,11,PIT,18,19,0,0,0.0
Marcel Shipp,987,HB,6,ARZ,17,41,0,0,0.0
Chad Pennington,596,QB,10,NYJ,17,14,0,0,0.0
Peyton Manning,327,QB,11,IND,17,-11,0,0,0.0
Jon Kitna,217,QB,10,DET,16,10,0,0,0.0
Tony Romo,1693,QB,7,DAL,16,-9,0,0,0.0
Byron Leftwich,1323,QB,5,JAX,16,6,0,0,0.0
Verron Haynes,1156,HB,7,PIT,16,76,0,0,0.0
Jake Delhomme,303,QB,7,CAR,15,-14,0,0,0.0
Jeremi Johnson,1430,FB,8,CIN,15,56,1,15,26.8
Joey Harrington,1011,QB,7,MIA,14,0,0,0,
Kyle Boller,1335,QB,4,BLT,14,-6,0,0,0.0
J.J. Arrington,2261,HB,8,ARZ,14,19,0,0,0.0
Tyson Thompson,2810,HB,3,DAL,13,30,0,0,0.0
Marc Bulger,684,QB,8,STR,13,-9,0,0,0.0
Jeff Garcia,550,QB,5,PHI,12,-5,0,0,0.0
Ovie Mughelli,1445,FB,5,BLT,12,50,0,0,0.0
Charlie Frye,2284,QB,6,CLV,12,-7,0,0,0.0
Brad Johnson,31,QB,9,MIN,12,-9,0,0,0.0
Michael Sellers,432,FB,6,WAS,12,51,0,0,0.0
Donovan McNabb,438,QB,6,PHI,12,2,0,0,0.0
Earnest Graham,1613,HB,3,TB,11,59,1,17,28.8
Nick Goings,956,HB,6,CAR,11,52,1,28,53.8
Charlie Batch,367,QB,4,PIT,11,-8,0,0,0.0
Mike Karney,1875,FB,7,NO,11,33,0,0,0.0
Kurt Warner,112,QB,5,ARZ,10,-9,0,0,0.0
Adrian Peterson,1177,HB,5,CHI,10,41,0,0,0.0
Cecil Sapp,1695,FB,5,DEN,10,80,2,48,60.0
LaBrandon Toefield,1443,HB,3,JAX,10,22,0,0,0.0
Jamaal Branch,3246,HB,1,NO,10,29,0,0,0.0
Chris Perry,1747,HB,5,CIN,10,57,1,18,31.6
Dee Brown,905,HB,4,KC,10,24,0,0,0.0
Jason Campbell,2242,QB,3,WAS,10,-10,0,0,0.0
Bruce Gradkowski,3139,QB,6,TB,9,2,0,0,0.0
Trent Green,58,QB,6,KC,9,-6,0,0,0.0
Javon Walker,1027,WR,5,DEN,9,123,3,117,95.1
Andrew Walter,2286,QB,6,OAK,9,-6,0,0,0.0
Matt Leinart,2955,QB,5,ARZ,9,0,0,0,
Jay Cutler,2956,QB,5,DEN,9,-2,0,0,0.0
Obafemi Ayanbadejo,297,FB,6,ARZ,9,37,0,0,0.0
Steve Smith,837,WR,7,CAR,8,61,3,60,98.4
Jason McKie,1279,FB,6,CHI,8,18,0,0,0.0
Chris Chambers,821,WR,8,MIA,8,95,2,57,60.0
Eric Shelton,2271,HB,4,CAR,8,23,0,0,0.0
Terrelle Smith,651,FB,7,CLV,8,14,0,0,0.0
Vinny Testaverde,2866,QB,3,NE,8,-8,0,0,0.0
Ahmard Hall,3336,FB,5,TEN,7,21,0,0,0.0
Damon Huard,215,QB,4,KC,7,-11,0,0,0.0
Aaron Brooks,509,QB,6,OAK,7,-2,0,0,0.0
Donald Driver,533,WR,6,GB,7,16,1,16,100.0
Lousaka Polite,2152,FB,1,DAL,7,18,0,0,0.0
Brian Calhoun,3019,HB,4,DET,7,20,0,0,0.0
Mark Brunell,51,QB,5,WAS,7,0,0,0,
Bryan Gilmore,727,WR,6,SF,7,94,3,64,68.1
Reggie Williams,1730,WR,7,JAX,7,33,0,0,0.0
Mark Clayton,2239,WR,6,BLT,7,-30,0,0,0.0
Lee Suggs,1427,HB,3,MIA,6,26,0,0,0.0
Patrick Pass,709,HB,2,NE,6,21,0,0,0.0
B.J. Askew,1400,FB,5,NYJ,6,11,0,0,0.0
Chad Johnson,806,WR,5,CIN,6,24,0,0,0.0
Brian Griese,379,QB,3,CHI,6,-5,0,0,0.0
Santana Moss,786,WR,4,WAS,6,59,2,54,91.5
Peerless Price,473,WR,5,BUF,5,18,0,0,0.0
Tony Fisher,1241,HB,4,STR,5,8,0,0,0.0
Michael Clayton,1736,WR,5,TB,5,41,1,27,65.9
Ronnie Cruz,2024,FB,2,KC,5,19,0,0,0.0
Kyle Johnson,1138,FB,3,DEN,5,30,1,15,50.0
Rock Cartwright,1211,HB,1,WAS,5,20,0,0,0.0
Thomas Tapeh,1880,FB,5,PHI,5,9,0,0,0.0
Matt Hasselbeck,408,QB,3,SEA,5,-4,0,0,0.0
Vernand Morency,2290,HB,1,HST,5,13,0,0,0.0
Bethel Johnson,1361,WR,4,MIN,4,8,0,0,0.0
Keylon Kincade,2096,HB,1,DAL,4,9,0,0,0.0
Andrew Pinnock,1527,FB,3,SD,4,25,1,15,60.0
Aaron Stecker,572,HB,2,NO,4,11,0,0,0.0
Deion Branch,1072,WR,4,SEA,4,30,1,19,63.3
Josh Reed,1043,WR,4,BUF,4,13,1,15,115.4
Matt Schaub,1811,QB,2,ATL,4,-1,0,0,0.0
Reno Mahe,1654,HB,2,PHI,4,18,0,0,0.0
Eddie Kennison,161,WR,4,KC,4,16,0,0,0.0
Daunte Culpepper,446,QB,2,MIA,4,-1,0,0,0.0
Chad Jackson,2981,WR,4,NE,4,22,0,0,0.0
Kevin Curtis,1389,WR,5,STR,4,4,0,0,0.0
Tony Richardson,110,FB,2,MIN,4,9,0,0,0.0
Arnaz Battle,1499,WR,4,SF,4,28,1,18,64.3
Cleo Lemon,1271,QB,2,MIA,3,3,0,0,0.0
Billy Volek,768,QB,1,SD,3,-3,0,0,0.0
Braylon Edwards,2220,WR,3,CLV,3,7,0,0,0.0
Andre Johnson,1319,WR,2,HST,3,14,1,18,128.6
Marquis Weeks,2837,HB,1,SEA,3,8,0,0,0.0
Seneca Wallace,1422,QB,3,SEA,3,3,0,0,0.0
Nate Washington,2832,WR,3,PIT,3,8,0,0,0.0
Anquan Boldin,1369,WR,3,ARZ,3,27,1,18,66.7
Fred McAfee,18,HB,1,NO,3,12,0,0,0.0
Reggie Brown,2252,WR,3,PHI,3,24,1,15,62.5
Tim Rattay,701,QB,2,TB,3,-2,0,0,0.0
Lawrence Vickers,3125,FB,2,CLV,3,2,0,0,0.0
Sage Rosenfels,863,QB,1,HST,3,-2,0,0,0.0
Samie Parker,1826,WR,3,KC,3,7,0,0,0.0
Rich Alexis,1975,HB,1,JAX,3,5,0,0,0.0
Vincent Jackson,2278,WR,2,SD,3,16,0,0,0.0
Brodie Croyle,3030,QB,1,KC,3,-3,0,0,0.0
Jameel Cook,904,FB,3,HST,3,18,0,0,0.0
Ran Carthon,2006,HB,1,IND,3,4,0,0,0.0
Terry Glenn,156,WR,3,DAL,3,11,1,22,200.0
Marty Booker,487,WR,3,MIA,3,19,1,18,94.7
T.J. Houshmandzadeh,921,WR,2,CIN,3,6,0,0,0.0
Dante' Hall,677,WR,3,KC,3,11,0,0,0.0
Drew Bledsoe,36,QB,2,DAL,3,1,0,0,0.0
Kay-Jay Harris,2630,HB,1,STR,3,9,0,0,0.0
Anthony Wright,577,QB,1,CIN,3,-3,0,0,0.0
Ryan Fitzpatrick,2467,QB,1,STR,3,0,0,0,
Derrick Ross,3491,HB,1,KC,3,8,0,0,0.0
Cedric Cobbs,1849,HB,1,DEN,3,9,0,0,0.0
Dennis Northcutt,605,WR,3,CLV,3,32,1,16,50.0
Quincy Wilson,1935,HB,1,CIN,2,2,0,0,0.0
Shaud Williams,2207,HB,2,BUF,2,2,0,0,0.0
Roscoe Parrish,2272,WR,2,BUF,2,18,0,0,0.0
John Kuhn,2686,FB,2,PIT,2,18,1,16,88.9
Tim Dwight,390,WR,2,NYJ,2,28,1,28,100.0
Matt Cassel,2447,QB,2,NE,2,4,0,0,0.0
Sam Gado,2599,HB,1,GB,2,-7,0,0,0.0
Joshua Cribbs,2544,WR,2,CLV,2,11,0,0,0.0
Brandon Marshall,3064,WR,2,DEN,2,12,0,0,0.0
Tab Perry,2407,WR,1,CIN,2,4,0,0,0.0
Chris Weinke,861,QB,2,CAR,2,-1,0,0,0.0
Moran Norris,865,FB,1,SF,2,8,0,0,0.0
Charlie Whitehurst,3026,QB,2,SD,2,13,0,0,0.0
Maurice Stovall,3035,WR,1,TB,2,29,1,18,62.1
Ingle Martin,3093,QB,1,GB,2,-5,0,0,0.0
Cedrick Wilson,901,WR,2,PIT,2,14,0,0,0.0
Matt Jones,2238,WR,2,JAX,2,-15,0,0,0.0
Adam Jones,2223,CB,2,TEN,2,8,0,0,0.0
Shawn Bryson,491,FB,2,DET,2,1,0,0,0.0
Jim Finn,541,FB,2,NYG,2,14,0,0,0.0
Drew Carter,1881,WR,2,CAR,2,18,0,0,0.0
Joey Galloway,117,WR,2,TB,2,9,0,0,0.0
Devery Henderson,1771,WR,2,NO,2,14,0,0,0.0
Eric Parker,1292,WR,2,SD,2,19,1,18,94.7
Vernon Davis,2951,TE,2,SF,2,5,0,0,0.0
Edell Shepherd,1304,WR,2,HST,2,5,0,0,0.0
Michael Jennings,1261,WR,2,NYG,2,12,1,21,175.0
Roy Williams,1728,WR,2,DET,2,2,0,0,0.0
Devale Ellis,3303,WR,2,DET,2,3,0,0,0.0
Bernard Berrian,1799,WR,2,CHI,2,5,0,0,0.0
Jerricho Cotchery,1829,WR,2,NYJ,2,5,0,0,0.0
David Givens,1210,WR,1,TEN,1,3,0,0,0.0
Rod Smith,111,WR,1,DEN,1,-5,0,0,0.0
Adam Jennings,3129,WR,1,ATL,1,-4,0,0,0.0
Alvis Whitted,411,WR,1,OAK,1,4,0,0,0.0
Tony Scheffler,3006,TE,1,DEN,1,3,0,0,0.0
Santonio Holmes,2970,WR,1,PIT,1,13,0,0,0.0
Derrick Wimbush,2848,FB,1,JAX,1,3,0,0,0.0
Reggie McNeal,3138,WR,1,CIN,1,8,0,0,0.0
Marlion Jackson,742,HB,1,ATL,1,2,0,0,0.0
Dan Kreider,749,FB,1,PIT,1,5,0,0,0.0
Marques Tuiasosopo,826,QB,1,OAK,1,1,0,0,0.0
Brandon Jones,2313,WR,1,TEN,1,3,0,0,0.0
Brandon Manumaleuna,876,TE,1,SD,1,1,0,0,0.0
Courtney Roby,2285,WR,1,TEN,1,3,0,0,0.0
Jared Lorenzen,2107,QB,1,NYG,1,2,0,0,0.0
Kelvin Kight,2095,WR,1,NE,1,8,0,0,0.0
Terrance Copper,2016,WR,1,NO,1,8,0,0,0.0
Lamar Gordon,1088,HB,1,DET,1,2,0,0,0.0
Robert Royal,1151,TE,1,BUF,1,-9,0,0,0.0
Ronald Curry,1199,WR,1,OAK,1,4,0,0,0.0
Eddie Drummond,1237,WR,1,DET,1,2,0,0,0.0
Michael Jenkins,1750,WR,1,ATL,1,2,0,0,0.0
Bryant Johnson,1333,WR,1,ARZ,1,-3,0,0,0.0
Kevin Walter,1549,WR,1,HST,1,3,0,0,0.0
Chris Simms,1411,QB,1,TB,1,-1,0,0,0.0
Keyshawn Johnson,153,WR,1,CAR,1,4,0,0,0.0
Reche Caldwell,1055,WR,1,NE,1,5,0,0,0.0
Dane Looker,755,WR,1,STR,1,13,0,0,0.0
Chad Morton,683,HB,1,NYG,1,22,1,22,100.0
Laveranues Coles,638,WR,1,NYJ,1,15,1,15,100.0
Derek Anderson,2430,QB,1,CLV,1,-1,0,0,0.0
Madison Hedgecock,2468,FB,1,STR,1,2,0,0,0.0
Travis Taylor,588,WR,1,MIN,1,5,0,0,0.0
Hines Ward,380,WR,1,PIT,1,9,0,0,0.0
Derrick Mason,271,WR,1,BLT,1,-4,0,0,0.0
Amani Toomer,169,WR,1,NYG,1,0,0,0,
Tarvaris Jackson,3009,QB,1,MIN,1,4,0,0,0.0
Eric Moulds,165,WR,1,HST,1,6,0,0,0.0
Troy Brown,56,WR,1,NE,1,16,1,16,100.0
Keenan McCardell,19,WR,1,SD,1,8,0,0,0.0
Bobby Engram,177,WR,1,SEA,1,4,0,0,0.0
