player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
Ladell Betts,1063,HB,5,NO,45,148,0,0,0.0
Mike Hart,4516,HB,6,IND,43,185,1,35,18.9
Fred Taylor,333,HB,7,NE,43,155,1,24,15.5
David Garrard,1109,QB,13,JAX,42,145,3,69,47.6
Lance Ball,4808,HB,7,DEN,41,158,4,68,43.0
Michael Vick,773,QB,12,PHI,40,101,1,16,15.8
Jerome Harrison,3090,HB,7,PHI,40,240,3,112,46.7
Joe McKnight,5636,HB,3,NYJ,39,189,1,18,9.5
Brad Smith,3048,WR,15,NYJ,38,299,7,183,61.2
Marshawn Lynch,3628,HB,4,BUF,37,164,3,48,29.3
Dominic Rhodes,979,HB,3,IND,37,172,2,30,17.4
Reggie Bush,2947,HB,8,NO,36,156,1,23,14.7
Dimitri Nance,5783,HB,7,GB,36,95,0,0,0.0
Laurence Maroney,2966,HB,4,DEN,36,74,0,0,0.0
Deji Karim,5703,HB,6,JAX,35,160,1,15,9.4
Kevin Smith,4378,HB,6,DET,34,133,1,15,11.3
Kenneth Darby,3862,HB,10,STR,34,107,0,0,0.0
Mewelde Moore,1840,HB,13,PIT,33,99,2,34,34.3
Mike Bell,3225,HB,8,CLV,31,71,0,0,0.0
Jerome Harrison,3090,HB,3,CLV,31,91,1,39,42.9
Joe Flacco,4332,QB,15,BLT,31,2,0,0,0.0
Tim Tebow,5550,QB,7,DEN,31,144,2,55,38.2
Marcel Reece,4702,FB,14,OAK,30,122,1,31,25.4
James Starks,5716,HB,3,GB,29,101,1,16,15.8
Le'Ron McClain,3753,FB,12,BLT,28,85,1,16,18.8
Leon Washington,3062,HB,11,SEA,27,100,2,37,37.0
Jacob Hester,4383,FB,11,SD,26,60,0,0,0.0
Lousaka Polite,2152,FB,13,MIA,26,62,0,0,0.0
Josh Freeman,4940,QB,13,TB,26,10,0,0,0.0
Tom Brady,698,QB,10,NE,25,9,0,0,0.0
Matt Ryan,4317,QB,10,ATL,24,-9,0,0,0.0
LaRod Stephens-Howling,5164,HB,7,ARZ,23,113,3,66,58.4
Carson Palmer,1317,QB,10,CIN,22,-1,0,0,0.0
Jerome Felton,4460,FB,11,DET,22,76,0,0,0.0
Jay Cutler,2956,QB,10,CHI,21,-20,0,0,0.0
Joshua Cribbs,2544,WR,11,CLV,21,67,1,19,28.4
Jason Campbell,2242,QB,9,OAK,21,-1,0,0,0.0
Eldra Buckley,3900,HB,5,PHI,21,67,0,0,0.0
Jackie Battle,3885,HB,8,KC,20,50,0,0,0.0
Ben Roethlisberger,1732,QB,7,PIT,20,9,0,0,0.0
Aaron Rodgers,2241,QB,10,GB,20,-10,0,0,0.0
Eli Manning,1722,QB,10,NYG,20,-19,0,0,0.0
Sammy Morris,678,FB,9,NE,20,56,0,0,0.0
Earnest Graham,1613,FB,8,TB,20,99,1,61,61.6
Danny Ware,4095,HB,4,NYG,20,73,0,0,0.0
Steve Slaton,4403,HB,5,HST,19,93,2,39,41.9
Keith Toston,5821,HB,4,STR,19,54,0,0,0.0
Dexter McCluster,5561,WR,9,KC,18,71,2,35,49.3
Percy Harvin,4945,WR,9,MIN,18,107,2,33,30.8
Philip Rivers,1725,QB,7,SD,17,-22,0,0,0.0
Aaron Brown,5116,HB,3,DET,17,58,0,0,0.0
Peyton Manning,327,QB,8,IND,17,10,1,27,270.0
Matt Schaub,1811,QB,9,HST,16,-12,0,0,0.0
Drew Brees,802,QB,7,NO,16,-12,0,0,0.0
DeSean Jackson,4363,WR,12,PHI,16,104,1,31,29.8
Mike Bell,3225,HB,4,PHI,16,28,0,0,0.0
Chad Henne,4371,QB,9,MIA,16,-36,0,0,0.0
James Davis,5119,HB,2,WAS,15,51,0,0,0.0
Stefan Logan,4909,WR,7,DET,15,95,2,38,40.0
Mark Sanchez,4928,QB,9,NYJ,15,4,0,0,0.0
Matt Hasselbeck,408,QB,8,SEA,14,5,0,0,0.0
Donovan McNabb,438,QB,8,WAS,14,-9,0,0,0.0
Ovie Mughelli,1445,FB,6,ATL,13,36,0,0,0.0
Brett Favre,14,QB,7,MIN,13,-10,0,0,0.0
Jon Kitna,217,QB,6,DAL,13,1,1,29,2900.0
Tyrell Sutton,5395,HB,3,CAR,13,71,1,32,45.1
Albert Young,4665,HB,2,MIN,13,29,0,0,0.0
Vince Young,2948,QB,5,TEN,12,14,1,20,142.9
Michael Robinson,3045,FB,9,SEA,12,77,3,47,61.0
Colt McCoy,5609,QB,5,CLV,12,2,0,0,0.0
Mike Thomas,5030,WR,8,JAX,12,114,5,105,92.1
Julius Jones,1764,HB,2,SEA,12,30,0,0,0.0
Matt Cassel,2447,QB,6,KC,11,2,0,0,0.0
Drew Stanton,3659,QB,4,DET,11,46,2,32,69.6
Sam Bradford,5526,QB,6,STR,11,-10,0,0,0.0
Alex Smith,2218,QB,6,SF,10,7,0,0,0.0
Gartrell Johnson,5058,HB,4,ATL,10,36,1,23,63.9
Ryan Fitzpatrick,2467,QB,6,BUF,10,30,1,18,60.0
Jacoby Ford,5632,WR,8,OAK,10,155,2,94,60.6
Kerry Collins,115,QB,5,TEN,9,-18,0,0,0.0
Jonathan Dwyer,5711,HB,1,PIT,9,28,0,0,0.0
Chad Hall,5523,WR,4,PHI,9,29,0,0,0.0
Charlie Whitehurst,3026,QB,4,SEA,9,-5,0,0,0.0
Quinton Ganther,3191,HB,4,BUF,9,18,0,0,0.0
Brian Hoyer,5277,QB,5,NE,9,-9,0,0,0.0
Rock Cartwright,1211,HB,3,OAK,8,20,0,0,0.0
John Conner,5662,FB,1,NYJ,8,44,1,16,36.4
Bruce Gradkowski,3139,QB,3,OAK,8,2,0,0,0.0
Ryan Grant,2609,HB,1,GB,8,45,1,18,40.0
Brian Leonard,3668,HB,5,CIN,8,19,0,0,0.0
Kyle Orton,2323,QB,5,DEN,8,-2,0,0,0.0
Troy Smith,3790,QB,3,SF,8,7,0,0,0.0
Kevin Kolb,3652,QB,5,PHI,8,0,0,0,
Kevin Faulk,470,HB,2,NE,8,45,0,0,0.0
Jake Delhomme,303,QB,3,CLV,7,-3,0,0,0.0
Tony Fiammetta,5052,FB,5,CAR,7,22,0,0,0.0
Danny Amendola,4717,WR,4,STR,7,81,2,51,63.0
Tyler Thigpen,3833,QB,4,MIA,7,19,0,0,0.0
Miles Austin,3211,WR,7,DAL,7,93,2,86,92.5
Nate Burleson,1386,WR,7,DET,7,81,4,77,95.1
Devin Hester,3002,WR,6,CHI,7,30,0,0,0.0
Thomas Clayton,3802,HB,1,NE,6,17,0,0,0.0
Shaun Hill,1255,QB,4,DET,6,-2,0,0,0.0
Jimmy Clausen,5573,QB,4,CAR,6,-13,0,0,0.0
Arrelious Benn,5564,WR,5,TB,6,35,1,17,48.6
Mike Karney,1875,FB,5,STR,6,12,0,0,0.0
Eddie Royal,4356,WR,4,DEN,6,61,3,57,93.4
Billy Volek,768,QB,3,SD,6,-5,0,0,0.0
Jason Wright,2212,HB,3,ARZ,6,28,0,0,0.0
Brandon Tate,5006,WR,5,NE,5,62,2,39,62.9
Chris Gronkowski,5926,FB,3,DAL,5,17,0,0,0.0
Charlie Batch,367,QB,2,PIT,5,-1,0,0,0.0
Donte' Stallworth,1020,WR,4,BLT,5,45,3,49,108.9
Lawrence Vickers,3125,FB,3,CLV,5,11,0,0,0.0
Kyle Boller,1335,QB,1,OAK,5,10,1,15,150.0
Larry Johnson,1343,HB,2,WAS,5,2,0,0,0.0
Santana Moss,786,WR,4,WAS,5,-6,0,0,0.0
Mike Wallace,5007,WR,5,PIT,5,39,1,19,48.7
Tim Castille,3906,FB,5,KC,5,3,0,0,0.0
Tony Richardson,110,FB,3,NYJ,5,13,0,0,0.0
Trent Edwards,3708,QB,2,JAX,4,7,0,0,0.0
Kareem Huggins,5414,HB,2,TB,4,11,0,0,0.0
Robert Meachem,3643,WR,4,NO,4,14,0,0,0.0
James Davis,5119,HB,1,CLV,4,9,0,0,0.0
Darrius Heyward-Bey,4930,WR,4,OAK,4,48,1,30,62.5
Michael Sellers,432,FB,4,WAS,4,2,0,0,0.0
Jerricho Cotchery,1829,WR,3,NYJ,4,-3,0,0,0.0
Darrel Young,5438,FB,2,WAS,4,19,1,16,84.2
Matt Flynn,4523,QB,3,GB,4,-3,0,0,0.0
Roscoe Parrish,2272,WR,4,BUF,4,30,0,0,0.0
Garrett Wolfe,3709,HB,1,CHI,4,8,0,0,0.0
Corey McIntyre,1278,FB,4,BUF,4,5,0,0,0.0
Seneca Wallace,1422,QB,1,CLV,4,-1,0,0,0.0
Calvin Johnson,3618,WR,4,DET,4,32,1,15,46.9
Jeremy Maclin,4942,WR,3,PHI,3,36,0,0,0.0
Steve Breaston,3758,WR,3,ARZ,3,35,1,17,48.6
Brandon Gibson,5118,WR,2,STR,3,28,0,0,0.0
Aaron Hernandez,5637,TE,3,NE,3,47,2,34,72.3
Joe Webb III,5722,QB,2,MIN,3,6,0,0,0.0
Donald Jones,6000,WR,3,BUF,3,1,0,0,0.0
Patrick Cobbs,3272,HB,3,MIA,3,-1,0,0,0.0
Sage Rosenfels,863,QB,1,NYG,3,-3,0,0,0.0
Moran Norris,865,FB,3,SF,3,0,0,0,
Delanie Walker,3120,TE,3,SF,3,18,0,0,0.0
Tony Romo,1693,QB,3,DAL,3,3,0,0,0.0
Tarvaris Jackson,3009,QB,1,MIN,3,-24,0,0,0.0
Legedu Naanee,3788,WR,2,SD,3,-2,0,0,0.0
Chansi Stuckey,3851,WR,3,CLV,3,9,0,0,0.0
Devery Henderson,1771,WR,3,NO,3,8,0,0,0.0
Spencer Larsen,4497,FB,2,DEN,3,18,0,0,0.0
Josh Vaughan,5289,HB,1,CAR,3,7,0,0,0.0
David Gettis,5721,WR,3,CAR,3,2,1,19,950.0
Julian Edelman,5156,WR,2,NE,2,14,0,0,0.0
Cedric Peerman,5109,HB,2,CIN,2,1,0,0,0.0
Harry Douglas,4398,WR,2,ATL,2,-5,0,0,0.0
Anquan Boldin,1369,WR,2,BLT,2,2,0,0,0.0
Earl Bennett,4384,WR,2,CHI,2,9,0,0,0.0
Brian Hartline,5031,WR,2,MIA,2,27,1,30,111.1
Jeff Dugan,1936,TE,1,MIN,2,2,0,0,0.0
Curtis Brinkley,5514,HB,2,SD,2,11,0,0,0.0
Andre Johnson,1319,WR,1,HST,2,10,0,0,0.0
Deon Butler,5014,WR,2,SEA,2,6,0,0,0.0
Ben Obomanu,3194,WR,1,SEA,2,17,0,0,0.0
Brandon Banks,6053,WR,1,WAS,2,6,0,0,0.0
Greg Jones II,1776,FB,1,JAX,2,4,0,0,0.0
Golden Tate,5585,WR,2,SEA,2,4,0,0,0.0
Ted Ginn Jr.,3625,WR,2,SF,2,13,0,0,0.0
Brandon Marshall,3064,WR,1,MIA,2,3,0,0,0.0
Demaryius Thomas,5547,WR,2,DEN,2,1,0,0,0.0
Heath Evans,843,FB,2,NO,2,2,0,0,0.0
Pierre Garcon,4519,WR,2,IND,2,6,0,0,0.0
Devin Moore,5043,HB,1,IND,2,-1,0,0,0.0
Jacoby Jones,3689,WR,2,HST,2,7,0,0,0.0
Josh Morgan,4488,WR,2,SF,2,17,0,0,0.0
Josh Johnson,4474,QB,2,TB,2,21,0,0,0.0
Dennis Dixon,4470,QB,1,PIT,2,3,0,0,0.0
Laurent Robinson,3691,WR,2,STR,2,-14,0,0,0.0
Jerious Norwood,3024,HB,1,ATL,2,8,0,0,0.0
Derek Anderson,2430,QB,2,ARZ,2,0,0,0,
Andre Brown,5053,HB,1,DEN,2,-1,0,0,0.0
Santonio Holmes,2970,WR,2,NYJ,2,17,0,0,0.0
Michael Bennett,797,HB,2,OAK,2,11,0,0,0.0
Zach Miller,5104,TE,1,JAX,2,16,0,0,0.0
Damian Williams,5601,WR,1,TEN,1,5,0,0,0.0
Antwaan Randle El,1069,WR,1,PIT,1,2,0,0,0.0
Dwayne Bowe,3639,WR,1,KC,1,4,0,0,0.0
Louis Murphy,5048,WR,1,OAK,1,43,1,43,100.0
Sammie Stroughter,5157,WR,1,TB,1,2,0,0,0.0
Johnny Knox,5064,WR,1,CHI,1,2,0,0,0.0
Chris Pressley,5347,FB,1,CIN,1,0,0,0,
Yamon Figurs,3690,WR,1,CLV,1,-4,0,0,0.0
Antone Smith,5440,HB,1,ATL,1,-3,0,0,0.0
Stephen McGee,5024,QB,1,DAL,1,-1,0,0,0.0
Mohamed Massaquoi,4973,WR,1,CLV,1,-3,0,0,0.0
Dez Bryant,5549,WR,1,DAL,1,0,0,0,
Dante Rosario,3771,TE,1,CAR,1,-2,0,0,0.0
Kregg Lumpkin,4714,HB,1,TB,1,0,0,0,
Jehuu Caulcrick,4703,HB,1,BUF,1,2,0,0,0.0
Brandon LaFell,5602,WR,1,CAR,1,60,1,60,100.0
Caleb Hanie,4674,QB,1,CHI,1,-1,0,0,0.0
Jimmy Graham,5619,TE,1,NO,1,3,0,0,0.0
Chris Redman,635,QB,1,ATL,1,-1,0,0,0.0
John Skelton,5678,QB,1,ARZ,1,-14,0,0,0.0
Early Doucet,4395,WR,1,ARZ,1,3,0,0,0.0
Leonard Weaver,2835,HB,1,PHI,1,0,0,0,
Nate Washington,2832,WR,1,TEN,1,-8,0,0,0.0
Vincent Jackson,2278,WR,1,SD,1,14,0,0,0.0
Kellen Clemens,2994,QB,1,NYJ,1,-1,0,0,0.0
Ahmard Hall,3336,FB,1,TEN,1,1,0,0,0.0
Roddy White,2244,WR,1,ATL,1,3,0,0,0.0
Mark Clayton,2239,WR,1,STR,1,6,0,0,0.0
Mike Williams,2227,WR,1,SEA,1,0,0,0,
Braylon Edwards,2220,WR,1,NYJ,1,4,0,0,0.0
Greg Jennings,2997,WR,1,GB,1,-1,0,0,0.0
Thomas Clayton,3802,HB,1,CLV,1,0,0,0,
Hines Ward,380,WR,1,PIT,1,-2,0,0,0.0
Bernard Berrian,1799,WR,1,MIN,1,-8,0,0,0.0
Tyler Palko,4031,QB,1,KC,1,-1,0,0,0.0
Brandon Lloyd,1436,WR,1,DEN,1,-18,0,0,0.0
Kevin Curtis,1389,WR,1,MIA,1,6,0,0,0.0
Marques Colston,3197,WR,1,NO,1,1,0,0,0.0
Jerome Simpson,4360,WR,1,CIN,1,2,0,0,0.0
Steve Smith,837,WR,1,CAR,1,9,0,0,0.0
Andre Caldwell,4411,WR,1,CIN,1,-2,0,0,0.0
Todd Bouman,299,QB,1,JAX,1,2,0,0,0.0
Mario Manningham,4409,WR,1,NYG,1,2,0,0,0.0
Benjamin Watson,1753,TE,1,CLV,1,-1,0,0,0.0
Marlon Moore,5887,WR,1,MIA,1,16,1,16,100.0
Preston Parker,5950,WR,1,TB,1,7,0,0,0.0
Max Hall,5878,QB,1,ARZ,1,-5,0,0,0.0
Shaun Smith,1702,DI,1,KC,1,1,0,0,0.0
Davone Bess,4694,WR,1,MIA,1,0,0,0,
Naaman Roosevelt,5799,WR,1,BUF,1,3,0,0,0.0
Naufahu Tahi,3526,FB,1,MIN,1,1,0,0,0.0
Matthew Stafford,4924,QB,1,DET,1,1,0,0,0.0
Rex Grossman,1338,QB,1,WAS,1,-1,0,0,0.0
Carlton Mitchell,5700,WR,1,CLV,1,9,0,0,0.0
David Reed,5679,WR,1,BLT,1,15,1,15,100.0
