league,scope,method,season,rmse_delta
dk,te,te_pff_yac__te_route,2025,-0.011274390580620075
dk,non_te,te_pff_mtf,2017,0.000314417791505317
dk,non_te,te_pff_mtf,2018,-0.000472124204354607
dk,non_te,te_pff_mtf,2019,-0.0054296554872412806
dk,non_te,te_pff_mtf,2020,-0.0015054452697285114
dk,non_te,te_pff_mtf,2021,0.0007018343055693599
dk,non_te,te_pff_mtf,2022,9.928395458613792e-05
dk,non_te,te_pff_mtf,2023,-0.0016867220925158577
dk,non_te,te_pff_mtf,2024,-0.0014876774165952789
dk,non_te,te_pff_mtf,2025,0.0008505840216810334
dk,non_te,te_pff_mtf__te_route,2017,0.0
dk,non_te,te_pff_mtf__te_route,2018,0.0
dk,non_te,te_pff_mtf__te_route,2019,0.0
dk,non_te,te_pff_mtf__te_route,2020,0.0
dk,non_te,te_pff_mtf__te_route,2021,0.0
dk,non_te,te_pff_mtf__te_route,2022,0.0
dk,non_te,te_pff_mtf__te_route,2023,0.0
dk,non_te,te_pff_mtf__te_route,2024,0.0
dk,non_te,te_pff_mtf__te_route,2025,0.0
dk,non_te,te_pff_opportunity_control,2017,0.0010004235202081269
dk,non_te,te_pff_opportunity_control,2018,-0.0006994827549715588
dk,non_te,te_pff_opportunity_control,2019,-0.005745711797124908
dk,non_te,te_pff_opportunity_control,2020,-0.0010324590329706673
dk,non_te,te_pff_opportunity_control,2021,0.0021803362353800537
dk,non_te,te_pff_opportunity_control,2022,-0.0008363581596437797
dk,non_te,te_pff_opportunity_control,2023,-0.002221797193226571
dk,non_te,te_pff_opportunity_control,2024,-0.001809404521389446
dk,non_te,te_pff_opportunity_control,2025,0.0030335081089525318
dk,non_te,te_pff_opportunity_control__te_route,2017,0.0
dk,non_te,te_pff_opportunity_control__te_route,2018,0.0
dk,non_te,te_pff_opportunity_control__te_route,2019,0.0
dk,non_te,te_pff_opportunity_control__te_route,2020,0.0
dk,non_te,te_pff_opportunity_control__te_route,2021,0.0
dk,non_te,te_pff_opportunity_control__te_route,2022,0.0
dk,non_te,te_pff_opportunity_control__te_route,2023,0.0
dk,non_te,te_pff_opportunity_control__te_route,2024,0.0
dk,non_te,te_pff_opportunity_control__te_route,2025,0.0
dk,non_te,te_pff_yac,2017,0.0006908767068352084
dk,non_te,te_pff_yac,2018,0.000894078423939515
dk,non_te,te_pff_yac,2019,-0.00538276120077974
dk,non_te,te_pff_yac,2020,-0.0004950367582665649
dk,non_te,te_pff_yac,2021,-0.0016367572152260479
dk,non_te,te_pff_yac,2022,0.000670999812456774
dk,non_te,te_pff_yac,2023,-0.0012503156483125721
dk,non_te,te_pff_yac,2024,-6.933759965521702e-05
dk,non_te,te_pff_yac,2025,0.0010860165471657801
dk,non_te,te_pff_yac__te_route,2017,0.0
dk,non_te,te_pff_yac__te_route,2018,0.0
dk,non_te,te_pff_yac__te_route,2019,0.0
dk,non_te,te_pff_yac__te_route,2020,0.0
dk,non_te,te_pff_yac__te_route,2021,0.0
dk,non_te,te_pff_yac__te_route,2022,0.0
dk,non_te,te_pff_yac__te_route,2023,0.0
dk,non_te,te_pff_yac__te_route,2024,0.0
dk,non_te,te_pff_yac__te_route,2025,0.0
