period,method,pos,n,ppg_crps,ppg_mae_mean,ppg_bias,ppg_80_coverage,ppg_pit_mean,ppg_pit_ks,contribution_crps,contribution_mae_mean,contribution_bias,contribution_80_coverage,contribution_pit_mean,contribution_pit_ks,plus3_actual_rate,plus3_predicted_rate,plus3_brier,plus3_auc,plus5_actual_rate,plus5_predicted_rate,plus5_brier,plus5_auc,impact_actual_rate,impact_predicted_rate,impact_brier,impact_auc,zero_actual_rate,zero_predicted_rate,zero_brier,zero_auc,contribution_q90_spearman,tail_lift_surprise_spearman,raw_residual_mean,effective_sample_size,max_donor_probability,played_crps,played_mae_mean,played_bias,played_80_coverage,extended_absence_actual_rate,extended_absence_predicted_rate,extended_absence_brier,extended_absence_auc,weighted_season_gap,weight_last3_seasons,weight_10plus_seasons
all_2017_2025,ppg_w300,RB,540.0,2.3080105601646133,3.1534042161920324,-0.9880884845024015,0.8296296296296296,0.5761606420659331,0.13057961978287655,26.817317542322584,36.67554616028327,-10.919853822229221,0.8018518518518518,0.5714189592410104,0.1231446035481335,0.2759259259259259,0.21792878331009274,0.20337589961189992,0.5216876362450437,0.15185185185185185,0.12265696723389097,0.1275452014847236,0.6072797955053786,0.15,0.11250517499598653,0.11761876745886923,0.7416283385782296,0.037037037037037035,0.048104711376985215,0.035522279891931394,0.6487980769230769,0.6119835246420557,0.08030724080367599,0.6113686883267159,59.72209697609206,0.050000000000000024,1.6483968063365821,2.530534434965147,-0.07334758339444492,0.9203703703703704,0.14629629629629629,0.1565308247602454,0.12408936725292058,0.5659957714379856,5.43607612276347,0.38662019340053755,0.158048858123091
all_2017_2025,ppg_w300,TE,216.0,2.0560719137143373,2.7725562394128853,-1.8585702998553981,0.7546296296296297,0.6727629317615353,0.2712939569165771,25.126861603680087,33.127517953956044,-20.12324610943984,0.7407407407407407,0.6557502423992972,0.2547983758306797,0.32407407407407407,0.14732400491834696,0.24714350491765805,0.5899217221135029,0.16203703703703703,0.06825179889604407,0.1426373685111211,0.6131018153117601,0.1712962962962963,0.08736944793798206,0.13936435578240738,0.7187075343499925,0.013888888888888888,0.023313154986991602,0.014255445038821302,0.5477308294209703,0.5340320432988331,0.1872468117029257,0.43093336369976176,61.43550759973856,0.05000000000000002,1.5396671383939593,2.269011591779315,0.27398536186124134,0.9074074074074074,0.1111111111111111,0.1026064555916385,0.09923695686423342,0.51171875,5.771692112804165,0.35948279248698545,0.18779878749832402
all_2017_2025,ppg_w300,WR,648.0,2.452041344620859,3.437753469698008,-2.2190570656448614,0.7330246913580247,0.6667847958671435,0.2464471073105492,28.226493533696136,38.45411934308032,-22.305992970686873,0.7237654320987654,0.6457588699346458,0.21480388591249522,0.42592592592592593,0.20032102495521928,0.29516076813638753,0.5207651550568801,0.2175925925925926,0.09108075750868393,0.1856112739059498,0.537860030495055,0.1867283950617284,0.07328740644717921,0.1459258922280751,0.8040600937789139,0.021604938271604937,0.049297365247523865,0.021723901386806327,0.8086976115367283,0.6152576860118616,0.18236605967462854,1.186315899649097,59.28999357401496,0.050000000000000024,1.4608708395730947,2.168909834462917,0.15680796111430303,0.9058641975308642,0.12037037037037036,0.10619152081110811,0.10571979774669238,0.591340530814215,5.289491289213351,0.3989833403047028,0.1428496547293297
all_2017_2025,production,QB,216.0,2.3938801815600383,3.3993285356250627,-1.4030029333486258,0.7824074074074074,0.6269146865964225,0.22794472652587722,23.82462811680995,32.84453093252923,-14.109747772195028,0.75,0.6108550013628412,0.17316646699136323,0.37037037037037035,0.1919041108480721,0.26555933777313634,0.5191176470588236,0.18518518518518517,0.08455238801999918,0.1612729836394491,0.5995738636363637,0.16203703703703703,0.09197907230352736,0.13984651284945226,0.5942383583267561,0.027777777777777776,0.03867893803093937,0.02198148876740041,0.8674603174603175,0.3572562370632693,-0.09759106443277484,0.5350816970732715,58.88649813660167,0.05000000000000002,1.3404863395195379,2.0612080857712365,0.33900385907592745,0.8981481481481481,0.12037037037037036,0.10381728003173275,0.08639476317452423,0.6574898785425102,6.8077339880234256,0.23167043357335654,0.24205037421364922
all_2017_2025,production,RB,540.0,2.309665925507517,3.153136206457212,-0.9876720280560328,0.8203703703703704,0.5758786364546177,0.13195150622197982,26.838093347757965,36.687119467745056,-10.912166050249214,0.8092592592592592,0.5714582398044021,0.12678120410880966,0.2759259259259259,0.21846207795695205,0.20361681166406806,0.5230093204483427,0.15185185185185185,0.12231321295514454,0.12749636656872887,0.6106081584833316,0.15,0.11311567254658889,0.11800552414219592,0.7407407407407407,0.037037037037037035,0.04866577023958904,0.03544873764183777,0.666875,0.6086560380216305,0.07662585338846231,0.6139507340720373,61.257853182909,0.050000000000000024,1.645180629820211,2.528991732824738,-0.07646930600496388,0.9185185185185185,0.14629629629629629,0.15666935458814993,0.12391497890990777,0.5735742332299074,5.546737578077186,0.37682924155652014,0.16686972094106778
all_2017_2025,production,TE,216.0,2.0528821422299446,2.7726363041220328,-1.8582678725879074,0.7546296296296297,0.6709717493246544,0.27619495364207786,25.2198691094313,33.20144935246366,-20.24591868100697,0.7592592592592593,0.6557960419292387,0.2503309459236342,0.32407407407407407,0.14984063144558246,0.2466178564730421,0.5738747553816047,0.16203703703703703,0.06896462096887775,0.14163869959188513,0.6367797947908446,0.1712962962962963,0.08787423873920737,0.13860813626095272,0.7294277517741204,0.013888888888888888,0.02630540412261815,0.014368221831522894,0.5712050078247262,0.532155969550237,0.18529394253325235,0.4227637438019871,61.1044370487814,0.050000000000000024,1.5426174353174869,2.264365755568275,0.2772452423347596,0.9074074074074074,0.1111111111111111,0.10468427652808525,0.10011509832465826,0.4774305555555556,5.8168491688069,0.3516157720316447,0.1894300708931785
all_2017_2025,production,WR,648.0,2.4525933975890095,3.437544387537555,-2.2175268745886383,0.7345679012345679,0.6663168787117586,0.24802828128478865,28.217537441285188,38.46618309026157,-22.300990794385037,0.7299382716049383,0.6454461842871233,0.2227133540746552,0.42592592592592593,0.20187619562666564,0.29541516341273244,0.5154667290010908,0.2175925925925926,0.09171835949331017,0.18592480768600972,0.5252423517562633,0.1867283950617284,0.07520083401355696,0.1453522030289462,0.8038013392507096,0.021604938271604937,0.04924249757133325,0.021722389881188433,0.8039657503379901,0.6126409289849891,0.18180468663794574,1.1721925299489755,61.67441590717517,0.050000000000000024,1.4575206244617307,2.164669459720237,0.19443013058319908,0.9058641975308642,0.12037037037037036,0.10394307411778062,0.10506821938211991,0.602361673414305,5.361134811288398,0.38938009870838675,0.14767343863509683
all_2017_2025,raw_component_w100,QB,216.0,2.416805502517056,3.39945101890469,-1.4084080561030095,0.7129629629629629,0.6322889044505118,0.24264402545082786,24.02309376458502,33.01460941554013,-14.50642428324044,0.7268518518518519,0.6129703861039014,0.1751931406079429,0.37037037037037035,0.17854793037139013,0.2719843422949796,0.5153492647058824,0.18518518518518517,0.07966456046657354,0.16245579159480653,0.5791193181818182,0.16203703703703703,0.08688222596094229,0.14028722621112977,0.6009471191791633,0.027777777777777776,0.032546106268342395,0.02250889123667072,0.8738095238095238,0.3604624301066397,-0.08667762178639898,0.8312669472571643,56.735193988258246,0.05000000000000002,1.3515971589877493,2.082474175885573,0.3587377704185744,0.9027777777777778,0.12037037037037036,0.10108899741728151,0.08789007314534168,0.6506072874493927,7.106359173955781,0.20275683109546544,0.26487020417265783
all_2017_2025,raw_component_w100,RB,540.0,2.308642674798996,3.1531061430752843,-0.9876523195663826,0.8203703703703704,0.5752224620057202,0.12682018876742682,26.836321592976844,36.64654083907701,-10.947064629969335,0.8074074074074075,0.5714897111453956,0.12607082127915475,0.2759259259259259,0.21810638389139123,0.2034467511694034,0.5220480955732162,0.15185185185185185,0.12247209787156689,0.12677707994467052,0.6228565342421983,0.15,0.11258461848659686,0.11824389488750098,0.7379972565157751,0.037037037037037035,0.04968431423970154,0.03552247511145694,0.6599038461538461,0.604992007474775,0.07814582506951137,0.6281015108338711,59.843118526910445,0.05000000000000002,1.6508704777855356,2.5375905474270093,-0.0950067213161542,0.9111111111111111,0.14629629629629629,0.15716663722385749,0.12459925965923238,0.5525961723276311,5.4735431608305385,0.38402354244430703,0.16152272631926398
all_2017_2025,raw_component_w100,TE,216.0,2.0532740770655233,2.772488397226936,-1.8582556074758048,0.7546296296296297,0.6721942714430688,0.2716783595403658,25.162460612834995,33.16250507799865,-20.207843973207545,0.7453703703703703,0.6552423034285977,0.2602936618278752,0.32407407407407407,0.1480300477616916,0.24676876443108034,0.586692759295499,0.16203703703703703,0.06808270983538758,0.14222607855187364,0.6303078137332281,0.1712962962962963,0.08707429271000848,0.13903820651463702,0.7291257738185113,0.013888888888888888,0.024673973452704594,0.014220221686064247,0.5555555555555556,0.5423990583381928,0.20596577715857534,0.4357557706411383,61.544044284243284,0.05000000000000002,1.5425897227480678,2.269845882231197,0.2717236133799228,0.9166666666666666,0.1111111111111111,0.10386725461702934,0.09997927745551835,0.4806857638888889,5.786147213388439,0.3567130540206475,0.1879597904106626
