league,method,slice_value,rows,baseline_rmse,baseline_mae,baseline_bias,baseline_spearman,challenger_rmse,challenger_mae,challenger_bias,challenger_spearman,rmse_delta,mae_delta,bias_delta,spearman_delta
beta,lasso_ridge_split_linear_third,2024,406.0,2.977520692912475,2.3787086577385383,0.231429142077689,0.7978166053188869,2.975384669387766,2.3775122409512983,0.2251826601364119,0.7974971633050985,-0.0021360235247089854,-0.0011964167872400289,-0.00624648194127711,-0.00031944201378841797
beta,lasso_ridge_split_linear_third,2025,416.0,2.741164196963356,2.123707053114137,0.2704523785464323,0.8080535074711345,2.736734153239891,2.1197354992524278,0.2528385848784137,0.8083075397755758,-0.004430043723464561,-0.0039715538617093316,-0.017613793668018574,0.00025403230444132063
beta,ridge_replaces_lasso_equal3,2023,404.0,2.957170733225492,2.268435063168328,0.4399011217790163,0.7897820897760487,2.949433568818493,2.256016738967332,0.4220806108138977,0.7892766211146961,-0.007737164406998787,-0.01241832420099609,-0.017820510965118608,-0.0005054686613525927
beta,ridge_replaces_lasso_equal3,2024,406.0,2.977520692912475,2.3787086577385383,0.231429142077689,0.7978166053188869,2.9738944492267,2.3765621593397555,0.2189361781951347,0.7975220874925341,-0.0036262436857752434,-0.0021464983987828923,-0.012492963882554303,-0.00029451782635281365
beta,ridge_replaces_lasso_equal3,2025,416.0,2.741164196963356,2.123707053114137,0.2704523785464323,0.8080535074711345,2.733369212221396,2.117372081220703,0.2352247912103951,0.8080995133215451,-0.00779498474195961,-0.006334971893434016,-0.035227587336037175,4.600585041059091e-05
dk,current_plus_histgbm_equal4,2023,413.0,3.181430382970997,2.448043335337473,0.4526387437522484,0.809785942723782,3.192968071658146,2.464437607801606,0.4588679575825242,0.8084441215238842,0.011537688687149217,0.016394272464133053,0.006229213830275804,-0.0013418211998977858
dk,current_plus_histgbm_equal4,2024,407.0,3.138110615049884,2.53067933649024,0.2941215288413926,0.8107053431938986,3.137858635745823,2.5341397421734326,0.3071885221607924,0.8105267279824148,-0.00025197930406095637,0.0034604056831928354,0.013066993319399811,-0.00017861521148387904
dk,current_plus_histgbm_equal4,2025,417.0,2.950590959717811,2.3060143930907144,0.4222182241197676,0.8178720068017351,2.949846927498667,2.3113394844553765,0.4465961510786231,0.8178753166318271,-0.0007440322191438753,0.005325091364662082,0.02437792695885549,3.3098300920020307e-06
dk,current_plus_ridge_equal4,2023,413.0,3.181430382970997,2.448043335337473,0.4526387437522484,0.809785942723782,3.1695762881912124,2.4238736456555445,0.4187256212578347,0.8098965829255508,-0.011854094779784496,-0.024169689681928563,-0.033913122494413694,0.00011064020176876355
dk,current_plus_ridge_equal4,2024,407.0,3.138110615049884,2.53067933649024,0.2941215288413926,0.8107053431938986,3.1363765805905786,2.522802847935519,0.2546666162359113,0.80990179723252,-0.0017340344593055335,-0.007876488554720673,-0.039454912605481285,-0.00080354596137866
dk,current_plus_ridge_equal4,2025,417.0,2.950590959717811,2.3060143930907144,0.4222182241197676,0.8178720068017351,2.95509007001055,2.2997924671681886,0.3490747766312594,0.8169757048128374,0.0044991102927389726,-0.006221925922525795,-0.0731434474885082,-0.0008963019888976742
dk,histgbm_replaces_lightgbm_equal3,2023,413.0,3.181430382970997,2.448043335337473,0.4526387437522484,0.809785942723782,3.181714190865225,2.449999044697078,0.4538531879710315,0.8097551951388408,0.00028380789422799424,0.0019557093596049846,0.0012144442187831395,-3.074758494125973e-05
dk,histgbm_replaces_lightgbm_equal3,2024,407.0,3.138110615049884,2.53067933649024,0.2941215288413926,0.8107053431938986,3.1366050164867407,2.533714813527906,0.2919998100621289,0.8109156410238617,-0.0015055985631433622,0.0030354770376663787,-0.0021217187792637038,0.00021029782996306867
