league,method,slice_value,rows,baseline_rmse,baseline_mae,baseline_bias,baseline_spearman,challenger_rmse,challenger_mae,challenger_bias,challenger_spearman,rmse_delta,mae_delta,bias_delta,spearman_delta
dk,current_plus_ridge_equal4,TE,269.0,2.273846271976262,1.799497659673013,0.2056774344914721,0.7323790275909163,2.262422084555532,1.7774948712917469,0.0773970096359063,0.7304096295519605,-0.01142418742073037,-0.022002788381266125,-0.1282804248555658,-0.001969398038955794
dk,current_plus_ridge_equal4,WR,509.0,3.128856064348084,2.4992771054500005,0.5928984533511289,0.7503591674887256,3.125972701098181,2.492281214238775,0.5725360986427608,0.7513819349037991,-0.002883363249903237,-0.006995891211225569,-0.020362354708368113,0.0010227674150735666
dk,histgbm_replaces_lightgbm_equal3,QB,132.0,3.2351171353679677,2.598111171123797,0.218793179984922,0.5745227050972329,3.2186063330615373,2.5825825729972505,0.1986961091008504,0.5749975215624069,-0.016510802306430428,-0.015528598126546722,-0.020097070884071616,0.00047481646517399945
dk,histgbm_replaces_lightgbm_equal3,RB,327.0,3.5250463947359982,2.762962683945871,0.2957768210217986,0.7695735697513437,3.528347354437925,2.770246975463271,0.3029636403549829,0.7694548237570905,0.0033009597019266756,0.0072842915173998435,0.007186819333184324,-0.00011874599425321097
dk,histgbm_replaces_lightgbm_equal3,TE,269.0,2.273846271976262,1.799497659673013,0.2056774344914721,0.7323790275909163,2.276546305295063,1.8055671555042587,0.2101252599689201,0.7324326627855913,0.002700033318800976,0.006069495831245719,0.004447825477447986,5.363519467493916e-05
dk,histgbm_replaces_lightgbm_equal3,WR,509.0,3.128856064348084,2.4992771054500005,0.5928984533511289,0.7503591674887256,3.123754772728929,2.4955987218911653,0.5911311842575698,0.7514371249422566,-0.005101291619154846,-0.0036783835588352076,-0.0017672690935590651,0.0010779574535310088
dk,lasso_ridge_split_linear_third,QB,132.0,3.2351171353679677,2.598111171123797,0.218793179984922,0.5745227050972329,3.2273708797762404,2.593023118862754,0.2108623378970142,0.5747314156313753,-0.007746255591727369,-0.005088052261043252,-0.007930842087907813,0.00020871053414239782
dk,lasso_ridge_split_linear_third,RB,327.0,3.5250463947359982,2.762962683945871,0.2957768210217986,0.7695735697513437,3.5267765507785542,2.7640643660779385,0.2943915045954087,0.7695001256970946,0.001730156042555997,0.0011016821320675163,-0.0013853164263898932,-7.34440542491388e-05
dk,lasso_ridge_split_linear_third,TE,269.0,2.273846271976262,1.799497659673013,0.2056774344914721,0.7323790275909163,2.2735629904173384,1.7987437839197171,0.1939413425022513,0.7322507963208889,-0.0002832815589237647,-0.0007538757532958851,-0.011736091989220793,-0.00012823127002747903
dk,lasso_ridge_split_linear_third,WR,509.0,3.128856064348084,2.4992771054500005,0.5928984533511289,0.7503591674887256,3.126539744365829,2.4981745427064426,0.5865935421976226,0.7504361514500363,-0.0023163199822548997,-0.001102562743557911,-0.006304911153506287,7.698396131072816e-05
dk,ridge_replaces_lasso_equal3,QB,132.0,3.2351171353679677,2.598111171123797,0.218793179984922,0.5745227050972329,3.2199282497824013,2.588243374568891,0.2029314958091062,0.5768759163696888,-0.015188885585566414,-0.009867796554906327,-0.01586168417581582,0.002353211272455913
dk,ridge_replaces_lasso_equal3,RB,327.0,3.5250463947359982,2.762962683945871,0.2957768210217986,0.7695735697513437,3.5287587758374284,2.76552582677077,0.2930061881690187,0.7688741352534004,0.003712381101430129,0.0025631428248988897,-0.0027706328527798973,-0.0006994344979432965
dk,ridge_replaces_lasso_equal3,TE,269.0,2.273846271976262,1.799497659673013,0.2056774344914721,0.7323790275909163,2.2735632915932205,1.7981778445003405,0.1822052505130305,0.7315039108226278,-0.0002829803830417532,-0.0013198151726725449,-0.023472183978441613,-0.000875116768288553
dk,ridge_replaces_lasso_equal3,WR,509.0,3.128856064348084,2.4992771054500005,0.5928984533511289,0.7503591674887256,3.1244745742766478,2.497151316591175,0.5802886310441162,0.7508370868324655,-0.004381490071436289,-0.002125788858825306,-0.012609822307012686,0.00047791934373997425
