comparison,candidate,year,trial,roster_jaccard,roster_slots_changed,roster_changed,both_actual_cap_feasible,actual_points_effect,drafted_only_points_effect,actual_cap_feasible_effect,actual_cap_overage_effect,actual_salary_spend_effect,forecast_ev_effect,sampled_salary_spend_effect,decision_salary_spend_effect,point_salary_spend_effect,calibrated_point_salary_spend_effect,surcharge_spend_effect,actual_waiver_starts_effect,joint_feasible_actual_points_effect
blanket_285_minus_baseline_298,blanket_285,2022,50,0.625,3,True,False,68.5999755859375,66.39990234375,0.0,-16.0,-16.0,-8.79296875,-13.520965576171875,-13.520965576171875,-13.520081520080566,-13.520081520080566,0.0,-2.0,
blanket_285_minus_baseline_298,blanket_285,2022,51,0.7333333333333333,2,True,True,-147.39990234375,-175.199951171875,0.0,0.0,-10.0,-17.3385009765625,-12.38555908203125,-12.38555908203125,-15.489112854003906,-15.489112854003906,0.0,14.0,-147.39990234375
blanket_285_minus_baseline_298,blanket_285,2022,52,0.7333333333333333,2,True,False,-60.7999267578125,-46.0001220703125,0.0,-4.0,-4.0,-19.2901611328125,-15.417510986328125,-15.417510986328125,-18.57088851928711,-18.57088851928711,0.0,0.0,
blanket_285_minus_baseline_298,blanket_285,2022,53,0.5294117647058824,4,True,False,-167.199951171875,-140.4000244140625,0.0,-18.0,-18.0,-12.537353515625,-11.000030517578125,-11.000030517578125,-1.1418871879577637,-1.1418871879577637,0.0,2.0,
blanket_285_minus_baseline_298,blanket_285,2022,54,0.625,3,True,True,173.199951171875,144.5,0.0,0.0,-10.0,-16.2001953125,-8.887603759765625,-8.887603759765625,-5.659680366516113,-5.659680366516113,0.0,-4.0,173.199951171875
blanket_285_minus_baseline_298,blanket_285,2022,55,0.7333333333333333,2,True,False,-50.0999755859375,-26.0599365234375,1.0,-7.0,-17.0,0.4061279296875,-13.869293212890625,-13.869293212890625,-18.18310308456421,-18.18310308456421,0.0,6.0,
blanket_285_minus_baseline_298,blanket_285,2022,56,0.625,3,True,False,-86.7999267578125,-126.800048828125,0.0,-30.0,-30.0,-11.84326171875,-19.30322265625,-19.30322265625,-20.925186157226562,-20.925186157226562,0.0,3.0,
blanket_285_minus_baseline_298,blanket_285,2022,57,0.7333333333333333,2,True,True,-44.0,13.099853515625,0.0,0.0,-14.0,-30.738525390625,-12.818145751953125,-12.818145751953125,-16.711965322494507,-16.711965322494507,0.0,3.0,-44.0
blanket_285_minus_baseline_298,blanket_285,2022,58,0.8571428571428571,1,True,False,-41.099853515625,10.300048828125,0.0,10.0,10.0,-14.9776611328125,-13.304473876953125,-13.304473876953125,-9.336277961730957,-9.336277961730957,0.0,5.0,
blanket_285_minus_baseline_298,blanket_285,2022,59,0.625,3,True,False,-31.4998779296875,37.800048828125,0.0,-1.0,-1.0,16.2789306640625,-12.658905029296875,-12.658905029296875,-12.98209810256958,-12.98209810256958,0.0,5.0,
blanket_285_minus_baseline_298,blanket_285,2022,60,0.7333333333333333,2,True,False,6.5,33.800048828125,0.0,-20.0,-20.0,-30.7003173828125,-19.707489013671875,-19.707489013671875,-8.294410705566406,-8.294410705566406,0.0,-5.0,
blanket_285_minus_baseline_298,blanket_285,2022,61,0.7333333333333333,2,True,False,2.9998779296875,81.4000244140625,0.0,-18.0,-18.0,-17.273681640625,-12.25347900390625,-12.25347900390625,-10.666494607925415,-10.666494607925415,0.0,-3.0,
blanket_285_minus_baseline_298,blanket_285,2022,62,0.625,3,True,False,126.89990234375,228.47998046875,0.0,-20.0,-20.0,-12.5701904296875,-12.322784423828125,-12.322784423828125,-9.150668621063232,-9.150668621063232,0.0,-7.0,
blanket_285_minus_baseline_298,blanket_285,2022,63,0.7333333333333333,2,True,False,-129.0999755859375,-155.5999755859375,0.0,-17.0,-17.0,-24.52783203125,-16.9136962890625,-16.9136962890625,-18.461130142211914,-18.461130142211914,0.0,20.0,
blanket_285_minus_baseline_298,blanket_285,2022,64,0.7333333333333333,2,True,False,-13.699951171875,-51.0,0.0,-6.0,-6.0,6.160888671875,-10.326690673828125,-10.326690673828125,-13.826180696487427,-13.826180696487427,0.0,4.0,
blanket_285_minus_baseline_298,blanket_285,2022,65,0.7333333333333333,2,True,False,3.5,-28.89990234375,0.0,-13.0,-13.0,-36.531494140625,-12.538604736328125,-12.538604736328125,-13.716516494750977,-13.716516494750977,0.0,-2.0,
blanket_285_minus_baseline_298,blanket_285,2022,66,0.8571428571428571,1,True,False,4.5999755859375,21.199951171875,1.0,-9.0,-20.0,-7.7154541015625,-13.366241455078125,-13.366241455078125,-13.73636531829834,-13.73636531829834,0.0,5.0,
blanket_285_minus_baseline_298,blanket_285,2022,67,0.8571428571428571,1,True,False,-0.60009765625,32.0,1.0,-2.0,-26.0,-17.6907958984375,-11.235137939453125,-11.235137939453125,-12.497681617736816,-12.497681617736816,0.0,0.0,
