league,method,match_rank,player,season_template,template_distance,template_sample_prob,historical_pred_fp_per_game,played_games,match_actual_target_share_profile,match_actual_air_yards_share_profile,match_actual_adot_profile,match_actual_red_zone_target_share_profile,match_actual_target_share_iqr_profile,match_actual_high_use_week_rate_profile
beta,production,11,Jerry Jeudy,2022,0.5511448909129222,0.0212702354968334,11.369407888708215,13.0,0.6683333333333333,0.6416666666666667,0.525,0.4594805194805195,0.4898148148148148,0.5962962962962963
beta,production,12,Percy Harvin,2011,0.5813398655177784,0.010457608002428375,11.84375,15.0,0.8059770114942528,0.639080459770115,0.2850574712643678,0.635975135975136,0.5337931034482759,0.68183908045977
beta,usage_depth_w100,1,Zay Flowers,2025,0.3901625744278737,0.05000000000000001,11.285747111762042,15.0,0.7922880353941798,0.7253518440825355,0.49330638086883555,0.5014970059880239,0.7382035928143712,0.6699286776764941
beta,usage_depth_w100,2,Cooper Kupp,2019,0.545469587389251,0.02398449666273691,11.442291050608773,15.0,0.6895363408521303,0.5516917293233082,0.35009398496240607,0.6889379136463915,0.6292293233082706,0.5870144110275689
beta,usage_depth_w100,3,Keenan Allen,2015,0.5555523144591508,0.018561447460800608,13.1525,8.0,0.8108273905375354,0.6716509470132659,0.2634000460087417,0.6941733215025141,0.7125603864734299,0.6800858829844337
beta,usage_depth_w100,4,Stefon Diggs,2017,0.5733437073753557,0.01993026668401204,11.823189665647813,13.0,0.7583732057416268,0.715311004784689,0.3038277511961722,0.6227272727272728,0.7280701754385964,0.6332877648667122
beta,usage_depth_w100,5,Diontae Johnson,2021,0.6008615432506115,0.02345863024258758,12.792722752163899,14.0,0.7672322375397667,0.700424178154825,0.2757158006362672,0.4894094993581515,0.7489741343538199,0.686730600765365
beta,usage_depth_w100,6,Kenny Golladay,2019,0.603626043729188,0.020757708859233528,11.908842647033422,15.0,0.7958553791887126,0.8630952380952381,0.6299970605526162,0.7839705204974665,0.7368012422360248,0.6695613833294992
beta,usage_depth_w100,7,Chris Godwin,2019,0.6129492484937394,0.020288479412313376,11.510304758180384,14.0,0.5716458116093153,0.4620698644421272,0.5716458116093153,0.7052049746660525,0.5449542347352566,0.5590024330900243
beta,usage_depth_w100,8,Jerry Jeudy,2022,0.632082709020708,0.023027547196545033,11.369407888708215,13.0,0.6683333333333333,0.6416666666666667,0.525,0.4594805194805195,0.4898148148148148,0.5962962962962963
beta,usage_depth_w100,9,Terrelle Pryor,2017,0.6506903209422628,0.016492054693447732,11.688733230279823,8.0,0.8293135435992578,0.8698444412730126,0.7482517482517483,0.7710333145115754,0.4729794015508301,0.7127872127872128
beta,usage_depth_w100,10,Tyler Boyd,2019,0.6560159892483883,0.01827605608470805,10.999605518635045,15.0,0.7606177606177607,0.665057915057915,0.3914092664092664,0.564870259481038,0.40601965601965606,0.6547911547911548
beta,usage_depth_w100,11,Xavier Worthy,2025,0.663499142296099,0.025386467428091676,11.773504239832267,13.0,0.6172834187739629,0.6215482703657433,0.4211002455520614,0.6453759148369926,0.5895618834273898,0.572502477060268
beta,usage_depth_w100,12,Gabriel Davis,2022,0.6691135270003015,0.02106269465956125,11.635011971204257,14.0,0.4633009708737864,0.5122330097087379,0.6939805825242719,0.6483516483516484,0.5512874630645842,0.4954411143942592
beta,usage_air_value_w100,1,Zay Flowers,2025,0.40272972483171665,0.04661071034969868,11.285747111762042,15.0,0.7922880353941798,0.7253518440825355,0.49330638086883555,0.5014970059880239,0.7382035928143712,0.6699286776764941
beta,usage_air_value_w100,2,Keenan Allen,2015,0.5121396819634312,0.019772467561633218,13.1525,8.0,0.8108273905375354,0.6716509470132659,0.2634000460087417,0.6941733215025141,0.7125603864734299,0.6800858829844337
beta,usage_air_value_w100,3,Stefon Diggs,2017,0.55589614023587,0.019898033847351042,11.823189665647813,13.0,0.7583732057416268,0.715311004784689,0.3038277511961722,0.6227272727272728,0.7280701754385964,0.6332877648667122
beta,usage_air_value_w100,4,Cooper Kupp,2019,0.559663634909468,0.022127605520726228,11.442291050608773,15.0,0.6895363408521303,0.5516917293233082,0.35009398496240607,0.6889379136463915,0.6292293233082706,0.5870144110275689
beta,usage_air_value_w100,5,Gabriel Davis,2022,0.5676763904428708,0.025799032088480937,11.635011971204257,14.0,0.4633009708737864,0.5122330097087379,0.6939805825242719,0.6483516483516484,0.5512874630645842,0.4954411143942592
beta,usage_air_value_w100,6,Chris Godwin,2019,0.5966356292531553,0.020208507825540404,11.510304758180384,14.0,0.5716458116093153,0.4620698644421272,0.5716458116093153,0.7052049746660525,0.5449542347352566,0.5590024330900243
beta,usage_air_value_w100,7,Diontae Johnson,2021,0.6028163212683406,0.02234485695076418,12.792722752163899,14.0,0.7672322375397667,0.700424178154825,0.2757158006362672,0.4894094993581515,0.7489741343538199,0.686730600765365
beta,usage_air_value_w100,8,Kenny Golladay,2019,0.6086192006381246,0.019628736492465586,11.908842647033422,15.0,0.7958553791887126,0.8630952380952381,0.6299970605526162,0.7839705204974665,0.7368012422360248,0.6695613833294992
beta,usage_air_value_w100,9,Terrelle Pryor,2017,0.6119684379573213,0.017345990921330785,11.688733230279823,8.0,0.8293135435992578,0.8698444412730126,0.7482517482517483,0.7710333145115754,0.4729794015508301,0.7127872127872128
beta,usage_air_value_w100,10,Jerry Jeudy,2022,0.6346858144703583,0.021921991199862167,11.369407888708215,13.0,0.6683333333333333,0.6416666666666667,0.525,0.4594805194805195,0.4898148148148148,0.5962962962962963
beta,usage_air_value_w100,11,Percy Harvin,2011,0.6375198652804016,0.011534276810992531,11.84375,15.0,0.8059770114942528,0.639080459770115,0.2850574712643678,0.635975135975136,0.5337931034482759,0.68183908045977
beta,usage_air_value_w100,12,Jeremy Maclin,2011,0.6389960115720359,0.011493643661361796,12.40625,12.0,0.7123470522803115,0.7276974416017797,0.671412680756396,0.5784615384615385,0.7234334445680386,0.6432703003337041
beta,usage_air_value_disp_w100,1,Zay Flowers,2025,0.4080932575168045,0.04569769984342507,11.285747111762042,15.0,0.7922880353941798,0.7253518440825355,0.49330638086883555,0.5014970059880239,0.7382035928143712,0.6699286776764941
beta,usage_air_value_disp_w100,2,Keenan Allen,2015,0.520454550036087,0.019262829409776826,13.1525,8.0,0.8108273905375354,0.6716509470132659,0.2634000460087417,0.6941733215025141,0.7125603864734299,0.6800858829844337
beta,usage_air_value_disp_w100,3,Gabriel Davis,2022,0.5538412271326135,0.026562650640508632,11.635011971204257,14.0,0.4633009708737864,0.5122330097087379,0.6939805825242719,0.6483516483516484,0.5512874630645842,0.4954411143942592
beta,usage_air_value_disp_w100,4,Cooper Kupp,2019,0.5672184553964436,0.021612135688897104,11.442291050608773,15.0,0.6895363408521303,0.5516917293233082,0.35009398496240607,0.6889379136463915,0.6292293233082706,0.5870144110275689
beta,usage_air_value_disp_w100,5,Stefon Diggs,2017,0.5679879249422998,0.019217851739288236,11.823189665647813,13.0,0.7583732057416268,0.715311004784689,0.3038277511961722,0.6227272727272728,0.7280701754385964,0.6332877648667122
beta,usage_air_value_disp_w100,6,Chris Godwin,2019,0.5816444199893767,0.020861458795173513,11.510304758180384,14.0,0.5716458116093153,0.4620698644421272,0.5716458116093153,0.7052049746660525,0.5449542347352566,0.5590024330900243
beta,usage_air_value_disp_w100,7,Terrelle Pryor,2017,0.5876036687194854,0.01831712561139455,11.688733230279823,8.0,0.8293135435992578,0.8698444412730126,0.7482517482517483,0.7710333145115754,0.4729794015508301,0.7127872127872128
beta,usage_air_value_disp_w100,8,Kenny Golladay,2019,0.6032916152201669,0.019791498249386124,11.908842647033422,15.0,0.7958553791887126,0.8630952380952381,0.6299970605526162,0.7839705204974665,0.7368012422360248,0.6695613833294992
beta,usage_air_value_disp_w100,9,Diontae Johnson,2021,0.6124238355425218,0.021730407361921507,12.792722752163899,14.0,0.7672322375397667,0.700424178154825,0.2757158006362672,0.4894094993581515,0.7489741343538199,0.686730600765365
beta,usage_air_value_disp_w100,10,Jerry Jeudy,2022,0.6265635549738513,0.022253274503825003,11.369407888708215,13.0,0.6683333333333333,0.6416666666666667,0.525,0.4594805194805195,0.4898148148148148,0.5962962962962963
beta,usage_air_value_disp_w100,11,Percy Harvin,2011,0.6321845301512109,0.011630779120468178,11.84375,15.0,0.8059770114942528,0.639080459770115,0.2850574712643678,0.635975135975136,0.5337931034482759,0.68183908045977
beta,usage_air_value_disp_w100,12,Jeremy Maclin,2011,0.646124224016693,0.011250973121565677,12.40625,12.0,0.7123470522803115,0.7276974416017797,0.671412680756396,0.5784615384615385,0.7234334445680386,0.6432703003337041
beta,usage_air_value_disp_w150,1,Zay Flowers,2025,0.4595548385864077,0.0446658320183421,11.285747111762042,15.0,0.7922880353941798,0.7253518440825355,0.49330638086883555,0.5014970059880239,0.7382035928143712,0.6699286776764941
beta,usage_air_value_disp_w150,2,Keenan Allen,2015,0.5634602615695273,0.019314006966486455,13.1525,8.0,0.8108273905375354,0.6716509470132659,0.2634000460087417,0.6941733215025141,0.7125603864734299,0.6800858829844337
beta,usage_air_value_disp_w150,3,Cooper Kupp,2019,0.5970876724870218,0.02241279482241481,11.442291050608773,15.0,0.6895363408521303,0.5516917293233082,0.35009398496240607,0.6889379136463915,0.6292293233082706,0.5870144110275689
beta,usage_air_value_disp_w150,4,Stefon Diggs,2017,0.6026441549749091,0.019700190357635317,11.823189665647813,13.0,0.7583732057416268,0.715311004784689,0.3038277511961722,0.6227272727272728,0.7280701754385964,0.6332877648667122
beta,usage_air_value_disp_w150,5,Gabriel Davis,2022,0.6301772224986173,0.024609558994623942,11.635011971204257,14.0,0.4633009708737864,0.5122330097087379,0.6939805825242719,0.6483516483516484,0.5512874630645842,0.4954411143942592
beta,usage_air_value_disp_w150,6,Chris Godwin,2019,0.6422942481244215,0.020104270148381013,11.510304758180384,14.0,0.5716458116093153,0.4620698644421272,0.5716458116093153,0.7052049746660525,0.5449542347352566,0.5590024330900243
beta,usage_air_value_disp_w150,7,Percy Harvin,2011,0.6576068624679272,0.012213372381033438,11.84375,15.0,0.8059770114942528,0.639080459770115,0.2850574712643678,0.635975135975136,0.5337931034482759,0.68183908045977
beta,usage_air_value_disp_w150,8,Jerry Jeudy,2022,0.664272887004316,0.022696210873619255,11.369407888708215,13.0,0.6683333333333333,0.6416666666666667,0.525,0.4594805194805195,0.4898148148148148,0.5962962962962963
beta,usage_air_value_disp_w150,9,Diontae Johnson,2021,0.6647818485271257,0.021396722477284268,12.792722752163899,14.0,0.7672322375397667,0.700424178154825,0.2757158006362672,0.4894094993581515,0.7489741343538199,0.686730600765365
beta,usage_air_value_disp_w150,10,Terrelle Pryor,2017,0.6715493010302321,0.016714708782970954,11.688733230279823,8.0,0.8293135435992578,0.8698444412730126,0.7482517482517483,0.7710333145115754,0.4729794015508301,0.7127872127872128
beta,usage_air_value_disp_w150,11,Xavier Worthy,2025,0.6748887260121145,0.02632612294914866,11.773504239832267,13.0,0.6172834187739629,0.6215482703657433,0.4211002455520614,0.6453759148369926,0.5895618834273898,0.572502477060268
beta,usage_air_value_disp_w150,12,Kenny Golladay,2019,0.6806851463603725,0.018364822210364465,11.908842647033422,15.0,0.7958553791887126,0.8630952380952381,0.6299970605526162,0.7839705204974665,0.7368012422360248,0.6695613833294992
