study,result_dir,experiment,league,evidence_class,baseline_method,method,tier,period,n,ppg_crps,contribution_crps,played_crps,ppg_bias,contribution_bias,played_bias,ppg_80_coverage,extended_absence_calibration,extended_absence_brier,zero_active_calibration,predicted_missed_games,observed_missed_games,baseline_ppg_crps,baseline_contribution_crps,baseline_played_crps,baseline_ppg_bias,baseline_contribution_bias,baseline_played_bias,baseline_ppg_80_coverage,baseline_extended_absence_calibration,baseline_extended_absence_brier,baseline_zero_active_calibration,ppg_crps_delta,ppg_crps_relative_delta,contribution_crps_delta,contribution_crps_relative_delta,played_crps_delta,played_crps_relative_delta,abs_ppg_bias_degradation,abs_contribution_bias_degradation,abs_played_bias_degradation,abs_extended_absence_calibration_degradation,abs_zero_active_calibration_degradation,ppg_80_coverage_delta
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,beta_scored_ppg_only,core_broad,recent_2020_2025,936,1.9458947958093367,21.56309701235209,1.4676049934638766,-0.05346300929710465,0.18760482995060587,0.05358331961339727,0.8247863247863247,0.003996583581547794,0.09769277282399333,-0.003885577751430105,3.339579073548995,3.3931623931623935,1.9435984255877072,21.5884378203512,1.4722573359307514,-0.05422629447560985,0.5098842201374408,0.13240808416533478,0.8173076923076923,-0.0016059861341820025,0.09772641866223265,-0.003913500046764446,0.002296370221629429,0.001181504466867933,-0.02534080799910754,-0.001173813881763075,-0.004652342466874737,-0.0031600063068686346,-0.0007632851785051992,-0.32227939018683494,-0.07882476455193752,0.0023905974473657915,-2.7922295334340853e-05,0.007478632478632452
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,production_hybrid,core_broad,recent_2020_2025,936,1.9435984255877072,21.5884378203512,1.4722573359307514,-0.05422629447560985,0.5098842201374408,0.13240808416533478,0.8173076923076923,-0.0016059861341820025,0.09772641866223265,-0.003913500046764446,3.2607543089970576,3.3931623931623935,1.9435984255877072,21.5884378203512,1.4722573359307514,-0.05422629447560985,0.5098842201374408,0.13240808416533478,0.8173076923076923,-0.0016059861341820025,0.09772641866223265,-0.003913500046764446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,beta_scored_ppg_only,core_broad,temporal_2023_2025,468,1.9909188568712466,21.718815177955207,1.4372067346076167,0.07646291752922156,0.04128798130536158,-0.1386308910473584,0.8012820512820513,0.0077234246099143755,0.0954197741161472,-0.004177462951993545,3.3694001218165877,3.23076923076923,1.9849270213943166,21.70776572926194,1.4531523398589252,0.07591736368255993,0.2718477817677268,-0.04911779887239914,0.7948717948717948,0.0021118199790931824,0.09606245513909993,-0.004352612915100334,0.005991835476929941,0.003018667896777849,0.011049448693267294,0.0005090090261279379,-0.015945605251308503,-0.01097311328890438,0.0005455538466616339,-0.2305598004623652,0.08951309217495926,0.005611604630821193,-0.00017514996310678908,0.0064102564102564985
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,production_hybrid,core_broad,temporal_2023_2025,468,1.9849270213943166,21.70776572926194,1.4531523398589252,0.07591736368255993,0.2718477817677268,-0.04911779887239914,0.7948717948717948,0.0021118199790931824,0.09606245513909993,-0.004352612915100334,3.27988702964163,3.23076923076923,1.9849270213943166,21.70776572926194,1.4531523398589252,0.07591736368255993,0.2718477817677268,-0.04911779887239914,0.7948717948717948,0.0021118199790931824,0.09606245513909993,-0.004352612915100334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,beta_scored_ppg_only,depth_main,all_2017_2025,1546,1.7023201260057395,11.49313226448498,1.8574957506675265,0.3514664341962829,2.458199722550429,0.24243413578886225,0.8175937904269082,-0.013274837552042784,0.1725173069307944,-0.004702827549539608,4.9981868215203225,5.240620957309185,1.7045915195523313,11.545278444827256,1.840025714794539,0.3519586418113164,2.9883124582044944,0.14171547808330992,0.8195342820181113,-0.0059512204419354675,0.17204848130522607,-0.0024200694294663587,-0.0022713935465918933,-0.0013325148697139744,-0.05214618034227492,-0.004516667189229939,0.017470035872987566,0.009494452024513267,-0.0004922076150335464,-0.5301127356540656,0.10071865770555233,0.007323617110107317,0.0022827581200732493,-0.0019404915912031306
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,production_hybrid,depth_main,all_2017_2025,1546,1.7045915195523313,11.545278444827256,1.840025714794539,0.3519586418113164,2.9883124582044944,0.14171547808330992,0.8195342820181113,-0.0059512204419354675,0.17204848130522607,-0.0024200694294663587,5.098905479225875,5.240620957309185,1.7045915195523313,11.545278444827256,1.840025714794539,0.3519586418113164,2.9883124582044944,0.14171547808330992,0.8195342820181113,-0.0059512204419354675,0.17204848130522607,-0.0024200694294663587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,beta_scored_ppg_only,depth_main,development_2017_2022,1018,1.629156661508019,11.409479975402975,1.8639750175614744,0.14058407182374516,1.8413139818204904,0.36660866284614885,0.8398821218074656,-0.029576568497410916,0.1786929483385105,0.0018321528586468967,4.882900178018291,5.24950884086444,1.6343890724077412,11.45433889669948,1.8391355657825843,0.13993086913836228,2.2818227086964726,0.2184445461158418,0.8369351669941061,-0.01736586241919802,0.17819810595033148,0.003750949874621063,-0.005232410899722151,-0.003201447554965542,-0.04485892129650537,-0.00391632565624811,0.02483945177889013,0.013506047211000682,0.000653202685382881,-0.4405087268759822,0.14816411673030705,0.012210706078212896,-0.0019187970159741663,0.0029469548133594925
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,production_hybrid,depth_main,development_2017_2022,1018,1.6343890724077412,11.45433889669948,1.8391355657825843,0.13993086913836228,2.2818227086964726,0.2184445461158418,0.8369351669941061,-0.01736586241919802,0.17819810595033148,0.003750949874621063,5.031064294748598,5.24950884086444,1.6343890724077412,11.45433889669948,1.8391355657825843,0.13993086913836228,2.2818227086964726,0.2184445461158418,0.8369351669941061,-0.01736586241919802,0.17819810595033148,0.003750949874621063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,beta_scored_ppg_only,depth_main,recent_2020_2025,1047,1.7215551986962618,11.331107462242228,1.8763749988134575,0.549045828329528,3.437416682739053,0.2606716352630696,0.8099331423113658,-0.013131435668208846,0.17127423022383115,-0.01074479950774378,5.0774372472584215,5.338108882521491,1.7226293281556075,11.40052865801794,1.8600785829620279,0.5500090907422381,4.058897674094111,0.183299433370432,0.8147086914995224,-0.008385269767329118,0.1705878279043751,-0.007634022524285938,-0.0010741294593457074,-0.000623540678072465,-0.06942119577571226,-0.006089296194776828,0.016296415851429602,0.008761143749894007,-0.0009632624127101641,-0.6214809913550581,0.07737220189263758,0.0047461659008797286,0.003110776983457842,-0.0047755491881565915
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,production_hybrid,depth_main,recent_2020_2025,1047,1.7226293281556075,11.40052865801794,1.8600785829620279,0.5500090907422381,4.058897674094111,0.183299433370432,0.8147086914995224,-0.008385269767329118,0.1705878279043751,-0.007634022524285938,5.154809449151058,5.338108882521491,1.7226293281556075,11.40052865801794,1.8600785829620279,0.5500090907422381,4.058897674094111,0.183299433370432,0.8147086914995224,-0.008385269767329118,0.1705878279043751,-0.007634022524285938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,beta_scored_ppg_only,depth_main,temporal_2023_2025,528,1.843381502632026,11.654416412752928,1.8450035277545744,0.7580540192251529,3.6475741241850446,0.0030218847579573838,0.7746212121212122,0.01815539370247382,0.16061048315606896,-0.017302467806232524,5.220462963726892,5.223484848484848,1.839943964993984,11.720612649361493,1.8417419490637996,0.7607546126087925,4.3504461040362505,-0.006220490206685264,0.7859848484848485,0.016056555188468435,0.16019181863720086,-0.014317981648331875,0.0034375376380419986,0.0018682838735544216,-0.06619623660856533,-0.005647847820665852,0.0032615786907748134,0.001770920563780809,-0.0027005933836395934,-0.702871979851206,-0.00319860544872788,0.0020988385140053856,0.002984486157900649,-0.011363636363636354
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,production_hybrid,depth_main,temporal_2023_2025,528,1.839943964993984,11.720612649361493,1.8417419490637996,0.7607546126087925,4.3504461040362505,-0.006220490206685264,0.7859848484848485,0.016056555188468435,0.16019181863720086,-0.014317981648331875,5.229705338691534,5.223484848484848,1.839943964993984,11.720612649361493,1.8417419490637996,0.7607546126087925,4.3504461040362505,-0.006220490206685264,0.7859848484848485,0.016056555188468435,0.16019181863720086,-0.014317981648331875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,beta_scored_ppg_only,core_main_qb1,all_2017_2025,1058,1.9504687298502121,23.5253337254926,1.4534769524750328,-0.26647025172559763,-2.2597765895136663,0.05417602243960907,0.832703213610586,0.0005991498557112868,0.09697933995155676,-0.004187369671869127,3.172667077749427,3.2268431001890363,1.9482425781651278,23.501743076938748,1.453601220979951,-0.26689541017131196,-2.019062651271918,0.10544183457698313,0.8204158790170132,-0.002859869507663579,0.09719758013933162,-0.004228710276327117,0.002226151685084332,0.0011426460493337842,0.023590648553852844,0.0010037829311904112,-0.00012426850491809027,-8.549009392977425e-05,-0.00042515844571433536,0.24071393824174825,-0.05126581213737406,-0.002260719651952292,-4.134060445798969e-05,0.012287334593572785
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,production_hybrid,core_main_qb1,all_2017_2025,1058,1.9482425781651278,23.501743076938748,1.453601220979951,-0.26689541017131196,-2.019062651271918,0.10544183457698313,0.8204158790170132,-0.002859869507663579,0.09719758013933162,-0.004228710276327117,3.1214012656120538,3.2268431001890363,1.9482425781651278,23.501743076938748,1.453601220979951,-0.26689541017131196,-2.019062651271918,0.10544183457698313,0.8204158790170132,-0.002859869507663579,0.09719758013933162,-0.004228710276327117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
