year,policy,trials,unique_rosters,forecast_ev,forecast_p10,forecast_p90,actual_points,actual_playoff_points,actual_waiver_starts,actual_cap_feasible,actual_cap_overage,forecast_salary_spend,starter_forecast_spend,bench_forecast_spend,bench_mean_price,bench_le5,bench_le10,top3_spend_share,stars_ge40,bench_actual_max4_ppg,bench_sustained_12_hits,bench_sustained_15_hits,bench_dead_below10
2023,hurdle_plus2,250,250,1501.5270405273438,1361.1063110351563,1643.348220703125,1747.934400390625,476.3892802734375,61.284,0.284,16.764,291.5391500244141,263.80696405029295,27.732185569763182,5.546437110900879,3.548,3.928,0.6970390317440033,2.648,11.948693494796753,1.772,1.548,2.524
2023,hurdle_plus3,250,250,1505.1569614257812,1356.201765625,1654.2325405273436,1795.8561567382812,486.5276009521484,62.796,0.576,7.876,290.43309838867185,271.6287564086914,18.80434199333191,3.7608683972358703,4.1,4.5,0.7506939914226533,2.688,10.856980058574676,1.628,1.396,2.796
2023,sustained_option025,250,245,1562.7868549804687,1419.2196333007812,1705.0049057617186,1713.4171220703124,488.02472253417966,58.296,0.132,24.768,296.0999284667969,260.2176912231445,35.88223703384399,7.176447393894196,2.312,3.5,0.604026571393013,2.228,15.267286882019043,2.5,2.46,2.02
2023,sustained_option050,250,246,1558.333486328125,1415.7733515625,1699.4202939453126,1701.3082426757812,487.45360400390626,59.116,0.124,23.268,295.9229090576172,258.14642657470705,37.77648197174072,7.555296385288239,2.12,3.372,0.5908051289319992,2.084,15.611880241394044,2.604,2.58,1.844
2024,bench0,250,250,1651.750576171875,1496.5193657226562,1811.848849609375,1563.5428803710938,429.44648010253906,37.416,0.032,38.688,295.61414587402345,257.71599755859376,37.8981496887207,7.579629930496216,1.58,3.42,0.5654825088977814,1.964,14.55312649641037,3.372,2.068,1.216
2024,current_bench025,250,250,1651.8586782226562,1496.6683759765624,1810.9844721679688,1558.4373647460939,428.9731982421875,37.912,0.024,37.32,295.34211462402345,256.3386047973633,39.00351300811768,7.800702612876892,1.548,3.34,0.5661801841259003,1.912,14.413879839229583,3.344,1.932,1.2
2024,hurdle_plus1,250,250,1650.1699438476562,1494.5602534179689,1810.56024609375,1554.702248046875,424.03576013183596,38.164,0.012,38.932,295.23021936035155,254.23173876953126,40.998481391906736,8.199696290016174,1.404,3.188,0.5591501642465592,1.856,14.479433170318604,3.384,1.936,1.172
2024,hurdle_plus2,250,250,1628.1024643554688,1478.929685546875,1779.7308037109376,1529.9139975585938,422.60608203125,41.488,0.072,34.068,294.91330493164065,251.8704310913086,43.042874359130856,8.608574876785278,1.42,2.96,0.5730617399215698,2.048,14.75966658000946,3.176,2.052,0.928
2024,hurdle_plus3,250,250,1608.4586801757812,1462.6165844726563,1755.383025390625,1474.8840009765624,408.53264208984376,47.616,0.204,21.94,294.244287109375,254.57074786376953,39.67353986930847,7.934707990169525,2.008,3.04,0.597354234457016,2.26,13.905840048789978,2.776,1.748,1.072
2024,sustained_option025,250,244,1658.7116704101563,1505.1901030273436,1817.193439453125,1603.0611245117188,464.82256188964845,34.596,0.008,45.46,296.67410485839844,256.0510335693359,40.62307218170166,8.124614427566529,1.024,3.208,0.5673008940219879,1.964,16.0621331161499,3.584,2.616,1.384
2024,sustained_option050,250,242,1657.9908442382812,1503.818611328125,1816.5820874023439,1616.20719921875,475.21767932128904,34.04,0.012,48.304,296.40469860839846,254.33215081787108,42.07254856872559,8.4145096950531,0.816,3.076,0.5668946975469589,1.952,16.537259761047363,3.708,2.764,1.244
2025,bench0,250,250,1660.3387216796875,1505.1812451171875,1813.7040888671875,1598.595841796875,370.77615795898436,39.12,0.06,30.888,295.9187789306641,251.30416387939454,44.614612205505374,8.922922422409057,1.284,3.196,0.5638782336711884,1.788,12.05773341150284,2.492,1.388,1.58
2025,current_bench025,250,250,1658.0800205078126,1504.4664638671875,1811.1820888671875,1585.327841796875,371.7795192871094,39.2,0.08,28.752,296.0845634765625,248.30508197021484,47.779478385925295,9.555895658493043,1.144,3.0,0.5502808867692948,1.692,12.218446759986877,2.552,1.364,1.5
2025,hurdle_plus1,250,250,1656.21985546875,1504.0043940429687,1808.3005708007813,1585.2796845703126,373.8183162841797,38.692,0.08,30.248,296.0305528564453,245.82295867919922,50.20759401702881,10.041518800735474,0.932,2.788,0.5449836804866791,1.648,12.462120086002349,2.708,1.44,1.416
2025,hurdle_plus2,250,250,1655.2139409179688,1503.698896484375,1806.1658603515625,1583.5579169921875,372.27663598632813,39.532,0.056,31.172,296.07605017089844,244.2915619506836,51.784486312866214,10.356897274017333,0.912,2.616,0.5412376229763031,1.604,12.119980120754242,2.636,1.396,1.516
2025,hurdle_plus3,250,250,1638.9055668945311,1488.8167202148438,1788.9975322265625,1584.7019936523438,369.6464774169922,42.104,0.048,30.528,295.6331989746094,246.02880688476563,49.604392837524415,9.920878564834595,1.288,2.704,0.5583476039171219,1.764,11.26255348291397,2.352,1.332,1.856
2025,sustained_option025,250,247,1660.3829897460937,1505.441798828125,1814.7222124023438,1588.1230366210937,375.97479736328125,40.084,0.016,41.192,296.7708731689453,249.40781134033202,47.36305915832519,9.472611827850342,1.316,2.808,0.5588331176042557,1.764,11.976273325061799,2.676,0.88,1.82
2025,sustained_option050,250,249,1658.8685981445312,1503.54665234375,1813.8982983398437,1589.304955078125,377.3731983642578,39.98,0.024,39.988,296.8160712890625,247.8775679321289,48.93850116729736,9.787700225830077,1.3,2.692,0.5560953824520111,1.712,12.062013322544098,2.74,0.856,1.728
