projection_scope,pos,threshold,outcome,n,events,above_threshold_n,above_threshold_events,status,threshold_step_odds_ratio,threshold_step_or_ci95_low,threshold_step_or_ci95_high,threshold_step_p_value,threshold_step_risk_pp,further_year_odds_ratio,further_year_or_ci95_low,further_year_or_ci95_high,further_year_p_value,further_year_risk_pp
all,WR,9,next_ppg_cliff_30,1888,256,101,22,ok,1.5083242348704,0.6693296196057213,3.3989859866615872,0.32144947396407375,6.413512824468237,0.9207979679057317,0.6829155052438628,1.241542901265009,0.5884147210141879,-1.3237541781614146
all,WR,9,next_no_useful,1888,685,101,63,ok,1.3895943430318485,0.728915153385258,2.6491045346199926,0.31757050924530217,7.761550318613346,1.3693829231223646,0.902032782015995,2.0788707766786025,0.13996432497755298,6.450812155432758
all,TE,8,current_ppg_cliff_30,654,138,63,12,ok,0.5848498699253465,0.21919108357924846,1.5605076847390413,0.2840536774424476,-8.077593007158153,1.1475081016696136,0.8471897544633896,1.5542856089323767,0.37411215749991045,2.121033128159515
all,TE,8,current_ppg_cliff_50,654,33,63,1,ok,0.7008738614130828,0.7008738614130828,0.7008738614130829,0.0,-1.4099093480233764,1.1820591346453594e-08,1.1820591346453594e-08,1.1820591346453594e-08,0.0,-1.5873015700064206
all,TE,8,extended_absence_8,776,122,73,10,ok,0.8874212501225163,0.32393272072360496,2.431111230164848,0.8163162962975221,-1.4327185192339136,0.9676250445489887,0.6876412139559398,1.361608652646037,0.8502151816356741,-0.36197860560397727
all,TE,8,current_any_bust,776,260,73,22,ok,0.6789819246682028,0.32799986701996625,1.4055385394350595,0.29696878141032435,-8.115126970634226,1.0709571242559939,0.8686409859254405,1.3203949394268122,0.5210510619480995,1.4202879455082176
all,TE,8,next_no_appearance,727,80,67,18,ok,0.7856355993382194,0.2747529415897439,2.2464665578327088,0.6526455298652538,-3.3135844247619035,1.4087169693815749,1.0851625564535747,1.8287430652870196,0.010056659597147213,5.986686622364972
all,TE,8,next_ppg_cliff_30,727,114,67,6,ok,0.39390985792599365,0.08582245039317739,1.8079765313204301,0.2308048916275519,-10.241218974066504,1.0416343805377721,0.624140599591727,1.7383938545706652,0.8759533893810044,0.334131155012355
all,TE,8,next_no_useful,727,240,67,29,ok,0.5524240802432694,0.23471944991081486,1.3001579739070492,0.1741692360503343,-13.180474884350716,1.3341268896293055,0.9954276623760059,1.788070218365742,0.053690043202811094,6.40940067649466
starter_or_elite,RB,7,current_ppg_cliff_30,675,120,50,10,ok,2.1541963214567756,0.6531186813662384,7.105235118478711,0.20753732309235573,10.503289796217821,0.7860455540930525,0.38525533443243504,1.603787301270487,0.5081746551261246,-3.352510884679696
starter_or_elite,RB,7,current_ppg_cliff_50,675,45,50,3,ok,3.1518961982566855,0.6404652379265712,15.511301872911211,0.1579545818859046,9.422834888791947,0.20857896074518428,0.03569981287490413,1.2186389608816104,0.08178165379776348,-4.57474596456639
starter_or_elite,RB,7,extended_absence_8,778,103,58,8,ok,1.4691200082787468,0.549622994010803,3.926898296184681,0.4431802444225936,5.021422907629479,0.670161010610254,0.3702699762514815,1.2129413912758744,0.18608873403652126,-3.992750416190948
starter_or_elite,RB,7,current_any_bust,778,223,58,18,ok,1.8723681496287763,0.7905472367909923,4.434602164919277,0.15394389646414608,12.699316869608188,0.7331880098658684,0.4540437005741348,1.1839491598084642,0.20430991591986403,-5.932646982927062
starter_or_elite,RB,7,next_no_appearance,735,67,53,12,ok,2.625803857142068,0.8461095746782862,8.148880597177696,0.09476318467499148,16.24620516756739,0.6065746023933937,0.3233745266966672,1.1377913777785997,0.11928970436039088,-7.172661210097697
starter_or_elite,RB,7,next_ppg_cliff_30,735,156,53,10,ok,0.5986186480990734,0.1867406476236983,1.918941004071396,0.38793752661661995,-8.765614477852077,0.9324646675098072,0.5196728967723996,1.6731493244200975,0.8146566568140845,-0.9925179228850803
