player,season,pos,next_pred_ppg,recorded_next_y_act,validation_rows,raw_year_exp,pred_ppg,input_current_y_act,input_next_y_act,true_current_games,true_current_ppg,true_current_points,next_season,true_next_games,true_next_ppg,true_next_points,true_no_appearance,true_no_useful,recorded_no_useful,recorded_minus_true_ppg,carried_forward_current_ppg,threshold,above_threshold,experience_cohort,exp_below,excess_exp,further_excess_exp
Aj Green,2022,WR,5.412868250595257,3.0791666666666666,2,11.0,5.463628897330205,3.475,3.475,12.0,3.475,41.7,2023,0.0,0.0,0.0,True,True,True,3.0791666666666666,True,9.0,True,above_threshold,9.0,2.0,1.0
Albert Okwuegbunam,2021,TE,5.692566124265295,5.1,1,1.0,4.669165501751475,5.923076923076923,5.1,13.0,5.923076923076923,77.0,2022,5.0,5.1,25.5,False,False,False,0.0,False,8.0,False,threshold_or_below,1.0,0.0,0.0
Albert Wilson,2017,WR,4.606757840945832,11.814285714285715,2,3.0,4.6837733235446715,7.608333333333333,12.957142857142857,12.0,7.608333333333333,91.3,2018,7.0,12.957142857142857,90.7,False,False,False,-1.1428571428571423,False,9.0,False,threshold_or_below,3.0,0.0,0.0
Albert Wilson,2018,WR,5.9406945730502,5.7250000000000005,2,4.0,5.740964653212336,12.957142857142857,6.4750000000000005,7.0,12.957142857142857,90.7,2019,12.0,6.4750000000000005,77.7,False,False,False,-0.75,False,9.0,False,threshold_or_below,4.0,0.0,0.0
Albert Wilson,2019,WR,6.61210226315432,5.7250000000000005,2,5.0,6.615072136104489,6.4750000000000005,6.4750000000000005,12.0,6.4750000000000005,77.7,2020,0.0,0.0,0.0,True,True,False,5.7250000000000005,True,9.0,False,threshold_or_below,5.0,0.0,0.0
Aldrick Robinson,2017,WR,4.201659285092281,5.257692307692308,2,6.0,4.161335227848454,3.753846153846154,5.392307692307692,13.0,3.753846153846154,48.8,2018,13.0,5.392307692307692,70.1,False,False,False,-0.13461538461538414,False,9.0,False,threshold_or_below,6.0,0.0,0.0
Alec Pierce,2022,WR,8.191144331493875,5.15,3,0.0,7.689787389795474,7.006666666666667,5.9625,15.0,7.006666666666667,105.10000000000001,2023,16.0,5.9625,95.4,False,False,True,-0.8125,False,9.0,False,threshold_or_below,0.0,0.0,0.0
Alec Pierce,2023,WR,6.809506047369394,9.28,3,1.0,6.7191849487305575,5.9625,9.846666666666666,16.0,5.9625,95.4,2024,15.0,9.846666666666666,147.7,False,False,False,-0.5666666666666664,False,9.0,False,threshold_or_below,1.0,0.0,0.0
Alec Pierce,2024,WR,4.581619867734645,9.828571428571427,2,2.0,4.605791933401416,9.846666666666666,11.007142857142856,15.0,9.846666666666666,147.7,2025,14.0,11.007142857142856,154.1,False,False,False,-1.1785714285714288,False,9.0,False,threshold_or_below,2.0,0.0,0.0
Alex Armah,2018,RB,5.166358092594481,1.6166666666666665,3,0.0,4.00808931768091,1.9142857142857144,1.6166666666666665,7.0,1.9142857142857144,13.4,2019,6.0,1.6166666666666665,9.7,False,True,True,0.0,False,7.0,False,threshold_or_below,0.0,0.0,0.0
Alex Armah,2019,RB,4.739592243808709,0.4727272727272727,2,1.0,3.6615437079950364,1.6166666666666665,0.7000000000000001,6.0,1.6166666666666665,9.7,2020,11.0,0.7000000000000001,7.7,False,True,True,-0.22727272727272735,False,7.0,False,threshold_or_below,1.0,0.0,0.0
Alex Erickson,2018,WR,4.533038496946809,5.435714285714286,3,2.0,4.065991802101635,2.66,6.864285714285714,10.0,2.66,26.6,2019,14.0,6.864285714285714,96.1,False,False,False,-1.428571428571428,False,9.0,False,threshold_or_below,2.0,0.0,0.0
Alex Erickson,2019,WR,3.510339537162427,2.1375,2,3.0,3.5685735084091315,6.864285714285714,2.95,14.0,6.864285714285714,96.1,2020,8.0,2.95,23.6,False,False,True,-0.8125,False,9.0,False,threshold_or_below,3.0,0.0,0.0
Alexander Mattison,2019,RB,7.510423194150808,4.533333333333333,3,0.0,6.801153948414732,5.338461538461539,4.783333333333334,13.0,5.338461538461539,69.4,2020,12.0,4.783333333333334,57.400000000000006,False,True,True,-0.2500000000000009,False,7.0,False,threshold_or_below,0.0,0.0,0.0
Alexander Mattison,2020,RB,7.345850762864935,7.553333333333332,3,1.0,6.980046788984237,4.783333333333334,8.253333333333334,12.0,4.783333333333334,57.400000000000006,2021,15.0,8.253333333333334,123.8,False,False,False,-0.700000000000002,False,7.0,False,threshold_or_below,1.0,0.0,0.0
Alexander Mattison,2021,RB,7.059799766453467,4.15,2,2.0,6.692873848751449,8.253333333333334,4.3375,15.0,8.253333333333334,123.8,2022,16.0,4.3375,69.4,False,True,True,-0.1875,False,7.0,False,threshold_or_below,2.0,0.0,0.0
Alexander Mattison,2022,RB,7.130482107190173,7.853333333333334,2,3.0,7.1316468625616585,4.3375,8.753333333333334,16.0,4.3375,69.4,2023,15.0,8.753333333333334,131.3,False,False,False,-0.8999999999999995,False,7.0,False,threshold_or_below,3.0,0.0,0.0
Alexander Mattison,2023,RB,10.06236359902,9.023076923076923,2,4.0,11.277534092108352,8.753333333333334,9.946153846153846,15.0,8.753333333333334,131.3,2024,13.0,9.946153846153846,129.3,False,False,False,-0.9230769230769234,False,7.0,False,threshold_or_below,4.0,0.0,0.0
Alexander Mattison,2024,RB,5.567110206278292,9.023076923076923,2,5.0,5.728873462491809,9.946153846153846,9.946153846153846,13.0,9.946153846153846,129.3,2025,0.0,0.0,0.0,True,True,False,9.023076923076923,True,7.0,False,threshold_or_below,5.0,0.0,0.0
Alfred Blue,2017,RB,5.001102533292261,5.7266666666666675,2,3.0,4.1055733308773625,3.8714285714285714,6.193333333333333,7.0,3.8714285714285714,27.1,2018,15.0,6.193333333333333,92.9,False,False,False,-0.4666666666666659,False,7.0,False,threshold_or_below,3.0,0.0,0.0
