pos,raw_year_exp,outcome,events,n,rate,ci95_low,ci95_high,avg_pred_ppg,avg_raw_year_exp
RB,4.0,next_no_useful,60,143,0.4195804195804196,0.34183688468115886,0.5015317519994549,9.700508374960078,4.0
RB,5.0,current_ppg_cliff_30,15,99,0.15151515151515152,0.09402242321177301,0.2350428577640189,10.36895259576678,5.0
RB,5.0,current_ppg_cliff_50,6,99,0.06060606060606061,0.028069414889737472,0.12596941764495667,10.36895259576678,5.0
RB,5.0,extended_absence_8,21,120,0.175,0.11740448670592563,0.25275868948042857,9.725950012825638,5.0
RB,5.0,current_any_bust,36,120,0.3,0.22525501338672319,0.38715309503564865,9.725950012825638,5.0
RB,5.0,next_no_appearance,20,115,0.17391304347826086,0.11549589521930297,0.2534119619620207,9.758345448943322,5.0
RB,5.0,next_ppg_cliff_30,22,115,0.19130434782608696,0.12986500788825311,0.27270109691006666,9.758345448943322,5.0
RB,5.0,next_no_useful,53,115,0.4608695652173913,0.37250496228084184,0.5517639805809169,9.758345448943322,5.0
RB,6.0,current_ppg_cliff_30,17,84,0.20238095238095238,0.1303734963013758,0.30042011401537616,9.60349752860675,6.0
RB,6.0,current_ppg_cliff_50,5,84,0.05952380952380952,0.025690182263433017,0.13188436100535988,9.60349752860675,6.0
RB,6.0,extended_absence_8,14,98,0.14285714285714285,0.0870439104644005,0.2256141781752124,9.174236167296744,6.0
RB,6.0,current_any_bust,31,98,0.3163265306122449,0.23266923518824523,0.41384063896927004,9.174236167296744,6.0
RB,6.0,next_no_appearance,21,90,0.23333333333333334,0.15798078393937456,0.33051898588552175,9.340892244134254,6.0
RB,6.0,next_ppg_cliff_30,11,90,0.12222222222222222,0.06963544351908198,0.20573923039952124,9.340892244134254,6.0
RB,6.0,next_no_useful,46,90,0.5111111111111111,0.40951565938168355,0.6117968502089457,9.340892244134254,6.0
RB,7.0,current_ppg_cliff_30,7,53,0.1320754716981132,0.06547770200689572,0.2484050880623493,9.55265583771558,7.0
RB,7.0,current_ppg_cliff_50,2,53,0.03773584905660377,0.010410068833819265,0.12754523150959116,9.55265583771558,7.0
RB,7.0,extended_absence_8,13,66,0.19696969696969696,0.11888527965041439,0.30839015504753065,9.608835083238713,7.0
RB,7.0,current_any_bust,20,66,0.30303030303030304,0.20553868699544753,0.4221903455582168,9.608835083238713,7.0
RB,7.0,next_no_appearance,13,64,0.203125,0.12273302562695812,0.3171386755121659,9.521085945483893,7.0
RB,7.0,next_ppg_cliff_30,18,64,0.28125,0.18593226105484584,0.40134162399503504,9.521085945483893,7.0
RB,7.0,next_no_useful,39,64,0.609375,0.486916942944024,0.7194461145310355,9.521085945483893,7.0
RB,8.0,current_ppg_cliff_30,8,39,0.20512820512820512,0.10779590197911117,0.3553427296312862,9.211577865119933,8.0
RB,8.0,current_ppg_cliff_50,4,39,0.10256410256410256,0.04061265558286986,0.2357915870224483,9.211577865119933,8.0
RB,8.0,extended_absence_8,6,45,0.13333333333333333,0.0625706363434968,0.2617758224129731,9.317463623259005,8.0
RB,8.0,current_any_bust,14,45,0.3111111111111111,0.19528525463541907,0.4566507998754897,9.317463623259005,8.0
RB,8.0,next_no_appearance,11,38,0.2894736842105263,0.17003106263656131,0.44757438266189764,9.31817446539518,8.0
RB,8.0,next_ppg_cliff_30,7,38,0.18421052631578946,0.09221648453257492,0.33419168341511346,9.31817446539518,8.0
RB,8.0,next_no_useful,21,38,0.5526315789473685,0.3970602917908942,0.6985383468844911,9.31817446539518,8.0
RB,9.0,current_ppg_cliff_30,7,24,0.2916666666666667,0.14914460334164278,0.49168063658709704,9.137166352252024,9.0
RB,9.0,current_ppg_cliff_50,1,24,0.041666666666666664,0.007393265354805126,0.20242226248842232,9.137166352252024,9.0
RB,9.0,extended_absence_8,1,25,0.04,0.007096050386699165,0.19544472405022525,9.061554698161945,9.0
RB,9.0,current_any_bust,8,25,0.32,0.17204987516891143,0.5159008626542329,9.061554698161945,9.0
RB,9.0,next_no_appearance,6,24,0.25,0.1199920347934233,0.4489982531210644,8.76439372306578,9.0
RB,9.0,next_ppg_cliff_30,5,24,0.20833333333333334,0.0924468910478809,0.40470844485235474,8.76439372306578,9.0
RB,9.0,next_no_useful,13,24,0.5416666666666666,0.35074553553106635,0.7210894164831857,8.76439372306578,9.0
RB,10.0,current_ppg_cliff_30,3,15,0.2,0.07047420643610414,0.4518593533465045,8.406765059391146,10.0
RB,10.0,current_ppg_cliff_50,2,15,0.13333333333333333,0.0373604698913593,0.3788249920651624,8.406765059391146,10.0
RB,10.0,extended_absence_8,4,19,0.21052631578947367,0.08507538491591576,0.43334714240266087,7.852400415307583,10.0
RB,10.0,current_any_bust,7,19,0.3684210526315789,0.19149272376273843,0.5896084250184328,7.852400415307583,10.0
RB,10.0,next_no_appearance,5,19,0.2631578947368421,0.11806238339540162,0.48791968441070643,7.852400415307583,10.0
RB,10.0,next_ppg_cliff_30,2,19,0.10526315789473684,0.029357941395096593,0.313945504948417,7.852400415307583,10.0
RB,10.0,next_no_useful,11,19,0.5789473684210527,0.36275551465160105,0.7685837960796962,7.852400415307583,10.0
RB,11.0,current_ppg_cliff_30,3,7,0.42857142857142855,0.15821692226262685,0.7495457695909742,8.205769012374734,11.0
RB,11.0,current_ppg_cliff_50,0,7,0.0,0.0,0.35433884297520657,8.205769012374734,11.0
RB,11.0,extended_absence_8,3,10,0.3,0.10778928748621183,0.6032267800204347,8.050185365981818,11.0
RB,11.0,current_any_bust,6,10,0.6,0.3126695474501864,0.8318224187964902,8.050185365981818,11.0
RB,11.0,next_no_appearance,5,10,0.5,0.23658959361548731,0.7634104063845126,8.050185365981818,11.0
RB,11.0,next_ppg_cliff_30,2,10,0.2,0.056680947980693314,0.5098431532792765,8.050185365981818,11.0
RB,11.0,next_no_useful,8,10,0.8,0.49015684672072335,0.9433190520193067,8.050185365981818,11.0
RB,12.0,current_ppg_cliff_30,0,3,0.0,0.0,0.5615060804490177,7.742589127191935,12.0
RB,12.0,current_ppg_cliff_50,0,3,0.0,0.0,0.5615060804490177,7.742589127191935,12.0
RB,12.0,extended_absence_8,1,4,0.25,0.045586062644636216,0.6993639475573634,6.910066845393951,12.0
RB,12.0,current_any_bust,1,4,0.25,0.045586062644636216,0.6993639475573634,6.910066845393951,12.0
RB,12.0,next_no_appearance,2,4,0.5,0.15003570882017148,0.8499642911798285,6.910066845393951,12.0
RB,12.0,next_ppg_cliff_30,0,4,0.0,0.0,0.48990002040399916,6.910066845393951,12.0
RB,12.0,next_no_useful,2,4,0.5,0.15003570882017148,0.8499642911798285,6.910066845393951,12.0
RB,13.0,current_ppg_cliff_30,0,2,0.0,0.0,0.6576280471103807,6.725566139978295,13.0
RB,13.0,current_ppg_cliff_50,0,2,0.0,0.0,0.6576280471103807,6.725566139978295,13.0
RB,13.0,extended_absence_8,1,3,0.3333333333333333,0.0614903152761605,0.7923450448735121,6.458895488458908,13.0
RB,13.0,current_any_bust,1,3,0.3333333333333333,0.0614903152761605,0.7923450448735121,6.458895488458908,13.0
RB,13.0,next_no_appearance,0,3,0.0,0.0,0.5615060804490177,6.458895488458908,13.0
RB,13.0,next_ppg_cliff_30,1,3,0.3333333333333333,0.0614903152761605,0.7923450448735121,6.458895488458908,13.0
RB,13.0,next_no_useful,2,3,0.6666666666666666,0.2076549551264879,0.9385096847238394,6.458895488458908,13.0
RB,14.0,current_ppg_cliff_30,0,1,0.0,0.0,0.7934567085261071,6.04910331190808,14.0
RB,14.0,current_ppg_cliff_50,0,1,0.0,0.0,0.7934567085261071,6.04910331190808,14.0
RB,14.0,extended_absence_8,1,2,0.5,0.09452865480086614,0.9054713451991339,5.207565496056247,14.0
RB,14.0,current_any_bust,1,2,0.5,0.09452865480086614,0.9054713451991339,5.207565496056247,14.0
RB,14.0,next_no_appearance,1,2,0.5,0.09452865480086614,0.9054713451991339,5.207565496056247,14.0
RB,14.0,next_ppg_cliff_30,0,2,0.0,0.0,0.6576280471103807,5.207565496056247,14.0
RB,14.0,next_no_useful,1,2,0.5,0.09452865480086614,0.9054713451991339,5.207565496056247,14.0
RB,15.0,current_ppg_cliff_30,0,1,0.0,0.0,0.7934567085261071,5.238549270360244,15.0
RB,15.0,current_ppg_cliff_50,0,1,0.0,0.0,0.7934567085261071,5.238549270360244,15.0
RB,15.0,extended_absence_8,0,1,0.0,0.0,0.7934567085261071,5.238549270360244,15.0
RB,15.0,current_any_bust,0,1,0.0,0.0,0.7934567085261071,5.238549270360244,15.0
RB,15.0,next_no_appearance,1,1,1.0,0.20654329147389294,1.0,5.238549270360244,15.0
RB,15.0,next_ppg_cliff_30,0,1,0.0,0.0,0.7934567085261071,5.238549270360244,15.0
RB,15.0,next_no_useful,1,1,1.0,0.20654329147389294,1.0,5.238549270360244,15.0
TE,0.0,current_ppg_cliff_30,9,53,0.16981132075471697,0.09199841772223752,0.29225536823734133,5.705560024581531,0.0
TE,0.0,current_ppg_cliff_50,3,53,0.05660377358490566,0.019436308927314183,0.15370448936126319,5.705560024581531,0.0
