player,pos,template_pool_key,target_capped_year_exp,template_count,weighted_played_games,template_extended_absence_prob,raw_template_perf_cliff_prob,weighted_template_raw_exp,min_template_raw_exp,max_template_raw_exp
Jake Ferguson,TE,2026|beta|final_ensemble|TE|jake_ferguson,4.0,80,12.368061429014386,0.07869183851180625,0.3165145054945056,4.117570796995398,1.0,10.0
Dallas Goedert,TE,2026|beta|final_ensemble|TE|dallas_goedert,8.0,80,12.70296425406647,0.11011747195303162,0.14944560980874302,7.388127633884659,3.0,16.0
Oronde Gadsden,TE,2026|beta|final_ensemble|TE|oronde_gadsden,1.0,80,11.828275975245006,0.1872376142801747,0.1542318963110071,1.6153607059582253,0.0,7.0
Isaiah Likely,TE,2026|beta|final_ensemble|TE|isaiah_likely,4.0,80,12.178122205388405,0.12026898801709722,0.23972477127947056,4.242105299351438,2.0,10.0
Brenton Strange,TE,2026|beta|final_ensemble|TE|brenton_strange,3.0,80,11.035965478858605,0.24588346671028127,0.1759879547754921,3.240161929630424,0.0,9.0
Kenyon Sadiq,TE,2026|beta|final_ensemble|TE|kenyon_sadiq,0.0,80,10.855189865137419,0.19300387442556824,0.1358505906331012,0.9708650066931213,0.0,7.0
Hunter Henry,TE,2026|beta|final_ensemble|TE|hunter_henry,10.0,80,10.919512494376933,0.26227728946527357,0.1439864160946679,7.882427346120047,4.0,17.0
Juwan Johnson,TE,2026|beta|final_ensemble|TE|juwan_johnson,6.0,80,10.957192324087032,0.26350393635703323,0.15270024435722548,5.4942918839104085,2.0,9.0
Tj Hockenson,TE,2026|beta|final_ensemble|TE|tj_hockenson,7.0,80,10.380072815644942,0.29424377312056216,0.12768270224926329,5.588779054118676,3.0,17.0
Chigoziem Okonkwo,TE,2026|beta|final_ensemble|TE|chigoziem_okonkwo,4.0,80,11.009364617457205,0.18143061610639857,0.1530185641089248,3.297358894820282,2.0,8.0
Dalton Schultz,TE,2026|beta|final_ensemble|TE|dalton_schultz,8.0,80,10.077890346169367,0.335702269878791,0.12272265420561246,5.697043640812171,3.0,17.0
Pat Freiermuth,TE,2026|beta|final_ensemble|TE|pat_freiermuth,5.0,80,10.266842996214256,0.28831114738790603,0.1386036461575849,3.269434665554253,2.0,8.0
