league,period,scope,severity,method,metric,delta,season_bootstrap_low,season_bootstrap_high,seasons
dk,temporal_2023_2025,core,q90,wr_ppg225_both025,average_precision,0.00790341100471939,0.00010833825452843948,0.014006908247506167,3
dk,temporal_2023_2025,core,q90,wr_ppg225_both025,tail_utility_crps,-0.012169724191159685,-0.034814048292456795,0.01286034288443644,3
dk,temporal_2023_2025,core,q90,wr_ppg225_both025,ppg_crps,0.0021911837101487182,0.0013896982455602973,0.0033251737373740714,3
dk,temporal_2023_2025,core,q90,wr_ppg225_both025,contribution_crps,-0.006220865832037154,-0.016468380957579822,0.0124760401661693,3
dk,temporal_2023_2025,core,q95,flatter_w025_all,league_winner_brier,-0.00014531422202131684,-0.0006775795766915237,0.000531658378784054,3
dk,temporal_2023_2025,core,q95,flatter_w025_all,average_precision,0.007865161150497707,0.0027317406328025706,0.041434906721638354,3
dk,temporal_2023_2025,core,q95,flatter_w025_all,tail_utility_crps,-0.009393008705385298,-0.03310919824033622,0.024131800669217943,3
dk,temporal_2023_2025,core,q95,flatter_w025_all,ppg_crps,-0.0011523113798748335,-0.0038032547733828858,0.00025652800732868704,3
dk,temporal_2023_2025,core,q95,flatter_w025_all,contribution_crps,-0.013078481632466358,-0.04409956363833218,0.025127697901802373,3
dk,temporal_2023_2025,core,q95,wr_ppg225_both025,league_winner_brier,-0.00024188048251118057,-0.0008287766455749343,0.00034065341840523294,3
dk,temporal_2023_2025,core,q95,wr_ppg225_both025,average_precision,0.00881701749903746,-0.00586101217344534,0.03127498439824555,3
dk,temporal_2023_2025,core,q95,wr_ppg225_both025,tail_utility_crps,-0.008206622078255258,-0.021035066217042264,0.004702289566511709,3
dk,temporal_2023_2025,core,q95,wr_ppg225_both025,ppg_crps,0.0021911837101487182,0.0013896982455602973,0.0033251737373740714,3
dk,temporal_2023_2025,core,q95,wr_ppg225_both025,contribution_crps,-0.006220865832037154,-0.016468380957579822,0.0124760401661693,3
beta,development_2017_2022,core,q90,flatter_w025_all,league_winner_brier,-0.0003773375787387165,-0.0008318153624823206,0.0001600888812106897,6
beta,development_2017_2022,core,q90,flatter_w025_all,average_precision,0.009130838327594232,4.379521409209053e-05,0.026432776120997314,6
beta,development_2017_2022,core,q90,flatter_w025_all,tail_utility_crps,-0.005885563479728089,-0.04181318887069881,0.039305570431611085,6
beta,development_2017_2022,core,q90,flatter_w025_all,ppg_crps,-0.005510823226806259,-0.006682479652516315,-0.004311526931013406,6
beta,development_2017_2022,core,q90,flatter_w025_all,contribution_crps,-0.04528483636448081,-0.06807507706200418,-0.023195295946495716,6
beta,development_2017_2022,core,q90,wr_ppg225_both025,league_winner_brier,-1.8982615020476518e-05,-0.00018439520566788025,0.00014565314460715916,6
beta,development_2017_2022,core,q90,wr_ppg225_both025,average_precision,-0.00017022213287168353,-0.002565413564702612,0.0029699154076407164,6
beta,development_2017_2022,core,q90,wr_ppg225_both025,tail_utility_crps,-0.002897804293661606,-0.012186726087795719,0.006896880096443141,6
beta,development_2017_2022,core,q90,wr_ppg225_both025,ppg_crps,-0.0009170040116052614,-0.0016509214755641324,-7.644921037765864e-05,6
beta,development_2017_2022,core,q90,wr_ppg225_both025,contribution_crps,-0.01844375553196734,-0.03575669546999572,-0.0014460242468897159,6
beta,development_2017_2022,core,q95,flatter_w025_all,league_winner_brier,-0.00019020271048853695,-0.0005857393590842636,0.0002228838357207956,6
beta,development_2017_2022,core,q95,flatter_w025_all,average_precision,-0.0011488292762242003,-0.012657930231492419,0.013357659861503751,6
beta,development_2017_2022,core,q95,flatter_w025_all,tail_utility_crps,-0.001030776836194848,-0.023676235689312167,0.024772712818792515,6
beta,development_2017_2022,core,q95,flatter_w025_all,ppg_crps,-0.005510823226806259,-0.006685983433751079,-0.004311526931013406,6
beta,development_2017_2022,core,q95,flatter_w025_all,contribution_crps,-0.04528483636448081,-0.06737437678246591,-0.023195295946495716,6
beta,development_2017_2022,core,q95,wr_ppg225_both025,league_winner_brier,-6.720790299671975e-05,-0.00021693241493025392,8.746924714591674e-05,6
beta,development_2017_2022,core,q95,wr_ppg225_both025,average_precision,0.00128630214808928,-0.002256212083272452,0.005387562317214309,6
beta,development_2017_2022,core,q95,wr_ppg225_both025,tail_utility_crps,-0.001104014571618549,-0.006801094965184925,0.005062849818120482,6
beta,development_2017_2022,core,q95,wr_ppg225_both025,ppg_crps,-0.0009170040116052614,-0.001662871826593119,-7.644921037765864e-05,6
beta,development_2017_2022,core,q95,wr_ppg225_both025,contribution_crps,-0.01844375553196734,-0.036717904667793545,-0.0014460242468897159,6
beta,temporal_2023_2025,core,q90,flatter_w025_all,league_winner_brier,0.0001985784588754746,1.1672636492443391e-05,0.0005508785556611354,3
beta,temporal_2023_2025,core,q90,flatter_w025_all,average_precision,-0.00802409269849276,-0.01023805393697011,0.023387748183903934,3
beta,temporal_2023_2025,core,q90,flatter_w025_all,tail_utility_crps,-0.01642289326510676,-0.043493127565907536,0.015582338957543615,3
beta,temporal_2023_2025,core,q90,flatter_w025_all,ppg_crps,0.0016008557002948833,-0.001960318142153288,0.0033910520282644753,3
beta,temporal_2023_2025,core,q90,flatter_w025_all,contribution_crps,-0.02616068677483993,-0.06183154656276394,0.012520179047072514,3
beta,temporal_2023_2025,core,q90,wr_ppg225_both025,league_winner_brier,-0.00011490286704287994,-0.0002402843435303074,4.361238577397216e-06,3
beta,temporal_2023_2025,core,q90,wr_ppg225_both025,average_precision,0.001562064007907829,0.00024864572707752886,0.00441400638867695,3
beta,temporal_2023_2025,core,q90,wr_ppg225_both025,tail_utility_crps,-0.009737453588963904,-0.012344033975331807,-0.005312599116907882,3
beta,temporal_2023_2025,core,q90,wr_ppg225_both025,ppg_crps,-0.00043610201682707826,-0.0018931344589251128,0.0006141934127457467,3
beta,temporal_2023_2025,core,q90,wr_ppg225_both025,contribution_crps,-0.0076639602267361195,-0.012706593895415456,0.0009780074784592123,3
beta,temporal_2023_2025,core,q95,flatter_w025_all,league_winner_brier,-7.82768035099314e-05,-0.00027302347420137517,0.0002885285389011055,3
beta,temporal_2023_2025,core,q95,flatter_w025_all,average_precision,-0.0007572455806375972,-0.004710612296763006,0.005620357564367309,3
beta,temporal_2023_2025,core,q95,flatter_w025_all,tail_utility_crps,-0.01585607326081032,-0.0393118649947328,0.005986219334191525,3
beta,temporal_2023_2025,core,q95,flatter_w025_all,ppg_crps,0.0016008557002948833,-0.001960318142153288,0.0033910520282644753,3
beta,temporal_2023_2025,core,q95,flatter_w025_all,contribution_crps,-0.02616068677483993,-0.06183154656276394,0.012520179047072514,3
beta,temporal_2023_2025,core,q95,wr_ppg225_both025,league_winner_brier,3.525253889546177e-05,-6.815865910158347e-05,0.0002100547493716565,3
beta,temporal_2023_2025,core,q95,wr_ppg225_both025,average_precision,-0.00011070053339669317,-0.0027750747559364963,0.00539338432429004,3
beta,temporal_2023_2025,core,q95,wr_ppg225_both025,tail_utility_crps,-0.009792589753612376,-0.01587712928988937,-0.003931382812725421,3
beta,temporal_2023_2025,core,q95,wr_ppg225_both025,ppg_crps,-0.00043610201682707826,-0.0018931344589251128,0.0006141934127457467,3
beta,temporal_2023_2025,core,q95,wr_ppg225_both025,contribution_crps,-0.0076639602267361195,-0.012706593895415456,0.0009780074784592123,3
