Full Name,Position,20-Yard Shuttle,Athleticism Score,SPARQ-x,3-Cone Drill,Bench Press,Speed Score,40-Yard Dash,Broad Jump,Vertical Jump,Burst Score,Agility Score,Hand Size,Age,Arm Length,Height (Inches),Weight,Draft Pick,BMI,Breakout Age,College YPC,Breakout Year,College Dominator Rating,College Target Share
Brandon Bolden,RB,4.44,100.6,110.5,6.91,21,91.2,4.66,119,38,124.1,11.35,10,28.5,32.25,71,215 lbs,Undrafted,30,20.6,5.4,2010,0.27,0.14
Brandon Burks,RB,4.18,103.5,123.7,6.88,24,92.1,4.61,120,37,122.9,11.06,8.25,24.8,29.25,69,208 lbs,Undrafted,30.7,20.8,5,2014,0.28,0.1
Brandon Radcliff,RB,4.38,97.8,108.5,7.68,24,92,4.6,117,29.5,108.7,12.06,9.25,25.4,29.25,69,206 lbs,Undrafted,30.4,21.5,5.8,2014,0.16,0.03
Brandon Wegher,RB,4.43,102,116.6,7.18,23,98.5,4.56,118,37,121.9,11.61,9.38,27.7,29.75,70,213 lbs,Undrafted,30.6,18.7,8,2009,0.39,0.04
Brandon Wilds,RB,4.33,99.4,117.4,7.08,21,103.6,4.54,118,36.5,121.1,11.41,10.25,25,32,73,220 lbs,Undrafted,29,22.1,4.6,2015,0.18,0.07
Braylon Heard,RB,4.4,94.3,97.7,7.19,19,86.2,4.63,116,30.5,109.9,11.59,9,26.8,30.25,70,198 lbs,Undrafted,28.4,-,5.9,-,0.12,0.07
Brennan Clay,RB,4.21,96.7,111.8,7.06,21,83.9,4.69,119,35.5,119.9,11.27,8.88,26.7,30,71,203 lbs,Undrafted,28.3,21.7,5.8,2013,0.17,0.07
Brian Hill,RB,4.32,97.6,104.8,7.03,15,103.1,4.54,125,34,120.3,11.35,8.88,22.7,31.38,73,219 lbs,5.12,28.9,18.8,5.3,2014,0.34,0.08
Bronson Hill,RB,4.3,104.4,128.2,7.33,25,103,4.52,123,38.5,127,11.63,9.88,25.6,30.5,70,215 lbs,Undrafted,30.8,19.7,4.9,2012,0.21,0.07
Bryce Brown,RB,4.2,101.2,121.4,7.04,22,105.9,4.53,117,34,116.3,11.24,-,27.2,-,72,223 lbs,7.22,30.2,-,4.6,-,0.11,0.05
Buddy Howell,RB,4.51,94.6,95.4,7.55,19,97.8,4.6,116,27.5,104.8,12.06,9.38,22.4,29.25,72,219 lbs,Undrafted,29.7,20.4,5.8,2016,0.18,0.04
Byron Marshall,RB,4.19,96.1,101.1,6.99,17,89,4.61,111,29.5,105.7,11.18,9.5,24.5,30.25,69,201 lbs,Undrafted,29.7,19.6,6.9,2013,0.11,0.33
C.J. Anderson,RB,4.12,104.7,110.5,7.15,17,100.1,4.6,119,32,113.9,11.27,9,27.5,30,68,224 lbs,Undrafted,34.1,20.6,6.3,2011,0.18,0.08
C.J. Ham,RB,4.35,102.3,113.5,7.4,22,91.5,4.74,118,37,121.9,11.75,9.13,25,31.25,71,231 lbs,Undrafted,32.2,20.1,4.7,2013,0.3,-
C.J. Prosise,RB,4.48,98.7,103.1,7.32,14,109.2,4.48,121,35.5,120.9,11.8,8.5,24.2,32.13,72,220 lbs,3.27,29.8,21.3,6.6,2015,0.26,0.12
C.J. Spiller,RB,-,99.5,-,-,18,107.5,4.37,126,36,124.2,-,10.13,31,30.38,71,196 lbs,1.09,27.3,19.1,5.6,2006,0.34,0.13
Cameron Artis-Payne,RB,4.25,101.6,117.7,7.13,-,100.7,4.53,118,36.5,121.1,11.38,8.88,28.1,29.63,70,212 lbs,5.38,30.4,24.2,5.3,2014,0.26,0.05
Cameron Marshall,RB,4.38,104.1,115.3,7.06,22,97.8,4.59,118,36.5,121.1,11.44,-,26.8,-,69,217 lbs,Undrafted,32,18.9,4.4,2010,0.21,0.07
Carlos Hyde,RB,-,100.3,-,-,19,101,4.62,114,34.5,115.7,-,9.63,26.9,32,72,230 lbs,2.25,31.2,20,7.3,2011,0.24,0.07
Cedric Peerman,RB,4.29,106.6,136.8,6.99,27,107.1,4.45,117,40,126.5,11.28,8,31.8,31,69,210 lbs,6.12,31,21.9,5.1,2008,0.29,0.13
Charcandrick West,RB,4.4,101.3,109.7,7.08,15,98.6,4.51,130,41,134.7,11.48,9.13,27.2,29.88,70,204 lbs,Undrafted,29.3,21.3,6.8,2012,0.22,-
Charles Sims,RB,4.3,100,114.3,7.16,17,106.3,4.48,126,37.5,126.8,11.46,8.25,27.9,31,72,214 lbs,3.05,29,19,5.3,2009,0.36,0.12
Chase Edmonds,RB,4.07,101.6,117.1,6.79,19,95.7,4.55,122,34,118.8,10.86,9.13,22.3,31.13,69,205 lbs,4.34,30.3,18.4,5.4,2014,0.34,-
Chris Carson,RB,4.29,101,120.8,7.5,23,99.1,4.58,130,37,127.9,11.79,9.63,23.9,33.25,72,218 lbs,7.31,29.6,22,6.8,2016,0.2,0.05
Chris Ivory,RB,4.6,100.8,111.8,7.2,-,109.2,4.49,119,36,120.7,11.8,-,30.4,-,72,222 lbs,Undrafted,30.1,-,5.7,-,0.06,0.03
Chris Johnson,RB,-,98.2,-,-,-,118.2,4.24,130,35,124.5,-,7.25,32.9,30.25,71,191 lbs,1.24,26.6,20,6,2005,0.43,0.12
Chris Ogbonnaya,RB,4.29,99.6,109.8,6.85,19,96.2,4.65,111,35,115,11.14,9.88,32.3,31.63,72,225 lbs,7.02,30.5,-,5,-,0.13,0.12
Chris Polk,RB,4.21,100,106.2,7.13,16,101.8,4.57,111,31.5,109.1,11.34,9.75,28.6,31.5,70,222 lbs,Undrafted,31.9,19.7,5.1,2009,0.32,0.1
Chris Rainey,RB,3.93,97,120.5,6.5,16,89.3,4.45,120,36.5,122.1,10.43,9.5,30.4,30.75,68,175 lbs,5.24,26.6,22.5,5,2010,0.22,0.16
Chris Thompson,RB,-,101.9,-,-,21,96.2,4.47,118,35,118.5,-,9.25,27.8,30.25,67,192 lbs,5.21,30.1,19.9,6.9,2010,0.14,0.06
Chris Warren,RB,4.18,103,123.9,6.98,25,102.1,4.69,121,33,116.6,11.16,10,22.2,32,74,247 lbs,Undrafted,31.7,19.2,5.5,2015,0.16,0.05
Christian McCaffrey,RB,4.22,97.8,105.1,6.57,10,100.3,4.48,121,37.5,124.3,10.79,9,22.2,30,71,202 lbs,1.08,28.2,19.2,6.3,2015,0.51,0.17
Christian Powell,RB,4.38,99.4,98,7.21,15,91.5,4.73,116,34.5,116.7,11.59,8.88,24.4,32.5,71,229 lbs,Undrafted,31.9,18.5,4.8,2012,0.2,0.03
Christine Michael,RB,4.02,109.9,147.4,6.69,27,103.6,4.54,125,43,135.6,10.71,9.38,27.7,31.5,70,220 lbs,2.3,31.6,18.8,5.4,2009,0.14,0.04
Cierre Wood,RB,4.29,100.6,109.7,6.87,16,98.5,4.56,124,37.5,125.8,11.16,8.63,27.5,30.88,71,213 lbs,Undrafted,29.7,20.5,6.5,2011,0.17,0.09
Corey Clement,RB,4.28,98.9,100.6,6.91,19,91.7,4.68,115,28.5,106,11.19,9.75,23.8,30.5,70,220 lbs,Undrafted,31.6,18.8,4.4,2013,0.33,0.05
Corey Grant,RB,4.08,101.7,135.2,7,22,114.4,4.33,127,37,126.4,11.08,8.25,26.6,30.88,71,201 lbs,Undrafted,28,-,7.9,-,0.07,0.03
Cyrus Gray,RB,4.28,97.1,113.9,7.17,21,99.2,4.47,114,32.5,112.3,11.45,9.13,28.7,29.5,70,198 lbs,6.12,28.4,20.8,5.3,2010,0.24,0.1
D'Angelo Brewer,RB,4.5,90.7,74.7,7.46,13,67,4.88,112,29,105.3,11.96,8.88,22.6,29.25,67,190 lbs,Undrafted,29.8,19.7,5.3,2015,0.29,0.04
D'Ernest Johnson,RB,4.34,91.6,94.1,7.23,20,71.7,4.86,117,30.5,110.4,11.57,9.63,-,31,71,200 lbs,Undrafted,27.9,-,4.3,2016,0.16,0.11
D'Onta Foreman,RB,4.26,102.1,113.9,7.21,18,113.6,4.5,120,33,116.1,11.47,10.13,22.3,31.38,72,233 lbs,3.25,31.6,19.4,6.3,2015,0.37,0.04
D.J. Adams,RB,4.46,95.2,96.6,7.49,18,83.7,4.67,113,33.5,113.5,11.95,9,27.9,30.5,69,199 lbs,Undrafted,29.4,21.9,6.2,2012,0.25,-
D.J. Foster,RB,4.07,95.9,108.4,6.75,14,88.5,4.57,117,35.5,118.9,10.82,9.25,24.7,30.5,70,193 lbs,Undrafted,27.7,19.8,5.3,2013,0.19,0.2
Da'Rel Scott,RB,4.2,100.4,122.8,7.15,19,118.4,4.34,117,34,116.3,11.35,9,30.2,32.38,71,210 lbs,7.18,29.3,20.3,5.6,2008,0.22,0.1
Dalton Crossan,RB,4.14,99.1,118.4,6.85,21,94,4.57,122,35,120.5,10.99,9.5,24.5,28.5,71,205 lbs,Undrafted,28.6,21.5,5.3,2015,0.36,-
Dalvin Cook,RB,4.53,98.7,107.1,7.27,22,103.3,4.49,116,30.5,109.9,11.8,9.25,23,33.38,70,210 lbs,2.09,30.1,19.1,6.8,2014,0.39,0.12
Dalyn Dawkins,RB,4.45,92.5,80.3,7.12,9,79.6,4.63,117,31,111.2,11.57,8.38,23.7,29,67,183 lbs,Undrafted,28.7,22.7,6.2,2017,0.22,0.09
Damien Williams,RB,4.25,101.7,114.8,7.37,16,113.2,4.45,121,35.5,120.9,11.62,9.13,26.3,30.63,71,222 lbs,Undrafted,31,20.4,5.4,2012,0.17,0.07
Dan Herron,RB,4.04,101.7,122.1,6.97,22,91.2,4.66,117,35,118,11.01,9,29.4,32,70,215 lbs,6.21,30.8,20.5,5.2,2009,0.26,0.07
Dan Vitale,RB,4.12,106.9,145,7.12,30,106.8,4.6,123,38.5,127,11.24,9.75,24.8,31.75,73,239 lbs,6.22,31.5,-,-,-,0.13,0.18
Daniel Lasco,RB,4.26,102.8,130.8,7.22,23,105.6,4.46,135,41.5,138.1,11.48,9.13,25.8,32,72,209 lbs,7.16,28.3,21.9,5.2,2014,0.16,0.08
Daniel Thomas,RB,4.29,102.1,112.7,7.06,21,98,4.67,123,34,119.3,11.35,9,30.8,32.25,72,233 lbs,2.3,31.6,21.9,5.3,2009,0.36,0.12
Danny Woodhead,RB,4.2,102.5,122.7,7.03,20,101.3,4.43,121,38,125.1,11.23,9.13,33.5,28.38,68,195 lbs,Undrafted,29.6,19.6,7.2,2004,0.49,-
Dare Ogunbowale,RB,4.34,97.5,98.7,6.99,14,91.1,4.65,120,35,119.5,11.33,9.13,24.3,31.38,71,213 lbs,Undrafted,29.7,21.3,4.9,2015,0.17,0.12
Darius Jackson,RB,4.29,105.1,126.1,6.87,20,112.2,4.45,133,41,136.2,11.16,8.63,24.7,31.63,72,220 lbs,6.41,29.8,21.8,5.2,2015,0.35,0.09
Darius Victor,RB,4.55,106.1,104.1,7.28,22,89.2,4.75,117,34.5,117.2,11.83,9,24.4,28.38,67,227 lbs,Undrafted,35.5,20.5,4.8,2014,0.32,-
Darrel Williams,RB,4.21,97.7,111.8,7.2,22,90.7,4.72,109,32,108.9,11.41,9.38,23.3,31,72,225 lbs,Undrafted,30.5,22.4,5.7,2017,0.22,0.09
Darrel Young,RB,4.27,106.9,120.2,6.94,24,108.3,4.64,112,32,110.4,11.21,-,31.3,-,71,251 lbs,Undrafted,35,-,-,-,-,-
Darren McFadden,RB,4.1,98.8,119.4,6.86,13,119.5,4.33,128,35.5,124.4,10.96,9.38,31,32.25,73,210 lbs,1.04,27.7,18,5.6,2005,0.32,0.1
Darren Sproles,RB,3.96,100.4,127.5,6.96,23,92.7,4.47,105,33,108.6,10.92,8,35.1,28,66,185 lbs,4.29,29.9,19.2,6,2002,0.34,-
Darrin Reaves,RB,4.54,107.2,110.3,7.07,20,96.4,4.59,123,39.5,128.7,11.61,8.38,25.3,30,67,214 lbs,Undrafted,33.5,19.4,4.7,2012,0.32,0.12
Daryl Richardson,RB,4.36,98.9,110,7.07,16,92.8,4.51,135,40.5,136.4,11.43,9.13,28.3,30.63,70,192 lbs,7.45,27.5,19.4,5.9,2009,0.24,-
David Cobb,RB,4.55,101.8,100.3,7.01,17,90,4.75,121,38.5,126,11.56,9.38,25.2,31.63,71,229 lbs,5.02,31.9,20.3,5.2,2013,0.36,0.08
David Fluellen,RB,4.21,100.9,106.9,6.9,16,90.3,4.72,120,36.5,122.1,11.11,9.13,26.5,33.38,71,224 lbs,Undrafted,31.2,20.6,6.3,2012,0.28,0.1
David Johnson,RB,4.27,105.1,134.9,6.82,25,109.3,4.5,127,41.5,134.1,11.09,9.63,26.6,31.25,73,224 lbs,3.22,29.6,19.7,5.4,2011,0.41,0.14
David Williams,RB,4.52,97.5,105,7.55,21,104.5,4.55,114,30.5,108.9,12.07,9.13,24.1,30,72,224 lbs,7.08,30.4,23.2,5.6,2017,0.21,0.05
David Wilson,RB,4.12,103,126.1,7.09,-,100.9,4.49,132,41,135.7,11.21,9.38,27.2,30.25,70,205 lbs,1.32,29.4,19.2,5.9,2010,0.27,0.08
Davin Meggett,RB,4.32,106.4,119.7,7.14,23,104,4.53,118,35,118.5,11.46,9.5,28.4,30.13,68,219 lbs,Undrafted,33.3,19.5,5.2,2009,0.2,0.07
De'Angelo Henderson,RB,4.57,103.9,106.7,7.26,20,103.3,4.48,120,34,117.8,11.83,9.5,25.7,29,67,208 lbs,6.19,32.6,21.8,6.3,2014,0.45,-
De'Lance Turner,RB,4.45,100.8,117.6,7.48,24,98.2,4.58,120,37,122.9,11.93,9,23,30,71,216 lbs,Undrafted,30.1,21,7.5,2016,0.29,-
De'Veon Smith,RB,4.56,95.7,95,7.3,22,84,4.8,108,29,103.3,11.86,9,23.7,29.5,71,223 lbs,Undrafted,31.1,-,4.7,-,0.17,0.06
DeAndre Washington,RB,4.2,103.7,124.4,7.03,24,100.4,4.49,118,34.5,117.7,11.23,9,25.5,30,68,204 lbs,5.04,31,21.5,6.4,2014,0.23,0.1
DeAngelo Williams,RB,4.1,107.5,132.6,6.57,25,105.8,4.5,121,35.5,120.9,10.67,9.13,35.3,31,69,217 lbs,1.27,32,22.4,6.3,2005,0.47,0.08
DeMarco Murray,RB,4.18,101.3,125,7.28,21,113.7,4.41,130,34.5,123.7,11.46,9.25,30.5,32,72,215 lbs,3.07,29.2,19.6,4.3,2007,0.3,0.14
Dee Hart,RB,4.38,97.9,99.3,7.2,-,75,4.8,113,33,112.6,11.58,9,25.6,29.75,67,199 lbs,Undrafted,31.2,21.7,6.6,2014,0.28,0.06
Delone Carter,RB,4.07,109.1,138.4,6.92,27,104.1,4.56,120,37,122.9,10.99,9.38,31.1,31,69,225 lbs,4.22,33.2,19.2,5.3,2006,0.31,0.03
Demario Richard,RB,4.31,96.6,89.2,7.61,12,89.4,4.7,115,29.5,107.7,11.92,9.25,21.7,28.75,69,218 lbs,Undrafted,32.2,18.8,5.2,2015,0.24,0.09
Denard Robinson,RB,4.22,99.4,117.9,7.09,-,103.3,4.43,123,36.5,123.6,11.31,9,27.9,32.63,70,199 lbs,5.02,28.6,-,-,-,-,-
Dennis Johnson,RB,4.53,99.5,103.3,7.13,21,91.7,4.53,118,32.5,114.3,11.66,-,28.5,-,67,193 lbs,Undrafted,30.2,22.5,5.5,2012,0.23,0.07
Derek Watt,RB,4.29,-,104.3,-,19,88.2,4.8,116,33.5,115,-,10.13,25.8,31,74,234 lbs,6.23,30,-,5,-,0.03,0.06
Derrick Coleman,RB,4.49,103.1,112.5,7.34,20,108.7,4.55,125,36.5,124.6,11.83,-,27.8,-,72,233 lbs,Undrafted,31.6,19.9,5,2010,0.21,0.02
Derrick Henry,RB,4.38,103.8,122.4,7.2,22,116.3,4.54,130,37,127.9,11.58,8.75,24.1,33,75,247 lbs,2.14,30.9,20.1,5.6,2014,0.44,0.04
Derrius Guice,RB,-,-,-,-,15,110.2,4.49,-,31.5,-,-,9,21.1,30.75,71,224 lbs,2.27,31.2,19.2,6.4,2016,0.32,0.07
Desmond Martin,RB,4.47,101.3,117.8,7,26,84.7,4.78,123,39.5,128.7,11.47,9.5,26.4,30.5,72,221 lbs,Undrafted,30,22.5,5.5,2014,0.39,-
Detrez Newsome,RB,4.42,98.9,101.5,7.45,16,96.2,4.56,117,34.5,117.2,11.87,9.88,24.4,31.75,69,208 lbs,Undrafted,30.7,20.5,6.4,2014,0.34,-
Devante Mays,RB,4.53,107.3,118.6,7.43,22,105.5,4.57,129,40.5,133.4,11.96,8.63,24.2,31.75,70,230 lbs,7.2,33,21.3,6.4,2015,0.18,0
Devine Redding,RB,4.46,96.5,87.9,7.18,16,79.9,4.76,116,30.5,109.9,11.64,9.63,22.5,29.25,68,205 lbs,Undrafted,31.2,19.6,4.4,2015,0.23,0.08
Devon Johnson,RB,4.6,101.3,105.7,7.09,-,100.9,4.66,113,33,112.6,11.69,9.25,25,31.25,72,238 lbs,Undrafted,32.3,21.1,7.4,2014,0.25,0.03
Devonta Freeman,RB,4.26,99.5,110,7.11,-,93.6,4.58,118,31.5,112.6,11.37,9.63,26.4,29.38,68,206 lbs,4.03,31.3,19.5,5.9,2011,0.18,0.06
Devontae Booker,RB,-,-,-,-,22,99.5,4.58,-,-,-,-,8.63,26.2,31.63,71,219 lbs,4.38,30.5,22.3,4.7,2014,0.4,0.14
Dexter McCluster,RB,4.06,94.8,116.8,6.73,20,77.3,4.58,118,37.5,122.8,10.79,8.38,30,29.25,68,170 lbs,2.04,25.8,20,6.5,2008,0.29,0.19
Dillon Baxter,RB,4.26,95.7,103.2,6.78,15,84.3,4.65,122,37.5,124.8,11.04,8,26.8,30,71,197 lbs,Undrafted,27.5,-,5.2,-,0.04,-
Dimitri Flowers,RB,4.53,95.6,91.7,7.45,17,91.1,4.83,109,30.5,106.4,11.98,9.25,22.5,30.75,74,248 lbs,Undrafted,31.8,-,1.6,-,0.09,0.07
Diocemy Saint Juste,RB,4.46,96.4,95.8,7.16,14,86.7,4.57,120,36,121.2,11.62,9.38,-,29,68,189 lbs,Undrafted,28.7,-,5.4,2016,0.29,0.08
Dion Lewis,RB,4.18,99.5,107.8,6.9,17,88.5,4.57,112,34.5,114.7,11.08,8.63,27.9,28.13,67,193 lbs,5.18,30.2,18.9,5.1,2009,0.34,0.1
Dominique Brown,RB,4.42,96.1,99.5,7.05,17,96.7,4.69,109,32.5,109.8,11.47,9.5,26.6,32.38,74,234 lbs,Undrafted,30,21.7,5.1,2013,0.17,0.07
Dominique Williams,RB,4.26,99.8,105.4,6.72,19,84,4.7,120,34.5,118.7,10.98,9.5,27.9,30.75,69,205 lbs,Undrafted,30.3,21,5.1,2011,0.4,-
Don Jackson,RB,4.34,97.7,107,7.09,15,95.7,4.55,118,38.5,124.5,11.43,9,24.9,29.88,71,205 lbs,Undrafted,28.6,21,4.7,2014,0.23,0.04
Donald Brown,RB,4.1,103.9,129.3,6.93,-,101.5,4.51,125,41.5,133.1,11.03,9,31.3,31.5,70,210 lbs,1.27,30.1,19.4,5.7,2006,0.52,0.1
Donnel Pumphrey,RB,-,-,-,-,5,87.4,4.48,117,33.5,115.5,-,8.5,23.7,29,68,176 lbs,4.26,26.8,18.8,6.4,2013,0.49,0.19
Dontrell Hilliard,RB,4.38,98.9,113.8,6.87,21,101.2,4.47,125,34.5,121.2,11.25,9.75,23.4,31.88,71,202 lbs,Undrafted,28.2,19.5,5.2,2014,0.29,0.1
