,player,pos,team,year,age,avg_pick,new_team,tgt,receptions,yds,td,catch_pct,games,games_started,long,rec_per_game,yd_per_game,yd_per_rec,fmb,adjust_line_yds,rb_yds,power_success_pct,stuffed_pct,second_level_yds,open_field_yds,pass_block_rank,sacks_allowed,adjusted_sack_rate,qb_age,qb_games_started,qb_att,qb_rating,qb_complete,qb_complete_pct,qb_yds,qb_yd_per_game,qb_tds,qb_td_pct,int,int_pct,qb_long,yd_per_att,yd_per_comp,net_yd_per_att,adj_net_yd_per_att,adj_yd_per_att,qb_sacks,sack_pct,qb_avg_pick,overall_dvoa,last_year,pass_off,rush_off,variance,schedule_diff,tm_pass_att,tm_pass_complete,tm_pass_complete_pct,tm_pass_yds,tm_pass_td,tm_pass_int,tm_sack,tm_loss_sack_yds,tm_qb_rate,tm_net_pass_yds,tm_pass_yperg,tm_rush_att,tm_rush_yds,team_rush_avg_att,tm_rush_td,tm_rush_first_downs,tm_rush_yperg,tm_rush_fd,tm_pass_fd,tm_pen_fd,tm_tot_fd,tm_third_down_att,tm_third_down_made,tm_third_down_pct,total_tm_td,total_tm_yds,tgt_on_team,available_tgt,available_tgt_2,yds_on_team,available_yds,available_yds_2,ms_rec_yd,ms_tgts,ms_yds_per_tgts,avail_tgt_x_newteam,avail_yds_x_newteam,min_teammate,teammate_diff,max_teammate,avg_teammate
10,Mike Williams,WR,LAC,2017.0,23.0,149.41,0.0,23.0,11.0,95.0,0.0,47.8,10.0,1.0,20.0,1.1,9.5,8.6,0.0,3.71,3.93,58.0,24.0,1.17,0.78,3,18.0,4.2,36.0,16.0,575.0,96.0,360.0,62.6,4515.0,282.2,28.0,4.9,10.0,1.7,75.0,7.9,12.5,7.41,7.6,8.0,18.0,3.0,110.34,10.6,18,40.8,-15.8,5.8,2.3,583.0,366.0,62.8,4551.0,28.0,11.0,18.0,120.0,95.1,4431.0,276.9,419.0,1595.0,3.81,10.0,84.0,99.7,116.0,191.0,30.0,337.0,208.0,88.0,42.3,38.0,6146.0,251.0,0.5694682675814751,0.6089193825042882,2216.0,0.5130740496594155,0.5339485827290705,0.020874533069655022,0.03945111492281304,0.5291240338960381,0.0,0.0,38.54,61.660000000000004,149.41,100.2
11,Antonio Brown,WR,PIT,2017.0,29.0,4.74,0.0,163.0,101.0,1533.0,9.0,62.0,14.0,14.0,57.0,7.2,109.5,15.2,4.0,4.36,4.07,65.0,17.0,1.22,0.48,1,24.0,3.9,35.0,15.0,561.0,93.4,360.0,64.2,4251.0,283.4,28.0,5.0,14.0,2.5,97.0,7.599999999999999,11.8,7.07,6.95,7.5,21.0,3.6,108.96,17.6,7,34.0,3.0,4.3,0.1,590.0,384.0,65.1,4534.0,29.0,15.0,24.0,154.0,94.1,4380.0,273.8,437.0,1667.0,3.81,12.0,96.0,104.2,120.0,144.0,33.0,297.0,192.0,68.0,35.4,41.0,6201.0,362.0,0.3864406779661017,0.6627118644067796,3202.0,0.2937803264225849,0.6318923687692986,0.3381120423467137,0.27627118644067794,1.223841134874608,0.0,0.0,4.74,98.9275,232.25,103.66749999999999
12,JuJu Smith-Schuster,WR,PIT,2017.0,21.0,117.33,0.0,79.0,58.0,917.0,7.0,73.4,14.0,7.0,97.0,4.1,65.5,15.8,0.0,4.36,4.07,65.0,17.0,1.22,0.48,1,24.0,3.9,35.0,15.0,561.0,93.4,360.0,64.2,4251.0,283.4,28.0,5.0,14.0,2.5,97.0,7.599999999999999,11.8,7.07,6.95,7.5,21.0,3.6,108.96,17.6,7,34.0,3.0,4.3,0.1,590.0,384.0,65.1,4534.0,29.0,15.0,24.0,154.0,94.1,4380.0,273.8,437.0,1667.0,3.81,12.0,96.0,104.2,120.0,144.0,33.0,297.0,192.0,68.0,35.4,41.0,6201.0,362.0,0.3864406779661017,0.5203389830508475,3202.0,0.2937803264225849,0.49602999558888394,0.20224966916629908,0.13389830508474576,1.5104722127609678,0.0,0.0,4.74,98.9275,232.25,103.66749999999999
13,Martavis Bryant,WR,PIT,2017.0,26.0,60.35,0.0,84.0,50.0,603.0,3.0,59.5,15.0,8.0,51.0,3.3,40.2,12.1,0.0,4.36,4.07,65.0,17.0,1.22,0.48,1,24.0,3.9,35.0,15.0,561.0,93.4,360.0,64.2,4251.0,283.4,28.0,5.0,14.0,2.5,97.0,7.599999999999999,11.8,7.07,6.95,7.5,21.0,3.6,108.96,17.6,7,34.0,3.0,4.3,0.1,590.0,384.0,65.1,4534.0,29.0,15.0,24.0,154.0,94.1,4380.0,273.8,437.0,1667.0,3.81,12.0,96.0,104.2,120.0,144.0,33.0,297.0,192.0,68.0,35.4,41.0,6201.0,362.0,0.3864406779661017,0.5288135593220339,3202.0,0.2937803264225849,0.4267754741949713,0.1329951477723864,0.1423728813559322,0.9341325855441427,0.0,0.0,4.74,98.9275,232.25,103.66749999999999
14,Eli Rogers,WR,PIT,2017.0,25.0,232.25,0.0,36.0,18.0,149.0,1.0,50.0,14.0,4.0,18.0,1.3,10.6,8.3,1.0,4.36,4.07,65.0,17.0,1.22,0.48,1,24.0,3.9,35.0,15.0,561.0,93.4,360.0,64.2,4251.0,283.4,28.0,5.0,14.0,2.5,97.0,7.599999999999999,11.8,7.07,6.95,7.5,21.0,3.6,108.96,17.6,7,34.0,3.0,4.3,0.1,590.0,384.0,65.1,4534.0,29.0,15.0,24.0,154.0,94.1,4380.0,273.8,437.0,1667.0,3.81,12.0,96.0,104.2,120.0,144.0,33.0,297.0,192.0,68.0,35.4,41.0,6201.0,362.0,0.3864406779661017,0.4474576271186441,3202.0,0.2937803264225849,0.32664314071460077,0.03286281429201588,0.061016949152542375,0.538585012008038,0.0,0.0,4.74,98.9275,232.25,103.66749999999999
15,DeAndre Hopkins,WR,HOU,2017.0,25.0,29.68,0.0,174.0,96.0,1378.0,13.0,55.2,15.0,15.0,72.0,6.4,91.9,14.4,1.0,3.89,3.78,63.0,21.0,0.99,0.51,30,54.0,9.2,25.608778625954198,5.870229007633588,524.0,82.66564885496183,298.0,56.91221374045802,3634.0,193.812786259542,28.0,5.315839694656488,17.0,3.241221374045802,59.69274809160305,6.912022900763358,12.11946564885496,5.704980916030535,5.3495610687022905,6.541984732824428,53.0,9.153435114503818,134.54480916030536,-9.9,30,-0.4,-11.2,7.0,-1.0,525.0,299.0,57.0,3644.0,28.0,17.0,54.0,366.0,82.8,3278.0,204.9,448.0,1842.0,4.11,8.0,86.0,115.1,89.0,142.0,12.0,243.0,219.0,75.0,34.2,36.0,5486.0,224.0,0.5733333333333333,0.9047619047619048,1801.0,0.5057628979143798,0.8839187705817783,0.3781558726673985,0.3314285714285714,1.1409875468412887,0.0,0.0,29.68,69.625,168.93,99.305
16,Will Fuller,WR,HOU,2017.0,23.0,168.93,0.0,50.0,28.0,423.0,7.0,56.0,10.0,10.0,59.0,2.8,42.3,15.1,0.0,3.89,3.78,63.0,21.0,0.99,0.51,30,54.0,9.2,25.608778625954198,5.870229007633588,524.0,82.66564885496183,298.0,56.91221374045802,3634.0,193.812786259542,28.0,5.315839694656488,17.0,3.241221374045802,59.69274809160305,6.912022900763358,12.11946564885496,5.704980916030535,5.3495610687022905,6.541984732824428,53.0,9.153435114503818,134.54480916030536,-9.9,30,-0.4,-11.2,7.0,-1.0,525.0,299.0,57.0,3644.0,28.0,17.0,54.0,366.0,82.8,3278.0,204.9,448.0,1842.0,4.11,8.0,86.0,115.1,89.0,142.0,12.0,243.0,219.0,75.0,34.2,36.0,5486.0,224.0,0.5733333333333333,0.6685714285714286,1801.0,0.5057628979143798,0.6218441273326015,0.11608122941822173,0.09523809523809523,1.2188529088913282,0.0,0.0,29.68,69.625,168.93,99.305
17,Golden Tate,WR,DET,2017.0,29.0,55.61,0.0,120.0,92.0,1003.0,5.0,76.7,16.0,12.0,71.0,5.8,62.7,10.9,1.0,3.16,3.31,45.0,27.0,0.94,0.52,21,47.0,7.5,29.0,16.0,565.0,99.3,371.0,65.7,4446.0,277.9,29.0,5.1,10.0,1.8,71.0,7.9,12.0,6.8,7.01,8.1,47.0,7.7,91.63,4.4,15,23.1,-20.2,3.1,-2.6,570.0,374.0,65.6,4470.0,29.0,11.0,47.0,287.0,98.4,4183.0,261.4,363.0,1221.0,3.36,10.0,58.0,76.3,69.0,151.0,38.0,258.0,224.0,87.0,38.8,39.0,5691.0,275.0,0.5175438596491229,0.7280701754385965,2581.0,0.4225950782997763,0.6469798657718121,0.2243847874720358,0.21052631578947367,1.06582774049217,0.0,0.0,55.61,61.95666666666666,168.93,117.56666666666666
18,Marvin Jones,WR,DET,2017.0,27.0,128.16,0.0,107.0,61.0,1101.0,9.0,57.0,16.0,16.0,58.0,3.8,68.8,18.0,0.0,3.16,3.31,45.0,27.0,0.94,0.52,21,47.0,7.5,29.0,16.0,565.0,99.3,371.0,65.7,4446.0,277.9,29.0,5.1,10.0,1.8,71.0,7.9,12.0,6.8,7.01,8.1,47.0,7.7,91.63,4.4,15,23.1,-20.2,3.1,-2.6,570.0,374.0,65.6,4470.0,29.0,11.0,47.0,287.0,98.4,4183.0,261.4,363.0,1221.0,3.36,10.0,58.0,76.3,69.0,151.0,38.0,258.0,224.0,87.0,38.8,39.0,5691.0,275.0,0.5175438596491229,0.7052631578947368,2581.0,0.4225950782997763,0.668903803131991,0.24630872483221478,0.18771929824561404,1.312111898638901,0.0,0.0,55.61,61.95666666666666,168.93,117.56666666666666
19,Kenny Golladay,WR,DET,2017.0,24.0,168.93,0.0,48.0,28.0,477.0,3.0,58.3,11.0,5.0,54.0,2.5,43.4,17.0,0.0,3.16,3.31,45.0,27.0,0.94,0.52,21,47.0,7.5,29.0,16.0,565.0,99.3,371.0,65.7,4446.0,277.9,29.0,5.1,10.0,1.8,71.0,7.9,12.0,6.8,7.01,8.1,47.0,7.7,91.63,4.4,15,23.1,-20.2,3.1,-2.6,570.0,374.0,65.6,4470.0,29.0,11.0,47.0,287.0,98.4,4183.0,261.4,363.0,1221.0,3.36,10.0,58.0,76.3,69.0,151.0,38.0,258.0,224.0,87.0,38.8,39.0,5691.0,275.0,0.5175438596491229,0.6017543859649123,2581.0,0.4225950782997763,0.5293064876957494,0.10671140939597315,0.08421052631578947,1.2671979865771812,0.0,0.0,55.61,61.95666666666666,168.93,117.56666666666666
20,Adam Thielen,WR,MIN,2017.0,27.0,108.37,0.0,142.0,91.0,1276.0,4.0,64.1,16.0,16.0,65.0,5.7,79.8,14.0,3.0,3.96,3.98,67.0,21.0,1.11,0.77,6,27.0,4.4,29.0,14.0,481.0,98.3,325.0,67.6,3547.0,236.5,22.0,4.6,7.0,1.5,65.0,7.4,10.9,6.78,7.03,7.6,22.0,4.4,150.14,12.0,26,36.4,-7.7,3.8,-0.9,527.0,357.0,67.7,3929.0,25.0,8.0,27.0,176.0,99.1,3753.0,234.6,501.0,1957.0,3.91,15.0,100.0,122.3,83.0,169.0,33.0,285.0,196.0,64.0,32.7,40.0,5886.0,272.0,0.4838709677419355,0.7533206831119544,2325.0,0.408246373122932,0.7330109442606261,0.3247645711376941,0.269449715370019,1.2052882323208787,0.0,0.0,59.85,57.446666666666665,183.67,117.29666666666667
21,Stefon Diggs,WR,MIN,2017.0,24.0,59.85,0.0,95.0,64.0,849.0,8.0,67.4,14.0,14.0,59.0,4.6,60.6,13.3,0.0,3.96,3.98,67.0,21.0,1.11,0.77,6,27.0,4.4,29.0,14.0,481.0,98.3,325.0,67.6,3547.0,236.5,22.0,4.6,7.0,1.5,65.0,7.4,10.9,6.78,7.03,7.6,22.0,4.4,150.14,12.0,26,36.4,-7.7,3.8,-0.9,527.0,357.0,67.7,3929.0,25.0,8.0,27.0,176.0,99.1,3753.0,234.6,501.0,1957.0,3.91,15.0,100.0,122.3,83.0,169.0,33.0,285.0,196.0,64.0,32.7,40.0,5886.0,272.0,0.4838709677419355,0.6641366223908918,2325.0,0.408246373122932,0.6243318910664291,0.21608551794349706,0.18026565464895636,1.1987059784865575,0.0,0.0,59.85,57.446666666666665,183.67,117.29666666666667
22,Laquon Treadwell,WR,MIN,2017.0,22.0,183.67,0.0,35.0,20.0,200.0,0.0,57.1,16.0,7.0,25.0,1.3,12.5,10.0,1.0,3.96,3.98,67.0,21.0,1.11,0.77,6,27.0,4.4,29.0,14.0,481.0,98.3,325.0,67.6,3547.0,236.5,22.0,4.6,7.0,1.5,65.0,7.4,10.9,6.78,7.03,7.6,22.0,4.4,150.14,12.0,26,36.4,-7.7,3.8,-0.9,527.0,357.0,67.7,3929.0,25.0,8.0,27.0,176.0,99.1,3753.0,234.6,501.0,1957.0,3.91,15.0,100.0,122.3,83.0,169.0,33.0,285.0,196.0,64.0,32.7,40.0,5886.0,272.0,0.4838709677419355,0.5502846299810247,2325.0,0.408246373122932,0.45914991091880886,0.050903537795876815,0.06641366223908918,0.7664618405264881,0.0,0.0,59.85,57.446666666666665,183.67,117.29666666666667
23,Julio Jones,WR,ATL,2017.0,28.0,8.13,0.0,148.0,88.0,1444.0,3.0,59.5,16.0,16.0,53.0,5.5,90.3,16.4,0.0,4.35,4.25,64.0,21.0,1.25,0.85,8,24.0,4.8,32.0,16.0,529.0,91.4,342.0,64.7,4095.0,255.9,20.0,3.8,12.0,2.3,88.0,7.7,12.0,7.12,6.87,7.5,24.0,4.3,103.58,8.1,1,27.8,-6.2,3.5,0.7,530.0,343.0,64.7,4146.0,21.0,12.0,24.0,156.0,92.4,3990.0,249.4,430.0,1847.0,4.3,12.0,101.0,115.4,139.0,149.0,25.0,313.0,219.0,94.0,42.9,33.0,5993.0,295.0,0.44339622641509435,0.7226415094339622,2525.0,0.3909792571152918,0.7392667631452001,0.3482875060299083,0.2792452830188679,1.2472457986206176,0.0,0.0,8.13,103.28333333333335,172.64,111.41333333333334
24,Mohamed Sanu,WR,ATL,2017.0,28.0,153.47,0.0,96.0,67.0,703.0,5.0,69.8,15.0,15.0,25.0,4.5,46.9,10.5,0.0,4.35,4.25,64.0,21.0,1.25,0.85,8,24.0,4.8,32.0,16.0,529.0,91.4,342.0,64.7,4095.0,255.9,20.0,3.8,12.0,2.3,88.0,7.7,12.0,7.12,6.87,7.5,24.0,4.3,103.58,8.1,1,27.8,-6.2,3.5,0.7,530.0,343.0,64.7,4146.0,21.0,12.0,24.0,156.0,92.4,3990.0,249.4,430.0,1847.0,4.3,12.0,101.0,115.4,139.0,149.0,25.0,313.0,219.0,94.0,42.9,33.0,5993.0,295.0,0.44339622641509435,0.6245283018867924,2525.0,0.3909792571152918,0.5605402797877472,0.16956102267245537,0.1811320754716981,0.9361181460041808,0.0,0.0,8.13,103.28333333333335,172.64,111.41333333333334
25,Taylor Gabriel,WR,ATL,2017.0,26.0,172.64,0.0,51.0,33.0,378.0,1.0,64.7,16.0,4.0,40.0,2.1,23.6,11.5,0.0,4.35,4.25,64.0,21.0,1.25,0.85,8,24.0,4.8,32.0,16.0,529.0,91.4,342.0,64.7,4095.0,255.9,20.0,3.8,12.0,2.3,88.0,7.7,12.0,7.12,6.87,7.5,24.0,4.3,103.58,8.1,1,27.8,-6.2,3.5,0.7,530.0,343.0,64.7,4146.0,21.0,12.0,24.0,156.0,92.4,3990.0,249.4,430.0,1847.0,4.3,12.0,101.0,115.4,139.0,149.0,25.0,313.0,219.0,94.0,42.9,33.0,5993.0,295.0,0.44339622641509435,0.539622641509434,2525.0,0.3909792571152918,0.48215147129763625,0.09117221418234443,0.09622641509433963,0.9474759513067166,0.0,0.0,8.13,103.28333333333335,172.64,111.41333333333334
26,Demaryius Thomas,WR,DEN,2017.0,30.0,38.85,0.0,140.0,83.0,949.0,5.0,59.3,16.0,16.0,40.0,5.2,59.3,11.4,1.0,4.31,4.03,65.0,18.0,1.11,0.51,29,52.0,9.1,26.330134357005765,8.019193857965451,521.0,73.03589251439539,302.0,57.94357005758157,3373.0,198.984452975048,17.0,3.2349328214971207,19.0,3.636852207293666,47.30134357005758,6.433973128598847,11.16602687140115,5.4826295585412685,4.564875239923224,5.466026871401152,43.0,7.57658349328215,200.0,-19.0,28,-18.0,-11.9,8.5,4.1,566.0,332.0,58.7,3668.0,19.0,22.0,52.0,335.0,73.0,3333.0,208.3,457.0,1852.0,4.05,8.0,92.0,115.8,145.0,162.0,23.0,330.0,210.0,76.0,36.2,27.0,5520.0,232.0,0.5901060070671378,0.8374558303886925,1504.0,0.5899672846237731,0.848691384950927,0.25872410032715376,0.24734982332155478,1.0459845770369216,0.0,0.0,38.85,19.874999999999993,78.6,58.724999999999994
