year,policy,player,selections
2022,keeper_tiebreak,Alexander Mattison,7
2022,keeper_tiebreak,Cordarrelle Patterson,3
2022,keeper_tiebreak,Devonta Smith,1
2023,bench0,Devon Achane,81
2023,bench0,Zay Flowers,67
2023,bench0,Kendre Miller,36
2023,bench0,Antonio Gibson,34
2023,bench0,Zach Charbonnet,32
2023,bench0,Christian Kirk,18
2023,bench0,Jameson Williams,18
2023,bench0,Quentin Johnston,17
2023,bench0,Josh Downs,15
2023,bench0,Jaylen Warren,13
2023,bench0,Rashaad Penny,13
2023,bench0,Devin Singletary,12
2023,bench0,Jerick Mckinnon,9
2023,bench0,Treylon Burks,9
2023,bench0,Aj Dillon,8
2023,bench0,Damien Harris,8
2023,bench0,Jalin Hyatt,8
2023,bench0,Raheem Mostert,8
2023,bench0,Jamaal Williams,7
2023,bench0,Kenneth Gainwell,7
2023,bench0,Rondale Moore,7
2023,bench0,Ezekiel Elliott,5
2023,bench0,Jeff Wilson,5
2023,bench0,Marquise Brown,5
2023,bench0,Jaxon Smith Njigba,4
2023,bench0,Jordan Addison,4
2023,bench0,Rashod Bateman,4
2023,bench0,Donta Foreman,3
2023,bench0,George Pickens,3
2023,bench0,Jerry Jeudy,3
2023,bench0,Michael Pittman,3
2023,bench0,Nico Collins,3
2023,bench0,Samaje Perine,3
2023,bench0,Brian Robinson,2
2023,bench0,David Montgomery,2
2023,bench0,Deon Jackson,2
2023,bench0,Jonathan Mingo,2
2023,bench0,Kadarius Toney,2
2023,bench0,Khalil Herbert,2
2023,bench0,Romeo Doubs,2
2023,bench0,Chase Edmonds,1
2023,bench0,Clyde Edwards Helaire,1
2023,bench0,Cordarrelle Patterson,1
2023,bench0,Dandre Swift,1
2023,bench0,David Njoku,1
2023,bench0,Gabriel Davis,1
2023,bench0,Jakobi Meyers,1
2023,bench0,Juju Smith Schuster,1
2023,bench0,Kenyan Drake,1
2023,bench0,Marvin Mims,1
2023,bench0,Michael Carter,1
2023,bench0,Michael Thomas,1
2023,bench0,Rashid Shaheed,1
2023,bench0,Tyler Lockett,1
2023,current_bench025,Devon Achane,81
2023,current_bench025,Zay Flowers,69
2023,current_bench025,Antonio Gibson,38
2023,current_bench025,Kendre Miller,36
2023,current_bench025,Zach Charbonnet,35
2023,current_bench025,Christian Kirk,21
2023,current_bench025,Rashaad Penny,18
2023,current_bench025,Jameson Williams,17
2023,current_bench025,Josh Downs,12
2023,current_bench025,Quentin Johnston,12
2023,current_bench025,Devin Singletary,11
2023,current_bench025,Raheem Mostert,11
2023,current_bench025,Jaylen Warren,9
2023,current_bench025,Jordan Addison,8
2023,current_bench025,Rashod Bateman,8
2023,current_bench025,Rondale Moore,8
2023,current_bench025,Donta Foreman,7
2023,current_bench025,Jamaal Williams,7
2023,current_bench025,Jaxon Smith Njigba,7
2023,current_bench025,Marquise Brown,7
2023,current_bench025,Michael Pittman,6
2023,current_bench025,Aj Dillon,5
2023,current_bench025,Damien Harris,5
2023,current_bench025,Jeff Wilson,5
2023,current_bench025,Jerick Mckinnon,5
2023,current_bench025,Kadarius Toney,5
2023,current_bench025,Treylon Burks,5
2023,current_bench025,Ezekiel Elliott,4
2023,current_bench025,George Pickens,4
2023,current_bench025,Jalin Hyatt,4
2023,current_bench025,Samaje Perine,4
2023,current_bench025,David Montgomery,3
2023,current_bench025,Jerry Jeudy,3
2023,current_bench025,Kenneth Gainwell,3
2023,current_bench025,Kenyan Drake,2
2023,current_bench025,Marvin Mims,2
2023,current_bench025,Romeo Doubs,2
2023,current_bench025,Alec Pierce,1
2023,current_bench025,Brian Robinson,1
2023,current_bench025,Chuba Hubbard,1
2023,current_bench025,Clyde Edwards Helaire,1
2023,current_bench025,David Njoku,1
2023,current_bench025,Gus Edwards,1
2023,current_bench025,Jonathan Mingo,1
2023,current_bench025,Joshua Palmer,1
2023,current_bench025,Mike Williams,1
2023,current_bench025,Pat Freiermuth,1
2023,current_bench025,Rashid Shaheed,1
2023,keeper_0p01,Quentin Johnston,194
2023,keeper_0p01,Zay Flowers,113
2023,keeper_0p01,Devon Achane,80
2023,keeper_0p01,Josh Downs,67
2023,keeper_0p01,Jalin Hyatt,19
2023,keeper_0p01,Jordan Addison,17
2023,keeper_0p01,Jaxon Smith Njigba,9
2023,keeper_0p01,Cedric Tillman,1
2023,keeper_10p0,Quentin Johnston,180
2023,keeper_10p0,Jaxon Smith Njigba,165
2023,keeper_10p0,Zay Flowers,51
2023,keeper_10p0,Jordan Addison,45
2023,keeper_10p0,Devon Achane,37
2023,keeper_10p0,Dandre Swift,11
2023,keeper_10p0,Josh Downs,9
2023,keeper_10p0,Jalin Hyatt,2
2023,keeper_1p0,Quentin Johnston,202
2023,keeper_1p0,Zay Flowers,89
2023,keeper_1p0,Jaxon Smith Njigba,88
2023,keeper_1p0,Devon Achane,60
2023,keeper_1p0,Josh Downs,30
2023,keeper_1p0,Jordan Addison,27
2023,keeper_1p0,Jalin Hyatt,4
2023,keeper_engine0,Devon Achane,78
2023,keeper_engine0,Zay Flowers,66
2023,keeper_engine0,Kendre Miller,36
2023,keeper_engine0,Antonio Gibson,34
2023,keeper_engine0,Zach Charbonnet,32
2023,keeper_engine0,Christian Kirk,19
2023,keeper_engine0,Jameson Williams,19
2023,keeper_engine0,Quentin Johnston,16
2023,keeper_engine0,Josh Downs,15
2023,keeper_engine0,Rashaad Penny,14
2023,keeper_engine0,Jaylen Warren,13
2023,keeper_engine0,Devin Singletary,12
2023,keeper_engine0,Aj Dillon,9
2023,keeper_engine0,Treylon Burks,9
2023,keeper_engine0,Jalin Hyatt,8
2023,keeper_engine0,Jerick Mckinnon,8
2023,keeper_engine0,Raheem Mostert,8
2023,keeper_engine0,Damien Harris,7
2023,keeper_engine0,Jamaal Williams,7
2023,keeper_engine0,Kenneth Gainwell,7
2023,keeper_engine0,Rondale Moore,7
2023,keeper_engine0,Ezekiel Elliott,5
2023,keeper_engine0,Jaxon Smith Njigba,5
2023,keeper_engine0,Jeff Wilson,5
2023,keeper_engine0,Jordan Addison,5
2023,keeper_engine0,Marquise Brown,5
2023,keeper_engine0,Rashod Bateman,5
2023,keeper_engine0,Donta Foreman,3
2023,keeper_engine0,George Pickens,3
2023,keeper_engine0,Jerry Jeudy,3
2023,keeper_engine0,Michael Pittman,3
2023,keeper_engine0,Nico Collins,3
2023,keeper_engine0,Samaje Perine,3
2023,keeper_engine0,Brian Robinson,2
2023,keeper_engine0,David Montgomery,2
2023,keeper_engine0,Deon Jackson,2
2023,keeper_engine0,Jonathan Mingo,2
2023,keeper_engine0,Kadarius Toney,2
2023,keeper_engine0,Khalil Herbert,2
2023,keeper_engine0,Romeo Doubs,2
2023,keeper_engine0,Chase Edmonds,1
2023,keeper_engine0,Clyde Edwards Helaire,1
2023,keeper_engine0,Cordarrelle Patterson,1
2023,keeper_engine0,Dandre Swift,1
2023,keeper_engine0,David Njoku,1
2023,keeper_engine0,Gabriel Davis,1
2023,keeper_engine0,Jakobi Meyers,1
2023,keeper_engine0,Juju Smith Schuster,1
2023,keeper_engine0,Kenyan Drake,1
2023,keeper_engine0,Marvin Mims,1
2023,keeper_engine0,Michael Carter,1
2023,keeper_engine0,Michael Thomas,1
2023,keeper_engine0,Rashid Shaheed,1
2023,keeper_engine0,Tyler Lockett,1
2023,keeper_tiebreak,Quentin Johnston,192
2023,keeper_tiebreak,Zay Flowers,108
2023,keeper_tiebreak,Devon Achane,80
2023,keeper_tiebreak,Josh Downs,70
2023,keeper_tiebreak,Jalin Hyatt,20
2023,keeper_tiebreak,Jordan Addison,20
2023,keeper_tiebreak,Jaxon Smith Njigba,9
2023,keeper_tiebreak,Cedric Tillman,1
2024,bench0,Chase Brown,81
2024,bench0,Rome Odunze,59
2024,bench0,Jordan Addison,56
2024,bench0,Xavier Worthy,56
2024,bench0,Brian Thomas,32
2024,bench0,Jaxon Smith Njigba,25
2024,bench0,Keon Coleman,21
2024,bench0,Nick Chubb,17
2024,bench0,Brian Robinson,16
2024,bench0,Tyjae Spears,15
2024,bench0,Jayden Reed,14
2024,bench0,Kendre Miller,14
2024,bench0,Jonathon Brooks,11
2024,bench0,Austin Ekeler,9
2024,bench0,Chuba Hubbard,9
2024,bench0,Trey Benson,9
2024,bench0,Rico Dowdle,8
2024,bench0,Ezekiel Elliott,7
2024,bench0,Christian Watson,5
2024,bench0,Zach Charbonnet,5
2024,bench0,Adonai Mitchell,4
2024,bench0,Jerome Ford,4
2024,bench0,Xavier Legette,4
2024,bench0,Ladd Mcconkey,3
2024,bench0,Marshawn Lloyd,3
2024,bench0,Blake Corum,2
2024,bench0,Bucky Irving,2
2024,bench0,Aaron Jones,1
2024,bench0,Gus Edwards,1
2024,bench0,Ja'Lynn Polk,1
2024,bench0,Javonte Williams,1
2024,bench0,Jk Dobbins,1
2024,bench0,Joshua Palmer,1
2024,bench0,Rashid Shaheed,1
2024,bench0,Roschon Johnson,1
2024,bench0,Tyrone Tracy,1
2024,current_bench025,Chase Brown,100
2024,current_bench025,Rome Odunze,53
2024,current_bench025,Jordan Addison,51
2024,current_bench025,Xavier Worthy,48
2024,current_bench025,Brian Thomas,36
2024,current_bench025,Jaxon Smith Njigba,23
2024,current_bench025,Brian Robinson,19
2024,current_bench025,Keon Coleman,19
2024,current_bench025,Nick Chubb,18
2024,current_bench025,Jayden Reed,15
2024,current_bench025,Jonathon Brooks,14
2024,current_bench025,Tyjae Spears,14
2024,current_bench025,Trey Benson,13
