year,policy,trials,unique_rosters,forecast_ev,forecast_p10,forecast_p90,actual_points,actual_playoff_points,actual_waiver_starts,actual_cap_feasible,actual_cap_overage,forecast_salary_spend,starter_forecast_spend,bench_forecast_spend,bench_mean_price,bench_le5,bench_le10,top3_spend_share,stars_ge40,bench_actual_max4_ppg,predicted_keeper_option_top2,identified_keeper_count,identified_nominal_bench_count,identified_young_count,future_outcome_years,realized_next_keeper_surplus,realized_available_contract_surplus,realized_contract_surplus_per_year,realized_next_ppg_max,realized_next_market_value_max,realized_next_keeper_hits,roster_oracle_next_keeper_surplus,keeper_identification_regret,actual_keeper_cost_coverage
2023,keeper_10p0,250,250,1535.98446484375,1394.4059770507813,1677.317955078125,1731.7089643554687,486.6661574707031,58.948,0.04,31.192,295.7474306640625,259.14786865234373,36.599561641693114,7.319912327766419,2.004,3.628,0.6112511806488037,2.22,12.179746776294708,123.76351905822754,2.0,2.0,1.956,2.0,56.38374053359456,122.77607085735514,61.38803542867757,13.69211058807373,75.49363796241984,1.384,121.34629153722686,64.96255100363231,0.982
2023,keeper_1p0,250,250,1534.5742114257812,1391.8314838867188,1676.6971020507813,1734.53807421875,490.4483184814453,59.676,0.096,25.832,295.92574255371096,263.445035949707,32.48070700454712,6.496141396522522,2.212,4.04,0.6173047306537628,2.256,12.536053416824341,120.68999787902833,2.0,2.0,2.0,2.0,53.698713233323495,116.19849745005392,58.09924872502696,13.5150334815979,73.57845179125005,1.208,125.61563221873996,71.91691898541646,0.94
2023,keeper_engine0,250,250,1525.322041015625,1382.4457690429688,1668.3372827148437,1729.653521484375,491.7791993408203,59.212,0.112,24.884,296.028068359375,264.82726599121094,31.20080249404907,6.240160490989685,2.732,3.94,0.6126114785671234,2.212,13.075106695938109,76.3238281288147,2.0,2.0,1.364,2.0,48.87532713392258,88.23935420668256,44.11967710334128,11.589625244617462,57.53388809075912,0.9061224489795918,119.54266924148163,71.02366515283116,0.846
2023,keeper_tiebreak,250,249,1529.7265771484374,1387.9365493164062,1671.4883828125,1736.195916015625,493.96583935546874,60.608,0.104,24.076,295.80554064941407,266.1739259643555,29.63161381149292,5.9263227524757385,2.472,4.292,0.6139323310852051,2.228,12.938293402671814,115.76593984985351,2.0,2.0,1.996,2.0,49.759987973615,104.27453963333858,52.13726981666929,13.233283523559571,69.16362032370313,1.028,124.33604076906589,74.5760527954509,0.858
2024,bench0,250,250,1656.2640151367189,1502.91144921875,1810.4621518554688,1585.8712099609374,427.22704248046875,34.928,0.04,37.608,295.7155516357422,255.7816213378906,39.93393159866333,7.986786321640015,1.512,3.28,0.5564477707147598,1.952,14.684399803733825,95.73469244003296,2.0,2.0,1.756,1.0,29.99474928222768,29.99474928222768,29.99474928222768,11.658179214477538,41.546753666428046,0.492,55.25009575397793,25.255346471750258,0.966
2024,current_bench025,250,250,1655.728078125,1502.1980903320311,1809.2303510742188,1587.0556845703125,429.8243205566406,33.644,0.012,39.508,295.76755676269534,254.26271099853517,41.50484749603272,8.30096949672699,1.4,3.22,0.5516625245809555,1.92,14.918359795665742,95.94837195587158,2.0,2.0,1.74,1.0,33.27064937965052,33.27064937965052,33.27064937965052,11.829890861511231,45.21075953938916,0.552,55.33059266542685,22.059943285776324,0.978
2024,keeper_0p01,250,250,1664.0824873046874,1510.3552426757813,1818.429763671875,1576.258005859375,427.6005590820312,35.448,0.02,39.12,295.584720703125,261.43073657226563,34.15398573684693,6.830797145843506,2.084,3.528,0.5647180260419845,2.056,13.533339781951906,118.10313375854493,2.0,2.0,2.0,1.0,39.47895595503461,39.47895595503461,39.47895595503461,11.652471256256103,52.92372626488295,0.636,67.59509756689259,28.11614161185799,0.558
2024,keeper_10p0,250,250,1664.7506123046876,1510.8570029296875,1818.1059916992187,1591.654166015625,436.2925582275391,35.436,0.012,40.424,295.6533771972656,262.05196337890624,33.60141592788696,6.7202831716537474,1.932,3.608,0.5685027629137039,2.02,13.852513089942931,118.7463960571289,2.0,2.0,2.0,1.0,34.73416788962978,34.73416788962978,34.73416788962978,10.920478506088257,46.32637633517974,0.56,71.29893202387929,36.5647641342495,0.56
2024,keeper_1p0,250,250,1664.770138671875,1511.7222978515624,1818.2221118164061,1581.3527216796874,429.5890400390625,35.284,0.016,40.528,295.6981383056641,261.6997495117188,33.99839017868042,6.799678030967712,2.036,3.568,0.567299047589302,2.068,13.663059771442413,118.41495115661621,2.0,2.0,2.0,1.0,38.36814844729053,38.36814844729053,38.36814844729053,11.425729722976685,51.256954765270635,0.62,66.2118256621735,27.843677214882963,0.56
2024,keeper_engine0,250,250,1656.0732255859375,1502.3669638671875,1810.31960546875,1587.1290458984374,428.5776015625,34.78,0.04,37.836,295.7033269042969,255.84668145751954,39.856645809173585,7.971329160690308,1.52,3.304,0.5566672067642212,1.956,14.789246468734742,96.00132906723023,2.0,2.0,1.764,1.0,31.376328264443924,31.376328264443924,31.376328264443924,11.781152992248535,43.249535093447186,0.516,56.45078841382249,25.074460149378563,0.966
2024,keeper_tiebreak,250,250,1664.2148115234374,1510.4892158203124,1818.5973828125,1576.0680063476561,427.68135900878906,35.504,0.012,39.264,295.5311046142578,261.39323645019533,34.13786986541748,6.827573972702027,2.08,3.532,0.5643209733963013,2.048,13.537779779815674,118.13128572082519,2.0,2.0,2.0,1.0,40.18245170087933,40.18245170087933,40.18245170087933,11.737165597915649,53.860914229856995,0.648,67.39974159562917,27.21728989474984,0.56
2025,bench0,250,250,1663.3454819335936,1511.981462890625,1815.9814453125,1588.2535205078125,369.5927177734375,38.804,0.048,32.648,295.9474931640625,250.55063354492188,45.396859504699705,9.07937188243866,1.372,3.124,0.5684603716135025,1.776,12.251546729278566,70.63099359703064,2.0,2.0,1.8,0.0,,,,,,,,,
2025,current_bench025,250,250,1661.8352905273437,1510.9735791015626,1813.0125825195312,1576.382490234375,367.9354385986328,38.684,0.076,29.372,295.8524006347656,248.78409729003906,47.06830206298828,9.413660425186157,1.252,3.076,0.5608199491500855,1.716,12.37087339258194,68.057818901062,2.0,2.0,1.788,0.0,,,,,,,,,
2025,keeper_0p01,250,250,1673.74974609375,1523.6355888671876,1826.4992124023438,1596.7048784179688,362.31623876953125,39.188,0.052,32.48,295.08845935058594,258.6389876708984,36.44947142791748,7.28989427280426,1.9,3.844,0.583969443678856,1.852,12.176500196361541,100.2391665649414,2.0,2.0,2.0,0.0,,,,,,,,,
2025,keeper_10p0,250,250,1673.5696440429688,1523.3975434570314,1826.8001142578125,1607.5747202148436,366.96935766601564,40.176,0.036,33.884,295.68710546875,259.3292626953125,36.35784149169922,7.271568300247193,1.84,3.884,0.5882634590864182,1.92,12.009366827774047,100.28600872802734,2.0,2.0,2.0,0.0,,,,,,,,,
2025,keeper_1p0,250,250,1675.0654418945312,1525.7522377929688,1827.0926733398437,1595.3042407226562,361.9431180419922,39.556,0.036,34.12,295.6112813720703,258.96744104003903,36.643841049194336,7.328768218040467,1.884,3.836,0.5836663328409195,1.884,12.071760196876527,100.27760911560058,2.0,2.0,2.0,0.0,,,,,,,,,
2025,keeper_engine0,250,250,1662.9717568359374,1511.3797690429687,1815.8123442382812,1587.9461596679687,369.84743688964846,38.98,0.052,32.628,296.0481287841797,250.58009991455077,45.468028656005856,9.093605715751648,1.348,3.132,0.5677281775474549,1.776,12.228540060806274,70.82930716896057,2.0,2.0,1.808,0.0,,,,,,,,,
2025,keeper_tiebreak,250,250,1673.4015561523438,1523.4397744140624,1826.0048891601562,1596.6283198242188,362.2599987792969,39.216,0.052,32.492,295.10282531738284,258.75507775878907,36.34774701690674,7.269549389839172,1.9,3.852,0.5843436380624771,1.856,12.172233529090882,100.2391665649414,2.0,2.0,2.0,0.0,,,,,,,,,
