model_family,variant,slice_type,slice_value,n_rows,base_rmse,variant_rmse,delta_variant_minus_base
ridge,plus_market_room,season,2019,387,3.279592071683563,3.354734072075224,0.07514200039166097
ridge,plus_market_room,season,2020,420,3.1930801743921817,3.1744903061464065,-0.018589868245775243
ridge,plus_market_room,season,2021,417,3.111858943359648,3.095443118821426,-0.01641582453822199
ridge,plus_market_room,season,2022,426,2.852690606506056,2.8362323329435344,-0.016458273562521608
ridge,plus_market_room,season,2023,415,3.160390265273186,3.1911554796232355,0.03076521435004942
ridge,plus_market_room,season,2024,408,3.181923812892216,3.199050090326943,0.017126277434726944
ridge,plus_market_room,season,2025,416,3.107338975825776,3.113813257847683,0.00647428202190703
ridge,plus_market_room,history_depth,other_no_history,27,2.390661153484234,2.473484334065601,0.08282318058136706
ridge,plus_market_room,history_depth,rookie,532,3.5089514654989555,3.528041842027086,0.019090376528130282
ridge,plus_market_room,history_depth,second_year,568,3.2505000458731037,3.2788687610789755,0.02836871520587181
ridge,plus_market_room,history_depth,veteran_with_history,2574,3.0887304620588134,3.0861572421406596,-0.002573219918153846
ridge,plus_market_room,provider_depth,one,119,2.7910963190336022,2.8304772523224964,0.03938093328889414
ridge,plus_market_room,provider_depth,three_plus,3047,3.2993161893325222,3.30192112014433,0.002604930811807904
ridge,plus_market_room,provider_depth,two,535,2.4332352079059976,2.459183004996068,0.025947797090070335
ridge,plus_market_room,provider_era,2017_2019,1199,3.315871999257405,3.3329712629647728,0.017099263707367918
ridge,plus_market_room,provider_era,2020_2022,1263,3.054924738119619,3.0377586401078536,-0.017166098011765385
ridge,plus_market_room,provider_era,2023_plus,1239,3.1498249970014505,3.168021193435191,0.018196196433740486
ridge,plus_opportunity_share,position,QB,380,3.562020200719585,3.5356381225037894,-0.026382078215795524
ridge,plus_opportunity_share,position,RB,1016,3.5632767529733878,3.571801315645717,0.00852456267232915
ridge,plus_opportunity_share,position,TE,802,2.3672820859434336,2.3582757214204806,-0.009006364522953003
ridge,plus_opportunity_share,position,WR,1503,3.1640339437058715,3.1683246614939553,0.004290717788083764
ridge,plus_opportunity_share,season,2017,407,3.1690242615302786,3.1704678899838346,0.0014436284535559452
ridge,plus_opportunity_share,season,2018,405,3.490078838599456,3.453429516059191,-0.03664932254026532
ridge,plus_opportunity_share,season,2019,387,3.279592071683563,3.2980987104221136,0.018506638738550407
ridge,plus_opportunity_share,season,2020,420,3.1930801743921817,3.2099557255439017,0.016875551151720014
ridge,plus_opportunity_share,season,2021,417,3.111858943359648,3.1106637970822626,-0.0011951462773853727
ridge,plus_opportunity_share,season,2022,426,2.852690606506056,2.8571321364862405,0.004441529980184544
ridge,plus_opportunity_share,season,2023,415,3.160390265273186,3.1623828431555316,0.0019925778823455254
ridge,plus_opportunity_share,season,2024,408,3.181923812892216,3.1802384919176516,-0.0016853209745644193
ridge,plus_opportunity_share,season,2025,416,3.107338975825776,3.105649600338763,-0.0016893754870133115
ridge,plus_opportunity_share,history_depth,other_no_history,27,2.390661153484234,2.393664827549091,0.0030036740648569094
ridge,plus_opportunity_share,history_depth,rookie,532,3.5089514654989555,3.5188143013419975,0.009862835843041928
ridge,plus_opportunity_share,history_depth,second_year,568,3.2505000458731037,3.2578203395746526,0.007320293701548852
ridge,plus_opportunity_share,history_depth,veteran_with_history,2574,3.0887304620588134,3.084515282314708,-0.004215179744105235
ridge,plus_opportunity_share,provider_depth,one,119,2.7910963190336022,2.810604112571168,0.01950779353756582
ridge,plus_opportunity_share,provider_depth,three_plus,3047,3.2993161893325222,3.2971815912946156,-0.00213459803790661
ridge,plus_opportunity_share,provider_depth,two,535,2.4332352079059976,2.4436775260221775,0.010442318116179905
ridge,plus_opportunity_share,provider_era,2017_2019,1199,3.315871999257405,3.309297173877095,-0.0065748253803099566
ridge,plus_opportunity_share,provider_era,2020_2022,1263,3.054924738119619,3.061796255953366,0.006871517833746843
ridge,plus_opportunity_share,provider_era,2023_plus,1239,3.1498249970014505,3.1493749313286514,-0.0004500656727990382
lightgbm,plus_all_legacy,position,QB,380,3.5470321208517235,3.592452480234042,0.04542035938231859
lightgbm,plus_all_legacy,position,RB,1016,3.5294922272328093,3.540679026475,0.01118679924219057
lightgbm,plus_all_legacy,position,TE,802,2.318950121726822,2.2974840134328436,-0.021466108293978436
lightgbm,plus_all_legacy,position,WR,1503,3.1421187858309927,3.1488167108718237,0.006697925040830999
lightgbm,plus_all_legacy,season,2017,407,3.1211742352673477,3.1399878287587115,0.0188135934913638
lightgbm,plus_all_legacy,season,2018,405,3.361650946749244,3.417106640227162,0.05545569347791801
lightgbm,plus_all_legacy,season,2019,387,3.2437935430003906,3.210149434741549,-0.033644108258841676
lightgbm,plus_all_legacy,season,2020,420,3.2173394023583635,3.2406708549400247,0.02333145258166125
lightgbm,plus_all_legacy,season,2021,417,3.1016833822330367,3.0947129639859585,-0.006970418247078225
lightgbm,plus_all_legacy,season,2022,426,2.891152635539245,2.8853422948507386,-0.00581034068850661
lightgbm,plus_all_legacy,season,2023,415,3.2254419477416056,3.2332962972739927,0.007854349532387062
lightgbm,plus_all_legacy,season,2024,408,3.1776751715661553,3.173464214296976,-0.004210957269179527
lightgbm,plus_all_legacy,season,2025,416,2.949178206838924,2.9614462563349,0.01226804949597593
lightgbm,plus_all_legacy,history_depth,other_no_history,27,2.665959517651867,2.6710176343623857,0.00505811671051859
lightgbm,plus_all_legacy,history_depth,rookie,532,3.4675191398656153,3.4830146472813754,0.015495507415760112
lightgbm,plus_all_legacy,history_depth,second_year,568,3.2417641752409585,3.262117733433673,0.02035355819271434
lightgbm,plus_all_legacy,history_depth,veteran_with_history,2574,3.0555405922491197,3.0589857207723083,0.0034451285231886786
lightgbm,plus_all_legacy,provider_depth,one,119,2.9112188402146995,2.9186203345775934,0.007401494362893946
lightgbm,plus_all_legacy,provider_depth,three_plus,3047,3.2688548308495204,3.2780870545348213,0.009232223685300855
lightgbm,plus_all_legacy,provider_depth,two,535,2.3768129772884925,2.376079385870199,-0.0007335914182933223
lightgbm,plus_all_legacy,provider_era,2017_2019,1199,3.243490424217579,3.258390629181933,0.014900204964354291
lightgbm,plus_all_legacy,provider_era,2020_2022,1263,3.0721195707924953,3.0761084566870416,0.003988885894546268
lightgbm,plus_all_legacy,provider_era,2023_plus,1239,3.1192979573047257,3.1245080705084467,0.005210113203721001
lightgbm,plus_experience_context,position,QB,380,3.5470321208517235,3.558707840513679,0.011675719661955686
lightgbm,plus_experience_context,position,RB,1016,3.5294922272328093,3.545383133727191,0.015890906494381518
lightgbm,plus_experience_context,position,TE,802,2.318950121726822,2.312972544414856,-0.005977577311965909
lightgbm,plus_experience_context,position,WR,1503,3.1421187858309927,3.1392906315391427,-0.0028281542918500158
lightgbm,plus_experience_context,season,2017,407,3.1211742352673477,3.1272839360335514,0.006109700766203652
lightgbm,plus_experience_context,season,2018,405,3.361650946749244,3.3782406816247015,0.016589734875457562
lightgbm,plus_experience_context,season,2019,387,3.2437935430003906,3.228759199063529,-0.01503434393686165
lightgbm,plus_experience_context,season,2020,420,3.2173394023583635,3.2163004050964994,-0.001038997261864072
lightgbm,plus_experience_context,season,2021,417,3.1016833822330367,3.0974161441833163,-0.004267238049720401
lightgbm,plus_experience_context,season,2022,426,2.891152635539245,2.8934213097554373,0.002268674216192146
lightgbm,plus_experience_context,season,2023,415,3.2254419477416056,3.238318554881021,0.012876607139415519
lightgbm,plus_experience_context,season,2024,408,3.1776751715661553,3.1853753802144937,0.007700208648338425
lightgbm,plus_experience_context,season,2025,416,2.949178206838924,2.960323458653196,0.011145251814272061
lightgbm,plus_experience_context,history_depth,other_no_history,27,2.665959517651867,2.6112613351595044,-0.05469818249236269
lightgbm,plus_experience_context,history_depth,rookie,532,3.4675191398656153,3.471828959905844,0.004309820040228729
lightgbm,plus_experience_context,history_depth,second_year,568,3.2417641752409585,3.2648201557768783,0.02305598053591984
lightgbm,plus_experience_context,history_depth,veteran_with_history,2574,3.0555405922491197,3.0557643367751144,0.00022374452599471795
lightgbm,plus_experience_context,provider_depth,one,119,2.9112188402146995,2.9262070770617066,0.01498823684700712
lightgbm,plus_experience_context,provider_depth,three_plus,3047,3.2688548308495204,3.273482497682284,0.0046276668327633885
lightgbm,plus_experience_context,provider_depth,two,535,2.3768129772884925,2.3745248624461097,-0.0022881148423827824
lightgbm,plus_experience_context,provider_era,2017_2019,1199,3.243490424217579,3.246467088656359,0.0029766644387803076
lightgbm,plus_experience_context,provider_era,2020_2022,1263,3.0721195707924953,3.07105653859839,-0.0010630321941054177
lightgbm,plus_experience_context,provider_era,2023_plus,1239,3.1192979573047257,3.129879579327261,0.01058162202253543
lightgbm,plus_market_room,position,QB,380,3.5470321208517235,3.5713959087546363,0.024363787902912826
lightgbm,plus_market_room,position,RB,1016,3.5294922272328093,3.5312613752043607,0.0017691479715513658
lightgbm,plus_market_room,position,TE,802,2.318950121726822,2.306085252743055,-0.012864868983767153
lightgbm,plus_market_room,position,WR,1503,3.1421187858309927,3.14335867298063,0.0012398871496372976
lightgbm,plus_market_room,season,2017,407,3.1211742352673477,3.113402331509749,-0.007771903757598508
lightgbm,plus_market_room,season,2018,405,3.361650946749244,3.397380261354004,0.03572931460475992
lightgbm,plus_market_room,season,2019,387,3.2437935430003906,3.2271872833510105,-0.016606259649380117
lightgbm,plus_market_room,season,2020,420,3.2173394023583635,3.221360157168033,0.004020754809669569
lightgbm,plus_market_room,season,2021,417,3.1016833822330367,3.0988850879550887,-0.002798294277948088
lightgbm,plus_market_room,season,2022,426,2.891152635539245,2.8960288940914007,0.004876258552155566
lightgbm,plus_market_room,season,2023,415,3.2254419477416056,3.2278591198808315,0.002417172139225876
lightgbm,plus_market_room,season,2024,408,3.1776751715661553,3.1597814388833663,-0.017893732682789043
lightgbm,plus_market_room,season,2025,416,2.949178206838924,2.9614710014154872,0.012292794576563182
lightgbm,plus_market_room,history_depth,other_no_history,27,2.665959517651867,2.619820872614974,-0.046138645036893244
lightgbm,plus_market_room,history_depth,rookie,532,3.4675191398656153,3.47603525731852,0.008516117452904481
lightgbm,plus_market_room,history_depth,second_year,568,3.2417641752409585,3.249650717440626,0.007886542199667446
lightgbm,plus_market_room,history_depth,veteran_with_history,2574,3.0555405922491197,3.0548181381507673,-0.0007224540983523653
lightgbm,plus_market_room,provider_depth,one,119,2.9112188402146995,2.8893413728153967,-0.02187746739930274
lightgbm,plus_market_room,provider_depth,three_plus,3047,3.2688548308495204,3.2722687324860353,0.0034139016365148933
lightgbm,plus_market_room,provider_depth,two,535,2.3768129772884925,2.3727393619115387,-0.004073615376953832
lightgbm,plus_market_room,provider_era,2017_2019,1199,3.243490424217579,3.248179586762735,0.004689162545156389
lightgbm,plus_market_room,provider_era,2020_2022,1263,3.0721195707924953,3.0741368271758907,0.0020172563833953383
lightgbm,plus_market_room,provider_era,2023_plus,1239,3.1192979573047257,3.1180598580464025,-0.0012380992583231887
lightgbm,plus_opportunity_share,position,QB,380,3.5470321208517235,3.5481931968858396,0.001161076034116082
lightgbm,plus_opportunity_share,position,RB,1016,3.5294922272328093,3.529925646764051,0.00043341953124187427
lightgbm,plus_opportunity_share,position,TE,802,2.318950121726822,2.305904233770844,-0.013045887955978053
lightgbm,plus_opportunity_share,position,WR,1503,3.1421187858309927,3.1396351830947,-0.002483602736292667
lightgbm,plus_opportunity_share,season,2017,407,3.1211742352673477,3.097064595783393,-0.024109639483954837
lightgbm,plus_opportunity_share,season,2018,405,3.361650946749244,3.365788297486129,0.004137350736884926
lightgbm,plus_opportunity_share,season,2019,387,3.2437935430003906,3.223447455657915,-0.02034608734247545
lightgbm,plus_opportunity_share,season,2020,420,3.2173394023583635,3.2292527740816146,0.011913371723251132
lightgbm,plus_opportunity_share,season,2021,417,3.1016833822330367,3.0990505925837506,-0.002632789649286149
lightgbm,plus_opportunity_share,season,2022,426,2.891152635539245,2.8855560687363533,-0.005596566802891889
lightgbm,plus_opportunity_share,season,2023,415,3.2254419477416056,3.2211534359522704,-0.004288511789335203
lightgbm,plus_opportunity_share,season,2024,408,3.1776751715661553,3.1772602263405343,-0.00041494522562102176
lightgbm,plus_opportunity_share,season,2025,416,2.949178206838924,2.963789755975695,0.014611549136771096
lightgbm,plus_opportunity_share,history_depth,other_no_history,27,2.665959517651867,2.655976597571135,-0.009982920080731983
lightgbm,plus_opportunity_share,history_depth,rookie,532,3.4675191398656153,3.4596422498141077,-0.007876890051507601
lightgbm,plus_opportunity_share,history_depth,second_year,568,3.2417641752409585,3.2286385216520888,-0.013125653588869746
lightgbm,plus_opportunity_share,history_depth,veteran_with_history,2574,3.0555405922491197,3.0563734986715048,0.0008329064223850935
lightgbm,plus_opportunity_share,provider_depth,one,119,2.9112188402146995,2.902451116719627,-0.008767723495072488
lightgbm,plus_opportunity_share,provider_depth,three_plus,3047,3.2688548308495204,3.2692594180763166,0.0004045872267961492
lightgbm,plus_opportunity_share,provider_depth,two,535,2.3768129772884925,2.3500846585114408,-0.02672831877705173
lightgbm,plus_opportunity_share,provider_era,2017_2019,1199,3.243490424217579,3.2305217590415465,-0.012968665176032346
lightgbm,plus_opportunity_share,provider_era,2020_2022,1263,3.0721195707924953,3.073623831754835,0.0015042609623394654
lightgbm,plus_opportunity_share,provider_era,2023_plus,1239,3.1192979573047257,3.1223228127170835,0.003024855412357752
