variant,slice_type,slice_value,n_rows,base_rmse,variant_rmse,delta_variant_minus_base
family_market_room,history_depth,veteran_with_history,2574,3.052062651537221,3.0465136433588205,-0.0055490081784004275
family_market_room,provider_depth,one,119,2.8932176885280905,2.890133729941062,-0.00308395858702859
family_market_room,provider_depth,three_plus,3047,3.2706088405011813,3.2666582849664128,-0.0039505555347685295
family_market_room,provider_depth,two,535,2.3765663836214497,2.376514370309202,-5.2013312247467525e-05
family_market_room,provider_era,2017_2019,1199,3.227010522814891,3.233067464205745,0.00605694139085422
family_market_room,provider_era,2020_2022,1263,3.0844595250220497,3.0725850229945206,-0.011874502027529044
family_market_room,provider_era,2023_plus,1239,3.126249113214146,3.1216605729871465,-0.004588540226999616
family_opportunity_share,position,QB,380,3.5542832746901687,3.558744051005444,0.0044607763152755275
family_opportunity_share,position,RB,1016,3.5341047348252035,3.5221586555925497,-0.011946079232653783
family_opportunity_share,position,TE,802,2.316663889789086,2.318027184859445,0.0013632950703588165
family_opportunity_share,position,WR,1503,3.1397589461348736,3.137554198433485,-0.0022047477013886763
family_opportunity_share,season,2017,407,3.0876701968213047,3.1018665293799823,0.014196332558677582
family_opportunity_share,season,2018,405,3.3567385278368245,3.3609600880827104,0.004221560245885936
family_opportunity_share,season,2019,387,3.231893696301381,3.2336616990184273,0.0017680027170463575
family_opportunity_share,season,2020,420,3.21654205391773,3.2011895832831936,-0.015352470634536264
family_opportunity_share,season,2021,417,3.119162868251882,3.1055666646291633,-0.01359620362271885
family_opportunity_share,season,2022,426,2.912494131926024,2.8802742462108784,-0.03221988571514567
family_opportunity_share,season,2023,415,3.2511888372285926,3.2419496465843842,-0.009239190644208417
family_opportunity_share,season,2024,408,3.1651174604479353,3.1767689805609516,0.01165152011301629
family_opportunity_share,season,2025,416,2.956132799760705,2.9601713002371723,0.004038500476467366
family_opportunity_share,history_depth,other_no_history,27,2.683229893444979,2.655606234261003,-0.027623659183976024
family_opportunity_share,history_depth,rookie,532,3.470501815737368,3.4653828849466652,-0.0051189307907026915
family_opportunity_share,history_depth,second_year,568,3.258843318101201,3.2401913122334927,-0.018652005867708432
family_opportunity_share,history_depth,veteran_with_history,2574,3.052062651537221,3.0522155934057658,0.0001529418685448647
family_opportunity_share,provider_depth,one,119,2.8932176885280905,2.8993789321152166,0.006161243587126108
family_opportunity_share,provider_depth,three_plus,3047,3.2706088405011813,3.267818211853392,-0.0027906286477894504
family_opportunity_share,provider_depth,two,535,2.3765663836214497,2.3615873173986075,-0.014979066222842174
family_opportunity_share,provider_era,2017_2019,1199,3.227010522814891,3.2336809868497474,0.006670464034856494
family_opportunity_share,provider_era,2020_2022,1263,3.0844595250220497,3.064348223916167,-0.020111301105882884
family_opportunity_share,provider_era,2023_plus,1239,3.126249113214146,3.128209460260074,0.001960347045927957
feature_adp_best_teammate_gap,position,QB,380,3.5542832746901687,3.578370533623685,0.024087258933516154
feature_adp_best_teammate_gap,position,RB,1016,3.5341047348252035,3.521996644640758,-0.012108090184445697
feature_adp_best_teammate_gap,position,TE,802,2.316663889789086,2.314587917608004,-0.0020759721810819087
feature_adp_best_teammate_gap,position,WR,1503,3.1397589461348736,3.1376197758101583,-0.0021391703247153337
feature_adp_best_teammate_gap,season,2017,407,3.0876701968213047,3.0833749325778554,-0.004295264243449282
feature_adp_best_teammate_gap,season,2018,405,3.3567385278368245,3.3673005767602415,0.010562048923417056
feature_adp_best_teammate_gap,season,2019,387,3.231893696301381,3.2391308535118513,0.007237157210470357
feature_adp_best_teammate_gap,season,2020,420,3.21654205391773,3.2132306981507064,-0.0033113557670234606
feature_adp_best_teammate_gap,season,2021,417,3.119162868251882,3.1025390636291297,-0.01662380462275248
