"Courtland Sutton Den, WR",1.00
"Patriots D/ST NE, D/ST",9.00
,
PLAYER,OFFER AMOUNT
"Browns D/ST Cle, D/ST",16.00
"LeSean McCoy KC, RB",13.00
"David Johnson Ari, RB",94.00
"Amari Cooper Dal, WR",56.00
"Antonio Brown FA, WR",68.00
"Lamar Miller Hou, RB",12.00
"Mitchell Trubisky Chi, QB",1.00
"Evan Engram NYG, TE",12.00
"Peyton Barber TB, RB",1.00
"T.J. Yeldon Buf, RB",1.00
"Devin Singletary Buf, RB",7.00
"O.J. Howard TB, TE",12.00
"Jordan Howard Phi, RB",5.00
"Ka'imi Fairbairn Hou, K",1.00
"Adam Humphries Ten, WR",1.00
,
PLAYER,OFFER AMOUNT
"Adam Thielen Min, WR",46.00
"Ezekiel Elliott Dal, RB",114.00
"Cooper Kupp LAR, WR",23.00
"Marlon Mack Ind, RB",42.00
"Kenyan Drake Ari, RB",13.00
"Josh Gordon Sea, WR",9.00
"Phillip Lindsay Den, RB",34.00
"Greg Zuerlein LAR, K",2.00
"Dak Prescott Dal, QB",2.00
"Delanie Walker Ten, TE",1.00
"Broncos D/ST Den, D/ST",1.00
"Damien Harris NE, RB",1.00
"Dexter Williams GB, RB",1.00
"Terry McLaurin Wsh, WR",1.00
"DaeSean Hamilton Den, WR",1.00
,
,
PLAYER,OFFER AMOUNT
"Davante Adams GB, WR",71.00
"Adrian Peterson Wsh, RB",11.00
"Zach Ertz Phi, TE",48.00
"Le'Veon Bell NYJ, RB",96.00
"Derrius Guice Wsh, RB",12.00
"Sammy Watkins KC, WR",18.00
"Emmanuel Sanders SF, WR",2.00
"Cam Newton Car, QB",9.00
"Ben Roethlisberger Pit, QB",2.00
"Chargers D/ST LAC, D/ST",4.00
"Jamison Crowder NYJ, WR",3.00
"Wil Lutz NO, K",4.00
"Kenny Stills Hou, WR",1.00
"Corey Davis Ten, WR",8.00
"Mohamed Sanu Sr. NE, WR",2.00
,
,
PLAYER,OFFER AMOUNT
"James Conner Pit, RB",11.00
"Joe Mixon Cin, RB",67.00
"A.J. Green Cin, WR",29.00
"Aaron Rodgers GB, QB",10.00
"Stefon Diggs Min, WR",55.00
"Dede Westbrook Jax, WR",21.00
"Allen Robinson II Chi, WR",21.00
"Robby Anderson NYJ, WR",15.00
"Hunter Henry LAC, TE",14.00
"Rashaad Penny Sea, RB",12.00
"Latavius Murray NO, RB",9.00
"Marquez Valdes-Scantling GB, WR",9.00
"Justin Tucker Bal, K",9.00
"Jaylen Samuels Pit, RB",8.00
"Jaguars D/ST Jax, D/ST",10.00
,
PLAYER,OFFER AMOUNT
"Devonta Freeman Atl, RB",11.00
"Saquon Barkley NYG, RB",111.00
"Julio Jones Atl, WR",90.00
"T.Y. Hilton Ind, WR",51.00
"Royce Freeman Den, RB",4.00
"Alshon Jeffery Phi, WR",24.00
"Eagles D/ST Phi, D/ST",1.00
"Michael Badgley LAC, K",1.00
"Russell Wilson Sea, QB",1.00
"James Washington Pit, WR",1.00
"Ronald Jones II TB, RB",1.00
"Trey Burton Chi, TE",1.00
"Tom Brady NE, QB",1.00
"Devin Funchess Ind, WR",1.00
"Golden Tate NYG, WR",1.00
,
,
PLAYER,OFFER AMOUNT
"Tyreek Hill KC, WR",36.00
"Chris Godwin TB, WR",11.00
"Odell Beckham Jr. Cle, WR",95.00
"Julian Edelman NE, WR",55.00
"Mark Ingram II Bal, RB",36.00
"Aaron Jones GB, RB",51.00
"Kyler Murray Ari, QB",3.00
"T.J. Hockenson Det, TE",1.00
"Jordan Reed Wsh, TE",3.00
"Donte Moncrief Car, WR",1.00
"Deebo Samuel SF, WR",2.00
"Ted Ginn Jr. NO, WR",1.00
"Michael Gallup Dal, WR",2.00
"Texans D/ST Hou, D/ST",1.00
"Robbie Gould SF, K",1.00
,
PLAYER,OFFER AMOUNT
"Tarik Cohen Chi, RB",12.00
"Sony Michel NE, RB",15.00
"Melvin Gordon LAC, RB",85.00
"George Kittle SF, TE",38.00
"James White NE, RB",22.00
"Kenny Golladay Det, WR",40.00
"Calvin Ridley Atl, WR",25.00
"Drew Brees NO, QB",9.00
"Tyler Boyd Cin, WR",24.00
"Sterling Shepard NYG, WR",9.00
"Bears D/ST Chi, D/ST",6.00
"DeSean Jackson Phi, WR",6.00
"Kareem Hunt Cle, RB",6.00
"Aldrick Rosas NYG, K",1.00
"Jalen Hurd SF, WR",
,
