"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick",Weight,"Draft Year","Hand Size",Age,"20-Yard Shuttle","Athleticism Score"
"Allenzae Staggers",WR,"31 7/8",72,24.5,Undrafted,"181 lbs",2018,"8 7/8",-,4.35,94.6
"Alonzo Moore",WR,"31 5/8",72,27.0,Undrafted,"199 lbs",2017,"9 7/8",26.8,4.17,98.9
"Alonzo Russell",WR,"33 7/8",76,25.1,Undrafted,"206 lbs",2016,"9 1/2",26.9,4.33,100.4
"Alshon Jeffery",WR,"33    ",75,27.0,2.13,"216 lbs",2012,"10 1/4",29.5,4.17,107.3
"Amara Darboh",WR,"32 5/8",74,27.5,3.42,"214 lbs",2017,"9 7/8",25.5,4.30,106.6
"Amari Cooper",WR,"31 1/2",73,27.8,1.04,"211 lbs",2015,"10    ",25.2,3.98,104.5
"Amba Etta-Tawo",WR,"32    ",73,27.4,Undrafted,"208 lbs",2017,"9 1/8",25.8,4.32,101.8
"Anas Hasic",WR,"31    ",71,29.6,Undrafted,"212 lbs",2017,"9 1/4",-,4.34,102.1
"Andre Caldwell",WR,"32 1/4",72,27.1,3.34,"200 lbs",2008,"9    ",34.3,4.11,102.2
"Andre Davis",WR,"33 1/4",73,27.0,Undrafted,"205 lbs",2015,"9 1/4",26.0,4.33,100.2
"Andre Debose",WR,"32 1/4",72,26.4,7.04,"195 lbs",2015,"8 5/8",28.9,4.09,100.8
"Andre Holmes",WR,"34    ",76,27.1,Undrafted,"223 lbs",2011,"8 5/8",31.2,4.31,110.1
"Andre Johnson",WR,"34    ",74,28.9,1.03,"225 lbs",2003,"9 1/8",38.1,4.10,113.1
"Andre Levrone",WR,"32    ",75,27.0,Undrafted,"216 lbs",2018,"9 1/2",24.4,4.37,104.1
"Andre Lindsay",WR,"31 3/4",74,24.6,Undrafted,"192 lbs",2019,"9 1/4",-,4.13,100.0
"Andre Patton",WR,"31 7/8",74,25.4,Undrafted,"198 lbs",2017,"9 3/4",25.2,4.29,99.9
"Andre Roberts",WR,"31 1/2",71,27.2,3.24,"195 lbs",2010,"9 1/2",31.6,4.15,99.6
"Andre Wilson",WR,"30 1/8",70,25.8,Undrafted,"180 lbs",2019,"8 5/8",23.6,4.34,88.4
"Andrew Hawkins",WR,-,67,27.4,Undrafted,"175 lbs",2011,-,33.4,4.03,92.6
"Andy Cruse",WR,-,75,26.5,Undrafted,"212 lbs",2013,-,29.6,4.22,103.1
"Andy Isabella",WR,"29 3/4",69,27.8,2.30,"188 lbs",2019,"8 3/8",22.7,4.15,97.5
"Andy Jones",WR,"32    ",73,28.6,Undrafted,"217 lbs",2016,"9 3/8",25.1,4.35,107.3
"Anquan Boldin",WR,"30    ",73,29.0,2.22,"220 lbs",2003,"9 7/8",38.9,4.33,99.7
"Anthony Dable",WR,-,77,25.5,Undrafted,"215 lbs",2016,-,30.9,-,-
"Anthony Johnson",WR,"31 3/8",74,26.8,Undrafted,"209 lbs",2019,"9 3/8",24.5,-,-
"Anthony Miller",WR,"31 5/8",71,28.0,2.19,"201 lbs",2018,"10 5/8",24.8,4.26,101.8
"Anthony Ratliff-Williams",WR,"30 3/4",72,27.8,Undrafted,"205 lbs",2019,"9 1/2",22.2,4.38,99.9
"Anthony Warrum",WR,"30 1/8",72,25.8,Undrafted,"190 lbs",2017,"9    ",25.1,4.20,93.5
"Antoine Wesley",WR,"34    ",76,25.1,Undrafted,"206 lbs",2019,"9 3/4",21.8,4.26,102.0
"Antonio Brown",WR,"31    ",70,26.7,6.26,"186 lbs",2010,"9    ",31.1,4.18,92.7
"Antonio Callaway",WR,"31 1/2",71,27.9,4.05,"200 lbs",2018,"9 1/2",22.6,4.33,99.9
"Antwan Goodley",WR,"30 3/4",70,30.0,Undrafted,"209 lbs",2015,"9 1/4",27.9,4.38,101.4
"Antwane Grant",WR,"31    ",72,27.4,Undrafted,"202 lbs",2016,"9 1/4",26.3,4.39,96.6
"ArDarius Stewart",WR,"32 1/2",71,28.4,3.15,"204 lbs",2017,"9 3/8",25.7,-,-
"Armon Binns",WR,"32 1/2",75,26.1,Undrafted,"209 lbs",2011,"9 1/2",29.9,4.31,102.3
"Arrelious Benn",WR,"33 7/8",74,23.2,Undrafted,"181 lbs",2014,"7 7/8",30.2,4.52,96.5
"Artavis Scott",WR,"31 3/8",70,27.7,Undrafted,"193 lbs",2017,"9 3/8",24.8,4.49,93.2
"Ashton Dulin",WR,"33 3/8",73,28.4,Undrafted,"215 lbs",2019,"9    ",22.2,4.22,107.1
"Auden Tate",WR,"33 3/4",77,27.0,7.35,"228 lbs",2018,"9 3/8",22.5,4.58,103.8
"Austin Carr",WR,"30    ",72,27.4,Undrafted,"202 lbs",2017,"9    ",25.6,4.07,97.9
"Austin Collie",WR,"31    ",72,27.1,4.27,"200 lbs",2009,"9    ",33.8,4.07,98.7
"Austin Duke",WR,"28 5/8",69,25.1,Undrafted,"170 lbs",2017,"8 5/8",26.0,4.29,89.3
"Austin Franklin",WR,"31 1/4",71,26.4,Undrafted,"189 lbs",2014,"10    ",26.7,4.33,96.3
"Austin Hill",WR,"31 5/8",74,27.0,Undrafted,"210 lbs",2015,"9 1/8",28.1,4.11,103.4
"Austin Pettis",WR,"31 3/4",75,26.1,3.14,"209 lbs",2011,"9 3/4",31.5,3.88,103.5
"Austin Proehl",WR,"28 7/8",69,26.9,7.37,"182 lbs",2018,"8 1/2",23.8,4.07,-
"Austin Willis",WR,"29 3/8",69,26.0,Undrafted,"176 lbs",2015,"9 3/8",27.3,4.21,94.4
"B.J. Cunningham",WR,"33    ",73,28.4,6.13,"215 lbs",2012,"8 1/8",30.2,4.31,101.6
"Ben Edwards",WR,"29 3/4",70,28.3,Undrafted,"197 lbs",2014,"8 1/4",27.3,4.52,-
"Bennie Fowler",WR,"32    ",73,28.6,Undrafted,"217 lbs",2014,"9 1/2",28.2,4.18,105.6
"Bernard Reedy",WR,"30    ",69,25.8,Undrafted,"175 lbs",2014,"9 1/8",27.6,4.07,92.0
"Blake Jackson",WR,-,71,28.6,Undrafted,"205 lbs",2017,-,25.4,-,-
"Bobo Wilson",WR,"31 3/8",69,27.9,Undrafted,"189 lbs",2017,"9 3/8",24.5,-,-
"Bra'lon Cherry",WR,"30 7/8",71,26.2,Undrafted,"188 lbs",2017,"8 1/2",24.1,4.28,96.7
"Brad Smith",WR,-,74,27.2,4.06,"212 lbs",2006,-,35.7,4.33,107.0
"Bradley Marquez",WR,"30 1/2",71,28.0,Undrafted,"201 lbs",2015,"9    ",26.7,4.04,100.4
"Braelon Roberts",WR,"33    ",75,25.2,Undrafted,"202 lbs",2018,"8 3/8",25.0,4.70,97.9
"Brandin Cooks",WR,"30 3/4",70,27.1,1.20,"189 lbs",2014,"9 5/8",25.9,3.81,99.4
"Brandon Coleman",WR,"34    ",78,26.0,Undrafted,"225 lbs",2014,"9 1/4",27.1,4.51,106.2
"Brandon Gibson",WR,"32    ",72,28.5,6.21,"210 lbs",2009,-,32.0,4.54,99.3
"Brandon LaFell",WR,"32 3/4",74,27.1,3.14,"211 lbs",2010,"8 3/4",32.8,4.23,103.5
"Brandon Lloyd",WR,"31 1/4",72,27.1,4.25,"200 lbs",2003,"9    ",38.1,-,-
"Brandon Marshall",WR,"32 5/8",76,28.0,4.22,"230 lbs",2006,"8 7/8",35.4,4.31,110.2
"Brandon Powell",WR,"29 1/4",68,27.5,Undrafted,"181 lbs",2018,"8 7/8",23.9,4.15,89.6
"Brandon Reilly",WR,"29 1/4",74,25.9,Undrafted,"202 lbs",2017,"8 7/8",25.9,4.18,99.6
"Brandon Shippen",WR,"30 3/8",71,27.2,Undrafted,"195 lbs",2016,"9    ",25.2,4.20,95.6
"Brandon Tate",WR,"30 3/4",73,25.7,3.19,"195 lbs",2009,-,31.9,4.12,97.2
"Brandon Zylstra",WR,"31 1/4",74,27.5,Undrafted,"214 lbs",2016,"9 1/4",26.4,4.25,-
"Braxton Berrios",WR,"28    ",69,27.2,6.36,"184 lbs",2018,"9 1/4",23.9,4.18,92.9
"Braxton Miller",WR,"31 3/4",73,26.5,3.22,"201 lbs",2016,"9 1/8",26.7,4.07,102.2
"Brelan Chancellor",WR,"30    ",69,27.8,Undrafted,"188 lbs",2014,"9 5/8",27.0,4.16,96.7
"Brenton Bersin",WR,"31 1/4",75,26.4,Undrafted,"211 lbs",2012,-,29.3,4.27,101.8
"Breshad Perriman",WR,"32    ",74,27.2,1.26,"212 lbs",2015,"9 1/4",25.9,-,-
"Brian Brown",WR,"31 1/8",73,26.9,Undrafted,"204 lbs",2017,"9    ",24.8,4.34,97.5
"Brian Burt",WR,"30 1/8",71,27.2,Undrafted,"195 lbs",2019,"9 5/8",-,4.16,99.7
"Brian Hartline",WR,"32    ",74,25.5,4.08,"199 lbs",2009,"10    ",32.7,4.12,100.8
"Brian Quick",WR,"34 1/4",75,27.5,2.01,"220 lbs",2012,"9 3/4",30.2,4.23,106.3
"Brian Tyms",WR,"32 2/3",75,25.5,Undrafted,"204 lbs",2012,-,30.5,4.14,105.8
"Brice Butler",WR,"34 1/2",75,26.6,7.03,"213 lbs",2013,"9 3/8",29.5,4.40,109.8
"Brisly Estime",WR,"29 3/4",68,28.3,Undrafted,"186 lbs",2017,"8    ",26.7,4.29,92.7
"Brittan Golden",WR,-,71,25.9,Undrafted,"186 lbs",2012,-,31.1,4.25,96.3
"Brody Oliver",WR,"31 5/8",75,26.4,Undrafted,"211 lbs",2019,"9 7/8",-,4.31,-
"Bruce Ellington",WR,"31    ",69,29.1,4.06,"197 lbs",2014,"9 5/8",28.0,3.95,100.8
"Bryan Walters",WR,-,72,25.8,Undrafted,"190 lbs",2010,-,31.8,-,-
"Bryant Mitchell",WR,"32 3/8",73,24.4,Undrafted,"185 lbs",2015,"9 1/2",27.0,4.19,95.8
"Bryce Bobo",WR,"32 7/8",74,26.2,Undrafted,"204 lbs",2018,"10    ",24.2,4.38,95.9
"Bryce Treggs",WR,"30 7/8",70,26.5,Undrafted,"185 lbs",2016,"9 1/8",25.3,4.19,95.4
"Bud Sasser",WR,"33    ",74,27.7,6.25,"216 lbs",2015,"10 1/8",27.2,4.38,104.4
"Bug Howard",WR,"33 1/8",76,26.9,Undrafted,"221 lbs",2017,"10 3/8",24.7,4.14,108.1
"Byron Pringle",WR,"32    ",73,27.0,Undrafted,"205 lbs",2018,"9 1/4",25.7,4.40,101.7
"C.J. Board",WR,"31 1/2",73,23.9,Undrafted,"181 lbs",2017,"9 1/4",25.7,4.06,99.3
"C.J. Worton",WR,"29 3/8",72,25.9,Undrafted,"191 lbs",2019,"9 3/8",-,4.28,94.5
"Caleb Holley",WR,"31 5/8",74,25.7,Undrafted,"200 lbs",2014,"9 3/4",28.6,4.31,101.2
"Caleb Scott",WR,"30 5/8",74,26.1,Undrafted,"203 lbs",2018,"9    ",23.5,4.35,102.9
"Calvin Johnson",WR,"33 3/8",77,28.0,1.02,"236 lbs",2007,"9 7/8",33.9,-,-
"Calvin Ridley",WR,"31 5/8",73,24.9,1.26,"189 lbs",2018,"9 1/8",24.7,4.41,95.8
"Cam Phillips",WR,"30 1/2",72,27.0,Undrafted,"199 lbs",2018,"8 7/8",23.7,4.45,91.8
"Cam Sims",WR,"33 1/4",76,25.8,Undrafted,"212 lbs",2018,"9 5/8",23.6,4.49,102.0
"Cam Worthy",WR,"33 1/2",74,27.1,Undrafted,"211 lbs",2015,"10 1/8",27.4,-,-
"Cameron Batson",WR,"28 7/8",68,26.6,Undrafted,"175 lbs",2018,"9    ",23.7,4.00,94.2
"Cameron Meredith",WR,"32 1/8",75,25.0,Undrafted,"200 lbs",2015,"9 1/4",26.9,4.12,104.3
"Canaan Severin",WR,"33 1/8",74,27.2,Undrafted,"212 lbs",2016,"9 3/4",26.4,-,-
"Carlos Henderson",WR,"31 3/8",71,27.8,3.18,"199 lbs",2017,"9 1/8",24.7,4.35,100.4
"Carlton Agudosi",WR,"35 1/2",77,25.7,Undrafted,"217 lbs",2017,"9 1/2",25.5,4.37,109.3
"Cayleb Jones",WR,"32 3/4",75,26.1,Undrafted,"209 lbs",2016,"9 1/4",26.4,4.14,101.3
"Cecil Shorts",WR,"31 5/8",72,27.8,4.17,"205 lbs",2011,"9 1/4",31.7,4.07,100.9
"Cedrick Wilson",WR,"31 1/2",74,24.1,6.34,"188 lbs",2018,"9 3/4",23.7,4.23,98.3
"Chad Beebe",WR,"27 7/8",70,25.5,Undrafted,"178 lbs",2018,"9 1/8",25.2,4.18,88.6
"Chad Hansen",WR,"32 1/8",74,25.9,4.35,"202 lbs",2017,"10 1/8",24.6,4.13,102.0
"Chad Williams",WR,"32    ",72,28.1,3.34,"207 lbs",2017,"9 3/4",24.8,4.15,104.1
"Chance Allen",WR,"32 7/8",73,27.3,Undrafted,"207 lbs",2017,"9 1/2",25.6,4.64,94.4
"Chandler Jones",WR,"29 1/2",71,24.3,Undrafted,"174 lbs",2014,"8 1/2",27.7,4.37,92.3
"Charles Holland",WR,"33    ",74,24.9,Undrafted,"194 lbs",2019,"10 3/8",23.3,4.28,99.2
"Charles Johnson",WR,"30 1/2",74,27.6,7.10,"215 lbs",2013,"9 1/4",30.5,4.31,107.8
"Charone Peake",WR,"34    ",74,26.8,7.20,"209 lbs",2016,"9 1/4",26.8,4.46,104.8
"Chester Rogers",WR,"30 1/8",72,25.1,Undrafted,"185 lbs",2016,"7 1/2",25.6,4.07,95.8
"Chris Boyd",WR,"32 5/8",76,25.1,Undrafted,"206 lbs",2014,"9 5/8",27.7,-,-
"Chris Brown",WR,"32 1/4",74,24.9,Undrafted,"194 lbs",2016,"9    ",24.7,4.41,98.4
"Chris Conley",WR,"33 3/4",74,27.3,3.12,"213 lbs",2015,"9 7/8",26.8,4.30,112.5
"Chris D. Harper",WR,"32 3/4",73,30.2,4.26,"229 lbs",2013,"9 3/4",29.9,4.26,107.4
"Chris Fields",WR,"31    ",72,26.9,Undrafted,"198 lbs",2014,"8 7/8",-,4.26,97.9
"Chris Givens",WR,"31 1/4",71,27.6,4.01,"198 lbs",2012,"8 1/4",30.5,4.23,99.1
"Chris Godwin",WR,"31 5/8",73,27.6,3.20,"209 lbs",2017,"9 1/8",23.5,4.00,105.1
"Chris Harper",WR,"31 7/8",72,24.4,Undrafted,"180 lbs",2015,"9 1/8",25.7,4.36,93.8
"Chris Hogan",WR,-,73,29.0,Undrafted,"220 lbs",2012,-,30.8,4.15,106.6
"Chris Lacy",WR,"31 1/4",75,25.6,Undrafted,"205 lbs",2018,"9 3/4",23.5,4.60,100.3
"Chris Matthews",WR,-,77,25.8,Undrafted,"218 lbs",2011,-,29.9,4.29,105.6
"Chris Moore",WR,"33 3/8",73,27.2,4.09,"206 lbs",2016,"9 3/8",26.2,4.20,104.9
"Chris Osei-Kusi",WR,-,72,26.0,Undrafted,"192 lbs",2019,-,21.9,4.31,96.8
"Chris Owusu",WR,"31 3/4",72,27.1,Undrafted,"200 lbs",2012,"8 1/2",29.6,4.11,105.1
"Chris Summers",WR,"32 3/4",77,25.3,Undrafted,"213 lbs",2012,-,30.1,4.48,101.9
"Chris Thompson",WR,"31 1/8",71,23.8,Undrafted,"171 lbs",2017,"9 1/4",25.3,4.25,91.3
"Chris Williams",WR,-,68,26.6,Undrafted,"175 lbs",2009,-,31.9,4.15,95.0
"Christian Blake",WR,"31 5/8",72,24.3,Undrafted,"179 lbs",2018,"9 3/8",23.2,4.40,94.4
"Christian Kirk",WR,"30 3/8",70,28.8,2.15,"201 lbs",2018,"9 7/8",22.7,4.45,97.9
"Christion Jones",WR,"30    ",70,26.1,Undrafted,"182 lbs",2015,"9    ",26.7,4.19,91.7
"Chuck Jacobs",WR,"30 3/4",72,24.1,Undrafted,"178 lbs",2013,"8 1/2",29.3,4.06,94.7
"Clyde Gates",WR,"30 1/2",72,25.8,Undrafted,"190 lbs",2011,"9 1/4",33.2,4.17,101.5
"Cobi Hamilton",WR,"32 1/2",74,27.2,6.29,"212 lbs",2013,"8 3/4",28.8,4.31,99.8
"Cody Core",WR,"32    ",75,25.6,6.24,"205 lbs",2016,"10 3/8",25.3,4.40,102.0
"Cody Hoffman",WR,"33 1/4",76,27.1,Undrafted,"223 lbs",2014,"9 3/4",28.4,4.20,102.6
"Cody Hollister",WR,"31 3/4",75,26.7,Undrafted,"214 lbs",2017,"9 5/8",25.7,-,-
"Cody Latimer",WR,"32 5/8",74,27.6,2.24,"215 lbs",2014,"9 5/8",26.8,-,-
"Cody Thompson",WR,"31    ",73,27.0,Undrafted,"205 lbs",2019,"9 3/8",23.6,4.03,102.5
"Colby Pearson",WR,"31 3/8",72,26.3,Undrafted,"194 lbs",2017,"9 3/8",24.6,4.35,97.3
"Cole Beasley",WR,"28 7/8",68,26.9,Undrafted,"177 lbs",2012,-,30.3,4.40,91.4
"Colin Lockett",WR,"30 1/8",71,26.2,Undrafted,"188 lbs",2014,"8 1/2",28.4,4.13,94.8
"Cooper Kupp",WR,"31 1/2",74,26.2,3.05,"204 lbs",2017,"9 1/2",26.2,4.08,99.5
"Cordarrelle Patterson",WR,"31 3/4",74,27.7,1.29,"216 lbs",2013,"9    ",28.4,4.40,106.4
"Corey Brown",WR,"31 3/4",71,24.8,Undrafted,"178 lbs",2014,"9 3/8",28.6,4.22,92.4
"Corey Coleman",WR,"30 1/4",71,27.1,1.15,"194 lbs",2016,"9    ",25.1,3.95,102.2
"Corey Davis",WR,"33    ",75,26.1,1.05,"209 lbs",2017,"9 1/8",24.6,-,-
"Corey Fuller",WR,"33 1/4",74,26.2,6.03,"204 lbs",2013,"9 1/2",29.1,4.48,101.2
"Corey Smith",WR,"30 5/8",72,24.8,Undrafted,"183 lbs",2017,"9 1/8",26.5,4.23,91.5
"Corey Washington",WR,"33    ",76,26.0,Undrafted,"214 lbs",2014,"9 1/4",27.6,4.42,105.2
"Corey Willis",WR,"29 1/2",70,26.1,Undrafted,"182 lbs",2018,"9 1/8",24.3,4.13,92.6
"Cortrelle Simpson",WR,"30 3/8",69,27.6,Undrafted,"187 lbs",2019,"8 3/4",23.0,4.13,95.8
"Courtland Sutton",WR,"32 3/8",75,27.2,2.08,"218 lbs",2018,"9 3/4",23.8,4.11,107.7
"Courtney Roby",WR,"31 3/8",72,25.6,3.04,"189 lbs",2005,"9 5/8",36.6,3.94,101.2
"Curtis Samuel",WR,"31 1/4",71,27.3,2.08,"196 lbs",2017,"9 1/2",23.0,4.33,100.5
"Cyril Grayson",WR,-,69,27.0,Undrafted,"183 lbs",2017,-,25.7,-,-
"D.J. Chark",WR,"32 3/8",75,24.9,2.29,"199 lbs",2018,"9 1/4",22.9,-,-
"D.J. Coles",WR,"33 1/4",75,28.1,Undrafted,"225 lbs",2014,"10    ",29.9,4.24,107.5
"D.J. Montgomery",WR,"32 1/4",74,25.8,Undrafted,"201 lbs",2019,"10 1/8",24.3,4.36,103.7
"D.J. Moore",WR,"31 5/8",72,28.5,1.24,"210 lbs",2018,"9 5/8",22.3,4.07,106.7
"D.K. Metcalf",WR,"34 7/8",75,28.5,2.32,"228 lbs",2019,"9 7/8",21.7,4.50,114.1
"Da'Mari Scott",WR,"31 3/4",72,27.8,Undrafted,"205 lbs",2018,"9    ",24.0,4.27,99.9
"Da'Rick Rogers",WR,"32 3/4",74,27.9,Undrafted,"217 lbs",2013,"9 1/2",28.2,4.06,109.6
"Da'Ron Brown",WR,"32    ",72,27.8,7.16,"205 lbs",2015,"10 1/4",27.9,4.11,101.8
"DaMarkus Lodge",WR,"33 1/8",74,25.9,Undrafted,"202 lbs",2019,"9 1/2",22.3,4.53,100.1
"DaVaris Daniels",WR,"31 1/4",73,26.5,Undrafted,"201 lbs",2015,"9    ",26.7,4.32,100.3
"DaeSean Hamilton",WR,"31    ",73,26.8,4.13,"203 lbs",2018,"9 3/8",24.4,4.15,100.3
"Daikiel Shorts",WR,"31    ",72,26.6,Undrafted,"196 lbs",2017,"9 1/4",24.9,4.29,96.3
"Damaris Johnson",WR,"27 3/8",68,26.6,Undrafted,"175 lbs",2012,-,29.7,4.20,87.2
"Damarr Aultman",WR,"30 1/8",71,27.6,Undrafted,"198 lbs",2015,"9 1/2",27.6,3.94,102.1
"Damian Copeland",WR,"31 3/8",71,25.7,Undrafted,"184 lbs",2014,"9    ",28.8,3.90,98.7
"Damian Williams",WR,"31 3/4",73,26.3,3.13,"199 lbs",2010,"9 1/4",31.2,4.24,101.3
"Damiere Byrd",WR,"29 7/8",69,23.9,Undrafted,"162 lbs",2015,"8    ",26.5,4.09,93.9
"Damion Jeanpiere",WR,"31    ",71,23.7,Undrafted,"170 lbs",2019,"9    ",-,4.30,94.0
"Damion Ratley",WR,"31    ",74,25.2,6.01,"196 lbs",2018,"9 1/2",24.3,4.23,101.9
"Damion Willis",WR,"33 1/4",75,25.5,Undrafted,"204 lbs",2019,"8 7/8",22.1,4.50,100.1
"Damon Sheehy-Guiseppi",WR,-,71,25.2,Undrafted,"181 lbs",2019,-,-,-,-
"Damond Powell",WR,"30 3/8",71,24.8,Undrafted,"178 lbs",2015,"8 7/8",26.8,4.38,95.6
"Damore'ea Stringfellow",WR,"33 1/4",74,28.0,Undrafted,"218 lbs",2017,"10 5/8",24.8,4.50,104.8
"Damoun Patterson",WR,"30 3/8",72,26.0,Undrafted,"192 lbs",2018,"8 5/8",24.9,4.51,95.5
"Danario Alexander",WR,"34 3/4",77,26.2,Undrafted,"221 lbs",2010,"10    ",31.0,-,-
"Dane Sanzenbacher",WR,"30 1/2",71,25.1,Undrafted,"180 lbs",2011,"8 1/4",30.8,3.97,93.9
"Daniel Braverman",WR,"28 3/4",70,25.1,7.09,"175 lbs",2016,"9 1/8",25.9,4.16,88.0
"Daniel Williams",WR,"32 1/2",74,30.0,Undrafted,"234 lbs",2017,"9 1/2",24.0,4.46,107.3
"Danny Amendola",WR,-,70,26.7,Undrafted,"186 lbs",2009,-,33.8,4.25,89.1
"Danny Coale",WR,"30 5/8",72,25.8,5.17,"190 lbs",2012,"9 1/8",31.1,4.09,97.5
"Dante Pettis",WR,"32 1/4",73,24.5,2.12,"186 lbs",2018,"9 1/2",23.8,-,-
"Darius Davis",WR,"30 5/8",71,29.6,Undrafted,"212 lbs",2015,"9 3/8",29.4,4.41,101.2
"Darius Jennings",WR,"28 1/2",70,24.2,Undrafted,"169 lbs",2015,"8 3/8",27.1,4.29,90.3
"Darius Johnson",WR,"30 1/4",69,26.4,Undrafted,"179 lbs",2013,"9 1/8",28.5,4.53,88.2
"Darius Powe",WR,"31 5/8",75,27.5,Undrafted,"220 lbs",2016,"9 1/8",25.4,4.29,105.7
"Darius Slayton",WR,"32 3/4",73,25.1,5.33,"190 lbs",2019,"10    ",-,4.15,-
"Darren Andrews",WR,"29 3/4",70,28.3,Undrafted,"197 lbs",2018,"9 1/8",24.0,-,-
"Darren Carrington",WR,"32 3/4",74,25.5,Undrafted,"199 lbs",2018,"10 3/8",24.8,4.51,97.3
"Darreus Rogers",WR,"32    ",73,28.5,Undrafted,"216 lbs",2017,"10 1/8",25.9,4.54,94.2
"Darrius Heyward-Bey",WR,"33 5/8",74,27.0,1.07,"210 lbs",2009,"9    ",32.5,4.18,109.2
"Darrius Shepherd",WR,"30    ",71,25.9,Undrafted,"186 lbs",2019,"10    ",23.8,4.40,93.0
"Darryl Surgent",WR,"31 3/4",71,26.5,Undrafted,"190 lbs",2014,"9 1/4",27.3,4.28,99.0
"Darvin Kidsy",WR,-,72,24.4,Undrafted,"180 lbs",2018,-,24.4,-,-
"Daurice Fountain",WR,"34    ",73,27.2,5.22,"206 lbs",2018,"10 1/8",23.6,4.29,106.5
"Davante Adams",WR,"32 5/8",73,28.0,2.21,"212 lbs",2014,"9    ",26.6,4.30,105.5
"David Gettis",WR,"34    ",75,27.1,6.29,"217 lbs",2010,"10    ",32.0,4.41,107.6
"David Moore",WR,"30 5/8",73,28.9,7.08,"219 lbs",2017,"9 1/2",24.6,4.38,105.5
"David Nelson",WR,-,77,25.4,Undrafted,"214 lbs",2010,-,32.8,4.13,106.7
"David Reed",WR,"31 3/4",72,25.8,5.25,"190 lbs",2010,"9 3/8",32.4,4.38,96.7
"David Richards",WR,"31 1/2",75,25.6,Undrafted,"205 lbs",2016,"9 3/8",26.3,4.39,-
"David Sills",WR,"32    ",75,26.4,Undrafted,"211 lbs",2019,"9    ",23.2,4.28,104.4
"Davion Davis",WR,"31    ",71,26.6,Undrafted,"191 lbs",2019,"9 1/2",22.8,4.07,93.8
"Davon Grayson",WR,"31 3/8",73,26.3,Undrafted,"199 lbs",2018,"9 3/8",23.9,4.40,99.5
"Davonte Allen",WR,"32 3/8",73,27.4,Undrafted,"208 lbs",2016,"8 1/2",26.4,4.44,103.7
"De'Anthony Thomas",WR,"29 7/8",69,25.7,4.24,"174 lbs",2014,"8 1/8",26.6,4.21,90.9
"De'Mornay Pierson-El",WR,"30 7/8",69,28.6,Undrafted,"194 lbs",2018,"9 5/8",23.6,4.28,96.2
