"Full Name",Position,"Catch Radius","3-Cone Drill","Bench Press","Height-adjusted Speed Score",SPARQ-x,"40-Yard Dash","Broad Jump","Burst Score","Agility Score","Vertical Jump"
"Bernard Reedy",WR,9.97,6.84,16,75.8,110.5,4.57,120,122.9,10.91,37.0
"Bobo Wilson",WR,-,-,10,81.9,-,4.57,-,-,-,-
"Bra'lon Cherry",WR,10.00,6.95,17,80.3,106.4,4.62,127,129.0,11.23,38.5
"Brad Smith",WR,10.22,7.01,-,108.6,-,4.46,128,131.2,11.34,39.5
"Bradley Marquez",WR,10.11,6.80,11,88.1,108.7,4.59,123,126.1,10.84,38.0
"Braelon Roberts",WR,9.74,7.44,4,95.2,75.3,4.57,112,111.3,12.14,32.5
"Brandin Cooks",WR,10.21,6.76,16,103.1,132.9,4.33,120,121.2,10.57,36.0
"Brandon Coleman",WR,9.99,7.33,21,111.2,107.3,4.56,113,111.8,11.84,32.5
"Brandon Gibson",WR,9.80,6.94,10,89.4,86.2,4.64,113,114.3,11.48,34.0
"Brandon LaFell",WR,10.15,6.81,11,97.2,101.4,4.58,115,118.7,11.04,36.0
"Brandon Lloyd",WR,-,-,-,86.6,-,4.62,-,-,-,36.0
"Brandon Marshall",WR,10.21,6.96,28,114.7,134.6,4.52,120,122.9,11.27,37.0
"Brandon Powell",WR,9.67,6.88,-,72.7,-,4.64,115,111.9,11.03,32.0
"Brandon Reilly",WR,9.94,6.77,18,98.1,109.7,4.52,120,114.4,10.95,32.0
"Brandon Shippen",WR,9.82,6.76,17,84.7,102.6,4.60,117,112.1,10.96,31.5
"Brandon Tate",WR,9.98,7.25,-,89.4,-,4.57,112,117.2,11.37,36.0
"Brandon Zylstra",WR,-,-,16,93.6,106.2,4.64,124,123.2,-,36.0
"Braxton Berrios",WR,9.88,6.72,11,85.6,102.8,4.49,110,116.2,10.90,36.0
"Braxton Miller",WR,10.18,6.65,17,98.0,116.3,4.50,123,121.0,10.72,35.0
"Brelan Chancellor",WR,10.08,6.83,15,82.2,112.9,4.56,121,130.2,10.99,41.0
"Brenton Bersin",WR,9.99,7.10,8,92.7,92.7,4.65,119,119.0,11.37,35.0
"Breshad Perriman",WR,-,-,18,125.7,-,4.30,127,125.6,-,36.5
"Brian Brown",WR,9.75,7.12,14,86.5,92.7,4.66,119,113.1,11.46,31.5
"Brian Burt",WR,10.03,6.81,15,102.1,114.9,4.39,123,121.9,10.97,35.5
"Brian Hartline",WR,10.15,6.65,-,91.7,-,4.58,120,118.7,10.77,34.5
"Brian Quick",WR,10.11,7.10,15,105.5,107.4,4.55,119,117.3,11.33,34.0
"Brian Tyms",WR,10.35,6.86,19,99.5,121.6,4.53,130,132.2,11.00,39.5
"Brice Butler",WR,10.38,6.70,-,114.7,-,4.42,129,130.8,11.10,39.0
"Brisly Estime",WR,9.69,7.13,11,81.6,95.6,4.54,121,119.2,11.42,34.5
"Brittan Golden",WR,9.99,6.80,16,85.9,106.3,4.53,122,122.2,11.05,36.0
"Brody Oliver",WR,-,6.95,10,-,-,-,116,116.7,11.26,34.5
"Bruce Ellington",WR,10.22,6.69,15,95.0,125.1,4.45,120,127.2,10.64,39.5
"Bryant Mitchell",WR,10.03,7.08,4,72.7,86.0,4.75,129,127.4,11.27,37.0
"Bryce Bobo",WR,9.63,7.38,9,82.6,78.9,4.73,116,106.5,11.76,28.5
"Bryce Treggs",WR,9.89,7.00,16,91.3,109.8,4.44,122,118.8,11.19,34.0
"Bud Sasser",WR,10.03,6.88,18,99.5,106.0,4.58,120,118.7,11.26,34.5
"Bug Howard",WR,10.29,6.95,-,104.6,-,4.58,119,123.3,11.09,37.5
"Byron Pringle",WR,9.96,6.87,15,103.6,103.1,4.46,120,117.0,11.27,33.5
"C.J. Board",WR,10.30,6.67,9,90.7,108.1,4.47,132,131.5,10.73,38.5
"C.J. Worton",WR,9.81,6.95,11,88.7,94.8,4.54,110,111.1,11.23,33.0
"Caleb Holley",WR,10.14,6.78,7,85.3,92.0,4.67,126,128.5,11.09,38.5
"Caleb Scott",WR,10.14,6.58,13,99.5,103.2,4.51,124,124.9,10.93,37.0
"Calvin Johnson",WR,-,-,-,139.0,-,4.35,139,141.8,-,42.5
"Calvin Ridley",WR,9.86,6.88,15,98.1,98.7,4.43,110,107.7,11.29,31.0
"Cam Phillips",WR,9.49,7.19,12,71.5,77.7,4.84,113,106.7,11.64,29.5
"Cam Sims",WR,9.87,7.57,-,95.2,-,4.64,123,119.3,12.06,34.0
"Cam Worthy",WR,-,-,12,92.3,-,4.64,125,124.6,-,36.5
"Cameron Batson",WR,10.10,6.69,14,87.0,120.0,4.40,124,128.3,10.69,39.0
"Cameron Meredith",WR,10.35,6.71,14,96.7,112.9,4.54,127,129.8,10.83,39.0
"Carlos Henderson",WR,9.90,7.18,13,97.8,103.7,4.46,131,126.7,11.53,36.0
"Carlton Agudosi",WR,10.45,6.79,10,97.1,98.9,4.66,124,130.9,11.16,40.5
"Cayleb Jones",WR,10.06,6.99,9,91.9,96.2,4.65,112,113.0,11.13,33.5
"Cecil Shorts",WR,10.12,6.50,21,91.1,119.5,4.59,114,115.7,10.57,34.5
"Cedrick Wilson",WR,10.13,6.89,9,88.9,97.9,4.55,121,123.4,11.12,37.0
"Chad Beebe",WR,9.66,6.88,-,68.2,-,4.73,117,113.8,11.06,32.5
"Chad Hansen",WR,10.17,6.74,11,97.3,104.3,4.53,119,119.0,10.87,35.0
"Chad Williams",WR,10.16,7.06,26,104.1,137.1,4.45,123,127.0,11.21,38.5
"Chance Allen",WR,9.53,7.45,7,70.1,68.4,4.93,116,112.4,12.09,32.0
"Chandler Jones",WR,9.86,6.78,13,91.1,99.6,4.39,117,115.5,11.15,33.5
"Charles Holland",WR,10.08,6.84,17,82.0,101.5,4.68,127,123.9,11.12,35.5
"Charles Johnson",WR,10.18,6.96,14,112.2,113.8,4.44,133,133.7,11.27,39.5
"Charone Peake",WR,10.10,6.96,12,108.1,100.4,4.45,122,121.4,11.42,35.5
"Chester Rogers",WR,10.05,6.85,15,84.4,109.6,4.56,120,121.2,10.92,36.0
"Chris Boyd",WR,-,-,12,91.7,-,4.65,116,115.0,-,33.5
"Chris Brown",WR,9.85,7.37,14,91.8,95.7,4.55,130,122.0,11.78,33.5
"Chris Conley",WR,10.51,7.06,18,120.6,130.8,4.35,139,146.0,11.36,45.0
"Chris D. Harper",WR,10.08,6.89,20,106.9,117.6,4.55,116,118.4,11.15,35.5
"Chris Fields",WR,9.88,7.03,14,85.0,99.0,4.63,125,121.2,11.29,34.5
"Chris Givens",WR,9.92,6.97,19,101.8,115.9,4.41,118,116.0,11.20,33.5
"Chris Godwin",WR,10.18,7.01,19,109.5,128.3,4.42,126,124.2,11.01,36.0
"Chris Harper",WR,9.91,7.03,11,80.7,91.4,4.58,120,119.5,11.39,35.0
"Chris Hogan",WR,10.13,6.75,28,102.7,135.4,4.55,126,123.4,10.90,35.5
"Chris Lacy",WR,9.81,7.29,11,101.8,89.7,4.51,120,117.0,11.89,33.5
"Chris Matthews",WR,10.13,6.90,14,100.9,100.2,4.62,118,116.0,11.19,33.5
"Chris Moore",WR,10.22,6.76,10,97.8,103.6,4.53,130,127.9,10.96,37.0
"Chris Osei-Kusi",WR,9.91,7.19,19,90.7,109.8,4.52,116,118.4,11.50,35.5
"Chris Owusu",WR,10.32,6.85,19,109.2,131.1,4.36,129,133.4,10.96,40.5
"Chris Summers",WR,9.83,7.37,-,98.6,-,4.62,121,113.2,11.85,31.0
"Chris Thompson",WR,9.90,7.00,6,79.0,89.1,4.53,121,119.2,11.25,34.5
"Chris Williams",WR,10.06,6.84,13,92.7,116.5,4.33,127,129.8,10.99,39.0
"Christian Blake",WR,9.92,6.83,9,81.7,87.9,4.56,126,121.7,11.23,34.5
"Christian Kirk",WR,9.79,7.09,20,96.6,111.0,4.47,115,117.9,11.54,35.5
"Christion Jones",WR,9.76,6.91,8,76.0,88.8,4.63,119,114.8,11.10,32.5
"Chuck Jacobs",WR,10.07,6.88,10,81.9,102.3,4.55,124,123.2,10.94,36.0
"Clyde Gates",WR,10.23,6.87,16,102.8,121.7,4.37,131,133.5,11.04,40.0
"Cobi Hamilton",WR,9.82,7.09,11,99.4,92.1,4.56,107,103.7,11.40,29.5
"Cody Core",WR,9.99,6.75,14,105.5,98.7,4.47,119,113.1,11.15,31.5
"Cody Hoffman",WR,9.90,6.89,13,99.3,94.3,4.65,108,100.8,11.09,27.5
"Cody Hollister",WR,-,-,24,-,-,-,-,-,-,-
"Cody Latimer",WR,-,-,23,112.2,-,4.44,124,128.4,-,39.0
"Cody Thompson",WR,10.21,6.87,19,94.0,123.0,4.57,119,125.0,10.90,38.5
"Colby Pearson",WR,9.87,6.94,12,89.3,94.6,4.55,122,118.0,11.29,33.5
"Cole Beasley",WR,9.73,7.16,17,77.6,103.6,4.54,126,127.6,11.56,38.0
"Colin Lockett",WR,9.89,6.83,13,88.4,102.9,4.51,115,112.8,10.96,32.5
"Cooper Kupp",WR,9.99,6.75,-,90.8,-,4.62,116,110.7,10.83,31.0
"Cordarrelle Patterson",WR,10.03,7.28,-,114.7,-,4.42,128,126.9,11.68,37.0
"Corey Brown",WR,9.84,7.16,13,83.7,98.8,4.51,116,114.1,11.38,33.0
"Corey Coleman",WR,10.30,6.75,17,98.9,130.0,4.42,129,133.4,10.70,40.5
"Corey Davis",WR,-,-,-,102.0,-,4.53,-,-,-,-
"Corey Fuller",WR,9.88,7.17,12,107.4,95.3,4.43,120,113.6,11.65,31.5
"Corey Smith",WR,9.79,7.28,-,70.3,-,4.76,117,118.0,11.51,35.0
"Corey Washington",WR,10.05,6.83,14,104.0,97.8,4.55,125,118.6,11.25,33.0
"Corey Willis",WR,9.81,6.85,-,78.0,-,4.60,123,117.6,10.98,33.0
"Cortrelle Simpson",WR,9.94,6.90,18,81.0,113.2,4.57,128,126.9,11.03,37.0
"Courtland Sutton",WR,10.27,6.57,18,105.4,118.0,4.54,124,122.4,10.68,35.5
"Courtney Roby",WR,10.30,6.60,-,103.2,-,4.36,126,125.1,10.54,36.5
"Curtis Samuel",WR,10.02,7.09,18,110.5,119.9,4.31,119,122.4,11.42,37.0
"Cyril Grayson",WR,-,-,-,94.0,-,4.38,127,-,-,-
"D.J. Chark",WR,-,-,16,115.3,-,4.34,129,132.5,-,40.0
"D.J. Coles",WR,10.06,7.17,19,109.8,114.9,4.53,123,119.3,11.41,34.0
"D.J. Montgomery",WR,10.20,6.69,7,101.2,97.0,4.48,127,127.3,11.05,37.5
"D.J. Moore",WR,10.25,6.95,15,108.5,123.8,4.42,132,133.2,11.02,39.5
"D.K. Metcalf",WR,10.28,7.38,27,133.3,139.7,4.33,134,135.9,11.88,40.5
"Da'Mari Scott",WR,9.91,6.86,10,96.9,96.2,4.52,116,113.3,11.13,32.5
"Da'Rick Rogers",WR,10.39,6.71,10,105.4,113.7,4.52,132,133.2,10.77,39.5
"Da'Ron Brown",WR,10.09,7.04,17,95.2,116.2,4.54,120,122.9,11.15,37.0
"DaMarkus Lodge",WR,9.91,7.06,11,95.6,89.4,4.55,119,116.5,11.59,33.5
"DaVaris Daniels",WR,10.05,6.81,13,88.2,99.4,4.62,122,123.9,11.13,37.0
"DaeSean Hamilton",WR,10.03,6.84,16,93.1,108.9,4.57,118,117.7,10.99,34.5
"Daikiel Shorts",WR,9.78,7.15,16,82.7,98.3,4.65,124,118.1,11.44,33.0
"Damaris Johnson",WR,9.56,6.80,13,74.7,93.1,4.57,113,107.5,11.00,30.0
"Damarr Aultman",WR,10.28,6.65,20,91.5,131.2,4.53,128,132.9,10.59,40.5
"Damian Copeland",WR,10.37,6.53,12,87.3,119.0,4.50,120,128.0,10.43,40.0
"Damian Williams",WR,10.17,6.79,19,95.4,116.1,4.52,118,123.6,11.03,38.0
"Damiere Byrd",WR,10.29,6.59,13,87.9,120.7,4.32,131,136.9,10.68,42.0
"Damion Jeanpiere",WR,10.15,6.56,8,80.6,96.2,4.50,125,128.8,10.86,39.0
"Damion Ratley",WR,10.18,6.92,12,102.2,108.9,4.44,124,126.6,11.15,38.0
"Damion Willis",WR,9.96,7.04,13,96.9,92.8,4.56,110,112.0,11.54,33.5
"Damon Sheehy-Guiseppi",WR,-,-,-,91.4,-,4.43,-,-,-,-
"Damond Powell",WR,10.07,6.40,-,89.1,-,4.44,123,123.6,10.78,36.5
"Damore'ea Stringfellow",WR,9.95,7.20,17,94.5,100.3,4.65,130,126.2,11.70,36.0
"Damoun Patterson",WR,9.69,7.14,10,88.4,85.9,4.55,125,117.8,11.65,32.5
"Danario Alexander",WR,-,-,-,102.3,-,4.62,-,-,-,-
"Dane Sanzenbacher",WR,10.06,6.46,-,78.9,-,4.59,118,116.0,10.43,33.5
"Daniel Braverman",WR,9.62,6.88,10,76.3,88.2,4.58,112,104.5,11.04,28.5
"Daniel Williams",WR,9.87,7.44,17,109.7,106.2,4.56,121,120.0,11.90,35.0
"Danny Amendola",WR,9.58,6.81,13,74.4,85.9,4.68,103,98.3,11.06,27.5
"Danny Coale",WR,10.09,6.64,12,91.4,106.6,4.50,115,117.0,10.73,35.0
"Dante Pettis",WR,-,-,11,88.3,-,4.53,125,123.7,-,36.0
"Darius Davis",WR,9.83,7.28,17,92.1,105.7,4.60,125,126.3,11.69,37.5
"Darius Jennings",WR,9.86,6.95,-,77.6,-,4.52,123,124.4,11.24,37.0
"Darius Johnson",WR,9.50,7.29,6,75.6,76.3,4.60,109,108.9,11.82,32.0
"Darius Powe",WR,10.05,6.94,17,106.4,109.3,4.54,120,118.7,11.23,34.5
"Darius Slayton",WR,10.33,7.00,11,102.3,114.7,4.39,-,-,11.15,40.5
"Darren Andrews",WR,-,-,19,-,-,-,-,-,-,-
"Darren Carrington",WR,9.92,6.96,9,74.1,80.3,4.83,120,121.2,11.47,36.0
"Darreus Rogers",WR,9.39,7.22,8,72.5,66.6,4.94,112,101.1,11.76,26.5
"Darrius Heyward-Bey",WR,10.40,6.80,16,124.5,126.2,4.30,126,128.5,10.98,38.5
"Darrius Shepherd",WR,9.75,7.13,14,76.7,92.9,4.66,120,120.4,11.53,35.5
"Darryl Surgent",WR,10.09,6.87,8,82.5,96.4,4.60,133,133.7,11.15,39.5
"Darvin Kidsy",WR,-,-,-,85.8,-,4.51,127,134.1,-,41.5
"Daurice Fountain",WR,10.33,7.02,14,95.3,111.5,4.56,134,139.3,11.31,42.5
"Davante Adams",WR,10.21,6.82,14,98.1,108.5,4.56,123,128.7,11.12,39.5
"David Gettis",WR,10.13,6.94,15,115.8,107.1,4.43,124,120.7,11.35,34.5
"David Moore",WR,9.99,6.98,26,108.7,127.7,4.48,124,124.1,11.36,36.5
"David Nelson",WR,10.40,6.79,16,101.7,114.5,4.59,112,120.6,10.92,38.0
"David Reed",WR,9.99,6.95,15,86.7,101.2,4.56,114,119.9,11.33,37.0
"David Richards",WR,-,-,13,84.2,89.2,4.73,122,117.1,-,33.0
"David Sills",WR,10.16,6.97,14,99.4,106.2,4.57,120,123.8,11.25,37.5
"Davion Davis",WR,9.84,6.90,15,76.8,100.9,4.69,114,111.4,10.97,32.0
"Davon Grayson",WR,9.89,7.14,19,96.2,107.4,4.51,124,120.7,11.54,34.5
"Davonte Allen",WR,10.11,6.81,15,91.3,102.3,4.62,128,130.3,11.25,39.0
"De'Anthony Thomas",WR,9.76,6.83,8,80.2,91.5,4.50,124,116.4,11.04,32.0
"De'Mornay Pierson-El",WR,9.88,6.98,14,80.5,101.7,4.62,120,123.8,11.26,37.5
"DeAndre Carter",WR,10.20,6.64,17,84.8,129.4,4.49,126,128.5,10.44,38.5
"DeAndre Hopkins",WR,10.03,6.83,15,98.1,99.9,4.57,115,118.7,11.33,36.0
"DeAndre Reaves",WR,9.64,7.01,10,78.0,85.8,4.58,117,112.9,11.39,32.0
"DeAndre Smelter",WR,-,-,-,105.0,-,4.57,110,109.4,-,32.0
"DeAndre Thompkins",WR,9.93,7.02,13,100.6,106.4,4.39,126,120.8,11.28,34.0
"DeAndrew White",WR,9.96,6.97,13,96.6,107.4,4.44,118,117.7,11.15,34.5
"DeAngelo Yancey",WR,10.11,6.84,21,101.4,116.5,4.58,121,120.9,11.11,35.5
"DeMario Bennett",WR,10.02,6.93,-,87.1,84.3,4.53,123,121.0,11.45,35.0
"DeSean Jackson",WR,10.00,6.82,-,93.7,-,4.35,120,118.7,11.01,34.5
"DeVante Parker",WR,-,-,17,109.5,-,4.45,125,124.6,-,36.5
"DeVier Posey",WR,10.14,7.03,14,103.8,112.2,4.50,123,123.6,11.18,36.5
"Deante' Gray",WR,9.69,7.01,12,85.1,97.2,4.48,115,112.8,11.29,32.5
"Dede Westbrook",WR,9.86,7.20,8,90.3,93.5,4.44,120,118.7,11.54,34.5
"Deebo Samuel",WR,10.12,7.03,15,103.3,118.5,4.48,122,127.3,11.17,39.0
"Delane Hart-Johnson",WR,9.63,7.47,14,85.5,84.5,4.74,121,116.6,12.11,33.0
"Demarcus Ayers",WR,9.67,7.00,-,69.3,-,4.72,123,117.6,11.33,33.0
"Demarcus Robinson",WR,10.09,6.77,9,91.5,97.0,4.59,123,120.2,10.96,34.5
"Demaryius Thomas",WR,-,-,-,124.4,-,4.41,-,-,-,-
"Denarius Moore",WR,10.17,6.78,13,97.6,109.9,4.45,118,120.2,10.93,36.0
"Dennis Parks",WR,9.74,7.44,10,85.2,83.8,4.66,122,116.3,11.92,32.5
"Deon Cain",WR,10.09,6.71,11,106.3,99.1,4.43,115,114.5,11.08,33.5
"Deon Long",WR,9.91,6.98,12,91.5,99.1,4.51,120,117.8,11.25,34.0
"Deon-Tay McManus",WR,9.69,7.38,20,100.4,109.1,4.59,116,115.8,11.79,34.0
"Deondre Douglas",WR,9.82,7.42,19,91.2,103.2,4.61,112,118.1,11.95,36.5
"Deontay Burnett",WR,-,-,-,72.1,-,4.75,121,112.4,-,30.5
"Deonte Greenberry",WR,9.92,7.23,21,98.5,115.0,4.55,116,118.4,11.54,35.5
"Deonte Harris",WR,9.65,6.82,10,73.4,95.0,4.53,114,113.1,10.98,33.0
"Deonte Thompson",WR,10.06,6.96,20,110.8,119.1,4.36,125,124.6,11.36,36.5
"Deontez Alexander",WR,10.24,6.91,15,104.6,119.8,4.40,130,128.8,10.99,37.5
"Derel Walker",WR,10.05,6.82,12,77.1,92.5,4.70,126,126.8,11.18,37.5
"Derrick Johnson",WR,9.97,6.60,12,88.5,99.5,4.52,122,117.1,10.80,33.0
"Derrick Willies",WR,10.49,6.84,15,96.3,119.5,4.60,134,136.7,10.85,41.0
"Devante Davis",WR,10.10,7.25,16,103.6,113.7,4.57,115,117.9,11.37,35.5
"Devin Fuller",WR,10.07,7.03,-,98.5,-,4.44,124,123.2,11.10,36.0
"Devin Funchess",WR,10.20,6.98,17,107.9,107.8,4.60,122,126.5,11.46,38.5
"Devin Gray",WR,9.99,6.90,15,90.0,108.8,4.46,125,122.9,11.09,35.5
"Devin Hester",WR,10.14,6.78,16,97.7,116.4,4.41,124,126.6,10.98,38.0
"Devin Lucien",WR,9.99,6.93,13,104.5,103.5,4.54,117,117.2,11.23,34.5
"Devin Ross",WR,9.84,6.94,16,83.2,105.1,4.57,123,121.0,11.17,35.0
"Devin Smith",WR,10.21,6.83,10,101.3,111.1,4.42,122,127.3,10.98,39.0
"Devin Street",WR,10.32,6.89,13,94.9,112.5,4.55,124,124.9,10.90,37.0
"Devon Wylie",WR,10.09,6.82,17,94.7,120.6,4.39,123,127.8,10.98,39.0
"Devonte Boyd",WR,9.86,6.98,18,83.3,98.1,4.64,122,119.7,11.43,34.5
"Dez Bryant",WR,10.12,7.10,14,102.3,102.8,4.57,133,131.1,11.56,38.0
"Dezmin Lewis",WR,10.03,7.11,16,101.3,104.5,4.58,119,116.5,11.39,33.5
"Dillon Mitchell",WR,10.08,6.93,12,99.6,104.4,4.46,122,123.1,11.22,36.5
"Diontae Johnson",WR,9.71,7.09,15,83.3,95.3,4.53,123,118.5,11.54,33.5
"Diontae Spencer",WR,9.92,7.22,13,86.8,109.3,4.39,123,129.5,11.52,40.0
"Dom Williams",WR,10.26,7.04,11,102.4,108.7,4.45,125,131.4,11.32,40.5
"Domenik Hixon",WR,-,-,-,102.8,-,4.44,-,-,-,-
"Donnie Avery",WR,10.32,6.30,16,92.4,124.6,4.43,126,126.8,10.21,37.5
"Donte Foster",WR,10.30,6.79,14,92.5,110.2,4.52,130,136.4,11.09,42.0
"Donte Moncrief",WR,10.25,7.02,13,119.5,115.5,4.40,132,133.2,11.32,39.5
"Donteea Dye",WR,10.00,7.02,17,93.8,111.9,4.50,123,123.6,11.24,36.5
