player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
Shaun Hill,1255,QB,11,DET,447,416,47,15,0,386,6,5,0,11.3,31.9,62.9
Derek Anderson,2430,QB,12,ARZ,354,327,47,19,0,543,1,3,0,14.4,40.4,64.4
Brett Favre,14,QB,13,MIN,382,358,46,15,0,447,6,2,0,12.8,32.6,91.2
Tom Brady,698,QB,16,NE,520,492,45,17,0,600,6,3,0,9.1,37.8,97.5
Kerry Collins,115,QB,10,TEN,291,278,44,18,0,599,5,5,0,15.8,40.9,86.6
Sam Bradford,5526,QB,16,STR,634,590,40,13,0,394,3,3,0,6.8,32.5,64.0
Chad Henne,4371,QB,15,MIA,539,491,40,10,0,340,1,3,0,8.1,25.0,39.6
Alex Smith,2218,QB,11,SF,373,342,36,9,0,316,2,3,0,10.5,25.0,47.5
Vince Young,2948,QB,9,TEN,178,156,35,16,0,495,4,2,0,22.4,45.7,106.5
Colt McCoy,5609,QB,8,CLV,256,222,32,10,0,280,3,7,0,14.4,31.3,56.3
Troy Smith,3790,QB,6,SF,175,145,27,10,0,351,2,1,0,18.6,37.0,94.3
Jimmy Clausen,5573,QB,13,CAR,345,300,27,9,0,304,1,2,0,9.0,33.3,58.3
Matt Moore,4018,QB,6,CAR,160,143,26,8,0,212,1,3,0,18.2,30.8,34.9
Jon Kitna,217,QB,10,DAL,353,318,25,8,0,275,1,2,0,7.9,32.0,54.6
Kevin Kolb,3652,QB,6,PHI,210,188,25,7,0,282,2,5,0,13.3,28.0,61.2
Tony Romo,1693,QB,6,DAL,220,213,24,9,0,285,2,1,0,11.3,37.5,93.2
Bruce Gradkowski,3139,QB,6,OAK,172,157,21,6,0,174,0,4,0,13.4,28.6,22.0
John Skelton,5678,QB,5,ARZ,142,126,15,4,0,176,1,1,0,11.9,26.7,70.4
Tim Tebow,5550,QB,4,DEN,99,82,14,6,0,203,1,1,0,17.1,42.9,83.9
Seneca Wallace,1422,QB,6,CLV,109,101,14,5,0,150,2,0,0,13.9,35.7,116.1
Tyler Thigpen,3833,QB,4,MIA,76,62,13,4,0,108,1,1,0,21.0,30.8,55.9
Matt Flynn,4523,QB,4,GB,77,65,12,3,0,114,1,0,0,18.5,25.0,94.4
Jake Delhomme,303,QB,5,CLV,156,149,12,4,0,134,1,1,0,8.1,33.3,69.4
Charlie Whitehurst,3026,QB,5,SEA,111,99,11,3,0,119,1,0,0,11.1,27.3,102.5
Drew Stanton,3659,QB,6,DET,132,119,11,3,0,154,1,3,0,9.2,27.3,69.9
Matthew Stafford,4924,QB,3,DET,102,96,10,0,0,0,0,1,0,10.4,0.0,0.0
Joe Webb III,5722,QB,4,MIN,111,89,10,1,0,46,0,0,0,11.2,10.0,46.3
Charlie Batch,367,QB,3,PIT,55,49,10,3,0,121,2,1,0,20.4,30.0,77.5
Rex Grossman,1338,QB,4,WAS,144,133,10,3,0,149,1,1,0,7.5,30.0,72.9
Max Hall,5878,QB,6,ARZ,92,78,9,0,0,0,0,3,0,11.5,0.0,0.0
Rusty Smith,5699,QB,2,TEN,41,40,5,1,0,52,0,2,0,12.5,20.0,30.8
Brodie Croyle,3030,QB,2,KC,23,19,5,0,0,0,0,0,0,26.3,0.0,39.6
Tarvaris Jackson,3009,QB,3,MIN,68,58,4,2,0,77,1,1,0,6.9,50.0,95.8
Todd Collins,131,QB,2,CHI,29,27,4,0,0,0,0,3,0,14.8,0.0,0.0
Luke McCown,1827,QB,1,JAX,20,19,3,0,0,0,0,0,0,15.8,0.0,39.6
Josh Johnson,4474,QB,6,TB,20,16,3,1,0,22,0,0,0,18.8,33.3,60.4
Trent Edwards,3708,QB,2,JAX,55,49,3,1,0,21,0,1,0,6.1,33.3,19.4
Brian Brohm,4370,QB,1,BUF,26,23,3,0,0,0,0,1,0,13.0,0.0,0.0
Brian St. Pierre,1470,QB,1,CAR,31,28,3,1,0,88,1,1,0,10.7,33.3,81.9
Dennis Dixon,4470,QB,2,PIT,40,32,2,2,0,76,0,0,0,6.3,100.0,118.8
Todd Bouman,299,QB,1,JAX,36,34,2,0,0,0,0,0,0,5.9,0.0,39.6
Brian Hoyer,5277,QB,3,NE,16,15,2,1,0,42,1,1,0,13.3,50.0,95.8
Richard Bartel,3884,QB,1,ARZ,30,28,2,1,0,31,0,0,0,7.1,50.0,95.8
Trent Edwards,3708,QB,2,BUF,64,52,2,1,0,31,1,0,0,3.8,50.0,135.4
Mark Brunell,51,QB,2,NYJ,14,13,2,1,0,52,1,0,0,15.4,50.0,135.4
Stephen McGee,5024,QB,2,DAL,59,44,2,2,0,68,1,0,0,4.5,100.0,158.3
Caleb Hanie,4674,QB,2,CHI,9,7,2,1,0,26,0,0,0,28.6,50.0,95.8
Michael Robinson,3045,FB,1,SEA,1,1,1,1,0,28,0,0,0,100.0,100.0,118.8
Maurice Jones-Drew,3005,HB,1,JAX,1,1,1,0,0,0,0,1,0,100.0,0.0,0.0
J. Levi Brown,5732,QB,1,BUF,3,3,1,0,0,0,0,1,0,33.3,0.0,0.0
Tony Pike,5727,QB,1,CAR,13,12,1,0,0,0,0,0,0,8.3,0.0,39.6
Joshua Cribbs,2544,WR,3,CLV,3,3,1,0,0,0,0,0,0,33.3,0.0,39.6
Ronnie Brown,2219,HB,2,MIA,2,2,1,0,0,0,0,0,0,50.0,0.0,39.6
Brad Smith,3048,WR,3,NYJ,3,3,1,0,0,0,0,0,0,33.3,0.0,39.6
David Carr,1009,QB,1,SF,14,13,1,0,0,0,0,0,0,7.7,0.0,39.6
Darren McFadden,4318,HB,1,OAK,1,1,1,0,0,0,0,0,0,100.0,0.0,39.6
Chad Johnson,806,WR,1,CIN,1,1,1,0,0,0,0,0,0,100.0,0.0,39.6
Steve Breaston,3758,WR,2,ARZ,2,2,1,0,0,0,0,0,0,50.0,0.0,39.6
Brandon Marshall,3064,WR,1,MIA,1,1,1,0,0,0,0,0,0,100.0,0.0,39.6
