player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
Matt Hasselbeck,408,QB,7,SEA,239,209,23,5,0,129,1,3,0,11.0,21.7,25.4
Tarvaris Jackson,3009,QB,7,MIN,178,149,17,5,0,226,3,0,0,11.4,29.4,118.8
Jon Kitna,217,QB,4,DET,139,120,15,1,0,21,1,2,0,12.5,6.7,22.2
Daunte Culpepper,446,QB,5,DET,134,115,14,6,0,250,2,1,0,12.2,42.9,99.7
Brian Griese,379,QB,5,TB,194,184,12,4,0,123,0,1,0,6.5,33.3,37.8
Brad Johnson,31,QB,3,DAL,86,78,11,2,0,62,1,1,0,14.1,18.2,43.0
Sage Rosenfels,863,QB,6,HST,189,174,11,3,0,123,1,2,0,6.3,27.3,64.4
Trent Green,58,QB,3,STR,80,72,11,2,0,68,0,2,0,15.3,18.2,13.3
Damon Huard,215,QB,5,KC,91,81,11,2,0,96,0,2,0,13.6,18.2,23.9
Carson Palmer,1317,QB,4,CIN,144,129,10,3,0,66,1,2,0,7.8,30.0,48.3
Ken Dorsey,1535,QB,4,CLV,96,91,8,2,0,55,0,2,0,8.8,25.0,16.1
J.P. Losman,1743,QB,4,BUF,125,104,8,1,0,87,1,1,0,7.7,12.5,72.4
Rex Grossman,1338,QB,3,CHI,64,62,8,1,0,29,0,1,0,12.9,12.5,2.6
Brady Quinn,3638,QB,3,CLV,93,89,8,2,0,65,0,0,0,9.0,25.0,60.9
Byron Leftwich,1323,QB,5,PIT,40,36,6,1,0,50,0,0,0,16.7,16.7,61.8
Vince Young,2948,QB,3,TEN,45,36,6,1,0,27,0,0,0,16.7,16.7,45.8
Matt Leinart,2955,QB,4,ARZ,32,29,5,3,0,141,1,0,0,17.2,60.0,143.8
Drew Stanton,3659,QB,3,DET,26,17,5,2,0,64,0,0,0,29.4,40.0,87.5
Andrew Walter,2286,QB,2,OAK,56,49,3,0,0,0,0,0,0,6.1,0.0,39.6
Kevin Kolb,3652,QB,4,PHI,36,34,3,0,0,0,0,1,0,8.8,0.0,0.0
Jim Sorgi,1910,QB,1,IND,31,30,3,1,0,33,0,0,0,10.0,33.3,75.7
Charlie Frye,2284,QB,1,SEA,28,23,2,0,0,0,0,1,0,8.7,0.0,0.0
Joshua Cribbs,2544,WR,3,CLV,5,4,2,0,0,0,0,0,0,50.0,0.0,39.6
Brooks Bollinger,1502,QB,2,DAL,20,17,2,1,0,24,0,0,0,11.8,50.0,93.8
Jason Witten,1384,TE,1,DAL,1,1,1,1,0,42,0,0,0,100.0,100.0,118.8
Tom Brady,698,QB,1,NE,11,11,1,1,0,26,0,0,0,9.1,100.0,118.8
Brock Berlin,2495,QB,1,STR,3,3,1,0,0,0,0,0,0,33.3,0.0,39.6
Patrick Crayton,1932,WR,1,DAL,1,1,1,0,0,0,0,0,0,100.0,0.0,39.6
Dante' Hall,677,WR,1,STR,1,1,1,0,0,0,0,0,0,100.0,0.0,39.6
David Carr,1009,QB,2,NYG,16,12,1,1,0,23,1,0,0,8.3,100.0,158.3
Quinn Gray,1247,QB,1,KC,9,8,1,1,0,26,0,0,0,12.5,100.0,118.8
Brodie Croyle,3030,QB,2,KC,30,29,1,0,0,0,0,0,0,3.4,0.0,39.6
Brad Smith,3048,WR,2,NYJ,2,2,1,0,0,0,0,0,0,50.0,0.0,39.6
Isaac Bruce,80,WR,1,SF,1,1,1,0,0,0,0,0,0,100.0,0.0,39.6
Troy Smith,3790,QB,3,BLT,5,4,1,1,0,43,0,0,0,25.0,100.0,118.8
Kellen Clemens,2994,QB,1,NYJ,5,5,1,0,0,0,0,0,0,20.0,0.0,39.6
Jordan Palmer,3821,QB,3,CIN,15,12,1,0,0,0,0,1,0,8.3,0.0,0.0
Mark Bradley,2256,WR,1,KC,1,1,1,1,0,37,1,0,0,100.0,100.0,158.3
Chris Simms,1411,QB,1,TEN,3,2,1,0,0,0,0,0,0,50.0,0.0,39.6
