player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
A.J. Feeley,893,QB,4,STR,108,97,7,1,0,34,0,1,0,7.2,14.3,7.7
Kyle Boller,1335,QB,2,OAK,36,28,6,0,0,0,0,2,0,21.4,0.0,0.0
Matt Flynn,4523,QB,5,GB,55,49,6,3,0,134,2,0,0,12.2,50.0,135.4
Josh McCown,1085,QB,3,CHI,71,55,6,2,0,42,1,1,0,10.9,33.3,59.0
Josh Johnson,4474,QB,5,TB,44,36,5,3,0,103,1,0,0,13.9,60.0,143.8
Stephen McGee,5024,QB,1,DAL,45,38,4,0,0,0,0,0,0,10.5,0.0,39.6
Mike Kafka,5645,QB,2,PHI,18,16,4,1,0,43,0,2,0,25.0,25.0,32.3
Luke McCown,1827,QB,4,JAX,63,56,4,3,0,76,0,1,0,7.1,75.0,77.1
Bruce Gradkowski,3139,QB,2,CIN,19,18,3,1,0,41,1,0,0,16.7,33.3,121.5
J.P. Losman,1743,QB,1,MIA,16,10,3,1,0,25,0,0,0,30.0,33.3,64.6
Charlie Batch,367,QB,3,PIT,26,24,2,1,0,46,0,1,0,8.3,50.0,56.3
Jake Delhomme,303,QB,1,HST,30,28,2,2,0,61,0,0,0,7.1,100.0,118.8
Mark Brunell,51,QB,1,NYJ,3,3,2,0,0,0,0,0,0,66.7,0.0,39.6
Richard Bartel,3884,QB,2,ARZ,24,22,2,1,0,23,1,0,0,9.1,50.0,131.3
Eric Decker,5611,WR,1,DEN,1,1,1,0,0,0,0,0,0,100.0,0.0,39.6
Jon Kitna,217,QB,1,DAL,10,10,1,0,0,0,0,1,0,10.0,0.0,0.0
Tyler Thigpen,3833,QB,2,BUF,9,8,1,0,0,0,0,1,0,12.5,0.0,0.0
Brian Hoyer,5277,QB,1,NE,1,1,1,1,0,22,0,0,0,100.0,100.0,118.8
Shaun Hill,1255,QB,2,DET,3,3,1,1,0,28,0,0,0,33.3,100.0,118.8
Chris Redman,635,QB,4,ATL,28,28,1,0,0,0,0,0,0,3.6,0.0,39.6
Brad Smith,3048,WR,2,BUF,2,1,1,0,0,0,0,1,0,100.0,0.0,0.0
