player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
Chris Redman,635,QB,6,ATL,164,149,14,6,0,229,3,1,0,9.4,42.9,99.7
Trent Green,58,QB,5,MIA,150,141,14,4,0,86,2,3,0,9.9,28.6,52.7
Todd Collins,131,QB,4,WAS,113,105,14,8,1,254,3,0,0,13.3,64.3,141.4
A.J. Feeley,893,QB,3,PHI,111,103,13,4,0,123,2,2,0,12.6,30.8,67.1
Matt Leinart,2955,QB,5,ARZ,121,112,13,3,0,105,0,1,0,11.6,23.1,28.7
Luke McCown,1827,QB,5,TB,164,139,12,4,0,157,1,1,0,8.6,33.3,75.0
Kelly Holcomb,148,QB,3,MIN,95,83,11,4,0,110,1,0,0,13.3,36.4,104.4
Steve McNair,114,QB,6,BLT,220,205,9,2,0,47,0,0,0,4.4,22.2,48.8
Kerry Collins,115,QB,6,TEN,87,82,9,3,0,127,0,0,0,11.0,33.3,81.9
Kyle Orton,2323,QB,3,CHI,82,80,8,2,1,74,2,1,0,10.0,37.5,65.6
John Beck,3656,QB,5,MIA,120,108,8,3,0,65,1,1,0,7.4,37.5,67.2
JaMarcus Russell,3617,QB,4,OAK,75,66,8,1,0,32,1,2,0,12.1,12.5,43.8
Tim Rattay,701,QB,4,ARZ,28,27,7,2,0,78,0,2,0,25.9,28.6,33.9
Troy Smith,3790,QB,4,BLT,87,76,6,1,0,79,1,0,0,7.9,16.7,118.8
Charlie Batch,367,QB,2,PIT,36,36,6,1,0,28,0,2,0,16.7,16.7,6.9
Brooks Bollinger,1502,QB,4,MIN,60,50,5,2,0,75,1,0,0,10.0,40.0,127.1
Jake Delhomme,303,QB,3,CAR,95,86,5,1,0,68,1,0,0,5.8,20.0,118.8
Brock Berlin,2495,QB,1,STR,28,28,4,1,1,23,0,1,0,14.3,50.0,11.5
J.T. O'Sullivan,1169,QB,2,DET,30,26,4,1,0,42,0,2,0,15.4,25.0,31.3
Byron Leftwich,1323,QB,3,ATL,65,58,4,0,0,0,0,0,0,6.9,0.0,39.6
Chris Weinke,861,QB,1,SF,27,22,3,0,0,0,0,0,0,13.6,0.0,39.6
Bruce Gradkowski,3139,QB,3,TB,28,24,3,0,0,0,0,0,0,12.5,0.0,39.6
Jim Sorgi,1910,QB,4,IND,38,36,3,0,1,0,0,0,0,8.3,33.3,39.6
Jared Lorenzen,2107,QB,2,NYG,10,8,2,0,0,0,0,0,0,25.0,0.0,39.6
Shaun Hill,1255,QB,3,SF,89,79,2,1,0,21,1,0,0,2.5,50.0,127.1
Craig Nall,1154,QB,1,GB,17,15,2,1,0,32,1,0,0,13.3,50.0,135.4
Aaron Rodgers,2241,QB,2,GB,35,28,1,0,0,0,0,0,0,3.6,0.0,39.6
Tyler Thigpen,3833,QB,1,KC,7,6,1,0,1,0,0,0,0,16.7,100.0,39.6
Andrew Walter,2286,QB,1,OAK,8,8,1,0,0,0,0,0,0,12.5,0.0,39.6
Patrick Ramsey,1039,QB,2,DEN,51,48,1,0,0,0,0,0,0,2.1,0.0,39.6
Billy Volek,768,QB,4,SD,12,10,1,0,0,0,0,0,0,10.0,0.0,39.6
Leon Washington,3062,HB,1,NYJ,1,1,1,1,0,36,0,0,0,100.0,100.0,118.8
Brad Johnson,31,QB,1,DAL,12,11,1,0,0,0,0,0,0,9.1,0.0,39.6
Seneca Wallace,1422,QB,3,SEA,32,27,1,1,0,20,0,0,0,3.7,100.0,118.8
