model_family,candidate_id,origin,rows,rmse,parameters_json,league
conditional_ppg_hist_gradient_boosting,0,2014,380,3.5274199106121347,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,1,2014,380,3.524013261933708,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,2,2014,380,3.5328043348368103,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,3,2014,380,3.5417941862169893,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,4,2014,380,3.564991032057774,"{""l2_regularization"": 100.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,5,2014,380,3.5126576965632816,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,6,2014,380,3.5197037832102778,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 4, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,7,2014,380,3.5218099356357535,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,8,2014,380,3.5362175367219773,"{""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",dk
conditional_ppg_hist_gradient_boosting,9,2014,380,3.536668279751452,"{""l2_regularization"": 100.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",dk
