year,information_mode,reserve,phase,player,player_key,pos,selections,point_salary,actual_salary,actual_minus_point,actual_salary_matched,available_trials,selection_rate
2022,blind_sequential,half,final,Patrick Mahomes,patrickmahomes,QB,2,27.199888229370117,29.0,1.8001117706298828,True,32,0.0625
2022,blind_sequential,half,final,Randall Cobb,randallcobb,WR,2,1.0,1.0,0.0,False,32,0.0625
2022,blind_sequential,half,final,Rashaad Penny,rashaadpenny,RB,2,13.497681617736816,27.0,13.502318382263184,True,32,0.0625
2022,blind_sequential,half,final,Ronald Jones,ronaldjones,RB,2,1.0,1.0,0.0,False,32,0.0625
2022,blind_sequential,half,final,Terrace Marshall,terracemarshall,WR,2,1.0,1.0,0.0,False,32,0.0625
2022,blind_sequential,half,final,Tom Brady,tombrady,QB,2,9.957928657531738,7.0,-2.9579286575317383,True,32,0.0625
2022,blind_sequential,half,final,Velus Jones,velusjones,WR,2,1.0,1.0,0.0,False,32,0.0625
2022,blind_sequential,half,final,Wandale Robinson,wandalerobinson,WR,2,1.0,1.0,0.0,False,32,0.0625
2022,blind_sequential,half,final,Zay Jones,zayjones,WR,2,1.0,1.0,0.0,False,32,0.0625
2022,blind_sequential,half,final,Albert Okwuegbunam,albertokwuegbunam,TE,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Austin Hooper,austinhooper,TE,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Brandin Cooks,brandincooks,WR,1,38.374061584472656,35.0,-3.3740615844726562,True,32,0.03125
2022,blind_sequential,half,final,Brevin Jordan,brevinjordan,TE,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Bryan Edwards,bryanedwards,WR,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Cameron Brate,cameronbrate,TE,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Cedrick Wilson,cedrickwilson,WR,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Chris Godwin,chrisgodwin,WR,1,27.758338928222656,27.0,-0.7583389282226562,True,32,0.03125
2022,blind_sequential,half,final,Christian Mccaffrey,christianmccaffrey,RB,1,121.0759048461914,111.0,-10.075904846191406,True,32,0.03125
2022,blind_sequential,half,final,Dak Prescott,dakprescott,QB,1,8.962448120117188,6.0,-2.9624481201171875,True,32,0.03125
2022,blind_sequential,half,final,Dallas Goedert,dallasgoedert,TE,1,8.791263580322266,5.0,-3.7912635803222656,True,32,0.03125
2022,blind_sequential,half,final,Dalton Schultz,daltonschultz,TE,1,12.257006645202637,19.0,6.742993354797363,True,32,0.03125
2022,blind_sequential,half,final,Dalvin Cook,dalvincook,RB,1,100.47840881347656,96.0,-4.4784088134765625,True,32,0.03125
2022,blind_sequential,half,final,Damien Harris,damienharris,RB,1,16.075223922729492,27.0,10.924776077270508,True,32,0.03125
2022,blind_sequential,half,final,Darius Slayton,dariusslayton,WR,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,David Njoku,davidnjoku,TE,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Dernest Johnson,dernestjohnson,RB,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Derrick Gore,derrickgore,RB,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Derrick Henry,derrickhenry,RB,1,106.09549713134766,87.0,-19.095497131347656,True,32,0.03125
2022,blind_sequential,half,final,Donald Parham,donaldparham,TE,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Elijah Mitchell,elijahmitchell,RB,1,37.84323501586914,39.0,1.1567649841308594,True,32,0.03125
2022,blind_sequential,half,final,Eno Benjamin,enobenjamin,RB,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Evan Engram,evanengram,TE,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Gerald Everett,geraldeverett,TE,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Isaiah Likely,isaiahlikely,TE,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Jakobi Meyers,jakobimeyers,WR,1,3.4401049613952637,3.0,-0.44010496139526367,True,32,0.03125
2022,blind_sequential,half,final,Jalen Hurts,jalenhurts,QB,1,14.899517059326172,12.0,-2.899517059326172,True,32,0.03125
2022,blind_sequential,half,final,Jalen Tolbert,jalentolbert,WR,1,1.0,1.0,0.0,True,32,0.03125
2022,blind_sequential,half,final,Jelani Woods,jelaniwoods,TE,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Jeremy Ruckert,jeremyruckert,TE,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Jerick Mckinnon,jerickmckinnon,RB,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Joe Burrow,joeburrow,QB,1,10.141851425170898,12.0,1.8581485748291016,True,32,0.03125
2022,blind_sequential,half,final,Jonnu Smith,jonnusmith,TE,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Kendrick Bourne,kendrickbourne,WR,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Keshawn Vaughn,keshawnvaughn,RB,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Khalil Herbert,khalilherbert,RB,1,1.054262638092041,1.0,-0.054262638092041016,False,32,0.03125
2022,blind_sequential,half,final,Khalil Shakir,khalilshakir,WR,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Kyle Philips,kylephilips,WR,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Laviska Shenault,laviskashenault,WR,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Marquez Callaway,marquezcallaway,WR,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Marvin Jones,marvinjones,WR,1,1.0,2.0,1.0,True,32,0.03125
2022,blind_sequential,half,final,Matt Breida,mattbreida,RB,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Mecole Hardman,mecolehardman,WR,1,1.9622857570648193,2.0,0.037714242935180664,True,32,0.03125
2022,blind_sequential,half,final,Myles Gaskin,mylesgaskin,RB,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Nelson Agholor,nelsonagholor,WR,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Pat Freiermuth,patfreiermuth,TE,1,1.468785047531128,4.0,2.531214952468872,True,32,0.03125
