player,player_key,pos,point_salary,selection_rate,predicted_salary_residual,surcharge_full,surcharge_half,year
Daniel Jones,danieljones,QB,1.6528302,0.095,-1.3525881045039623,0.0,0.0,2023
Darius Slayton,dariusslayton,WR,1.0,0.003,-1.1839545018014166,0.0,0.0,2023
Darnell Mooney,darnellmooney,WR,2.2233312,0.004,-1.2186751413962098,0.0,0.0,2023
Darnell Washington,darnellwashington,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Darren Waller,darrenwaller,TE,16.938456,0.02,-1.4729244176105478,0.0,0.0,2023
Davante Adams,davanteadams,WR,71.52429,0.335,-1.1015527691036102,0.0,0.0,2023
David Bell,davidbell,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
David Montgomery,davidmontgomery,RB,23.69265,0.029,-0.6440399680008817,0.0,0.0,2023
David Njoku,davidnjoku,TE,5.250025,0.132,-0.8125578243228754,0.0,0.0,2023
Davis Mills,davismills,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Dawson Knox,dawsonknox,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Deandre Hopkins,deandrehopkins,WR,31.91931,0.072,-1.9377974240761735,0.0,0.0,2023
Deebo Samuel,deebosamuel,WR,42.78502,0.076,-2.443000931441304,0.0,0.0,2023
Demario Douglas,demariodouglas,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Deneric Prince,denericprince,RB,1.0,0.002,-0.3090845539949078,0.0,0.0,2023
Deon Jackson,deonjackson,RB,1.0,0.004,-0.27116085292058895,0.0,0.0,2023
Derek Carr,derekcarr,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Derius Davis,deriusdavis,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Derrick Henry,derrickhenry,RB,83.28308,0.024,-4.659252723334309,0.0,0.0,2023
Deshaun Watson,deshaunwatson,QB,6.863918,0.182,-1.8649504816916682,0.0,0.0,2023
Deuce Vaughn,deucevaughn,RB,1.3726333,0.0,-0.3591858594293175,0.0,0.0,2023
Devante Parker,devanteparker,WR,1.0,0.003,-1.1839545018014166,0.0,0.0,2023
Devin Duvernay,devinduvernay,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Devin Singletary,devinsingletary,RB,3.7019496,0.02,-0.052803517279074064,0.0,0.0,2023
Devon Achane,devonachane,RB,12.778496,0.299,5.2436997295254,5.2436997295254,2.6218498647627,2023
Dewayne Mcbride,dewaynemcbride,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Diontae Johnson,diontaejohnson,WR,24.991867,0.143,-1.1000921989184929,0.0,0.0,2023
Dj Chark,djchark,WR,1.3262743,0.019,-1.1120614943790352,0.0,0.0,2023
Dj Moore,djmoore,WR,24.849123,0.102,-1.4026896660562231,0.0,0.0,2023
Dk Metcalf,dkmetcalf,WR,51.090786,0.12,-2.4628076389896703,0.0,0.0,2023
Donovan Peoples Jones,donovanpeoplesjones,WR,1.0,0.006,-1.1685922584669266,0.0,0.0,2023
Donta Foreman,dontaforeman,RB,3.275618,0.012,-0.19257025687797324,0.0,0.0,2023
Dontayvion Wicks,dontayvionwicks,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Dorian Thompson Robinson,dorianthompsonrobinson,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Drake London,drakelondon,WR,20.51528,0.463,1.309249308546483,1.309249308546483,0.6546246542732415,2023
Durham Smythe,durhamsmythe,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Elijah Higgins,elijahhiggins,TE,1.0,0.052,-0.8498131178279078,0.0,0.0,2023
Elijah Moore,elijahmoore,WR,5.377602,0.068,-0.9703830979565149,0.0,0.0,2023
Eric Gray,ericgray,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Evan Engram,evanengram,TE,5.591814,0.387,-0.3025967219468343,0.0,0.0,2023
Evan Hull,evanhull,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Ezekiel Elliott,ezekielelliott,RB,4.318145,0.026,0.04287165062400089,0.04287165062400089,0.021435825312000445,2023
Foster Moreau,fostermoreau,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Gabriel Davis,gabrieldavis,WR,10.850006,0.062,-1.1743094892106694,0.0,0.0,2023
Geno Smith,genosmith,QB,1.3904908,0.051,-1.1299002259766486,0.0,0.0,2023
George Kittle,georgekittle,TE,17.664148,0.178,-0.9920590337233058,0.0,0.0,2023
George Pickens,georgepickens,WR,13.480617,0.069,-1.2189428080431974,0.0,0.0,2023
Gerald Everett,geraldeverett,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Grant Dubose,grantdubose,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Greg Dortch,gregdortch,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Greg Dulcich,gregdulcich,TE,1.0,0.173,-0.6596403542899051,0.0,0.0,2023
Gus Edwards,gusedwards,RB,4.0266824,0.005,-0.3523125207752353,0.0,0.0,2023
Hayden Hurst,haydenhurst,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Hendon Hooker,hendonhooker,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Hunter Henry,hunterhenry,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Hunter Renfrow,hunterrenfrow,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Isaiah Hodgins,isaiahhodgins,WR,1.0,0.006,-1.1685922584669266,0.0,0.0,2023
Isaiah Likely,isaiahlikely,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Isiah Pacheco,isiahpacheco,RB,27.81893,0.005,-1.3547045424675832,0.0,0.0,2023
Israel Abanikanda,israelabanikanda,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Jacoby Brissett,jacobybrissett,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Jahan Dotson,jahandotson,WR,12.325509,0.035,-1.392534199606883,0.0,0.0,2023
Jahmyr Gibbs,jahmyrgibbs,RB,53.57226,0.471,8.410121903256211,8.410121903256211,4.205060951628106,2023
Jake Ferguson,jakeferguson,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Jake Haener,jakehaener,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Jakobi Meyers,jakobimeyers,WR,4.028014,0.153,-0.47128697803218383,0.0,0.0,2023
Jalen Brooks,jalenbrooks,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Jalin Hyatt,jalinhyatt,WR,1.7690058,0.024,-1.0998112198120744,0.0,0.0,2023
Jamaal Williams,jamaalwilliams,RB,9.897422,0.025,-0.16714116397583567,0.0,0.0,2023
James Cook,jamescook,RB,30.909431,0.135,1.3400340366725345,1.3400340366725345,0.6700170183362673,2023
Jameson Williams,jamesonwilliams,WR,2.6892645,0.267,0.15696951560251116,0.15696951560251116,0.07848475780125558,2023
Jared Goff,jaredgoff,QB,1.106892,0.02,-0.9686226251877605,0.0,0.0,2023
Jaren Hall,jarenhall,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Jaxon Smith Njigba,jaxonsmithnjigba,WR,12.5280905,0.516,1.6163549574684968,1.6163549574684968,0.8081774787342484,2023
Jayden Reed,jaydenreed,WR,3.6238601,0.0,-1.2870582866382256,0.0,0.0,2023
Jaylen Warren,jaylenwarren,RB,4.2927423,0.002,-0.41927990099577567,0.0,0.0,2023
Jeff Wilson,jeffwilson,RB,3.9585586,0.0,-0.44627636904321616,0.0,0.0,2023
Jelani Woods,jelaniwoods,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Jerick Mckinnon,jerickmckinnon,RB,6.852227,0.073,0.8777564279019089,0.8777564279019089,0.43887821395095444,2023
Jerry Jeudy,jerryjeudy,WR,17.833395,0.332,0.4147306371598184,0.4147306371598184,0.2073653185799092,2023
Jimmy Garoppolo,jimmygaroppolo,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Joe Burrow,joeburrow,QB,31.12652,0.004,-2.161110836043454,0.0,0.0,2023
Joe Mixon,joemixon,RB,58.9636,0.028,-2.675351347266821,0.0,0.0,2023
Jonathan Mingo,jonathanmingo,WR,2.6726098,0.0,-1.2547114557656673,0.0,0.0,2023
Jonathan Taylor,jonathantaylor,RB,58.72753,0.195,1.4694150561295456,1.4694150561295456,0.7347075280647728,2023
Jordan Addison,jordanaddison,WR,12.682419,0.419,1.0082888371410328,1.0082888371410328,0.5041444185705164,2023
Josh Allen,joshallen,QB,50.079666,0.073,-3.2817285295279195,0.0,0.0,2023
Josh Downs,joshdowns,WR,1.0,0.039,-0.9996075817875374,0.0,0.0,2023
Josh Jacobs,joshjacobs,RB,72.92493,0.023,-3.8337440367397657,0.0,0.0,2023
Josh Reynolds,joshreynolds,WR,1.0,0.005,-1.17371300624509,0.0,0.0,2023
Joshua Kelley,joshuakelley,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Joshua Palmer,joshuapalmer,WR,1.0,0.005,-1.17371300624509,0.0,0.0,2023
Josh Whyle,joshwhyle,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Juju Smith Schuster,jujusmithschuster,WR,5.181894,0.038,-1.1309143325854505,0.0,0.0,2023
Justin Fields,justinfields,QB,19.428726,0.107,-1.9147430149126015,0.0,0.0,2023
Justin Herbert,justinherbert,QB,21.911125,0.162,-2.1600885301677564,0.0,0.0,2023
Justin Shorter,justinshorter,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Juwan Johnson,juwanjohnson,TE,1.0,0.135,-0.7193640320952284,0.0,0.0,2023
Kadarius Toney,kadariustoney,WR,4.7105684,0.083,-0.8690081356248178,0.0,0.0,2023
Kayshon Boutte,kayshonboutte,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Keaontay Ingram,keaontayingram,RB,1.0,0.002,-0.3090845539949078,0.0,0.0,2023
Keaton Mitchell,keatonmitchell,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Keenan Allen,keenanallen,WR,39.34046,0.117,-1.8970156123701063,0.0,0.0,2023
Kendre Miller,kendremiller,RB,2.8889048,0.018,-0.06499858391702429,0.0,0.0,2023
Kendrick Bourne,kendrickbourne,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Kenneth Gainwell,kennethgainwell,RB,3.5733056,0.004,-0.356140921388668,0.0,0.0,2023
Kenny Mcintosh,kennymcintosh,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Kenny Pickett,kennypickett,QB,1.0,0.008,-0.9058278813667758,0.0,0.0,2023
Kenyan Drake,kenyandrake,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Khalil Herbert,khalilherbert,RB,15.947101,0.051,0.13409188924087956,0.13409188924087956,0.06704594462043978,2023
Khalil Shakir,khalilshakir,WR,1.0,0.001,-1.1941959973577432,0.0,0.0,2023
Kirk Cousins,kirkcousins,QB,3.3580346,0.104,-1.4361953667571692,0.0,0.0,2023
Kj Osborn,kjosborn,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Kyle Pitts,kylepitts,TE,13.114468,0.1,-1.0974204559267733,0.0,0.0,2023
Kyler Murray,kylermurray,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Kyren Williams,kyrenwilliams,RB,1.595028,0.002,-0.32845592146544883,0.0,0.0,2023
Lamar Jackson,lamarjackson,QB,36.16754,0.008,-2.4401309780270486,0.0,0.0,2023
Latavius Murray,lataviusmurray,RB,1.0,0.003,-0.2901227034577483,0.0,0.0,2023
Laviska Shenault,laviskashenault,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Lew Nichols,lewnichols,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Logan Thomas,loganthomas,TE,1.0,0.004,-0.9252535529504213,0.0,0.0,2023
Luke Musgrave,lukemusgrave,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Luke Schoonmaker,lukeschoonmaker,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Mac Jones,macjones,QB,1.0,0.002,-0.8760656693885412,0.0,0.0,2023
Mack Hollins,mackhollins,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Malik Davis,malikdavis,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Marcus Mariota,marcusmariota,QB,1.0,0.002,-0.8760656693885412,0.0,0.0,2023
Mark Andrews,markandrews,TE,34.755585,0.307,-0.8986144423642722,0.0,0.0,2023
Marquez Valdes Scantling,marquezvaldesscantling,WR,1.8292084,0.024,-1.1016593786059046,0.0,0.0,2023
Marquise Brown,marquisebrown,WR,14.247656,0.118,-0.9296098696703247,0.0,0.0,2023
Marvin Jones,marvinjones,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Marvin Mims,marvinmims,WR,2.7416897,0.017,-1.1670329549954335,0.0,0.0,2023
Matt Breida,mattbreida,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Matthew Stafford,matthewstafford,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Michael Carter,michaelcarter,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Michael Gallup,michaelgallup,WR,2.7953613,0.001,-1.253551347707704,0.0,0.0,2023
Michael Mayer,michaelmayer,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Michael Pittman,michaelpittman,WR,14.598413,0.152,-0.7198412278876363,0.0,0.0,2023
Michael Thomas,michaelthomas,WR,6.5402017,0.105,-0.7943145908259532,0.0,0.0,2023
Michael Wilson,michaelwilson,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Mike Evans,mikeevans,WR,19.965853,0.079,-1.384133980670112,0.0,0.0,2023
Mike Gesicki,mikegesicki,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Mike Williams,mikewilliams,WR,15.657599,0.084,-1.1960216536157597,0.0,0.0,2023
Miles Sanders,milessanders,RB,34.42879,0.006,-1.67872944212602,0.0,0.0,2023
Mohamed Ibrahim,mohamedibrahim,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Najee Harris,najeeharris,RB,52.580185,0.106,-0.36885860533916337,0.0,0.0,2023
Nathaniel Dell,nathanieldell,WR,1.0,0.001,-1.1941959973577432,0.0,0.0,2023
Nick Westbrook Ikhine,nickwestbrookikhine,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Nico Collins,nicocollins,WR,5.208206,0.026,-1.1982331896893679,0.0,0.0,2023
Noah Fant,noahfant,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Noah Gray,noahgray,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Parker Washington,parkerwashington,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Parris Campbell,parriscampbell,WR,1.0,0.001,-1.1941959973577432,0.0,0.0,2023
Pat Freiermuth,patfreiermuth,TE,4.612902,0.19,-0.686451720750661,0.0,0.0,2023
Pierre Strong,pierrestrong,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Puka Nacua,pukanacua,WR,2.139496,0.0,-1.2368503217684952,0.0,0.0,2023
Quentin Johnston,quentinjohnston,WR,7.5339108,0.156,-0.5258973500218089,0.0,0.0,2023
Rachaad White,rachaadwhite,RB,37.469654,0.081,-0.1526098552662074,0.0,0.0,2023
Raheem Mostert,raheemmostert,RB,13.1425705,0.009,-0.6105140128436509,0.0,0.0,2023
Rashaad Penny,rashaadpenny,RB,1.9771733,0.06,0.7644193737074764,0.7644193737074764,0.3822096868537382,2023
Rashee Rice,rasheerice,WR,4.696642,0.004,-1.302312447929587,0.0,0.0,2023
Rashid Shaheed,rashidshaheed,WR,1.0,0.002,-1.18907524957958,0.0,0.0,2023
Rashod Bateman,rashodbateman,WR,4.5673327,0.081,-0.8761328595464202,0.0,0.0,2023
Richie James,richiejames,WR,1.0,0.004,-1.1788337540232532,0.0,0.0,2023
Robert Woods,robertwoods,WR,1.0,0.001,-1.1941959973577432,0.0,0.0,2023
Romeo Doubs,romeodoubs,WR,2.7761948,0.072,-0.8767503586151202,0.0,0.0,2023
Rondale Moore,rondalemoore,WR,1.5410272,0.238,0.014557399664303028,0.014557399664303028,0.007278699832151514,2023
Ronnie Bell,ronniebell,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Roschon Johnson,roschonjohnson,RB,4.6334405,0.0,-0.46974843280653894,0.0,0.0,2023
Russell Gage,russellgage,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Russell Wilson,russellwilson,QB,1.0,0.025,-0.9901541486384412,0.0,0.0,2023
Ryan Tannehill,ryantannehill,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Samaje Perine,samajeperine,RB,9.356817,0.013,-0.38528968110474776,0.0,0.0,2023
Sam Laporta,samlaporta,TE,3.7893436,0.004,-1.0175714339085005,0.0,0.0,2023
Sean Clifford,seanclifford,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Sean Tucker,seantucker,RB,1.0,0.018,-0.00569494540035731,0.0,0.0,2023
Skyy Moore,skyymoore,WR,6.5970798,0.011,-1.3296292454465868,0.0,0.0,2023
Stefon Diggs,stefondiggs,WR,74.0422,0.302,-1.6308820779343565,0.0,0.0,2023
Stetson Bennett,stetsonbennett,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Tank Bigsby,tankbigsby,RB,6.4951305,0.0,-0.5360913531206244,0.0,0.0,2023
Taylor Heinicke,taylorheinicke,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Taysom Hill,taysomhill,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Tee Higgins,teehiggins,WR,49.75095,0.077,-2.81987564363363,0.0,0.0,2023
Terrace Marshall,terracemarshall,WR,1.0,0.004,-1.1788337540232532,0.0,0.0,2023
Terry Mclaurin,terrymclaurin,WR,21.324224,0.193,-0.6207225060690635,0.0,0.0,2023
Tiyon Evans,tiyonevans,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Tj Hockenson,tjhockenson,TE,23.794563,0.049,-1.660554294192706,0.0,0.0,2023
Travis Etienne,travisetienne,RB,54.847,0.128,0.035999749521107294,0.035999749521107294,0.017999874760553647,2023
Tre Tucker,tretucker,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Trevor Lawrence,trevorlawrence,QB,11.816503,0.023,-1.3470302046780196,0.0,0.0,2023
Treylon Burks,treylonburks,WR,7.0976353,0.118,-0.734332581533819,0.0,0.0,2023
Trey Mcbride,treymcbride,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Trey Palmer,treypalmer,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Tua Tagovailoa,tuatagovailoa,QB,3.9834895,0.0,-0.9662746615615518,0.0,0.0,2023
Tucker Kraft,tuckerkraft,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Tyjae Spears,tyjaespears,RB,3.4628406,0.0,-0.42923144348042547,0.0,0.0,2023
Tyler Allgeier,tylerallgeier,RB,3.4839756,0.0,-0.4299547730300897,0.0,0.0,2023
Tyler Boyd,tylerboyd,WR,1.8789514,0.0,-1.2281909942565181,0.0,0.0,2023
Tyler Conklin,tylerconklin,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Tyler Higbee,tylerhigbee,TE,1.7395556,0.024,-0.9163092604862063,0.0,0.0,2023
Tyler Lockett,tylerlockett,WR,17.74314,0.058,-1.4451178068511221,0.0,0.0,2023
Tyler Scott,tylerscott,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Tyquan Thornton,tyquanthornton,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Tyreek Hill,tyreekhill,WR,87.53464,0.055,-5.787880164978246,0.0,0.0,2023
Van Jefferson,vanjefferson,WR,1.0,0.006,-1.1685922584669266,0.0,0.0,2023
Wandale Robinson,wandalerobinson,WR,1.0,0.008,-1.1583507629106,0.0,0.0,2023
Will Levis,willlevis,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Will Mallory,willmallory,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Xavier Hutchinson,xavierhutchinson,WR,1.0,0.0,-1.1993167451359064,0.0,0.0,2023
Zach Charbonnet,zachcharbonnet,RB,10.412425,0.232,3.9336986894912402,3.9336986894912402,1.9668493447456201,2023
Zach Ertz,zachertz,TE,1.0,0.004,-0.9252535529504213,0.0,0.0,2023
Zach Evans,zachevans,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Zach Wilson,zachwilson,QB,1.0,0.0,-0.8661449320624628,0.0,0.0,2023
Zack Kuntz,zackkuntz,TE,1.0,0.0,-0.9315402558772974,0.0,0.0,2023
Zack Moss,zackmoss,RB,1.0,0.0,-0.34700825506922656,0.0,0.0,2023
Zay Flowers,zayflowers,WR,13.005938,0.18,-0.5014634395449777,0.0,0.0,2023
Zay Jones,zayjones,WR,2.1351662,0.035,-1.0535156804942762,0.0,0.0,2023
Aaron Jones,aaronjones,RB,27.456268,0.018,-1.0482037356049396,0.0,0.0,2024
Aaron Rodgers,aaronrodgers,QB,1.0,0.0,-1.0494574833073553,0.0,0.0,2024
Adam Thielen,adamthielen,WR,1.1350015,0.004,-1.2870692442764322,0.0,0.0,2024
Adonai Mitchell,adonaimitchell,WR,3.0853033,0.078,-0.9623299220800288,0.0,0.0,2024
Ainias Smith,ainiassmith,WR,1.0,0.0,-1.3015629599992202,0.0,0.0,2024
Aj Brown,ajbrown,WR,79.40283,0.056,-2.4212151592507904,0.0,0.0,2024
Alec Pierce,alecpierce,WR,1.0,0.0,-1.3015629599992202,0.0,0.0,2024
Alexander Mattison,alexandermattison,RB,1.0,0.0,-0.7958868492255917,0.0,0.0,2024
Allen Lazard,allenlazard,WR,1.0,0.0,-1.3015629599992202,0.0,0.0,2024
Alvin Kamara,alvinkamara,RB,53.99217,0.0,-2.3396325991714653,0.0,0.0,2024
Amari Cooper,amaricooper,WR,24.096056,0.093,-0.7456865206818941,0.0,0.0,2024
Andrei Iosivas,andreiiosivas,WR,1.0,0.0,-1.3015629599992202,0.0,0.0,2024
Anthony Richardson,anthonyrichardson,QB,15.352409,0.14,-1.1597060013341947,0.0,0.0,2024
Antonio Gibson,antoniogibson,RB,1.7929798,0.0,-0.8093703952847024,0.0,0.0,2024
At Perry,atperry,WR,1.0,0.0,-1.3015629599992202,0.0,0.0,2024
Austin Ekeler,austinekeler,RB,11.866829,0.041,-0.3999004873227814,0.0,0.0,2024
Ben Sinnott,bensinnott,TE,1.0,0.0,-1.0462402172254393,0.0,0.0,2024
Bijan Robinson,bijanrobinson,RB,99.64057,0.121,0.447548941574828,0.447548941574828,0.223774470787414,2024
Blake Corum,blakecorum,RB,7.0995555,0.009,-0.7876852814640599,0.0,0.0,2024
Bo Melton,bomelton,WR,1.0,0.0,-1.3015629599992202,0.0,0.0,2024
Braelon Allen,braelonallen,RB,1.763486,0.0,-0.8088636613805036,0.0,0.0,2024
Brandin Cooks,brandincooks,WR,2.0187752,0.0,-1.3189392964509996,0.0,0.0,2024
Braxton Berrios,braxtonberrios,WR,1.0,0.0,-1.3015629599992202,0.0,0.0,2024
Brian Robinson,brianrobinson,RB,19.635096,0.095,0.4490559557395121,0.4490559557395121,0.22452797786975606,2024
Brian Thomas,brianthomas,WR,10.391347,0.275,0.48152746943764474,0.48152746943764474,0.24076373471882237,2024
Brock Bowers,brockbowers,TE,7.1417847,0.291,0.8011612501796193,0.8011612501796193,0.4005806250898096,2024
Brock Purdy,brockpurdy,QB,3.1582398,0.013,-1.1205804127031067,0.0,0.0,2024
Bub Means,bubmeans,WR,1.0,0.0,-1.3015629599992202,0.0,0.0,2024
Bucky Irving,buckyirving,RB,2.723863,0.004,-0.7780493207181475,0.0,0.0,2024
Cade Otton,cadeotton,TE,1.0,0.0,-1.0462402172254393,0.0,0.0,2024
Caleb Williams,calebwilliams,QB,3.492162,0.044,-1.2023476248365592,0.0,0.0,2024
Calvin Austin,calvinaustin,WR,1.0,0.0,-1.3015629599992202,0.0,0.0,2024
Calvin Ridley,calvinridley,WR,23.874975,0.103,-0.6319728978096701,0.0,0.0,2024
Cedrick Wilson,cedrickwilson,WR,1.0,0.0,-1.3015629599992202,0.0,0.0,2024
Cedric Tillman,cedrictillman,WR,1.0,0.0,-1.3015629599992202,0.0,0.0,2024
Ceedee Lamb,ceedeelamb,WR,96.31454,0.084,-2.1233097055266428,0.0,0.0,2024
Chase Brown,chasebrown,RB,12.296128,0.29,3.3117552065660556,3.3117552065660556,1.6558776032830278,2024
Chigoziem Okonkwo,chigoziemokonkwo,TE,1.0,0.0,-1.0462402172254393,0.0,0.0,2024
Chris Godwin,chrisgodwin,WR,20.752897,0.055,-1.1510893743183501,0.0,0.0,2024
Chris Olave,chrisolave,WR,58.20768,0.022,-2.533015859587589,0.0,0.0,2024
Christian Kirk,christiankirk,WR,16.772486,0.02,-1.4414433244764895,0.0,0.0,2024
Christian Mccaffrey,christianmccaffrey,RB,115.3592,0.015,-5.042915086649911,0.0,0.0,2024
Christian Watson,christianwatson,WR,10.668915,0.139,-0.4821830654719921,0.0,0.0,2024
Chuba Hubbard,chubahubbard,RB,6.2039,0.036,-0.42220277569350095,0.0,0.0,2024
Cj Stroud,cjstroud,QB,14.28725,0.02,-1.295155930569077,0.0,0.0,2024
Cole Kmet,colekmet,TE,1.0,0.0,-1.0462402172254393,0.0,0.0,2024
Cooper Kupp,cooperkupp,WR,38.70239,0.177,0.5885602161803223,0.5885602161803223,0.29428010809016114,2024
Courtland Sutton,courtlandsutton,WR,8.397664,0.042,-1.165723952123051,0.0,0.0,2024
Curtis Samuel,curtissamuel,WR,2.7265534,0.0,-1.331295158362037,0.0,0.0,2024
Dak Prescott,dakprescott,QB,12.0205765,0.091,-1.2430035132657717,0.0,0.0,2024
Dallas Goedert,dallasgoedert,TE,2.7462149,0.071,-0.6973848581776407,0.0,0.0,2024
Dalton Schultz,daltonschultz,TE,1.0,0.055,-0.7832119771017982,0.0,0.0,2024
D'Andre Swift,dandreswift,RB,28.057352,0.03,-0.8232020758824352,0.0,0.0,2024
Daniel Jones,danieljones,QB,1.0,0.0,-1.0494574833073553,0.0,0.0,2024
Darius Slayton,dariusslayton,WR,1.0,0.0,-1.3015629599992202,0.0,0.0,2024
Darnell Mooney,darnellmooney,WR,1.0,0.002,-1.2932644416661903,0.0,0.0,2024
Davante Adams,davanteadams,WR,58.339394,0.026,-2.4483525988159895,0.0,0.0,2024
David Montgomery,davidmontgomery,RB,22.53923,0.127,1.0423813113187177,1.0423813113187177,0.5211906556593588,2024
David Njoku,davidnjoku,TE,5.052014,0.09,-0.5719391421148508,0.0,0.0,2024
Deandre Hopkins,deandrehopkins,WR,8.546947,0.03,-1.2453240995160824,0.0,0.0,2024
Deebo Samuel,deebosamuel,WR,46.19228,0.216,1.4612700306432467,1.4612700306432467,0.7306350153216233,2024
Demarcus Robinson,demarcusrobinson,WR,1.0,0.0,-1.3015629599992202,0.0,0.0,2024
Demario Douglas,demariodouglas,WR,1.0,0.041,-1.131443334172103,0.0,0.0,2024
Derrick Henry,derrickhenry,RB,69.74425,0.082,-0.3299378238588546,0.0,0.0,2024
Deshaun Watson,deshaunwatson,QB,1.0,0.0,-1.0494574833073553,0.0,0.0,2024
Devin Duvernay,devinduvernay,WR,1.0,0.0,-1.3015629599992202,0.0,0.0,2024
Devin Singletary,devinsingletary,RB,18.195698,0.025,-0.7339105154184536,0.0,0.0,2024
Devon Achane,devonachane,RB,52.505043,0.05,-0.8937167802003763,0.0,0.0,2024
Devonta Smith,devontasmith,WR,36.645714,0.268,1.9506673831613444,1.9506673831613444,0.9753336915806722,2024
