"JuJu Smith-Schuster, WR KC",91%,3.6,13.20%,5,214
"Darnell Mooney, WR CHI",79%,2.2,8.80%,5,212.8
"Courtland Sutton, WR DEN",47%,1.8,3.70%,2,211.8
"Gabriel Davis, WR BUF",12%,1,0.70%,5,210.1
"Hunter Renfrow, WR LVR",63%,1.5,5.70%,3,209.5
"Tyler Lockett, WR SEA",49%,1.5,3.90%,5,208
"Kadarius Toney, WR NYG",85%,4.4,10.60%,2,201
"Russell Gage, WR TB",70%,1.8,6.80%,5,196.5
"Michael Thomas, WR NO",81%,1.9,9.30%,3,196
"DeAndre Hopkins, WR ARI",58%,2.7,5%,5,195.6
"Christian Kirk, WR JAC",84%,2.4,10.20%,5,194.2
"Amon-Ra St. Brown, WR DET",58%,3.3,5%,5,190.5
"DeVonta Smith, WR PHI",89%,3.7,12.20%,5,189
"Chase Claypool, WR PIT",37%,2.5,2.70%,5,182.1
"Elijah Moore, WR NYJ",16%,0.6,1%,5,182.1
"Robert Woods, WR TEN",91%,2.9,13.20%,5,179
"Allen Lazard, WR GB",15%,0.3,1%,5,176.1
"Jakobi Meyers, WR NE",35%,0.9,2.50%,5,172.2
"Rondale Moore, WR ARI",82%,4.3,9.60%,2,172.1
"Tyler Boyd, WR CIN",72%,2.2,7.20%,5,171.5
"Brandon Aiyuk, WR SF",51%,1.7,4.10%,5,169.2
"Marquez Valdes-Scantling, WR KC",17%,1.7,1.10%,5,166
"Robbie Anderson, WR CAR",81%,2.6,9.30%,5,164.2
"Kenny Golladay, WR NYG",90%,3.3,12.70%,3,162.6
"Marvin Jones, WR JAC",88%,2.3,11.70%,4,159.7
"Corey Davis, WR NYJ",91%,3.2,13.20%,5,157.8
"Van Jefferson, WR LAR",61%,1.9,5.40%,5,156.4
"Jarvis Landry, WR NO",69%,1.9,6.70%,5,154.7
"Curtis Samuel, WR WAS",74%,2.2,7.60%,5,154.5
"Will Fuller, WR UNS",93%,2.9,14.50%,2,154.1
"Mecole Hardman, WR KC",49%,1.6,3.90%,5,152.5
"Jamison Crowder, WR BUF",90%,3.5,12.70%,5,151.6
"Michael Gallup, WR DAL",78%,2.1,8.50%,5,150.2
"D.J. Chark, WR DET",87%,3.6,11.30%,5,150
"DeVante Parker, WR NE",84%,2.6,10.20%,4,146.3
"Kendrick Bourne, WR NE",11%,0.5,0.70%,5,131.5
"Cedrick Wilson, WR MIA",71%,1.8,7%,1,128.4
"Bryan Edwards, WR ATL",50%,1.4,4%,2,127.1
"Julio Jones, WR UNS",91%,2.5,13.20%,5,125.1
"Randall Cobb, WR GB",94%,2.7,15.30%,4,122.2
"Parris Campbell, WR IND",33%,1.5,2.30%,0,121.1
"Cole Beasley, WR UNS",47%,1,3.70%,5,119
"Zay Jones, WR JAC",49%,1.2,3.90%,5,117.5
"Sterling Shepard, WR NYG",61%,1.7,5.40%,4,114.7
"Nico Collins, WR HOU",16%,0.2,1%,5,111.6
"Sammy Watkins, WR GB",94%,3.1,15.30%,2,111.5
"A.J. Green, WR ARI",59%,2.4,5.10%,3,109
"Emmanuel Sanders, WR UNS",94%,3,15.30%,5,104.9
"Odell Beckham Jr., WR UNS",53%,1.7,4.30%,3,98.9
"Laviska Shenault, WR JAC",70%,3.5,6.80%,5,92.6
"D'Wayne Eskridge, WR SEA",33%,1.8,2.30%,5,89.1
"Terrace Marshall, WR CAR",58%,1.7,5%,0,89
"James Washington, WR DAL",39%,1.4,2.90%,5,85.7
"K.J. Hamler, WR DEN",91%,4.5,13.20%,5,83.4
"Darius Slayton, WR NYG",66%,2.2,6.10%,5,81.4
"DeSean Jackson, WR UNS",87%,4.4,11.30%,2,79.4
"Keelan Cole, WR LVR",9%,0.3,0.60%,5,77.1
"Adam Humphries, WR UNS",63%,1.3,5.70%,5,74
"Tre'Quan Smith, WR NO",75%,2,7.80%,5,73
"Nelson Agholor, WR NE",63%,1.6,5.70%,5,69.2
"T.Y. Hilton, WR UNS",87%,3.2,11.30%,5,68.1
"Danny Amendola, WR UNS",94%,3.3,15.30%,4,65.4
"Dyami Brown, WR WAS",26%,0.7,1.80%,5,65.1
"Rashard Higgins, WR CAR",88%,3.2,11.70%,5,64.2
"Chris Conley, WR HOU",46%,1.1,3.60%,5,63.8
"Amari Rodgers, WR GB",25%,0.6,1.70%,5,61.1
"Auden Tate, WR ATL",94%,3.7,15.30%,3,60.4
"Marquise Goodwin, WR SEA",94%,2.4,15.30%,3,57.5
"Dante Pettis, WR CHI",91%,3.5,13.20%,5,56.4
"Marquez Callaway, WR NO",92%,3.3,13.80%,5,55.5
"Albert Wilson, WR MIN",94%,3.1,15.30%,5,50.7
"Equanimeous St. Brown, WR CHI",90%,3.2,12.70%,2,49.8
"Breshad Perriman, WR TB",79%,3.3,8.80%,2,48
