"Full Name",Position,"College Target Share","College Dominator Rating"
"Bryce Love",RB,6.4%,29.9%
"Buck Allen",RB,-,-
"Buddy Howell",RB,3.6%,17.8%
"Byron Marshall",RB,32.5%,10.7%
"C.J. Anderson",RB,8.2%,18.2%
"C.J. Ham",RB,-,29.9%
"C.J. Prosise",RB,11.5%,26.2%
"C.J. Spiller",RB,13.4%,33.9%
"Cameron Artis-Payne",RB,5.1%,25.7%
"Cameron Marshall",RB,7.2%,21.3%
"Carlos Hyde",RB,6.5%,24.1%
"Cedric Peerman",RB,13.4%,28.7%
"Chandler Cox",RB,-,4.2%
"Charcandrick West",RB,-,22.0%
"Charles Sims",RB,11.8%,35.8%
"Chase Edmonds",RB,-,34.1%
"Chris Carson",RB,4.6%,19.6%
"Chris Ivory",RB,2.7%,5.8%
"Chris Johnson",RB,12.4%,42.5%
"Chris Ogbonnaya",RB,12.3%,12.5%
"Chris Polk",RB,9.6%,31.6%
"Chris Rainey",RB,16.4%,22.3%
"Chris Thompson",RB,5.6%,13.6%
"Chris Warren",RB,4.6%,16.2%
"Christian McCaffrey",RB,16.7%,50.7%
"Christian Powell",RB,3.3%,19.8%
"Christian Wade",RB,-,0.0%
"Christine Michael",RB,3.7%,14.0%
"Cierre Wood",RB,8.7%,17.2%
"Corey Clement",RB,5.0%,33.1%
"Corey Grant",RB,3.3%,7.3%
"Craig Reynolds",RB,-,29.7%
"Cullen Gillaspia",RB,-,1.6%
"Cyrus Gray",RB,9.7%,24.4%
"D'Angelo Brewer",RB,3.8%,29.0%
"D'Ernest Johnson",RB,11.0%,16.2%
"D'Onta Foreman",RB,3.6%,36.5%
"D.J. Adams",RB,-,24.8%
"D.J. Foster",RB,20.4%,18.8%
"D.J. Knox",RB,5.9%,23.1%
"Da'Rel Scott",RB,9.9%,22.2%
"Dalton Crossan",RB,-,36.2%
"Dalvin Cook",RB,11.6%,38.8%
"Dalyn Dawkins",RB,8.7%,21.5%
"Damarea Crockett",RB,3.8%,20.9%
"Damien Harris",RB,5.3%,14.7%
"Damien Williams",RB,7.2%,16.9%
"Dan Herron",RB,6.6%,25.5%
"Dan Vitale",RB,18.2%,12.5%
"Daniel Lasco",RB,7.7%,15.8%
"Daniel Thomas",RB,12.0%,36.0%
"Danny Woodhead",RB,-,49.0%
"Dare Ogunbowale",RB,11.9%,17.2%
"Darius Jackson",RB,9.2%,35.1%
"Darius Victor",RB,-,31.6%
"Darnell Holland",RB,-,17.1%
"Darnell Woolfolk",RB,0.9%,25.2%
"Darrel Williams",RB,9.3%,21.5%
"Darrell Henderson",RB,7.4%,33.9%
"Darren McFadden",RB,9.6%,32.1%
"Darren Sproles",RB,-,34.1%
"Darrin Hall",RB,6.6%,24.7%
"Darrin Reaves",RB,11.5%,32.4%
"Darwin Thompson",RB,6.9%,24.7%
"Daryl Richardson",RB,-,24.0%
"David Cobb",RB,8.3%,35.9%
"David Fluellen",RB,10.0%,27.5%
"David Johnson",RB,14.4%,40.8%
"David Montgomery",RB,9.6%,30.5%
"David Williams",RB,5.1%,21.1%
"David Wilson",RB,8.4%,26.5%
"Davin Meggett",RB,7.4%,20.2%
"De'Angelo Henderson",RB,-,45.4%
"De'Lance Turner",RB,-,28.6%
"De'Veon Smith",RB,6.3%,17.2%
"DeAndre Washington",RB,9.7%,23.4%
"DeAngelo Williams",RB,7.5%,47.1%
"DeMarco Murray",RB,14.2%,29.9%
"Dee Hart",RB,6.3%,27.8%
"Delone Carter",RB,3.4%,31.3%
"Demario Richard",RB,9.0%,24.1%
"Dennis Johnson",RB,7.0%,23.4%
"Derek Watt",RB,6.2%,2.7%
"Derrick Coleman",RB,1.7%,20.9%
"Derrick Gore",RB,5.9%,15.1%
"Derrick Henry",RB,3.8%,43.5%
"Derrius Guice",RB,7.3%,32.2%
"Desmond Martin",RB,-,38.8%
"Detrez Newsome",RB,-,34.0%
"Devante Mays",RB,0.3%,17.5%
"Devin Singletary",RB,7.7%,37.8%
"Devine Ozigbo",RB,9.4%,25.5%
"Devine Redding",RB,8.1%,23.0%
"Devon Johnson",RB,2.6%,25.1%
"Devonta Freeman",RB,6.0%,17.8%
"Devontae Booker",RB,14.3%,40.1%
"Devontae Jackson",RB,-,26.6%
"Dexter McCluster",RB,19.4%,28.7%
"Dexter Williams",RB,4.5%,33.0%
"Dillon Baxter",RB,-,3.9%
"Dimitri Flowers",RB,6.7%,8.6%
"Diocemy Saint Juste",RB,7.6%,29.0%
"Dion Lewis",RB,10.3%,34.0%
"Dominick Bragalone",RB,-,32.8%
"Dominique Brown",RB,7.0%,17.4%
"Dominique Williams",RB,-,40.3%
"Don Jackson",RB,4.1%,23.4%
"Donald Brown",RB,9.9%,52.0%
"Donnel Pumphrey",RB,19.4%,48.7%
"Dontae Strickland",RB,6.2%,13.7%
"Dontrell Hilliard",RB,10.2%,29.1%
"Doug Martin",RB,7.1%,24.3%
"Dreamius Smith",RB,2.4%,9.5%
"Dri Archer",RB,19.2%,32.3%
"DuJuan Harris",RB,9.0%,18.8%
"Duke Johnson",RB,14.8%,33.0%
"Dwayne Washington",RB,7.6%,22.2%
"Eddie Lacy",RB,9.1%,26.1%
"Edwin Baker",RB,2.6%,19.3%
"Elijah Holyfield",RB,2.0%,13.6%
"Elijah Hood",RB,5.9%,21.4%
"Elijah McGuire",RB,15.4%,32.1%
"Elijah Wellman",RB,1.5%,2.0%
"Elijhaa Penny",RB,7.9%,31.1%
"Evan Royster",RB,6.8%,22.6%
"Ezekiel Elliott",RB,8.9%,37.8%
"Felix Jones",RB,7.9%,21.2%
"Fitzgerald Toussaint",RB,5.1%,21.9%
"Fozzy Whittaker",RB,9.9%,14.0%
"Frank Gore",RB,-,22.5%
"Fred Jackson",RB,-,45.9%
"George Aston",RB,8.3%,7.2%
"George Atkinson III",RB,2.4%,9.9%
"George Farmer",RB,6.7%,7.3%
"George Winn",RB,4.5%,25.8%
"Giovani Bernard",RB,14.3%,30.0%
"Glasco Martin",RB,0.6%,12.0%
"Glenn Winston",RB,0.5%,24.8%
"Gus Edwards",RB,6.5%,26.4%
"Gus Johnson",RB,-,36.3%
"Henry Josey",RB,3.4%,21.8%
"I'Tavius Mathers",RB,22.9%,31.7%
"Isaiah Crowell",RB,2.8%,27.3%
"Isaiah Pead",RB,13.2%,31.3%
"Isaiah Saunders",RB,4.2%,21.8%
"Ito Smith",RB,13.4%,33.9%
"Izzy Matthews",RB,11.9%,17.0%
"J.D. McKissic",RB,30.6%,10.2%
"Jackie Battle",RB,0.7%,20.4%
"Jacques Patrick",RB,7.5%,15.6%
"Jacquizz Rodgers",RB,20.9%,41.7%
"Jahad Thomas",RB,10.4%,34.7%
"Jahwan Edwards",RB,8.8%,24.7%
"Jalen Parmele",RB,6.3%,36.9%
"Jalen Rhodes",RB,6.8%,15.6%
"Jalen Richard",RB,18.4%,22.6%
"Jalen Simmons",RB,-,22.2%
"Jalin Moore",RB,5.1%,17.8%
"Jalston Fowler",RB,4.0%,5.2%
"Jamaal Charles",RB,8.2%,30.9%
"Jamaal Williams",RB,7.2%,36.4%
"Jamal Morrow",RB,10.4%,19.1%
"Jamauri Bogan",RB,1.3%,22.4%
"James Butler",RB,11.0%,23.8%
"James Conner",RB,7.7%,34.4%
"James Flanders",RB,1.7%,25.6%
"James Starks",RB,14.6%,18.8%
"James Summers",RB,4.5%,19.0%
"James White",RB,12.1%,13.2%
"James Wilder Jr.",RB,5.8%,12.4%
"James Williams",RB,12.7%,22.8%
"Jamize Olawale",RB,2.5%,-
"Jarveon Williams",RB,7.6%,23.4%
"Jarvion Franklin",RB,7.4%,32.3%
"Javorius Allen",RB,11.7%,27.7%
"Jay Ajayi",RB,12.4%,41.3%
"Jay Prosch",RB,3.2%,3.2%
"Jaylen Samuels",RB,20.2%,23.9%
"Jeff Wilson",RB,6.5%,34.6%
"Jeremy Cox",RB,7.1%,19.3%
"Jeremy Hill",RB,7.0%,26.8%
"Jeremy Langford",RB,7.9%,27.9%
"Jeremy McNichols",RB,10.9%,41.4%
"Jeremy Stewart",RB,2.1%,9.8%
"Jerome Smith",RB,3.2%,27.2%
"Jewel Hampton",RB,-,39.5%
"Jhurell Pressley",RB,7.7%,23.4%
"Joe Banyard",RB,5.1%,17.7%
"Joe Kerridge",RB,2.1%,2.1%
"Joe Mixon",RB,11.7%,24.7%
"Joe Williams",RB,4.5%,34.3%
"Joel Bouagnon",RB,5.5%,24.3%
"Joey Demartino",RB,6.0%,25.4%
"Joey Iosefa",RB,6.3%,44.7%
"John Crockett",RB,-,35.6%
"John Kelly",RB,14.7%,36.5%
"John Kuhn",RB,-,30.8%
"John Santiago",RB,-,25.6%
"John Spooney",RB,-,30.6%
"Johnathan Franklin",RB,8.3%,29.1%
"Joique Bell",RB,-,66.7%
"Jon Hilliman",RB,9.0%,26.5%
"Jonas Gray",RB,1.9%,20.8%
"Jonathan Dwyer",RB,6.3%,29.2%
"Jonathan Grimes",RB,-,51.0%
"Jonathan Stewart",RB,7.5%,26.6%
"Jonathan Williams",RB,4.5%,25.4%
"Jordan Chunn",RB,7.9%,26.8%
"Jordan Ellis",RB,5.4%,22.1%
"Jordan Howard",RB,4.2%,29.3%
"Jordan Johnson",RB,2.8%,28.7%
"Jordan Scarlett",RB,3.8%,22.0%
"Jordan Todman",RB,8.3%,44.5%
"Jordan Wilkins",RB,6.9%,24.8%
"Joseph Randle",RB,8.1%,24.6%
"Joseph Yearby",RB,7.3%,17.9%
"Josh Adams",RB,8.0%,21.3%
"Josh Ferguson",RB,13.8%,26.2%
"Josh Harris",RB,6.8%,19.1%
"Josh Jacobs",RB,4.3%,13.9%
"Josh Robinson",RB,9.7%,21.8%
"Josh Rounds",RB,4.0%,20.3%
"Joshuwa Holloman",RB,-,0.0%
"Justice Hill",RB,8.7%,22.5%
"Justin Crawford",RB,5.4%,16.8%
"Justin Davis",RB,5.0%,14.5%
"Justin Forsett",RB,7.8%,33.5%
"Justin Jackson",RB,12.8%,30.7%
"Justin Stockton",RB,6.8%,15.4%
"Juwan Thompson",RB,6.3%,11.6%
"Ka'Deem Carey",RB,9.1%,36.5%
"Kahlil Bell",RB,5.9%,27.9%
"Kalen Ballage",RB,11.8%,20.6%
"Kamryn Pettway",RB,0.8%,16.1%
"Kapri Bibbs",RB,2.4%,39.0%
"Karan Higdon",RB,4.0%,26.6%
"Kareem Hunt",RB,10.4%,28.7%
"Karlos Williams",RB,7.6%,19.0%
"Keith Ford",RB,4.5%,18.5%
"Keith Marshall",RB,4.7%,12.1%
"Kelvin Taylor",RB,6.3%,29.3%
"Kendall Gaskins",RB,-,27.8%
"Kendall Hunter",RB,7.4%,26.2%
"Kenjon Barner",RB,7.5%,28.3%
"Kenneth Dixon",RB,9.8%,42.4%
"Kenneth Farrow",RB,6.8%,23.4%
"Kenny Hilliard",RB,1.5%,11.9%
"Kenny Young",RB,14.6%,22.9%
"Kenyan Drake",RB,9.0%,12.9%
"Kerrith Whyte",RB,4.1%,19.0%
"Kerryon Johnson",RB,8.0%,36.4%
"Kerwynn Williams",RB,13.6%,35.7%
"Keshawn Hill",RB,-,26.3%
"Khalfani Muhammad",RB,5.3%,12.7%
"Khalid Hill",RB,4.9%,8.7%
"Khari Blasingame",RB,6.7%,16.2%
"Khiry Robinson",RB,-,28.6%
"Knile Davis",RB,4.7%,16.6%
"Knowshon Moreno",RB,10.2%,34.9%
"Kory Sheets",RB,10.4%,39.7%
"Kyle Hicks",RB,11.9%,20.9%
"Kyle Juszczyk",RB,-,15.0%
"L.J. Scott",RB,2.2%,14.3%
"La'Rod Stephens-Howling",RB,7.2%,17.7%
"LaDainian Tomlinson",RB,7.7%,46.2%
"LaDarius Perkins",RB,8.4%,17.6%
"LaMichael James",RB,7.1%,28.0%
"Lache Seastrunk",RB,2.9%,16.4%
"Lamar Miller",RB,6.8%,27.8%
"Lance Dunbar",RB,11.8%,40.6%
"Larry Rose",RB,11.5%,32.6%
"Latavius Murray",RB,8.5%,27.3%
"Lavon Coleman",RB,4.0%,12.5%
"Le'Veon Bell",RB,10.8%,45.1%
"LeGarrette Blount",RB,1.3%,20.7%
"LeSean McCoy",RB,13.0%,47.1%
"LeShun Daniels",RB,0.5%,25.8%
"Lenard Tillery",RB,-,32.9%
"Leonard Fournette",RB,11.9%,38.8%
"Lexington Thomas",RB,8.0%,31.6%
"Lorenzo Taliaferro",RB,-,31.3%
"Mack Brown",RB,4.5%,8.6%
"Madre London",RB,2.6%,8.8%
"Malcolm Agnew",RB,1.0%,24.3%
"Malcolm Brown",RB,6.5%,21.7%
"Malcolm Johnson",RB,11.2%,6.3%
"Malik Williams",RB,3.7%,9.4%
"Marcel Reece",RB,21.8%,22.4%
"Marcus Cox",RB,6.3%,39.9%
"Marcus Lattimore",RB,10.5%,27.0%
"Marcus Murphy",RB,11.0%,17.0%
"Marion Grice",RB,13.2%,26.8%
"Mark Ingram",RB,11.0%,30.7%
"Mark Thompson",RB,5.8%,11.1%
"Mark Walton",RB,8.9%,18.0%
"Marlon Mack",RB,10.9%,29.8%
"Marquez Williams",RB,-,1.2%
"Marquis Terry",RB,-,28.6%
"Marquis Young",RB,10.3%,22.1%
"Marshaun Coprich",RB,-,39.7%
"Marshawn Lynch",RB,11.3%,31.9%
"Martez Carter",RB,-,26.8%
"Matt Asiata",RB,11.3%,18.8%
"Matt Breida",RB,6.5%,21.8%
"Matt Forte",RB,14.4%,57.3%
"Matt Jones",RB,6.9%,20.5%
"Matthew Dayes",RB,11.5%,29.0%
"Matthew Tucker",RB,4.5%,15.5%
"Maurice Jones-Drew",RB,9.8%,28.7%
"Melvin Gordon",RB,8.7%,47.1%
"Michael Bush",RB,7.0%,30.5%
"Michael Cox",RB,4.4%,26.3%
"Michael Dyer",RB,1.7%,21.2%
"Michael Ford",RB,2.5%,11.0%
"Michael Hill",RB,-,32.4%
"Michael Smith",RB,6.9%,19.3%
"Mike Boone",RB,8.3%,19.8%
"Mike Burton",RB,6.2%,3.3%
"Mike Davis",RB,11.0%,22.6%
"Mike Gillislee",RB,7.3%,30.8%
"Mike Goodson",RB,11.4%,20.5%
"Mike James",RB,8.3%,19.8%
"Mike Tolbert",RB,-,21.9%
"Mike Warren",RB,5.4%,12.3%
"Mike Weber",RB,7.6%,17.8%
"Mikel Leshoure",RB,14.4%,39.7%
"Miles Sanders",RB,8.4%,21.1%
"Montee Ball",RB,10.4%,39.4%
"Myles Gaskin",RB,6.9%,33.5%
"Nick Bawden",RB,7.5%,2.3%
"Nick Brossette",RB,4.7%,25.9%
"Nick Chubb",RB,6.5%,25.0%
"Nick Holley",RB,8.8%,21.6%
"Nick Wilson",RB,2.8%,19.9%
"Nico Evans",RB,4.0%,41.0%
"Nyheim Hines",RB,13.7%,22.6%
"Orleans Darkwa",RB,10.4%,32.3%
"Patrick DiMarco",RB,6.4%,4.4%
"Patrick Laird",RB,14.9%,30.1%
"Paul Perkins",RB,8.0%,28.4%
"Peyton Barber",RB,5.2%,30.9%
"Peyton Hillis",RB,23.0%,16.8%
"Phillip Lindsay",RB,14.6%,38.4%
"Phillip Tanner",RB,6.3%,31.0%
"Pierre Thomas",RB,10.1%,23.6%
"Qadree Ollison",RB,7.2%,26.3%
"Quinton Flowers",RB,0.3%,21.3%
"Ra'Quanne Dickens",RB,-,27.4%
"Raheem Mostert",RB,5.1%,12.3%
"Rajion Neal",RB,10.6%,34.5%
"Ralph Webb",RB,11.2%,30.1%
"Rashaad Penny",RB,10.3%,50.1%
"Rashad Jennings",RB,1.8%,35.8%
"Rasheed Williams",RB,-,59.1%
"Ray Graham",RB,12.8%,29.9%
"Ray Lawry",RB,6.2%,38.1%
"Ray Rice",RB,8.7%,45.1%
"Raymond Maples",RB,12.4%,12.8%
"Reggie Bonnafon",RB,6.5%,11.0%
"Reggie Bush",RB,10.2%,25.6%
"Reggie Gallaspy",RB,3.3%,11.5%
"Rex Burkhead",RB,8.9%,23.5%
"Rob Kelley",RB,11.2%,11.4%
"Robert Hughes",RB,4.9%,10.2%
"Robert Martin",RB,4.4%,15.8%
"Robert Turbin",RB,9.3%,35.0%
"Roc Thomas",RB,4.9%,30.6%
"Rod Smith",RB,1.2%,3.7%
"Rodney Anderson",RB,4.8%,20.1%
"Ronald Jones",RB,4.3%,33.4%
"Ronnie Brown",RB,-,22.8%
"Ronnie Hillman",RB,9.4%,37.4%
"Ronnie Wingo",RB,6.5%,10.6%
"Ross Scheuerman",RB,-,48.5%
"Roy Finch",RB,7.9%,7.8%
"Roy Helu",RB,8.3%,25.6%
"Royce Freeman",RB,8.3%,30.4%
"Rushel Shell",RB,4.9%,14.6%
"Russell Hansbrough",RB,6.1%,17.3%
"Ryan Fulse",RB,-,45.3%
"Ryan Green",RB,0.9%,5.3%
"Ryan Hewitt",RB,8.9%,3.4%
"Ryan Mathews",RB,5.9%,35.9%
"Ryan Williams",RB,7.6%,28.0%
"Ryquell Armstead",RB,4.2%,31.6%
"Sam McPherson",RB,-,19.5%
"Sam Rogers",RB,6.7%,9.9%
"Samaje Perine",RB,4.1%,27.8%
"Saquon Barkley",RB,14.8%,32.2%
"Senorise Perry",RB,5.2%,16.6%
"Shane Vereen",RB,12.1%,40.0%
"Shaun Draughn",RB,7.9%,15.0%
"Shaun Wilson",RB,10.0%,24.0%
"Shock Linwood",RB,2.3%,13.7%
"Shonn Greene",RB,5.3%,41.5%
"Silas Redd",RB,4.0%,26.9%
"Sony Michel",RB,10.4%,27.5%
"Spencer Ware",RB,6.7%,12.2%
"Squally Canada",RB,2.4%,19.6%
"Stepfan Taylor",RB,11.8%,35.2%
"Stephen Houston",RB,9.6%,19.8%
"Stevan Ridley",RB,4.9%,32.8%
"Steven Jackson",RB,-,38.7%
"Steven Miller",RB,-,31.6%
"Steven Peoples",RB,7.5%,16.0%
"Storm Johnson",RB,8.9%,27.9%
"Synjyn Days",RB,4.5%,14.7%
"T.J. Logan",RB,7.4%,17.6%
"T.J. Yeldon",RB,8.8%,20.8%
"Taiwan Deal",RB,0.7%,14.0%
"Taiwan Jones",RB,-,33.4%
"Taquan Mizzell",RB,24.0%,26.2%
"Tarean Folston",RB,5.4%,11.6%
"Tarik Cohen",RB,-,40.8%
"Tauren Poole",RB,7.2%,23.5%
"Tavon Austin",RB,26.4%,26.3%
"Teriyon Gipson",RB,12.1%,27.4%
"Terrance Cobb",RB,-,38.0%
"Terrance West",RB,-,47.3%
"Terrell Watson",RB,-,52.7%
"Terrence Magee",RB,8.4%,10.9%
"Terris Jones-Grigsby",RB,2.8%,11.9%
"Terron Ward",RB,9.7%,24.5%
"Terry Swanson",RB,5.4%,24.9%
"Tevin Coleman",RB,11.1%,43.2%
"Theo Riddick",RB,13.7%,21.5%
"Thomas Rawls",RB,4.1%,32.4%
"Tim Cook",RB,0.6%,4.6%
"Tim Cornett",RB,7.5%,28.0%
"Tim Flanders",RB,-,23.7%
"Tim Hightower",RB,-,39.7%
"Tion Green",RB,7.5%,13.8%
"Toby Gerhart",RB,7.3%,44.7%
"Todd Gurley",RB,10.9%,33.5%
"Tommy Bohanon",RB,8.0%,13.6%
"Tony Brooks-James",RB,6.8%,12.1%
"Tony Pollard",RB,15.5%,13.2%
"Tra Carson",RB,6.8%,22.7%
"Travaris Cadet",RB,-,18.8%
"Travis Homer",RB,6.6%,21.3%
"Travon McMillian",RB,4.6%,22.0%
"Trayveon Williams",RB,8.8%,34.5%
"Tre Madden",RB,4.9%,16.8%
"Tre Mason",RB,4.6%,31.7%
"Tre Watson",RB,5.7%,14.5%
"Trent Richardson",RB,11.2%,42.1%
"Trenton Cannon",RB,-,36.2%
"Trey Edmunds",RB,5.8%,16.2%
"Trey Watts",RB,16.6%,42.4%
"Trey Williams",RB,3.3%,12.4%
"Troymaine Pope",RB,-,25.8%
"Ty Issac",RB,1.0%,13.1%
"Ty Johnson",RB,6.4%,17.0%
"Ty Montgomery",RB,31.5%,18.0%
"Tyler Ervin",RB,14.4%,35.1%
"Tyler Gaffney",RB,5.8%,37.4%
"Tyler Varga",RB,-,35.0%
"Vick Ballard",RB,8.6%,30.7%
"Warren Wand",RB,9.0%,19.4%
"Wayne Gallman",RB,6.7%,21.4%
"Wendell Smallwood",RB,7.9%,22.3%
"Wes Hills",RB,-,34.3%
"Wesley Fields",RB,9.4%,27.4%
"William Stanback",RB,4.7%,41.8%
"Xavier Turner",RB,-,26.3%
"Zac Brooks",RB,3.0%,6.0%
"Zac Stacy",RB,7.5%,28.7%
"Zach Bauman",RB,-,41.2%
"Zach Laskey",RB,5.2%,18.2%
"Zach Line",RB,9.5%,33.3%
"Zach Zenner",RB,-,43.8%
"Zurlon Tipton",RB,9.4%,39.6%
