"Full Name",Position,"Arm Length","Height (Inches)",Weight,BMI,"Hand Size",Age,"20-Yard Shuttle","Athleticism Score",SPARQ-x,"3-Cone Drill"
"Devante Mays",RB,"31 3/4",70,"230 lbs",33.0,"8 5/8",25.2,4.53,107.5,118.6,7.43
"Devin Singletary",RB,"28 7/8",67,"203 lbs",31.8,"8 1/2",21.9,4.40,100.0,96.5,7.32
"Devine Ozigbo",RB,"31    ",71,"222 lbs",31.0,"9 1/4",22.8,4.27,101.9,110.6,6.95
"Devine Redding",RB,"29 1/4",68,"205 lbs",31.2,"9 5/8",23.5,4.46,96.7,87.9,7.18
"Devon Johnson",RB,"31 1/4",72,"238 lbs",32.3,"9 1/4",26.0,4.60,101.5,105.7,7.09
"Devonta Freeman",RB,"29 3/8",68,"206 lbs",31.3,"9 5/8",27.4,4.26,99.7,110.0,7.11
"Devontae Booker",RB,"31 5/8",71,"219 lbs",30.5,"8 5/8",27.2,-,-,-,-
"Devontae Jackson",RB,"29 1/2",67,"180 lbs",28.2,"8 1/8",24.3,4.13,99.4,118.6,7.16
"Dexter McCluster",RB,"29 1/4",68,"170 lbs",25.8,"8 3/8",31.0,4.06,94.9,116.8,6.73
"Dexter Williams",RB,"32 1/4",71,"212 lbs",29.6,"9 5/8",22.6,4.16,100.8,113.1,7.00
"Dillon Baxter",RB,"30    ",71,"197 lbs",27.5,"8    ",27.8,4.26,95.9,103.2,6.78
"Dimitri Flowers",RB,"30 3/4",74,"248 lbs",31.8,"9 1/4",23.6,4.53,95.7,91.7,7.45
"Diocemy Saint Juste",RB,"29    ",68,"189 lbs",28.7,"9 3/8",-,4.46,96.6,95.8,7.16
"Dion Lewis",RB,"28 1/8",67,"193 lbs",30.2,"8 5/8",28.9,4.18,99.6,107.8,6.90
"Dominick Bragalone",RB,"29 3/4",70,"233 lbs",33.4,"9 1/8",22.7,4.13,110.3,144.1,7.05
"Dominique Brown",RB,"32 3/8",74,"234 lbs",30.0,"9 1/2",27.6,4.42,96.2,99.5,7.05
"Dominique Williams",RB,"30 3/4",69,"205 lbs",30.3,"9 1/2",28.9,4.26,100.0,105.4,6.72
"Don Jackson",RB,"29 7/8",71,"205 lbs",28.6,"9    ",25.9,4.34,97.9,107.0,7.09
"Donald Brown",RB,"31 1/2",70,"210 lbs",30.1,"9    ",32.3,4.10,104.1,129.3,6.93
"Donnel Pumphrey",RB,"29    ",68,"176 lbs",26.8,"8 1/2",24.7,-,-,-,-
"Dontae Strickland",RB,"31 3/4",70,"200 lbs",28.7,"9 3/8",-,4.39,92.1,82.4,7.21
"Dontrell Hilliard",RB,"31 7/8",71,"202 lbs",28.2,"9 3/4",24.5,4.38,99.1,113.8,6.87
"Doug Martin",RB,"30 1/2",69,"223 lbs",32.9,"9    ",30.6,4.16,108.9,136.2,6.79
"Dreamius Smith",RB,"30 5/8",71,"223 lbs",31.1,"9 1/4",26.9,4.05,104.4,126.5,6.90
"Dri Archer",RB,"31    ",68,"173 lbs",26.3,"8 7/8",28.0,4.06,99.0,133.0,6.86
"DuJuan Harris",RB,-,67,"197 lbs",30.9,-,30.9,4.35,105.8,131.2,7.15
"Duke Johnson",RB,"30 3/8",69,"207 lbs",30.6,"9 1/4",25.9,4.16,101.4,112.3,6.88
"Dwayne Washington",RB,"32 3/8",72,"223 lbs",30.2,"9 7/8",25.3,4.22,103.8,123.0,6.85
"Eddie Lacy",RB,"31    ",71,"250 lbs",34.9,"9 1/2",29.2,4.44,105.7,113.0,7.33
"Edwin Baker",RB,"29 5/8",68,"200 lbs",30.4,"8 1/8",28.2,4.31,100.0,111.9,7.27
"Elijah Holyfield",RB,"30 3/8",70,"217 lbs",31.1,"9    ",20.9,-,-,-,-
