"Full Name",Position,"Arm Length","Height (Inches)",Weight,BMI,"Hand Size",Age,"20-Yard Shuttle","Athleticism Score",SPARQ-x,"3-Cone Drill"
"Jhurell Pressley",RB,"32    ",70,"206 lbs",29.6,"9 1/4",27.2,4.15,101.7,129.0,7.01
"Joe Banyard",RB,-,70,"205 lbs",29.4,-,30.8,4.29,101.5,123.9,7.06
"Joe Kerridge",RB,"31 1/8",72,"245 lbs",33.2,"9 1/2",26.9,4.24,102.4,114.0,7.09
"Joe Mixon",RB,"30 1/8",73,"228 lbs",30.1,"10 1/4",23.1,4.27,101.3,120.4,7.10
"Joe Williams",RB,"30 3/4",71,"210 lbs",29.3,"9 3/8",25.9,4.19,99.8,113.1,7.19
"Joel Bouagnon",RB,"31 1/2",73,"230 lbs",30.3,"9 3/4",24.4,4.42,99.5,105.1,6.90
"Joey Demartino",RB,"30 5/8",71,"200 lbs",27.9,"9 5/8",28.9,4.31,96.5,110.0,7.20
"Joey Iosefa",RB,"31 3/4",72,"245 lbs",33.2,"10 1/4",28.2,4.33,100.7,118.0,7.24
"John Crockett",RB,"31    ",72,"217 lbs",29.4,"9 3/4",27.5,4.25,99.9,110.7,7.15
"John Kelly",RB,"31 3/8",70,"216 lbs",31.0,"9 3/8",22.9,4.51,98.9,94.3,7.13
"John Kuhn",RB,-,72,"250 lbs",33.9,-,36.9,-,-,-,-
"John Santiago",RB,"29 3/4",69,"184 lbs",27.2,"9 3/8",22.7,4.26,93.6,100.1,7.08
"John Spooney",RB,"30 1/2",70,"193 lbs",27.7,"9 1/3",27.5,4.36,98.0,111.2,7.19
"Johnathan Franklin",RB,"30    ",70,"205 lbs",29.4,"9 3/8",29.8,4.31,98.3,106.7,6.89
"Joique Bell",RB,"31 3/8",71,"220 lbs",30.7,"9    ",33.0,4.17,100.8,109.1,6.84
"Jon Hilliman",RB,"33    ",71,"216 lbs",30.1,"8 3/4",23.7,4.26,100.7,114.9,7.12
"Jonas Gray",RB,"31 3/8",70,"225 lbs",32.3,"10    ",29.1,-,-,-,-
"Jonathan Dwyer",RB,"31    ",71,"229 lbs",31.9,"8 5/8",30.1,4.47,98.1,96.8,7.45
"Jonathan Grimes",RB,"31 1/2",70,"208 lbs",29.8,"9 3/4",29.6,4.03,103.5,129.5,6.84
"Jonathan Stewart",RB,"32 1/4",70,"235 lbs",33.7,"9 1/2",32.4,-,111.0,-,-
"Jonathan Williams",RB,"31 5/8",71,"220 lbs",30.7,"10    ",25.5,4.29,-,-,6.97
"Jordan Chunn",RB,"31 1/8",72,"239 lbs",32.4,"8 1/4",24.6,4.50,99.6,99.8,7.09
"Jordan Ellis",RB,"30    ",69,"229 lbs",33.8,"9    ",-,4.35,102.2,111.3,7.16
"Jordan Howard",RB,"32 1/4",72,"230 lbs",31.2,"9    ",24.8,4.32,101.0,106.8,7.14
"Jordan Johnson",RB,"30 3/8",73,"223 lbs",29.4,"9    ",25.2,4.59,96.7,99.8,7.44
"Jordan Lynch",RB,"29 3/4",72,"217 lbs",29.4,"8 7/8",28.9,4.20,95.1,104.8,6.55
"Jordan Scarlett",RB,"30 3/8",71,"208 lbs",29.0,"8 7/8",23.5,4.63,96.4,102.7,7.37
"Jordan Todman",RB,"32    ",69,"198 lbs",29.2,"9 1/4",29.5,4.18,103.6,134.4,7.24
"Jordan Wilkins",RB,"30 1/8",73,"216 lbs",28.5,"9 3/8",25.1,4.27,-,111.2,-
"Joseph Randle",RB,"31 3/4",72,"210 lbs",28.5,"8 3/4",27.6,4.23,97.6,107.4,7.01
"Joseph Yearby",RB,"29 5/8",69,"185 lbs",27.3,"8 5/8",23.7,4.35,89.3,85.4,7.35
"Josh Adams",RB,"33 3/4",74,"213 lbs",27.3,"9 1/4",22.8,4.17,96.2,112.5,6.78
"Josh Ferguson",RB,"30    ",69,"198 lbs",29.2,"9    ",26.2,-,100.0,-,-
"Josh Harris",RB,"30 1/2",72,"200 lbs",27.1,"9    ",28.6,4.21,98.3,132.0,7.00
"Josh Jacobs",RB,"31 5/8",70,"220 lbs",31.6,"10 1/8",21.5,-,-,-,-
"Josh Robinson",RB,"29 3/4",68,"217 lbs",33.0,"10 1/8",27.0,4.58,101.2,98.6,7.24
"Josh Rounds",RB,"31 1/8",72,"205 lbs",27.8,"9 1/2",25.8,4.34,90.8,85.9,7.20
"Joshuwa Holloman",RB,"31 5/8",70,"191 lbs",27.4,"9 1/2",-,4.56,90.1,78.0,7.52
"Justice Hill",RB,"31 5/8",70,"198 lbs",28.4,"9 1/2",21.7,-,-,-,-
"Justin Crawford",RB,"32    ",71,"199 lbs",27.8,"9 1/8",24.5,4.44,93.1,87.9,7.08
"Justin Davis",RB,"31    ",73,"208 lbs",27.4,"9 5/8",23.8,4.34,93.6,103.2,6.87
"Justin Forsett",RB,"30 1/4",68,"198 lbs",30.1,"10 1/2",33.8,4.46,99.2,108.2,6.96
"Justin Jackson",RB,"30 5/8",72,"193 lbs",26.2,"9 1/4",23.3,4.07,95.0,112.5,6.81
"Justin Stockton",RB,"30 3/4",69,"201 lbs",29.7,"9 1/8",24.1,4.13,101.3,117.0,6.88
"Juwan Thompson",RB,"30 3/4",71,"228 lbs",31.8,"9    ",27.3,4.52,103.2,110.7,6.97
"Ka'Deem Carey",RB,"31 3/4",69,"207 lbs",30.6,"9 1/2",26.8,4.38,98.1,99.6,7.08
"Kahlil Bell",RB,"31 1/2",72,"219 lbs",29.7,"10 1/4",32.7,4.20,96.8,101.9,6.87
"Kalen Ballage",RB,"32 3/4",74,"228 lbs",29.3,"9 1/2",23.6,4.35,98.9,108.1,6.91
"Kamryn Pettway",RB,"31 1/4",72,"235 lbs",31.9,"9 1/2",23.6,-,-,-,-
"Kapri Bibbs",RB,"31 3/8",69,"212 lbs",31.3,"8 1/2",26.6,4.61,97.2,100.0,7.50
"Karan Higdon",RB,"30 3/4",69,"206 lbs",30.4,"9 5/8",22.9,-,-,-,-
"Kareem Hunt",RB,"31 3/8",70,"216 lbs",31.0,"9 5/8",24.0,4.53,100.6,102.7,7.22
"Karlos Williams",RB,"33    ",73,"230 lbs",30.3,"9 3/4",26.3,4.46,99.4,105.9,7.16
"Keith Ford",RB,"31 7/8",70,"219 lbs",31.4,"9 1/2",25.3,4.41,104.1,112.3,7.09
"Keith Marshall",RB,"31 5/8",71,"219 lbs",30.5,"9 3/8",25.5,4.25,-,130.9,6.98
"Keith Smith",RB,"31 3/4",72,"240 lbs",32.5,"10    ",27.3,4.53,99.0,102.4,6.87
"Kelvin Taylor",RB,"29 1/4",70,"207 lbs",29.7,"8 1/4",25.9,4.20,96.4,102.1,7.23
"Kendall Gaskins",RB,"32    ",73,"238 lbs",31.4,"8 3/4",28.8,4.49,99.3,103.0,7.32
"Kendall Hunter",RB,"31    ",67,"199 lbs",31.2,"8 5/8",30.9,4.21,104.9,122.2,6.74
"Kenjon Barner",RB,"29 5/8",69,"196 lbs",28.9,"9 1/8",30.3,4.14,100.3,117.9,6.87
"Kenneth Dixon",RB,"31 3/8",70,"215 lbs",30.8,"9 1/2",25.6,4.28,102.5,112.6,6.97
"Kenneth Farrow",RB,"31 3/8",69,"218 lbs",32.2,"9 1/2",26.4,4.14,106.0,124.8,6.95
"Kenny Hilliard",RB,"31 1/4",72,"226 lbs",30.6,"9 1/4",27.8,4.40,93.5,93.2,7.17
"Kenny Young",RB,"28 3/8",67,"177 lbs",27.7,"8 3/4",24.4,4.40,95.7,99.4,7.14
"Kenyan Drake",RB,"31 3/4",73,"210 lbs",27.7,"9 3/4",25.5,4.21,95.6,104.4,7.04
"Kerrith Whyte",RB,"29 7/8",70,"197 lbs",28.3,"9 1/2",22.8,4.37,102.4,124.5,7.20
"Kerryon Johnson",RB,"32 1/2",72,"213 lbs",28.9,"9 3/4",22.1,4.29,98.7,105.0,7.07
"Kerwynn Williams",RB,"29 3/4",68,"195 lbs",29.6,"9 1/8",28.2,4.15,99.9,113.5,7.15
"Keshawn Hill",RB,"29 5/8",70,"200 lbs",28.7,"8 3/4",26.4,4.41,99.2,124.2,7.12
"Khalfani Muhammad",RB,"28 7/8",67,"170 lbs",26.6,"9 1/4",24.9,4.27,96.6,104.8,6.74
"Khalid Hill",RB,"32 1/2",73,"263 lbs",34.7,"9 3/8",24.2,-,-,-,-
"Khari Blasingame",RB,"32 1/2",72,"233 lbs",31.6,"9 1/2",23.1,4.18,105.8,122.5,6.94
"Khiry Robinson",RB,"31 1/4",72,"220 lbs",29.8,"9 1/4",29.6,4.37,99.1,108.2,6.88
"Knile Davis",RB,"29 3/4",70,"227 lbs",32.6,"8 5/8",27.9,4.38,109.2,141.2,6.96
"Knowshon Moreno",RB,"30 3/4",71,"210 lbs",29.3,"10    ",32.1,4.27,100.2,120.8,6.84
"Kory Sheets",RB,"31 1/4",71,"203 lbs",28.3,"9 1/2",34.4,4.39,97.6,106.8,7.18
"Kyle Hicks",RB,"32 1/2",70,"202 lbs",29.0,"9 1/2",23.6,4.20,97.2,102.6,7.12
"Kyle Juszczyk",RB,"31 1/4",73,"248 lbs",32.7,"9 1/8",28.3,4.19,105.4,124.2,6.93
"L.J. Scott",RB,"32 1/8",72,"227 lbs",30.8,"9 3/8",22.9,4.34,98.9,106.3,7.27
"La'Rod Stephens-Howling",RB,-,67,"185 lbs",29.0,-,32.3,-,-,-,-
"LaDainian Tomlinson",RB,-,70,"215 lbs",30.8,-,40.2,4.21,105.6,123.5,6.84
"LaDarius Perkins",RB,"31    ",67,"195 lbs",30.5,"9 5/8",28.9,4.30,103.7,120.3,7.08
"LaMichael James",RB,"30 1/4",68,"195 lbs",29.6,"9    ",29.8,4.12,100.9,113.0,6.88
"Lache Seastrunk",RB,"30    ",70,"201 lbs",28.8,"9 1/4",28.0,4.36,102.0,111.0,6.81
"Lamar Miller",RB,"31 3/8",71,"218 lbs",30.4,"9 1/4",28.3,4.08,102.6,126.2,6.94
"Lance Dunbar",RB,-,68,"191 lbs",29.0,-,29.6,4.07,98.0,105.4,6.87
"Larry Rose",RB,"30 3/4",69,"192 lbs",28.4,"8 1/2",23.9,4.44,97.4,101.9,7.10
"Latavius Murray",RB,"33 1/4",74,"223 lbs",28.6,"9 1/8",29.6,4.36,101.1,123.0,6.81
"Lavon Coleman",RB,"30 1/2",71,"215 lbs",30.0,"9 1/4",24.7,4.35,99.3,111.0,7.16
"Lawrence Thomas",RB,"33 1/4",75,"286 lbs",35.7,"10 1/8",26.3,4.45,103.9,113.4,7.55
"Le'Veon Bell",RB,"31 1/2",73,"230 lbs",30.3,"9 5/8",27.5,4.24,101.1,118.8,6.75
"LeGarrette Blount",RB,"33 3/8",72,"241 lbs",32.7,"10    ",32.7,4.49,102.7,102.9,6.85
"LeSean McCoy",RB,"31 3/4",70,"208 lbs",29.8,"8 7/8",31.1,4.18,96.9,104.3,6.82
"LeShun Daniels",RB,"30 5/8",71,"222 lbs",31.0,"9 1/2",24.2,4.17,102.8,122.0,6.94
"Lenard Tillery",RB,"29 1/4",70,"198 lbs",28.4,"8 7/8",25.7,4.41,98.0,108.8,7.21
"Leonard Fournette",RB,"31 5/8",72,"240 lbs",32.5,"9 1/4",24.6,-,-,-,-
"Lexington Thomas",RB,"29 1/8",68,"175 lbs",26.6,"8 3/8",23.6,4.27,92.6,93.4,6.95
"Lorenzo Taliaferro",RB,"32    ",72,"229 lbs",31.1,"8 3/8",27.6,4.22,101.2,111.3,6.88
"Mack Brown",RB,"31 1/4",71,"206 lbs",28.7,"9 1/2",27.9,4.15,95.7,106.0,7.05
"Madre London",RB,"31 7/8",73,"215 lbs",28.4,"10 3/8",23.5,4.58,94.3,94.8,7.19
"Malcolm Agnew",RB,"30 3/8",69,"202 lbs",29.8,"8 7/8",26.2,3.90,102.6,124.0,6.75
"Malcolm Brown",RB,"32 3/4",71,"224 lbs",31.2,"10 1/4",26.6,4.15,102.0,114.9,6.86
"Malcolm Johnson",RB,"31 1/2",73,"231 lbs",30.5,"9 1/8",27.0,4.43,96.6,99.1,7.14
"Malik Williams",RB,"32 1/4",72,"200 lbs",27.1,"9 5/8",23.1,4.58,87.7,76.2,7.40
"Marcel Reece",RB,-,74,"240 lbs",30.8,-,34.1,4.26,103.2,124.2,7.20
"Marcus Cox",RB,"30    ",70,"211 lbs",30.3,"9    ",24.9,4.58,94.6,83.1,7.50
"Marcus Lattimore",RB,"32 1/2",71,"221 lbs",30.8,"9 7/8",27.8,-,-,-,-
"Marcus Murphy",RB,"31    ",68,"193 lbs",29.3,"8 5/8",27.9,4.40,93.0,84.0,7.13
"Marion Grice",RB,"32    ",72,"208 lbs",28.2,"9 1/4",27.3,4.41,92.7,89.8,7.06
"Mark Ingram",RB,"30 5/8",69,"215 lbs",31.7,"9 3/8",29.6,4.62,100.1,99.6,7.13
"Mark Thompson",RB,"32 3/4",74,"232 lbs",29.8,"9 5/8",24.7,4.55,98.2,101.7,7.14
"Mark Walton",RB,"30    ",70,"202 lbs",29.0,"9 1/4",22.4,4.45,96.3,97.5,7.00
"Marlon Mack",RB,"32    ",71,"213 lbs",29.7,"9    ",23.4,-,-,-,-
"Marquez Williams",RB,"30    ",71,"260 lbs",36.3,"9 1/2",25.1,4.64,106.1,117.7,7.60
"Marquis Terry",RB,"29 1/2",67,"184 lbs",28.8,"8    ",22.9,4.40,88.7,69.4,7.28
"Marquis Young",RB,"31 1/2",71,"210 lbs",29.3,"8 1/2",-,4.30,98.6,110.9,7.43
"Marshaun Coprich",RB,"29 5/8",68,"207 lbs",31.5,"9    ",25.0,4.58,100.8,101.6,7.26
"Marshawn Lynch",RB,"32 1/2",71,"215 lbs",30.0,"9 5/8",33.3,4.58,101.5,110.1,7.09
"Martez Carter",RB,"31    ",67,"210 lbs",32.9,"8 5/8",26.4,4.50,101.8,96.4,7.52
"Matt Asiata",RB,"30 1/8",71,"234 lbs",32.6,"9 3/8",32.1,4.37,98.9,102.9,7.09
"Matt Breida",RB,"32 1/8",69,"195 lbs",28.8,"9 5/8",24.5,4.34,104.7,127.7,6.85
"Matt Forte",RB,"31 1/8",73,"218 lbs",28.8,"9 5/8",33.7,4.23,99.9,123.0,6.84
"Matt Jones",RB,"32    ",74,"231 lbs",29.7,"8 5/8",26.4,4.20,-,112.7,-
"Matthew Dayes",RB,"30    ",69,"205 lbs",30.3,"10 1/2",24.9,4.44,94.5,90.2,7.26
"Matthew Tucker",RB,"30 1/4",72,"227 lbs",30.8,"9 1/4",28.2,4.44,100.7,106.7,7.13
"Maurice Jones-Drew",RB,-,67,"208 lbs",32.6,-,34.4,4.41,105.6,114.2,7.08
"Melvin Gordon",RB,"32 3/8",73,"215 lbs",28.4,"9 3/4",26.3,4.07,99.0,121.0,7.04
"Michael Bush",RB,"32    ",73,"245 lbs",32.3,"9    ",35.2,-,-,-,-
"Michael Cox",RB,-,73,"214 lbs",28.2,-,30.7,4.08,101.5,132.1,6.87
"Michael Dyer",RB,"30 5/8",68,"218 lbs",33.1,"9 1/2",28.8,-,-,-,-
"Michael Ford",RB,"30 3/8",69,"216 lbs",31.9,"9    ",29.2,4.25,108.5,130.9,6.87
"Michael Hill",RB,"29 7/8",70,"210 lbs",30.1,"10    ",30.0,4.08,103.0,124.7,6.78
"Michael Smith",RB,-,69,"205 lbs",30.3,-,31.0,4.35,105.0,130.0,7.51
"Mike Boone",RB,"30 3/8",70,"206 lbs",29.6,"9 1/2",24.0,4.38,106.3,129.8,6.95
"Mike Burton",RB,"29 1/4",72,"240 lbs",32.5,"9 1/2",27.5,4.34,102.4,116.0,7.20
"Mike Davis",RB,"30 1/4",69,"217 lbs",32.0,"9 3/8",27.3,4.18,102.2,109.2,7.00
"Mike Gillislee",RB,"31 1/8",71,"219 lbs",30.5,"9 3/8",28.8,4.40,98.2,97.8,7.12
"Mike Goodson",RB,"32 1/4",72,"212 lbs",28.7,"9 7/8",32.2,4.22,99.0,112.0,6.89
"Mike James",RB,"31 5/8",70,"223 lbs",32.0,"9 3/4",28.3,4.34,105.9,129.9,6.93
"Mike Tolbert",RB,-,69,"243 lbs",35.9,-,33.7,-,-,-,-
"Mike Warren",RB,"31 1/2",71,"210 lbs",29.3,"9 5/8",23.6,4.31,96.5,100.5,6.83
"Mike Weber",RB,"29 3/4",70,"211 lbs",30.3,"9 3/8",22.0,4.32,-,117.7,7.34
"Mikel Leshoure",RB,"32 1/2",72,"233 lbs",31.6,"9 3/8",29.4,4.40,104.8,117.1,6.82
"Miles Sanders",RB,"30 5/8",71,"211 lbs",29.4,"9 1/4",22.3,4.19,101.6,120.3,6.89
"Montee Ball",RB,"32 5/8",70,"214 lbs",30.7,"9    ",28.7,4.40,98.8,96.5,6.88
"Myles Gaskin",RB,"29 1/2",69,"205 lbs",30.3,"8 3/4",22.5,4.27,101.5,119.6,7.19
"Nick Bawden",RB,"30 1/2",74,"245 lbs",31.5,"9 1/4",23.1,4.37,-,-,7.16
"Nick Brossette",RB,"30    ",71,"209 lbs",29.1,"8 5/8",23.4,4.44,95.2,94.7,7.38
"Nick Chubb",RB,"32    ",71,"227 lbs",31.7,"9 5/8",23.6,4.25,108.2,140.1,7.09
"Nick Holley",RB,"29 7/8",70,"196 lbs",28.1,"9 1/4",24.7,4.20,-,-,6.95
"Nick Wilson",RB,"29 7/8",70,"199 lbs",28.6,"9 3/4",23.3,4.26,92.7,92.9,7.22
"Nico Evans",RB,"29 7/8",69,"199 lbs",29.4,"9 1/8",23.2,4.38,99.5,112.4,7.41
"Nyheim Hines",RB,"30 3/4",68,"198 lbs",30.1,"8 7/8",22.7,4.35,99.9,104.0,7.18
"Orleans Darkwa",RB,"30 3/4",72,"215 lbs",29.2,"8 1/8",27.5,4.29,100.0,110.5,6.90
"Patrick DiMarco",RB,-,73,"234 lbs",30.9,-,30.3,4.46,94.2,91.9,7.09
"Patrick Laird",RB,"30    ",72,"205 lbs",27.8,"9 3/8",24.0,4.14,-,-,6.90
"Paul Perkins",RB,"31 5/8",70,"208 lbs",29.8,"9    ",24.7,-,-,-,-
"Peyton Barber",RB,"30 1/4",70,"228 lbs",32.7,"9 3/8",25.1,4.21,102.6,112.1,7.00
"Peyton Hillis",RB,"31 1/8",73,"250 lbs",33.0,"8    ",33.6,4.24,104.0,123.3,7.15
"Phillip Lindsay",RB,"30 7/8",67,"184 lbs",28.8,"8 5/8",25.1,4.31,98.6,104.5,7.12
"Phillip Tanner",RB,-,70,"208 lbs",29.8,-,31.0,4.40,98.6,106.2,7.18
"Pierre Thomas",RB,-,71,"215 lbs",30.0,-,34.7,4.31,99.3,110.0,7.12
"Qadree Ollison",RB,"31 1/2",73,"228 lbs",30.1,"9 5/8",22.9,4.31,96.5,105.8,7.53
"Quinton Flowers",RB,"30 7/8",70,"214 lbs",30.7,"9 3/4",24.7,4.57,-,-,6.81
"Ra'Quanne Dickens",RB,"29 7/8",69,"198 lbs",29.2,"9 1/2",-,4.84,93.4,80.0,7.47
"Raheem Mostert",RB,"30 7/8",71,"186 lbs",25.9,"9 3/4",27.3,4.30,97.9,120.8,6.90
"Rajion Neal",RB,"30 3/4",71,"220 lbs",30.7,"9 1/8",27.4,4.34,101.6,114.2,7.19
"Ralph Webb",RB,"30 1/4",69,"202 lbs",29.8,"9 1/4",24.7,4.15,102.9,131.6,7.13
"Rashaad Penny",RB,"31 1/4",71,"220 lbs",30.7,"9 1/4",23.5,-,-,-,-
"Rashad Jennings",RB,"32    ",73,"235 lbs",31.0,"10 3/8",34.4,4.20,103.7,131.8,6.86
"Rasheed Williams",RB,-,73,"215 lbs",28.4,-,-,-,-,-,-
"Ray Graham",RB,"30 3/4",69,"199 lbs",29.4,"9 5/8",28.9,4.21,94.9,98.8,7.17
"Ray Lawry",RB,"29 1/4",69,"205 lbs",30.3,"9 1/8",22.9,4.50,98.5,96.1,7.00
"Ray Rice",RB,-,68,"212 lbs",32.2,-,32.6,4.20,106.2,123.3,6.65
"Raymond Maples",RB,-,72,"218 lbs",29.6,-,-,-,-,-,-
"Reggie Bonnafon",RB,"32 3/4",73,"212 lbs",28.0,"9 3/4",23.6,4.25,98.9,117.1,6.97
"Reggie Bush",RB,"32 1/4",71,"203 lbs",28.3,"9 3/8",34.5,-,-,-,-
"Reggie Gallaspy",RB,"30 1/2",70,"230 lbs",33.0,"9 1/4",-,4.50,99.4,90.8,7.38
"Rex Burkhead",RB,"30 7/8",70,"214 lbs",30.7,"9 3/4",29.1,4.09,103.2,120.5,6.85
"Ricky Ortiz",RB,"30 1/2",72,"233 lbs",31.6,"10 1/4",25.3,4.46,99.3,108.0,7.19
"Rob Kelley",RB,"30    ",71,"226 lbs",31.5,"9 1/2",26.9,4.63,96.1,86.5,7.19
"Robert Hughes",RB,"32    ",71,"235 lbs",32.8,"10 1/4",30.1,4.66,99.4,101.7,7.26
"Robert Martin",RB,"30 1/4",71,"210 lbs",29.3,"8 1/4",23.9,4.57,96.0,96.0,7.02
"Robert Turbin",RB,"31    ",70,"222 lbs",31.9,"9 3/4",29.7,4.31,106.6,133.2,7.16
"Roc Thomas",RB,"31 5/8",70,"198 lbs",28.4,"9 1/4",23.9,4.45,97.2,100.3,7.07
"Rod Smith",RB,-,75,"226 lbs",28.2,-,27.6,-,-,-,-
"Rodney Anderson",RB,"30 3/4",72,"224 lbs",30.4,"9 3/4",22.9,-,-,-,-
"Ronald Jones",RB,"31    ",71,"205 lbs",28.6,"8 3/4",22.0,-,-,-,-
"Ronnie Brown",RB,"31 5/8",72,"230 lbs",31.2,"9 5/8",37.7,4.14,102.8,121.9,7.12
"Ronnie Hillman",RB,"30    ",69,"200 lbs",29.5,"8 1/2",27.9,-,101.7,-,-
"Ronnie Wingo",RB,"32 3/8",75,"231 lbs",28.9,"9 1/2",28.5,4.53,96.1,104.7,7.47
"Roosevelt Nix",RB,"30    ",71,"248 lbs",34.6,"9 3/4",27.4,4.39,101.6,101.2,6.97
"Ross Scheuerman",RB,"30    ",72,"204 lbs",27.7,"8 3/4",26.4,4.11,94.5,105.2,7.08
"Roy Finch",RB,"27 7/8",66,"177 lbs",28.6,"8 1/4",27.9,4.25,97.6,111.4,7.07
"Roy Helu",RB,"31 1/4",71,"219 lbs",30.5,"10 1/4",30.7,4.01,102.5,118.2,6.67
"Royce Freeman",RB,"32    ",72,"229 lbs",31.1,"9 1/2",23.5,4.16,101.8,114.5,6.90
"Rushel Shell",RB,"30    ",70,"227 lbs",32.6,"9 5/8",25.9,4.20,-,110.6,7.09
"Russell Hansbrough",RB,"28 7/8",68,"192 lbs",29.2,"9    ",25.7,4.56,93.6,87.3,7.43
"Ryan Fulse",RB,"31 1/4",70,"200 lbs",28.7,"9 1/4",-,-,-,-,-
"Ryan Green",RB,"31 1/2",70,"192 lbs",27.5,"8 3/4",25.3,4.11,-,-,6.90
"Ryan Hewitt",RB,"32    ",76,"255 lbs",31.0,"9 1/4",28.6,4.35,-,-,7.04
"Ryan Mathews",RB,"31    ",72,"220 lbs",29.8,"9 1/4",31.8,4.33,101.6,117.2,7.00
"Ryan Williams",RB,"30 5/8",69,"207 lbs",30.6,"9    ",29.3,4.18,103.3,118.2,6.96
"Ryquell Armstead",RB,"30 5/8",71,"220 lbs",30.7,"9 1/8",-,4.29,100.9,116.8,7.02
"Sam McPherson",RB,"28    ",70,"209 lbs",30.0,"8 5/8",22.5,4.35,96.5,102.2,7.18
"Sam Rogers",RB,"30 1/4",70,"235 lbs",33.7,"9 3/4",24.3,4.34,100.0,97.6,7.27
"Samaje Perine",RB,"30 3/8",71,"233 lbs",32.5,"10    ",23.9,4.37,104.5,127.5,7.26
"Saquon Barkley",RB,"31 3/8",72,"233 lbs",31.6,"9 1/2",22.5,4.24,-,149.8,-
"Senorise Perry",RB,"31 1/2",72,"187 lbs",25.4,"9 1/2",27.9,4.43,94.5,109.5,6.89
"Shane Vereen",RB,"30 1/4",70,"203 lbs",29.1,"9 1/4",30.3,4.28,101.8,135.2,6.95
"Shaun Draughn",RB,"31    ",72,"205 lbs",27.8,"10    ",31.7,4.20,94.9,109.3,7.15
"Shaun Wilson",RB,"30 1/2",68,"185 lbs",28.1,"8 3/4",23.7,4.15,98.3,113.0,6.90
"Shock Linwood",RB,"29 1/4",69,"201 lbs",29.7,"9 1/4",25.8,4.40,92.6,82.0,7.42
"Shonn Greene",RB,"31 3/4",71,"226 lbs",31.5,"8 1/2",34.0,4.40,102.4,109.0,7.10
"Silas Redd",RB,"30 1/4",70,"212 lbs",30.4,"9    ",27.5,-,100.2,-,-
"Sony Michel",RB,"31 1/4",71,"214 lbs",29.8,"9 1/8",24.5,4.21,-,-,-
"Spencer Ware",RB,"30 1/8",70,"229 lbs",32.9,"9 5/8",27.7,4.27,103.4,107.6,7.07
"Squally Canada",RB,"31    ",70,"211 lbs",30.3,"9 3/8",23.3,4.35,96.4,98.3,7.09
"Stepfan Taylor",RB,"30 1/8",69,"214 lbs",31.6,"8 5/8",28.2,4.50,96.8,88.9,7.13
"Stephen Houston",RB,"30 3/4",71,"225 lbs",31.4,"9    ",27.8,4.23,107.0,129.7,7.07
"Stevan Ridley",RB,"31 3/4",71,"225 lbs",31.4,"9 1/4",30.5,4.21,102.3,111.6,6.78
"Steven Jackson",RB,-,73,"236 lbs",31.1,-,36.1,4.09,103.2,122.6,7.03
"Steven Miller",RB,-,67,"172 lbs",26.9,-,28.4,4.19,98.1,111.4,6.94
"Steven Peoples",RB,"30 1/4",68,"221 lbs",33.6,"8 1/4",24.1,4.51,102.7,105.2,7.22
"Storm Johnson",RB,"32    ",72,"209 lbs",28.3,"9 1/2",28.1,-,96.5,-,-
"Synjyn Days",RB,"31 3/8",73,"232 lbs",30.6,"9 3/8",27.8,4.31,98.8,108.8,6.99
"T.J. Logan",RB,"32    ",69,"196 lbs",28.9,"9    ",24.9,4.29,100.5,112.3,6.59
"T.J. Yeldon",RB,"31 5/8",73,"226 lbs",29.8,"9    ",25.9,4.22,100.1,120.3,7.19
"Taiwan Deal",RB,"31    ",72,"226 lbs",30.6,"9 3/8",-,-,-,-,-
"Taiwan Jones",RB,"29 1/2",72,"195 lbs",26.4,"8 3/4",31.1,4.08,97.9,120.1,6.90
"Taquan Mizzell",RB,"31    ",69,"197 lbs",29.1,"9    ",25.8,4.25,96.6,101.3,7.00
"Tarean Folston",RB,"30 3/8",69,"199 lbs",29.4,"9 1/2",24.6,4.24,96.4,102.1,6.93
"Tarik Cohen",RB,"29 3/4",66,"179 lbs",28.9,"10 1/8",24.0,-,-,-,-
"Tauren Poole",RB,"29 5/8",70,"209 lbs",30.0,"8    ",29.8,4.19,100.7,122.7,7.36
"Tavon Austin",RB,"30    ",68,"174 lbs",26.5,"9 1/8",28.4,-,-,-,-
"Teriyon Gipson",RB,"29 3/8",68,"187 lbs",28.4,"8 3/4",24.6,4.28,96.3,102.5,7.45
"Terrance Cobb",RB,-,70,"220 lbs",31.6,-,28.9,-,-,-,-
"Terrance West",RB,"31    ",69,"225 lbs",33.2,"9 1/8",28.5,4.44,103.5,103.2,7.28
"Terrell Watson",RB,"31 1/4",73,"242 lbs",31.9,"9 1/8",26.0,4.49,103.3,116.0,7.48
"Terrence Magee",RB,"30    ",68,"213 lbs",32.4,"9    ",26.4,4.37,102.8,112.6,7.52
"Terris Jones-Grigsby",RB,"27 3/4",67,"195 lbs",30.5,"8 1/2",26.7,4.46,100.1,103.5,7.04
"Terron Ward",RB,"28    ",67,"201 lbs",31.5,"8 7/8",27.5,4.29,98.7,102.9,7.20
"Terry Swanson",RB,"29 5/8",69,"208 lbs",30.7,"8 5/8",23.0,4.59,100.6,107.0,7.16
"Tevin Coleman",RB,"32    ",71,"206 lbs",28.7,"8 5/8",26.4,-,-,-,-
"Theo Riddick",RB,"30    ",70,"201 lbs",28.8,"8 3/4",28.3,4.32,94.5,91.8,6.99
