candidate_method,baseline_method,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
ppg_w225,production,recent_2020_2025,plus3_brier_row,1080,6,0.0008058721821789653,-0.00015593731795479274,0.0019362850275748851,0.041
ppg_w225,production,recent_2020_2025,plus5_brier_row,1080,6,0.00040112115027606264,-0.00015305369507270547,0.000910009003371528,0.0775
ppg_w225,production,recent_2020_2025,impact_brier_row,1080,6,0.0005691400972776308,0.00015450228546231928,0.0009729710538492076,0.004
ppg_w225,production,recent_2020_2025,zero_brier_row,1080,6,0.00011670787926401967,-0.00011037621038941647,0.0003743879841341719,0.1935
ppg_w225,production,recent_2020_2025,extended_absence_brier_row,1080,6,0.0004733260977548606,-6.989969929227729e-05,0.0010018845464047463,0.044
ppg_w225,production,temporal_2023_2025,ppg_crps,540,3,0.00645671218516315,-0.0008702037454646125,0.014196341205765692,0.035
ppg_w225,production,temporal_2023_2025,contribution_crps,540,3,0.036896168568077085,-0.00872608170999238,0.0807683162837854,0.0305
ppg_w225,production,temporal_2023_2025,played_crps,540,3,0.00878069667158155,-0.001110178118215958,0.015947759741635176,0.035
ppg_w225,production,temporal_2023_2025,plus3_brier_row,540,3,0.0010294655216730774,-0.0009318491488641753,0.0033277112364614395,0.1495
ppg_w225,production,temporal_2023_2025,plus5_brier_row,540,3,0.0005074923716521947,9.09591391972235e-05,0.0012696412990409894,0.0
ppg_w225,production,temporal_2023_2025,impact_brier_row,540,3,0.0009729134960416159,0.0005275121832452167,0.001229672102387668,0.0
ppg_w225,production,temporal_2023_2025,zero_brier_row,540,3,0.00021623005877069635,-0.00021787062513281834,0.000670160136697372,0.148
ppg_w225,production,temporal_2023_2025,extended_absence_brier_row,540,3,0.0007551990559539217,-0.0002897238226019759,0.0013540064468534414,0.035
ppg_w300,production,all_2017_2025,ppg_crps,1620,9,0.004993970946445742,0.0021236336609221627,0.008916140421351679,0.0
ppg_w300,production,all_2017_2025,contribution_crps,1620,9,0.03422811090616576,0.001508218369854931,0.06597924750709529,0.019
ppg_w300,production,all_2017_2025,played_crps,1620,9,0.007710726656710379,0.0015883133166800381,0.014453698658467412,0.0065
ppg_w300,production,all_2017_2025,plus3_brier_row,1620,9,0.0013312805717102141,0.0003122746680669921,0.0022242475519032093,0.0035
ppg_w300,production,all_2017_2025,plus5_brier_row,1620,9,0.00013924837383383026,-0.000488031201863848,0.0008013451457135055,0.3435
ppg_w300,production,all_2017_2025,impact_brier_row,1620,9,0.0008334011558985516,0.0003533658819166629,0.0013683109537385122,0.0
ppg_w300,production,all_2017_2025,zero_brier_row,1620,9,-4.994791959937233e-05,-0.0003778459007713064,0.00034272515770784754,0.612
ppg_w300,production,all_2017_2025,extended_absence_brier_row,1620,9,0.000586723697144851,-8.063190742864187e-06,0.0011675367795605308,0.026
ppg_w300,production,development_2017_2022,ppg_crps,1080,6,0.003272233107252472,0.0016278820344703794,0.005200591664460557,0.0
ppg_w300,production,development_2017_2022,contribution_crps,1080,6,0.021670657749069535,-0.018240968503327317,0.06334118490205538,0.1565
ppg_w300,production,development_2017_2022,played_crps,1080,6,0.005449726291765195,0.0005859507808902277,0.009274539602811462,0.01
ppg_w300,production,development_2017_2022,plus3_brier_row,1080,6,0.0013213932030936707,0.00018587828244797335,0.0023482451324400052,0.0135
ppg_w300,production,development_2017_2022,plus5_brier_row,1080,6,-6.0132578365588176e-05,-0.0009493059753398102,0.0008705273705646733,0.5205
ppg_w300,production,development_2017_2022,impact_brier_row,1080,6,0.0004443252345507952,5.0866975556593946e-05,0.0008495618424551357,0.0135
ppg_w300,production,development_2017_2022,zero_brier_row,1080,6,-0.00014385085498040104,-0.0004292641310948761,0.00014040635771077312,0.8195
ppg_w300,production,development_2017_2022,extended_absence_brier_row,1080,6,0.0004751696241608748,-6.803171545570911e-05,0.0009077222365417041,0.045
ppg_w300,production,recent_2020_2025,ppg_crps,1080,6,0.006800778726894672,0.002770639705285536,0.011672334165809522,0.0
ppg_w300,production,recent_2020_2025,contribution_crps,1080,6,0.06248384645086912,0.03676329811980025,0.08566514428549094,0.0
ppg_w300,production,recent_2020_2025,played_crps,1080,6,0.008444798961006928,-0.0017773643157620292,0.01794741217651294,0.0515
ppg_w300,production,recent_2020_2025,plus3_brier_row,1080,6,0.0014665118665128994,0.00010750516245005515,0.0025847148709010103,0.0175
ppg_w300,production,recent_2020_2025,plus5_brier_row,1080,6,0.00046778760767666615,-0.0004060182578727373,0.001187234247040625,0.1355
ppg_w300,production,recent_2020_2025,impact_brier_row,1080,6,0.0012178897240810724,0.0007252230968921155,0.001756648791922697,0.0
ppg_w300,production,recent_2020_2025,zero_brier_row,1080,6,0.00014636401429123447,-0.0002372188529416823,0.0006043505975621042,0.283
ppg_w300,production,recent_2020_2025,extended_absence_brier_row,1080,6,0.0005535006507618013,-0.00034417761236730084,0.0013514911514399793,0.1075
