league,method,match_rank,player,season_template,template_distance,template_sample_prob,historical_pred_fp_per_game,played_games
dk,full_w025_wr,11,Stefon Diggs,2017,0.6994648044995337,0.0186356385373053,13.40803402562628,13.0
dk,full_w025_wr,12,Dez Bryant,2012,0.7159011940045747,0.013380706888004364,15.225,15.0
dk,full_w050_wr,1,Keenan Allen,2015,0.3623518372371648,0.0421160350139949,13.1525,8.0
dk,full_w050_wr,2,Desean Jackson,2011,0.6962475858299473,0.019459985061063823,12.725,14.0
dk,full_w050_wr,3,Juju Smith Schuster,2020,0.7065557601357003,0.03186721824108782,13.802713100630097,15.0
dk,full_w050_wr,4,Zay Flowers,2025,0.7490744489623962,0.03814194460448752,12.626147990477588,15.0
dk,full_w050_wr,5,Torrey Smith,2013,0.7781026379532394,0.01771670229733961,13.525,15.0
dk,full_w050_wr,6,Brandin Cooks,2016,0.7840478478875519,0.020755144297326545,14.416875,14.0
dk,full_w050_wr,7,Terry Mclaurin,2022,0.7889657395211428,0.02899089823434303,13.162693298727476,15.0
dk,full_w050_wr,8,Ty Hilton,2014,0.831539572482226,0.01642084677384375,13.54375,14.0
dk,full_w050_wr,9,Eric Decker,2013,0.8469911910636125,0.0149186286779215,13.68125,15.0
dk,full_w050_wr,10,Amari Cooper,2018,0.8714265819514173,0.01875614205505215,13.490985000256178,14.0
dk,full_w050_wr,11,Dez Bryant,2012,0.8832400163652621,0.012886816147527931,15.225,15.0
dk,full_w050_wr,12,Jordan Matthews,2016,0.8886503965117512,0.016024814980138778,11.6875,14.0
