year,policy,player,bench_rosters_candidate,predicted_best_rosters_candidate,realized_hit_rosters_candidate,bench_rosters_control,predicted_best_rosters_control,realized_hit_rosters_control,bench_rosters_effect,predicted_best_rosters_effect,realized_hit_rosters_effect
2022,best1_lex0,Russell Gage,6.0,0.0,0.0,14.0,0.0,0.0,-8,0,0
2022,best1_lex0,Mike Gesicki,6.0,0.0,0.0,16.0,0.0,0.0,-10,0,0
2022,best1_lex0,Pat Freiermuth,8.0,0.0,0.0,18.0,0.0,0.0,-10,0,0
2022,best1_lex0,Khalil Herbert,8.0,0.0,0.0,20.0,0.0,0.0,-12,0,0
2022,best1_lex0,Cole Kmet,9.0,0.0,9.0,22.0,0.0,22.0,-13,0,-13
2022,best1_lex0,Tony Pollard,15.0,0.0,15.0,28.0,2.0,28.0,-13,-2,-13
2022,best1_lex0,Chase Edmonds,9.0,0.0,0.0,23.0,0.0,0.0,-14,0,0
2022,best1_lex0,Kenny Golladay,7.0,0.0,0.0,21.0,0.0,0.0,-14,0,0
2022,best1_lex0,Noah Fant,8.0,0.0,0.0,22.0,0.0,0.0,-14,0,0
2022,best1_lex0,Darrel Williams,11.0,0.0,0.0,26.0,0.0,0.0,-15,0,0
2022,best1_lex0,Alexander Mattison,12.0,0.0,0.0,28.0,0.0,0.0,-16,0,0
2022,best1_lex0,Zach Ertz,9.0,0.0,0.0,26.0,0.0,0.0,-17,0,0
2022,best1_lex0,Deandre Hopkins,19.0,0.0,19.0,39.0,1.0,39.0,-20,-1,-20
2022,best1_lex0,Abram Smith,4.0,0.0,0.0,27.0,0.0,0.0,-23,0,0
2022,best1_lex2,Dameon Pierce,71.0,71.0,0.0,14.0,14.0,0.0,57,57,0
2022,best1_lex2,Michael Carter,119.0,44.0,0.0,69.0,51.0,0.0,50,-7,0
2022,best1_lex2,Rachaad White,81.0,2.0,81.0,31.0,5.0,31.0,50,-3,50
2022,best1_lex2,Kenneth Walker,153.0,31.0,153.0,108.0,63.0,108.0,45,-32,45
2022,best1_lex2,Elijah Moore,54.0,43.0,0.0,22.0,19.0,0.0,32,24,0
2022,best1_lex2,Brian Robinson,32.0,0.0,32.0,1.0,0.0,1.0,31,0,31
2022,best1_lex2,Rhamondre Stevenson,55.0,11.0,49.0,32.0,10.0,27.0,23,1,22
2022,best1_lex2,Brandon Aiyuk,40.0,13.0,40.0,22.0,12.0,22.0,18,1,18
2022,best1_lex2,George Pickens,15.0,1.0,15.0,,,,15,1,15
2022,best1_lex2,Devonta Smith,31.0,10.0,31.0,23.0,13.0,23.0,8,-3,8
2022,best1_lex2,Skyy Moore,6.0,0.0,0.0,,,,6,0,0
2022,best1_lex2,Aj Dillon,26.0,1.0,0.0,21.0,6.0,0.0,5,-5,0
2022,best1_lex2,Chris Olave,7.0,0.0,7.0,4.0,1.0,4.0,3,-1,3
2022,best1_lex2,Rashaad Penny,37.0,0.0,0.0,34.0,3.0,0.0,3,-3,0
2022,best1_lex2,Clyde Edwards Helaire,2.0,2.0,0.0,,,,2,2,0
2022,best1_lex2,Cordarrelle Patterson,5.0,4.0,0.0,3.0,3.0,0.0,2,1,0
2022,best1_lex2,Kenneth Gainwell,48.0,1.0,0.0,46.0,0.0,0.0,2,1,0
2022,best1_lex2,Tyler Allgeier,2.0,0.0,0.0,,,,2,0,0
2022,best1_lex2,Drake London,13.0,5.0,0.0,12.0,5.0,0.0,1,0,0
2022,best1_lex2,Gabriel Davis,2.0,0.0,0.0,1.0,1.0,0.0,1,-1,0
2022,best1_lex2,Jameson Williams,1.0,0.0,0.0,,,,1,0,0
2022,best1_lex2,Mecole Hardman,7.0,0.0,0.0,6.0,2.0,0.0,1,-2,0
2022,best1_lex2,Zamir White,1.0,0.0,0.0,,,,1,0,0
2022,best1_lex2,Albert Okwuegbunam,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2022,best1_lex2,Allen Lazard,6.0,0.0,0.0,6.0,0.0,0.0,0,0,0
2022,best1_lex2,Benny Snell,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2022,best1_lex2,Chris Evans,3.0,0.0,0.0,3.0,0.0,0.0,0,0,0
2022,best1_lex2,Dontrell Hilliard,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2022,best1_lex2,Garrett Wilson,18.0,0.0,18.0,18.0,2.0,18.0,0,-2,0
2022,best1_lex2,George Kittle,1.0,0.0,1.0,1.0,0.0,1.0,0,0,0
2022,best1_lex2,Gerald Everett,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2022,best1_lex2,Jamison Crowder,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2022,best1_lex2,Kenyan Drake,3.0,0.0,0.0,3.0,0.0,0.0,0,0,0
2022,best1_lex2,Kj Osborn,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0
2022,best1_lex2,Treylon Burks,34.0,8.0,0.0,34.0,16.0,0.0,0,-8,0
2022,best1_lex2,Tyler Higbee,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2022,best1_lex2,Amari Cooper,2.0,0.0,2.0,3.0,0.0,3.0,-1,0,-1
2022,best1_lex2,Chase Claypool,14.0,0.0,0.0,15.0,4.0,0.0,-1,-4,0
2022,best1_lex2,Chuba Hubbard,2.0,0.0,0.0,3.0,0.0,0.0,-1,0,0
2022,best1_lex2,Darren Waller,2.0,0.0,0.0,3.0,0.0,0.0,-1,0,0
2022,best1_lex2,James Cook,17.0,0.0,17.0,18.0,1.0,18.0,-1,-1,-1
2022,best1_lex2,Joshua Palmer,1.0,0.0,0.0,2.0,0.0,0.0,-1,0,0
2022,best1_lex2,Marquez Valdes Scantling,3.0,0.0,0.0,4.0,0.0,0.0,-1,0,0
2022,best1_lex2,Myles Gaskin,5.0,0.0,0.0,6.0,0.0,0.0,-1,0,0
2022,best1_lex2,Rashod Bateman,7.0,3.0,0.0,8.0,4.0,0.0,-1,-1,0
2022,best1_lex2,Ronald Jones,3.0,0.0,0.0,4.0,0.0,0.0,-1,0,0
2022,best1_lex2,Calvin Ridley,7.0,0.0,7.0,9.0,1.0,9.0,-2,-1,-2
2022,best1_lex2,Jakobi Meyers,3.0,0.0,3.0,5.0,0.0,5.0,-2,0,-2
2022,best1_lex2,Kadarius Toney,7.0,0.0,0.0,9.0,2.0,0.0,-2,-2,0
2022,best1_lex2,Nyheim Hines,4.0,0.0,0.0,6.0,0.0,0.0,-2,0,0
2022,best1_lex2,Tim Patrick,4.0,0.0,0.0,6.0,0.0,0.0,-2,0,0
2022,best1_lex2,Tyler Boyd,2.0,0.0,0.0,4.0,0.0,0.0,-2,0,0
2022,best1_lex2,Tyler Lockett,1.0,0.0,0.0,3.0,0.0,0.0,-2,0,0
2022,best1_lex2,Christian Kirk,10.0,0.0,9.0,13.0,1.0,12.0,-3,-1,-3
2022,best1_lex2,Devin Singletary,3.0,0.0,0.0,6.0,0.0,0.0,-3,0,0
2022,best1_lex2,Jarvis Landry,1.0,0.0,0.0,4.0,0.0,0.0,-3,0,0
2022,best1_lex2,Tj Hockenson,1.0,0.0,1.0,4.0,0.0,4.0,-3,0,-3
2022,best1_lex2,Adam Thielen,2.0,0.0,2.0,6.0,1.0,6.0,-4,-1,-4
2022,best1_lex2,Hunter Henry,2.0,0.0,0.0,6.0,0.0,0.0,-4,0,0
2022,best1_lex2,James Robinson,41.0,0.0,0.0,45.0,2.0,0.0,-4,-2,0
2022,best1_lex2,Melvin Gordon,20.0,0.0,0.0,24.0,2.0,0.0,-4,-2,0
2022,best1_lex2,Damien Harris,7.0,0.0,0.0,12.0,0.0,0.0,-5,0,0
2022,best1_lex2,Darrell Henderson,26.0,0.0,17.0,31.0,0.0,20.0,-5,0,-3
2022,best1_lex2,Hunter Renfrow,6.0,0.0,0.0,11.0,2.0,0.0,-5,-2,0
2022,best1_lex2,Robert Woods,10.0,0.0,0.0,15.0,1.0,0.0,-5,-1,0
2022,best1_lex2,Trey Sermon,4.0,0.0,0.0,9.0,0.0,0.0,-5,0,0
2022,best1_lex2,Dawson Knox,2.0,0.0,0.0,8.0,0.0,0.0,-6,0,0
2022,best1_lex2,Mark Ingram,4.0,0.0,0.0,10.0,0.0,0.0,-6,0,0
2022,best1_lex2,Marvin Jones,2.0,0.0,0.0,8.0,0.0,0.0,-6,0,0
2022,best1_lex2,Michael Gallup,6.0,0.0,0.0,12.0,0.0,0.0,-6,0,0
2022,best1_lex2,Corey Davis,3.0,0.0,0.0,10.0,0.0,0.0,-7,0,0
2022,best1_lex2,Dallas Goedert,3.0,0.0,0.0,10.0,0.0,0.0,-7,0,0
2022,best1_lex2,Rondale Moore,2.0,0.0,0.0,9.0,0.0,0.0,-7,0,0
2022,best1_lex2,Dj Chark,1.0,0.0,0.0,9.0,0.0,0.0,-8,0,0
2022,best1_lex2,Russell Gage,6.0,0.0,0.0,14.0,0.0,0.0,-8,0,0
2022,best1_lex2,Khalil Herbert,11.0,0.0,0.0,20.0,0.0,0.0,-9,0,0
2022,best1_lex2,Pat Freiermuth,9.0,0.0,0.0,18.0,0.0,0.0,-9,0,0
2022,best1_lex2,Mike Gesicki,6.0,0.0,0.0,16.0,0.0,0.0,-10,0,0
2022,best1_lex2,Cole Kmet,10.0,0.0,10.0,22.0,0.0,22.0,-12,0,-12
2022,best1_lex2,Darrel Williams,12.0,0.0,0.0,26.0,0.0,0.0,-14,0,0
2022,best1_lex2,Tony Pollard,14.0,0.0,14.0,28.0,2.0,28.0,-14,-2,-14
2022,best1_lex2,Chase Edmonds,8.0,0.0,0.0,23.0,0.0,0.0,-15,0,0
2022,best1_lex2,Noah Fant,7.0,0.0,0.0,22.0,0.0,0.0,-15,0,0
2022,best1_lex2,Alexander Mattison,12.0,0.0,0.0,28.0,0.0,0.0,-16,0,0
2022,best1_lex2,Kenny Golladay,5.0,0.0,0.0,21.0,0.0,0.0,-16,0,0
2022,best1_lex2,Zach Ertz,10.0,0.0,0.0,26.0,0.0,0.0,-16,0,0
2022,best1_lex2,Abram Smith,4.0,0.0,0.0,27.0,0.0,0.0,-23,0,0
2022,best1_lex2,Deandre Hopkins,15.0,0.0,15.0,39.0,1.0,39.0,-24,-1,-24
2022,not_selected_by_candidate,Austin Hooper,,,,1.0,0.0,0.0,-1,0,0
2022,not_selected_by_candidate,Dalton Schultz,,,,1.0,0.0,0.0,-1,0,0
2022,not_selected_by_candidate,David Njoku,,,,1.0,0.0,1.0,-1,0,-1
2022,not_selected_by_candidate,Gus Edwards,,,,1.0,0.0,1.0,-1,0,-1
2022,not_selected_by_candidate,Marquez Callaway,,,,1.0,0.0,0.0,-1,0,0
2022,not_selected_by_candidate,Rex Burkhead,,,,1.0,0.0,0.0,-1,0,0
2022,not_selected_by_candidate,Sony Michel,,,,1.0,0.0,0.0,-1,0,0
2022,not_selected_by_candidate,Van Jefferson,,,,1.0,0.0,0.0,-1,0,0
2022,not_selected_by_candidate,Juju Smith Schuster,,,,2.0,0.0,0.0,-2,0,0
2022,not_selected_by_candidate,Devante Parker,,,,3.0,0.0,0.0,-3,0,0
2023,best1_lex0,Tyjae Spears,122.0,8.0,0.0,,,,122,8,0
2023,best1_lex0,Kendre Miller,141.0,39.0,0.0,42.0,25.0,0.0,99,14,0
2023,best1_lex0,Devon Achane,129.0,126.0,129.0,81.0,81.0,81.0,48,45,48
2023,best1_lex0,Tyler Allgeier,26.0,0.0,0.0,,,,26,0,0
2023,best1_lex0,Zach Charbonnet,61.0,27.0,60.0,35.0,27.0,34.0,26,0,26
2023,best1_lex0,Brian Robinson,21.0,11.0,21.0,5.0,3.0,5.0,16,8,16
2023,best1_lex0,Rashaad Penny,37.0,3.0,0.0,22.0,7.0,0.0,15,-4,0
2023,best1_lex0,Clyde Edwards Helaire,13.0,0.0,0.0,1.0,0.0,0.0,12,0,0
2023,best1_lex0,Gabriel Davis,24.0,1.0,0.0,12.0,5.0,0.0,12,-4,0
2023,best1_lex0,Jordan Addison,15.0,6.0,15.0,5.0,3.0,5.0,10,3,10
2023,best1_lex0,Kenneth Gainwell,19.0,1.0,0.0,9.0,0.0,0.0,10,1,0
2023,best1_lex0,Kenyan Drake,20.0,0.0,0.0,12.0,1.0,0.0,8,-1,0
2023,best1_lex0,Tank Bigsby,7.0,1.0,0.0,,,,7,1,0
2023,best1_lex0,Kyren Williams,5.0,0.0,5.0,,,,5,0,5
2023,best1_lex0,Zay Flowers,73.0,22.0,73.0,68.0,42.0,68.0,5,-20,5
2023,best1_lex0,Dandre Swift,5.0,0.0,5.0,1.0,1.0,1.0,4,-1,4
2023,best1_lex0,Jayden Reed,4.0,0.0,4.0,,,,4,0,4
2023,best1_lex0,Deon Jackson,5.0,0.0,0.0,2.0,0.0,0.0,3,0,0
2023,best1_lex0,Michael Carter,5.0,0.0,0.0,2.0,0.0,0.0,3,0,0
2023,best1_lex0,Treylon Burks,18.0,1.0,0.0,15.0,3.0,0.0,3,-2,0
2023,best1_lex0,Malik Davis,2.0,0.0,0.0,,,,2,0,0
2023,best1_lex0,Zach Evans,1.0,0.0,0.0,,,,1,0,0
2023,best1_lex0,Alexander Mattison,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2023,best1_lex0,Chuba Hubbard,2.0,0.0,2.0,2.0,0.0,2.0,0,0,0
2023,best1_lex0,Cordarrelle Patterson,3.0,0.0,0.0,3.0,0.0,0.0,0,0,0
2023,best1_lex0,Curtis Samuel,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2023,best1_lex0,Darius Slayton,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2023,best1_lex0,Isiah Pacheco,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2023,best1_lex0,Jahan Dotson,5.0,0.0,0.0,5.0,2.0,0.0,0,-2,0
2023,best1_lex0,Jonathan Mingo,2.0,0.0,0.0,2.0,1.0,0.0,0,-1,0
2023,best1_lex0,Joshua Palmer,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0
2023,best1_lex0,Marvin Mims,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2023,best1_lex0,Mike Evans,1.0,0.0,1.0,1.0,0.0,1.0,0,0,0
2023,best1_lex0,Mike Williams,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0
2023,best1_lex0,Mohamed Ibrahim,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2023,best1_lex0,Rashod Bateman,16.0,0.0,16.0,16.0,3.0,16.0,0,-3,0
2023,best1_lex0,Richie James,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2023,best1_lex0,Robert Woods,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2023,best1_lex0,Terry Mclaurin,5.0,0.0,5.0,5.0,0.0,5.0,0,0,0
2023,best1_lex0,Brandon Aiyuk,1.0,0.0,0.0,2.0,0.0,0.0,-1,0,0
2023,best1_lex0,Donovan Peoples Jones,1.0,0.0,0.0,2.0,0.0,0.0,-1,0,0
2023,best1_lex0,Jerry Jeudy,4.0,0.0,4.0,5.0,1.0,5.0,-1,-1,-1
2023,best1_lex0,Kadarius Toney,19.0,0.0,0.0,20.0,3.0,0.0,-1,-3,0
2023,best1_lex0,Miles Sanders,1.0,0.0,0.0,2.0,0.0,0.0,-1,0,0
2023,best1_lex0,Rashid Shaheed,2.0,0.0,2.0,3.0,0.0,3.0,-1,0,-1
2023,best1_lex0,Tyler Lockett,4.0,0.0,0.0,5.0,1.0,0.0,-1,-1,0
2023,best1_lex0,Courtland Sutton,3.0,0.0,3.0,5.0,1.0,5.0,-2,-1,-2
2023,best1_lex0,Dj Chark,3.0,0.0,0.0,5.0,0.0,0.0,-2,0,0
2023,best1_lex0,Elijah Higgins,1.0,0.0,0.0,3.0,0.0,0.0,-2,0,0
2023,best1_lex0,Jalin Hyatt,6.0,0.0,0.0,8.0,0.0,0.0,-2,0,0
2023,best1_lex0,Jaxon Smith Njigba,3.0,0.0,3.0,5.0,0.0,5.0,-2,0,-2
2023,best1_lex0,Juju Smith Schuster,4.0,0.0,0.0,6.0,0.0,0.0,-2,0,0
2023,best1_lex0,Kj Osborn,1.0,0.0,0.0,3.0,0.0,0.0,-2,0,0
2023,best1_lex0,Michael Thomas,8.0,0.0,0.0,10.0,0.0,0.0,-2,0,0
2023,best1_lex0,Raheem Mostert,12.0,0.0,0.0,14.0,2.0,0.0,-2,-2,0
2023,best1_lex0,Samaje Perine,5.0,0.0,0.0,7.0,1.0,0.0,-2,-1,0
2023,best1_lex0,Sean Tucker,4.0,0.0,0.0,6.0,0.0,0.0,-2,0,0
2023,best1_lex0,Alec Pierce,5.0,0.0,0.0,8.0,0.0,0.0,-3,0,0
2023,best1_lex0,Dalton Schultz,1.0,0.0,0.0,4.0,0.0,0.0,-3,0,0
2023,best1_lex0,David Montgomery,6.0,0.0,6.0,9.0,0.0,9.0,-3,0,-3
2023,best1_lex0,Gus Edwards,4.0,0.0,0.0,7.0,0.0,0.0,-3,0,0
2023,best1_lex0,Jameson Williams,25.0,0.0,25.0,28.0,1.0,28.0,-3,-1,-3
2023,best1_lex0,Jeff Wilson,2.0,0.0,0.0,5.0,0.0,0.0,-3,0,0
2023,best1_lex0,Nico Collins,4.0,0.0,4.0,7.0,1.0,7.0,-3,-1,-3
2023,best1_lex0,Tj Hockenson,1.0,0.0,0.0,4.0,0.0,0.0,-3,0,0
2023,best1_lex0,Antonio Gibson,40.0,1.0,0.0,44.0,10.0,0.0,-4,-9,0
2023,best1_lex0,Dallas Goedert,2.0,0.0,0.0,6.0,0.0,0.0,-4,0,0
2023,best1_lex0,Michael Pittman,14.0,0.0,0.0,18.0,1.0,0.0,-4,-1,0
2023,best1_lex0,Tyler Higbee,2.0,0.0,0.0,6.0,0.0,0.0,-4,0,0
2023,best1_lex0,Allen Lazard,2.0,0.0,2.0,7.0,0.0,7.0,-5,0,-5
2023,best1_lex0,Chigoziem Okonkwo,5.0,0.0,0.0,10.0,0.0,0.0,-5,0,0
2023,best1_lex0,George Pickens,9.0,0.0,9.0,14.0,0.0,14.0,-5,0,-5
2023,best1_lex0,Jamaal Williams,6.0,0.0,0.0,11.0,1.0,0.0,-5,-1,0
2023,best1_lex0,Jaylen Warren,13.0,0.0,0.0,18.0,1.0,0.0,-5,-1,0
2023,best1_lex0,Marquez Valdes Scantling,2.0,0.0,0.0,7.0,0.0,0.0,-5,0,0
2023,best1_lex0,Dj Moore,3.0,0.0,3.0,9.0,0.0,9.0,-6,0,-6
2023,best1_lex0,Ezekiel Elliott,8.0,0.0,0.0,14.0,0.0,0.0,-6,0,0
2023,best1_lex0,Romeo Doubs,8.0,0.0,0.0,14.0,0.0,0.0,-6,0,0
2023,best1_lex0,Rondale Moore,8.0,0.0,0.0,14.0,0.0,0.0,-6,0,0
2023,best1_lex0,Juwan Johnson,5.0,0.0,0.0,12.0,0.0,0.0,-7,0,0
2023,best1_lex0,Khalil Herbert,4.0,0.0,0.0,11.0,1.0,0.0,-7,-1,0
2023,best1_lex0,Marquise Brown,10.0,2.0,0.0,17.0,6.0,0.0,-7,-4,0
2023,best1_lex0,Jakobi Meyers,5.0,0.0,5.0,13.0,0.0,13.0,-8,0,-8
2023,best1_lex0,Kyle Pitts,9.0,0.0,0.0,17.0,0.0,0.0,-8,0,0
2023,best1_lex0,Zay Jones,1.0,0.0,0.0,9.0,0.0,0.0,-8,0,0
2023,best1_lex0,Damien Harris,12.0,0.0,0.0,21.0,1.0,0.0,-9,-1,0
2023,best1_lex0,Elijah Moore,2.0,0.0,0.0,11.0,0.0,0.0,-9,0,0
2023,best1_lex0,Quentin Johnston,7.0,0.0,0.0,16.0,0.0,0.0,-9,0,0
2023,best1_lex0,George Kittle,5.0,0.0,5.0,15.0,0.0,15.0,-10,0,-10
2023,best1_lex0,Aj Dillon,11.0,0.0,0.0,22.0,6.0,0.0,-11,-6,0
2023,best1_lex0,Devin Singletary,5.0,0.0,0.0,16.0,0.0,0.0,-11,0,0
2023,best1_lex0,Donta Foreman,4.0,0.0,0.0,15.0,0.0,0.0,-11,0,0
2023,best1_lex0,Josh Downs,4.0,0.0,4.0,15.0,0.0,15.0,-11,0,-11
