year,policy,player,bench_rosters,predicted_best_rosters,realized_hit_rosters
2022,control,Dameon Pierce,14,14,0
2022,control,Damien Harris,12,0,0
2022,control,Darrel Williams,26,0,0
2022,control,Darrell Henderson,31,0,20
2022,control,Darren Waller,3,0,0
2022,control,David Njoku,1,0,1
2022,control,Dawson Knox,8,0,0
2022,control,Deandre Hopkins,39,1,39
2022,control,Dernest Johnson,5,0,0
2022,control,Devante Parker,3,0,0
2022,control,Devin Singletary,6,0,0
2022,control,Devonta Smith,23,13,23
2022,control,Dj Chark,9,0,0
2022,control,Dontrell Hilliard,1,0,0
2022,control,Drake London,12,5,0
2022,control,Elijah Moore,22,19,0
2022,control,Evan Engram,4,0,4
2022,control,Gabriel Davis,1,1,0
2022,control,Garrett Wilson,18,2,18
2022,control,George Kittle,1,0,1
2022,control,Gerald Everett,1,0,0
2022,control,Gus Edwards,1,0,1
2022,control,Hunter Henry,6,0,0
2022,control,Hunter Renfrow,11,2,0
2022,control,Jakobi Meyers,5,0,5
2022,control,Jamaal Williams,1,0,0
2022,control,James Cook,18,1,18
2022,control,James Robinson,45,2,0
2022,control,Jamison Crowder,1,0,0
2022,control,Jarvis Landry,4,0,0
2022,control,Joshua Palmer,2,0,0
2022,control,Juju Smith Schuster,2,0,0
2022,control,Kadarius Toney,9,2,0
2022,control,Kareem Hunt,5,0,0
2022,control,Kenneth Gainwell,46,0,0
2022,control,Kenneth Walker,108,63,108
2022,control,Kenny Golladay,21,0,0
2022,control,Kenyan Drake,3,0,0
2022,control,Khalil Herbert,20,0,0
2022,control,Kj Osborn,2,0,0
2022,control,Mark Ingram,10,0,0
2022,control,Marquez Callaway,1,0,0
2022,control,Marquez Valdes Scantling,4,0,0
2022,control,Marvin Jones,8,0,0
2022,control,Mecole Hardman,6,2,0
2022,control,Melvin Gordon,24,2,0
2022,control,Michael Carter,69,51,0
2022,control,Michael Gallup,12,0,0
2022,control,Mike Gesicki,16,0,0
2022,control,Myles Gaskin,6,0,0
2022,control,Noah Fant,22,0,0
2022,control,Nyheim Hines,6,0,0
2022,control,Pat Freiermuth,18,0,0
2022,control,Rachaad White,31,5,31
2022,control,Rashaad Penny,34,3,0
2022,control,Rashod Bateman,8,4,0
2022,control,Rex Burkhead,1,0,0
2022,control,Rhamondre Stevenson,32,10,27
2022,control,Robert Woods,15,1,0
2022,control,Ronald Jones,4,0,0
2022,control,Rondale Moore,9,0,0
2022,control,Russell Gage,14,0,0
2022,control,Sony Michel,1,0,0
2022,control,Tim Patrick,6,0,0
