arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,4,10,pass,True,,214.0,84.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Chase Brown | Christian Watson | Daniel Jones | Derrick Henry | Harold Fannin Jr. | Jake Ferguson | Jameson Williams | Luther Burden III | Michael Wilson | Tony Pollard | Zach Charbonnet,"{""Alvin Kamara"": 2.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 15.0, ""Daniel Jones"": 2.0, ""Derrick Henry"": 74.0, ""Harold Fannin Jr."": 13.0, ""Jake Ferguson"": 3.0, ""Jameson Williams"": 24.0, ""Luther Burden III"": 17.0, ""Michael Wilson"": 5.0, ""Tony Pollard"": 12.0, ""Zach Charbonnet"": 2.0}"
baseline,4,11,buy,True,,257.0,41.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Colston Loveland | Davante Adams | Jahmyr Gibbs | Jalen Hurts | Jalen Nailor | Jameson Williams | Jordan Addison | Jordan Mason | Josh Downs | Rashid Shaheed | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Colston Loveland"": 22.0, ""Davante Adams"": 21.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 10.0, ""Jalen Nailor"": 2.0, ""Jameson Williams"": 22.0, ""Jordan Addison"": 4.0, ""Jordan Mason"": 10.0, ""Josh Downs"": 5.0, ""Rashid Shaheed"": 2.0, ""Zach Charbonnet"": 4.0}"
baseline,4,11,pass,True,,213.0,85.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Colston Loveland | Davante Adams | Jalen Hurts | Jalen Nailor | Jameson Williams | Jonathon Brooks | Josh Downs | Malik Nabers | Rashid Shaheed | Rico Dowdle | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Colston Loveland"": 22.0, ""Davante Adams"": 21.0, ""Jalen Hurts"": 10.0, ""Jalen Nailor"": 2.0, ""Jameson Williams"": 22.0, ""Jonathon Brooks"": 14.0, ""Josh Downs"": 5.0, ""Malik Nabers"": 51.0, ""Rashid Shaheed"": 2.0, ""Rico Dowdle"": 15.0, ""Zach Charbonnet"": 4.0}"
baseline,4,12,buy,True,,264.0,34.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Colston Loveland | Emeka Egbuka | Jahmyr Gibbs | Jayden Daniels | Jordan Addison | Marvin Harrison Jr. | Matthew Golden | Michael Pittman | Rachaad White | Ty Johnson | Tyjae Spears,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Colston Loveland"": 26.0, ""Emeka Egbuka"": 28.0, ""Jahmyr Gibbs"": 110.0, ""Jayden Daniels"": 19.0, ""Jordan Addison"": 5.0, ""Marvin Harrison Jr."": 11.0, ""Matthew Golden"": 6.0, ""Michael Pittman"": 5.0, ""Rachaad White"": 5.0, ""Ty Johnson"": 2.0, ""Tyjae Spears"": 2.0}"
baseline,4,12,pass,True,,223.0,75.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Colston Loveland | Derrick Henry | Emeka Egbuka | Jaylen Warren | Jordan Addison | Matthew Golden | Matthew Stafford | Michael Pittman | Rachaad White | Ty Johnson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""Colston Loveland"": 26.0, ""Derrick Henry"": 73.0, ""Emeka Egbuka"": 28.0, ""Jaylen Warren"": 21.0, ""Jordan Addison"": 5.0, ""Matthew Golden"": 6.0, ""Matthew Stafford"": 4.0, ""Michael Pittman"": 5.0, ""Rachaad White"": 5.0, ""Ty Johnson"": 2.0}"
baseline,4,13,buy,True,,285.0,13.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Breece Hall | Chase Brown | Christian Watson | DK Metcalf | George Kittle | Jahmyr Gibbs | Jakobi Meyers | Jaxson Dart | Jonathon Brooks | Kyle Monangai | Matthew Golden | Michael Pittman,"{""Bhayshul Tuten"": 11.0, ""Breece Hall"": 49.0, ""Chase Brown"": 34.0, ""Christian Watson"": 18.0, ""DK Metcalf"": 15.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 4.0, ""Jaxson Dart"": 8.0, ""Jonathon Brooks"": 19.0, ""Kyle Monangai"": 6.0, ""Matthew Golden"": 2.0, ""Michael Pittman"": 7.0}"
baseline,4,13,pass,True,,205.0,93.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Breece Hall | Chase Brown | Christian Watson | David Montgomery | George Kittle | Jakobi Meyers | Jaxson Dart | Kyle Monangai | Matthew Golden | Michael Pittman | Tee Higgins | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Breece Hall"": 49.0, ""Chase Brown"": 34.0, ""Christian Watson"": 18.0, ""David Montgomery"": 27.0, ""George Kittle"": 2.0, ""Jakobi Meyers"": 4.0, ""Jaxson Dart"": 8.0, ""Kyle Monangai"": 6.0, ""Matthew Golden"": 2.0, ""Michael Pittman"": 7.0, ""Tee Higgins"": 35.0, ""Zach Charbonnet"": 2.0}"
baseline,4,14,buy,True,,282.0,16.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Dallas Goedert | Jadarian Price | Jahmyr Gibbs | Jameson Williams | Jaxson Dart | Jordan Addison | Jordyn Tyson | Kyle Monangai | Kyren Williams | Marvin Harrison Jr. | Matthew Golden,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Dallas Goedert"": 2.0, ""Jadarian Price"": 19.0, ""Jahmyr Gibbs"": 110.0, ""Jameson Williams"": 20.0, ""Jaxson Dart"": 5.0, ""Jordan Addison"": 5.0, ""Jordyn Tyson"": 6.0, ""Kyle Monangai"": 10.0, ""Kyren Williams"": 43.0, ""Marvin Harrison Jr."": 11.0, ""Matthew Golden"": 6.0}"
baseline,4,14,pass,True,,192.0,106.0,0,0,0,0,0,0,0.0,Aaron Jones | Bhayshul Tuten | Chase Brown | Dallas Goedert | Jadarian Price | Jaxson Dart | Jordan Addison | Jordyn Tyson | Kyle Monangai | Kyren Williams | Marvin Harrison Jr. | Matthew Golden | Tee Higgins,"{""Aaron Jones"": 4.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Dallas Goedert"": 2.0, ""Jadarian Price"": 19.0, ""Jaxson Dart"": 5.0, ""Jordan Addison"": 5.0, ""Jordyn Tyson"": 6.0, ""Kyle Monangai"": 10.0, ""Kyren Williams"": 43.0, ""Marvin Harrison Jr."": 11.0, ""Matthew Golden"": 6.0, ""Tee Higgins"": 36.0}"
baseline,4,15,buy,True,,239.0,59.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Christian Watson | George Kittle | Jahmyr Gibbs | Jaxson Dart | Jordan Addison | Josh Downs | Kaelon Black | Kyren Williams | Makai Lemon | Romeo Doubs | Stefon Diggs,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 12.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jaxson Dart"": 2.0, ""Jordan Addison"": 3.0, ""Josh Downs"": 4.0, ""Kaelon Black"": 2.0, ""Kyren Williams"": 49.0, ""Makai Lemon"": 3.0, ""Romeo Doubs"": 4.0, ""Stefon Diggs"": 3.0}"
