arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
bounded_guard,1,10,pass,True,,261.0,37.0,0,0,9,5,0,0,42.280210874794165,Bhayshul Tuten | Chase Brown | Christian Watson | Courtland Sutton | Emeka Egbuka | Jahmyr Gibbs | Jonathon Brooks | Josh Downs | Justin Herbert | Kyle Pitts | Rachaad White | Tony Pollard | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 19.0, ""Courtland Sutton"": 8.0, ""Emeka Egbuka"": 25.0, ""Jahmyr Gibbs"": 110.0, ""Jonathon Brooks"": 7.0, ""Josh Downs"": 3.0, ""Justin Herbert"": 4.0, ""Kyle Pitts"": 9.0, ""Rachaad White"": 8.0, ""Tony Pollard"": 15.0, ""Wan'Dale Robinson"": 8.0}"
bounded_guard,1,11,buy,True,,295.0,3.0,0,0,0,0,0,0,3.2466421833490244,Aaron Jones | Bhayshul Tuten | Bijan Robinson | Caleb Douglas | Chase Brown | Dalton Schultz | Jahmyr Gibbs | Jayden Reed | Jordan Mason | Josh Downs | Patrick Mahomes | Travis Kelce | Wan'Dale Robinson,"{""Aaron Jones"": 3.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Caleb Douglas"": 2.0, ""Chase Brown"": 34.0, ""Dalton Schultz"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jayden Reed"": 2.0, ""Jordan Mason"": 10.0, ""Josh Downs"": 2.0, ""Patrick Mahomes"": 2.0, ""Travis Kelce"": 8.0, ""Wan'Dale Robinson"": 4.0}"
bounded_guard,1,11,pass,True,,275.0,23.0,0,0,10,6,0,2,28.50058320389718,Aaron Jones | Bhayshul Tuten | Carnell Tate | Chase Brown | Christian Watson | Harold Fannin Jr. | Jahmyr Gibbs | Jalen Hurts | Jaylen Waddle | Jaylen Warren | Jonathon Brooks | Jordan Addison | Makai Lemon,"{""Aaron Jones"": 3.0, ""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 13.0, ""Chase Brown"": 34.0, ""Christian Watson"": 18.0, ""Harold Fannin Jr."": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 13.0, ""Jaylen Waddle"": 20.0, ""Jaylen Warren"": 19.0, ""Jonathon Brooks"": 12.0, ""Jordan Addison"": 9.0, ""Makai Lemon"": 6.0}"
bounded_guard,1,12,buy,True,,296.0,2.0,0,0,1,1,0,0,6.248571528840387,Aaron Jones | Bhayshul Tuten | Bijan Robinson | Brenton Strange | Chase Brown | George Kittle | Jahmyr Gibbs | Jakobi Meyers | Jauan Jennings | Kenny Gainwell | Patrick Mahomes | Rashid Shaheed | Wan'Dale Robinson,"{""Aaron Jones"": 7.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Brenton Strange"": 2.0, ""Chase Brown"": 34.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 7.0, ""Jauan Jennings"": 2.0, ""Kenny Gainwell"": 4.0, ""Patrick Mahomes"": 2.0, ""Rashid Shaheed"": 2.0, ""Wan'Dale Robinson"": 8.0}"
bounded_guard,1,12,pass,True,,287.0,11.0,0,0,10,8,0,2,24.193828634650686,Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Christian Watson | Dallas Goedert | Jahmyr Gibbs | Jakobi Meyers | Jalen Hurts | Jameson Williams | Marvin Harrison Jr. | RJ Harvey | Rachaad White | TreVeyon Henderson,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 14.0, ""Chase Brown"": 34.0, ""Christian Watson"": 15.0, ""Dallas Goedert"": 11.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 7.0, ""Jalen Hurts"": 15.0, ""Jameson Williams"": 24.0, ""Marvin Harrison Jr."": 11.0, ""RJ Harvey"": 9.0, ""Rachaad White"": 6.0, ""TreVeyon Henderson"": 20.0}"
bounded_guard,1,13,buy,False,market_slots,290.0,8.0,0,0,2,1,0,1,5.2790307318262535,Bhayshul Tuten | Bijan Robinson | Caleb Williams | Calvin Ridley | Chase Brown | George Kittle | Jahmyr Gibbs | Jayden Reed | Jaylin Noel | Mark Andrews | Quentin Johnston | Tre Tucker,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Caleb Williams"": 3.0, ""Calvin Ridley"": 2.0, ""Chase Brown"": 34.0, ""George Kittle"": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jayden Reed"": 3.0, ""Jaylin Noel"": 2.0, ""Mark Andrews"": 3.0, ""Quentin Johnston"": 9.0, ""Tre Tucker"": 2.0}"
bounded_guard,1,13,pass,True,,285.0,13.0,0,0,6,5,0,0,25.193794210591022,Alec Pierce | Bhayshul Tuten | Brian Thomas Jr. | Carnell Tate | Chase Brown | Dak Prescott | J.K. Dobbins | Jahmyr Gibbs | Jakobi Meyers | Jameson Williams | Kyle Pitts | Rico Dowdle | TreVeyon Henderson,"{""Alec Pierce"": 8.0, ""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 8.0, ""Carnell Tate"": 13.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 6.0, ""J.K. Dobbins"": 12.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 8.0, ""Jameson Williams"": 27.0, ""Kyle Pitts"": 7.0, ""Rico Dowdle"": 14.0, ""TreVeyon Henderson"": 27.0}"
bounded_guard,1,14,buy,True,,292.0,6.0,0,0,1,1,0,0,6.224765132097048,Bhayshul Tuten | Bijan Robinson | Chase Brown | Hunter Henry | Jahmyr Gibbs | Jalen McMillan | Jayden Reed | Josh Downs | Khalil Shakir | Stefon Diggs | Tre Harris | Trevor Lawrence | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Hunter Henry"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jalen McMillan"": 2.0, ""Jayden Reed"": 8.0, ""Josh Downs"": 4.0, ""Khalil Shakir"": 8.0, ""Stefon Diggs"": 1.0, ""Tre Harris"": 2.0, ""Trevor Lawrence"": 3.0, ""Zach Charbonnet"": 2.0}"
bounded_guard,1,14,pass,True,,266.0,32.0,0,0,9,6,0,1,35.510169974231985,Alec Pierce | Bhayshul Tuten | Chase Brown | Christian Watson | Chuba Hubbard | Dak Prescott | Harold Fannin Jr. | Jahmyr Gibbs | Jakobi Meyers | Jameson Williams | Rhamondre Stevenson | Rico Dowdle | Xavier Worthy,"{""Alec Pierce"": 13.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 14.0, ""Chuba Hubbard"": 9.0, ""Dak Prescott"": 7.0, ""Harold Fannin Jr."": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 6.0, ""Jameson Williams"": 21.0, ""Rhamondre Stevenson"": 18.0, ""Rico Dowdle"": 14.0, ""Xavier Worthy"": 3.0}"
bounded_guard,1,15,buy,True,,298.0,0.0,0,0,0,0,0,0,3.638147379324039,Bhayshul Tuten | Bijan Robinson | Brian Thomas Jr. | Chase Brown | Chris Rodriguez Jr. | Denzel Boston | Isaiah Likely | Jahmyr Gibbs | Jakobi Meyers | Josh Downs | Kyle Monangai | Mark Andrews | Trevor Lawrence,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Brian Thomas Jr."": 8.0, ""Chase Brown"": 34.0, ""Chris Rodriguez Jr."": 4.0, ""Denzel Boston"": 3.0, ""Isaiah Likely"": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 4.0, ""Josh Downs"": 4.0, ""Kyle Monangai"": 4.0, ""Mark Andrews"": 2.0, ""Trevor Lawrence"": 3.0}"
