arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,5,12,buy,True,,293.0,5.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Chase Brown | Chig Okonkwo | Dallas Goedert | Deebo Samuel Sr. | Jahmyr Gibbs | Jayden Reed | Keaton Mitchell | Khalil Shakir | Kimani Vidal | Patrick Mahomes | Rashid Shaheed,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Chig Okonkwo"": 2.0, ""Dallas Goedert"": 3.0, ""Deebo Samuel Sr."": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jayden Reed"": 9.0, ""Keaton Mitchell"": 5.0, ""Khalil Shakir"": 5.0, ""Kimani Vidal"": 2.0, ""Patrick Mahomes"": 3.0, ""Rashid Shaheed"": 2.0}"
baseline,5,12,pass,True,,252.0,46.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | DJ Moore | Demond Claiborne | Harold Fannin Jr. | Jacory Croskey-Merritt | Jahmyr Gibbs | Jameson Williams | Michael Wilson | Patrick Mahomes | Quentin Johnston | Rachaad White | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""DJ Moore"": 17.0, ""Demond Claiborne"": 5.0, ""Harold Fannin Jr."": 10.0, ""Jacory Croskey-Merritt"": 5.0, ""Jahmyr Gibbs"": 110.0, ""Jameson Williams"": 16.0, ""Michael Wilson"": 11.0, ""Patrick Mahomes"": 3.0, ""Quentin Johnston"": 11.0, ""Rachaad White"": 10.0, ""Wan'Dale Robinson"": 9.0}"
baseline,5,13,buy,True,,293.0,5.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Chase Brown | George Kittle | Jahmyr Gibbs | KC Concepcion | Makai Lemon | Patrick Mahomes | Quentin Johnston | Rachaad White | Romeo Doubs | Tre Harris | Woody Marks,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""George Kittle"": 3.0, ""Jahmyr Gibbs"": 110.0, ""KC Concepcion"": 4.0, ""Makai Lemon"": 4.0, ""Patrick Mahomes"": 2.0, ""Quentin Johnston"": 4.0, ""Rachaad White"": 9.0, ""Romeo Doubs"": 2.0, ""Tre Harris"": 2.0, ""Woody Marks"": 3.0}"
baseline,5,13,pass,True,,240.0,58.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | DJ Moore | DK Metcalf | Harold Fannin Jr. | Jahmyr Gibbs | KC Concepcion | Makai Lemon | Patrick Mahomes | Quentin Johnston | Rhamondre Stevenson | Rico Dowdle | Woody Marks,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""DJ Moore"": 20.0, ""DK Metcalf"": 8.0, ""Harold Fannin Jr."": 12.0, ""Jahmyr Gibbs"": 110.0, ""KC Concepcion"": 4.0, ""Makai Lemon"": 4.0, ""Patrick Mahomes"": 2.0, ""Quentin Johnston"": 4.0, ""Rhamondre Stevenson"": 17.0, ""Rico Dowdle"": 11.0, ""Woody Marks"": 3.0}"
baseline,5,14,buy,True,,294.0,4.0,0,0,0,0,0,0,0.0,Antonio Williams | Bhayshul Tuten | Bijan Robinson | Chase Brown | Deebo Samuel Sr. | Jahmyr Gibbs | Jordan Addison | Josh Downs | Makai Lemon | Mark Andrews | Patrick Mahomes | Quentin Johnston | Woody Marks,"{""Antonio Williams"": 2.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Deebo Samuel Sr."": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 4.0, ""Josh Downs"": 9.0, ""Makai Lemon"": 4.0, ""Mark Andrews"": 2.0, ""Patrick Mahomes"": 2.0, ""Quentin Johnston"": 6.0, ""Woody Marks"": 3.0}"
baseline,5,14,pass,True,,270.0,28.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Chuba Hubbard | DJ Moore | Harold Fannin Jr. | Jahmyr Gibbs | Jaylen Warren | Jordan Addison | Luther Burden III | Michael Pittman | Patrick Mahomes | Tony Pollard,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 8.0, ""Chase Brown"": 34.0, ""Chuba Hubbard"": 6.0, ""DJ Moore"": 24.0, ""Harold Fannin Jr."": 12.0, ""Jahmyr Gibbs"": 110.0, ""Jaylen Warren"": 19.0, ""Jordan Addison"": 4.0, ""Luther Burden III"": 17.0, ""Michael Pittman"": 6.0, ""Patrick Mahomes"": 2.0, ""Tony Pollard"": 17.0}"
baseline,5,15,buy,True,,293.0,5.0,0,0,0,0,0,0,0.0,Antonio Williams | Bhayshul Tuten | Bijan Robinson | Chase Brown | Dak Prescott | Dallas Goedert | George Kittle | Jahmyr Gibbs | Jayden Reed | Josh Downs | KC Concepcion | Matthew Golden | Rashid Shaheed,"{""Antonio Williams"": 3.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 7.0, ""Dallas Goedert"": 2.0, ""George Kittle"": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jayden Reed"": 5.0, ""Josh Downs"": 2.0, ""KC Concepcion"": 3.0, ""Matthew Golden"": 2.0, ""Rashid Shaheed"": 2.0}"
baseline,5,15,pass,True,,236.0,62.0,0,0,0,0,0,0,0.0,Antonio Williams | Bhayshul Tuten | Chase Brown | Christian Watson | Chuba Hubbard | Harold Fannin Jr. | Jahmyr Gibbs | KC Concepcion | Luther Burden III | Matthew Golden | Patrick Mahomes | Rhamondre Stevenson | Wan'Dale Robinson,"{""Antonio Williams"": 3.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 11.0, ""Chuba Hubbard"": 7.0, ""Harold Fannin Jr."": 11.0, ""Jahmyr Gibbs"": 110.0, ""KC Concepcion"": 3.0, ""Luther Burden III"": 17.0, ""Matthew Golden"": 2.0, ""Patrick Mahomes"": 3.0, ""Rhamondre Stevenson"": 17.0, ""Wan'Dale Robinson"": 7.0}"
baseline,5,16,buy,True,,297.0,1.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Chase Brown | Dallas Goedert | De'Zhaun Stribling | Jahmyr Gibbs | Jakobi Meyers | Jalen Coker | Jayden Reed | KC Concepcion | Patrick Mahomes | Sean Tucker | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Dallas Goedert"": 2.0, ""De'Zhaun Stribling"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 7.0, ""Jalen Coker"": 3.0, ""Jayden Reed"": 4.0, ""KC Concepcion"": 4.0, ""Patrick Mahomes"": 5.0, ""Sean Tucker"": 3.0, ""Wan'Dale Robinson"": 7.0}"
baseline,5,16,pass,True,,241.0,57.0,0,0,0,0,0,0,0.0,Aaron Jones | Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Dallas Goedert | Jahmyr Gibbs | Michael Wilson | Patrick Mahomes | Quentin Johnston | Rachaad White | Sean Tucker | Tetairoa McMillan | Wan'Dale Robinson,"{""Aaron Jones"": 4.0, ""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 8.0, ""Chase Brown"": 34.0, ""Dallas Goedert"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Michael Wilson"": 5.0, ""Patrick Mahomes"": 5.0, ""Quentin Johnston"": 8.0, ""Rachaad White"": 18.0, ""Sean Tucker"": 3.0, ""Tetairoa McMillan"": 26.0, ""Wan'Dale Robinson"": 7.0}"
