arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,4,10,pass,True,,250.0,48.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Chase Brown | Christian Watson | Daniel Jones | Harold Fannin Jr. | Jahmyr Gibbs | Jake Ferguson | Jameson Williams | Luther Burden III | Michael Wilson | Tony Pollard | Zach Charbonnet,"{""Alvin Kamara"": 2.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 15.0, ""Daniel Jones"": 2.0, ""Harold Fannin Jr."": 13.0, ""Jahmyr Gibbs"": 110.0, ""Jake Ferguson"": 3.0, ""Jameson Williams"": 24.0, ""Luther Burden III"": 17.0, ""Michael Wilson"": 5.0, ""Tony Pollard"": 12.0, ""Zach Charbonnet"": 2.0}"
baseline,4,11,buy,True,,290.0,8.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Chase Brown | Chris Godwin Jr. | Dalton Kincaid | Isiah Pacheco | Ja'Kobi Lane | Jahmyr Gibbs | Jordan Addison | Josh Downs | Justin Herbert | Rashid Shaheed | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 5.0, ""Dalton Kincaid"": 1.0, ""Isiah Pacheco"": 2.0, ""Ja'Kobi Lane"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 4.0, ""Josh Downs"": 5.0, ""Justin Herbert"": 5.0, ""Rashid Shaheed"": 2.0, ""Zach Charbonnet"": 4.0}"
baseline,4,11,pass,True,,257.0,41.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Colston Loveland | Davante Adams | Jahmyr Gibbs | Jalen Hurts | Jalen Nailor | Jameson Williams | Jordan Addison | Jordan Mason | Josh Downs | Rashid Shaheed | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Colston Loveland"": 22.0, ""Davante Adams"": 21.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 10.0, ""Jalen Nailor"": 2.0, ""Jameson Williams"": 22.0, ""Jordan Addison"": 4.0, ""Jordan Mason"": 10.0, ""Josh Downs"": 5.0, ""Rashid Shaheed"": 2.0, ""Zach Charbonnet"": 4.0}"
baseline,4,12,buy,True,,297.0,1.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Chase Brown | Chris Godwin Jr. | George Kittle | Harold Fannin Jr. | Jahmyr Gibbs | KC Concepcion | Matthew Golden | Matthew Stafford | Rashid Shaheed | Tyjae Spears | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""George Kittle"": 5.0, ""Harold Fannin Jr."": 6.0, ""Jahmyr Gibbs"": 110.0, ""KC Concepcion"": 4.0, ""Matthew Golden"": 6.0, ""Matthew Stafford"": 4.0, ""Rashid Shaheed"": 2.0, ""Tyjae Spears"": 2.0, ""Xavier Worthy"": 5.0}"
baseline,4,12,pass,True,,254.0,44.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Colston Loveland | Emeka Egbuka | Harold Fannin Jr. | Jahmyr Gibbs | Jordan Addison | Marvin Harrison Jr. | Matthew Golden | Matthew Stafford | Michael Pittman | Rachaad White,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""Colston Loveland"": 26.0, ""Emeka Egbuka"": 28.0, ""Harold Fannin Jr."": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 5.0, ""Marvin Harrison Jr."": 11.0, ""Matthew Golden"": 6.0, ""Matthew Stafford"": 4.0, ""Michael Pittman"": 5.0, ""Rachaad White"": 5.0}"
baseline,4,13,buy,True,,295.0,3.0,0,0,0,0,0,0,0.0,Alvin Kamara | Bhayshul Tuten | Bijan Robinson | Chase Brown | Deebo Samuel Sr. | George Kittle | Jahmyr Gibbs | Jakobi Meyers | Jalen Coker | Jared Goff | Khalil Shakir | Makai Lemon | Matthew Golden,"{""Alvin Kamara"": 4.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Deebo Samuel Sr."": 4.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 4.0, ""Jalen Coker"": 4.0, ""Jared Goff"": 3.0, ""Khalil Shakir"": 5.0, ""Makai Lemon"": 7.0, ""Matthew Golden"": 2.0}"
baseline,4,13,pass,True,,272.0,26.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Breece Hall | Chase Brown | Christian Watson | George Kittle | Jahmyr Gibbs | Jakobi Meyers | Jaxson Dart | Jonathon Brooks | Kyle Monangai | Matthew Golden | Michael Pittman | Romeo Doubs,"{""Bhayshul Tuten"": 11.0, ""Breece Hall"": 49.0, ""Chase Brown"": 34.0, ""Christian Watson"": 18.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 4.0, ""Jaxson Dart"": 8.0, ""Jonathon Brooks"": 19.0, ""Kyle Monangai"": 6.0, ""Matthew Golden"": 2.0, ""Michael Pittman"": 7.0, ""Romeo Doubs"": 2.0}"
baseline,4,14,buy,True,,293.0,5.0,0,0,0,0,0,0,0.0,Antonio Williams | Bhayshul Tuten | Bijan Robinson | Chase Brown | Chris Godwin Jr. | Dallas Goedert | De'Zhaun Stribling | Jahmyr Gibbs | Jalen Coker | Jerry Jeudy | Nicholas Singleton | Patrick Mahomes | Xavier Worthy,"{""Antonio Williams"": 2.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 9.0, ""Dallas Goedert"": 2.0, ""De'Zhaun Stribling"": 3.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Coker"": 3.0, ""Jerry Jeudy"": 2.0, ""Nicholas Singleton"": 2.0, ""Patrick Mahomes"": 4.0, ""Xavier Worthy"": 6.0}"
baseline,4,14,pass,True,,275.0,23.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Dallas Goedert | Jadarian Price | Jahmyr Gibbs | Jalen Coker | Jameson Williams | Jaxson Dart | Jordan Addison | Jordyn Tyson | Kyren Williams | Marvin Harrison Jr. | Matthew Golden,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Dallas Goedert"": 2.0, ""Jadarian Price"": 19.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Coker"": 3.0, ""Jameson Williams"": 20.0, ""Jaxson Dart"": 5.0, ""Jordan Addison"": 5.0, ""Jordyn Tyson"": 6.0, ""Kyren Williams"": 43.0, ""Marvin Harrison Jr."": 11.0, ""Matthew Golden"": 6.0}"
baseline,4,15,buy,True,,287.0,11.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Bijan Robinson | Chase Brown | De'Zhaun Stribling | George Kittle | Ja'Kobi Lane | Jahmyr Gibbs | Jayden Reed | KC Concepcion | Keenan Allen | Romeo Doubs | Sean Tucker | Trevor Lawrence,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""De'Zhaun Stribling"": 3.0, ""George Kittle"": 2.0, ""Ja'Kobi Lane"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jayden Reed"": 3.0, ""KC Concepcion"": 2.0, ""Keenan Allen"": 2.0, ""Romeo Doubs"": 4.0, ""Sean Tucker"": 2.0, ""Trevor Lawrence"": 7.0}"
