arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,1,10,pass,True,,239.0,59.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chris Olave | Christian Watson | Emeka Egbuka | Jaylin Noel | Jonah Coleman | Jonathon Brooks | Josh Downs | Justin Herbert | Kyle Pitts | Omarion Hampton | Tony Pollard,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Olave"": 40.0, ""Christian Watson"": 19.0, ""Emeka Egbuka"": 25.0, ""Jaylin Noel"": 2.0, ""Jonah Coleman"": 2.0, ""Jonathon Brooks"": 7.0, ""Josh Downs"": 3.0, ""Justin Herbert"": 4.0, ""Kyle Pitts"": 9.0, ""Omarion Hampton"": 68.0, ""Tony Pollard"": 15.0}"
baseline,1,11,buy,True,,262.0,36.0,0,0,0,0,0,0,0.0,Aaron Jones | Bhayshul Tuten | Carnell Tate | Chase Brown | Christian Watson | Harold Fannin Jr. | Jahmyr Gibbs | Jalen Hurts | Jaylen Waddle | Jaylen Warren | Josh Downs | Makai Lemon | Zach Charbonnet,"{""Aaron Jones"": 3.0, ""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 13.0, ""Chase Brown"": 34.0, ""Christian Watson"": 19.0, ""Harold Fannin Jr."": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Hurts"": 13.0, ""Jaylen Waddle"": 21.0, ""Jaylen Warren"": 20.0, ""Josh Downs"": 2.0, ""Makai Lemon"": 6.0, ""Zach Charbonnet"": 3.0}"
baseline,1,11,pass,True,,177.0,121.0,0,0,0,0,0,0,0.0,Aaron Jones | Bhayshul Tuten | Carnell Tate | Chase Brown | Christian Watson | Dalton Kincaid | Harold Fannin Jr. | Jalen Hurts | Jaylen Waddle | Josh Downs | Makai Lemon | Rome Odunze | Zach Charbonnet,"{""Aaron Jones"": 3.0, ""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 13.0, ""Chase Brown"": 34.0, ""Christian Watson"": 19.0, ""Dalton Kincaid"": 4.0, ""Harold Fannin Jr."": 7.0, ""Jalen Hurts"": 13.0, ""Jaylen Waddle"": 21.0, ""Josh Downs"": 2.0, ""Makai Lemon"": 6.0, ""Rome Odunze"": 41.0, ""Zach Charbonnet"": 3.0}"
baseline,1,12,buy,True,,239.0,59.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | George Kittle | Jahmyr Gibbs | Jakobi Meyers | Josh Downs | Ladd McConkey | Patrick Mahomes | RJ Harvey | Rachaad White | Rashid Shaheed | Tyler Allgeier,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 14.0, ""Chase Brown"": 34.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 7.0, ""Josh Downs"": 4.0, ""Ladd McConkey"": 36.0, ""Patrick Mahomes"": 2.0, ""RJ Harvey"": 9.0, ""Rachaad White"": 6.0, ""Rashid Shaheed"": 2.0, ""Tyler Allgeier"": 2.0}"
baseline,1,12,pass,True,,215.0,83.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | George Kittle | Jakobi Meyers | Jameson Williams | Jeremiyah Love | Josh Downs | Josh Jacobs | Patrick Mahomes | Rachaad White | Rashid Shaheed | Tyler Allgeier,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 14.0, ""Chase Brown"": 34.0, ""George Kittle"": 2.0, ""Jakobi Meyers"": 7.0, ""Jameson Williams"": 24.0, ""Jeremiyah Love"": 58.0, ""Josh Downs"": 4.0, ""Josh Jacobs"": 49.0, ""Patrick Mahomes"": 2.0, ""Rachaad White"": 6.0, ""Rashid Shaheed"": 2.0, ""Tyler Allgeier"": 2.0}"
baseline,1,13,buy,True,,224.0,74.0,0,0,0,0,0,0,0.0,Alec Pierce | Bhayshul Tuten | Brian Thomas Jr. | Calvin Ridley | Carnell Tate | Chase Brown | Chig Okonkwo | Dak Prescott | J.K. Dobbins | Jahmyr Gibbs | Jakobi Meyers | Jayden Reed | Kyle Pitts,"{""Alec Pierce"": 8.0, ""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 8.0, ""Calvin Ridley"": 2.0, ""Carnell Tate"": 13.0, ""Chase Brown"": 34.0, ""Chig Okonkwo"": 2.0, ""Dak Prescott"": 6.0, ""J.K. Dobbins"": 12.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 8.0, ""Jayden Reed"": 3.0, ""Kyle Pitts"": 7.0}"
baseline,1,13,pass,True,,260.0,38.0,0,0,0,0,0,0,0.0,Alec Pierce | Bhayshul Tuten | Brian Thomas Jr. | Calvin Ridley | Chase Brown | Dak Prescott | DeVonta Smith | J.K. Dobbins | Jakobi Meyers | Jaylen Warren | Josh Jacobs | Justin Jefferson | Kyle Pitts,"{""Alec Pierce"": 8.0, ""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 8.0, ""Calvin Ridley"": 2.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 6.0, ""DeVonta Smith"": 33.0, ""J.K. Dobbins"": 12.0, ""Jakobi Meyers"": 8.0, ""Jaylen Warren"": 13.0, ""Josh Jacobs"": 57.0, ""Justin Jefferson"": 61.0, ""Kyle Pitts"": 7.0}"
baseline,1,14,buy,True,,243.0,55.0,0,0,0,0,0,0,0.0,Alec Pierce | Bhayshul Tuten | Chase Brown | Chuba Hubbard | Harold Fannin Jr. | Jahmyr Gibbs | Jakobi Meyers | Jameson Williams | Makai Lemon | Rhamondre Stevenson | Trevor Lawrence | Xavier Worthy | Zach Charbonnet,"{""Alec Pierce"": 13.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chuba Hubbard"": 9.0, ""Harold Fannin Jr."": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 6.0, ""Jameson Williams"": 21.0, ""Makai Lemon"": 7.0, ""Rhamondre Stevenson"": 18.0, ""Trevor Lawrence"": 3.0, ""Xavier Worthy"": 3.0, ""Zach Charbonnet"": 2.0}"
baseline,1,14,pass,True,,207.0,91.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chuba Hubbard | Derrick Henry | Emeka Egbuka | Harold Fannin Jr. | Jakobi Meyers | Jameson Williams | Makai Lemon | Rhamondre Stevenson | Trevor Lawrence | Xavier Worthy | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chuba Hubbard"": 9.0, ""Derrick Henry"": 60.0, ""Emeka Egbuka"": 27.0, ""Harold Fannin Jr."": 6.0, ""Jakobi Meyers"": 6.0, ""Jameson Williams"": 21.0, ""Makai Lemon"": 7.0, ""Rhamondre Stevenson"": 18.0, ""Trevor Lawrence"": 3.0, ""Xavier Worthy"": 3.0, ""Zach Charbonnet"": 2.0}"
baseline,1,15,buy,True,,249.0,49.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Chuba Hubbard | Harold Fannin Jr. | Jahmyr Gibbs | Jameson Williams | Josh Downs | Luther Burden III | Makai Lemon | RJ Harvey | Rhamondre Stevenson | Trevor Lawrence,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 8.0, ""Chase Brown"": 34.0, ""Chuba Hubbard"": 7.0, ""Harold Fannin Jr."": 13.0, ""Jahmyr Gibbs"": 110.0, ""Jameson Williams"": 17.0, ""Josh Downs"": 4.0, ""Luther Burden III"": 16.0, ""Makai Lemon"": 4.0, ""RJ Harvey"": 7.0, ""Rhamondre Stevenson"": 15.0, ""Trevor Lawrence"": 3.0}"
