arm,variation,path_index,branch,complete,failure_reason,roster_spend,unused_salary,full_replans,budget_replans,bounded_triggers,bounded_swaps,bounded_rebuilds,guard_rejections,max_projected_slack,roster,salary_map
baseline,5,10,pass,True,,185.0,113.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Chris Godwin Jr. | Christian Watson | D'Andre Swift | Dak Prescott | Dallas Goedert | Emeka Egbuka | Jordan Addison | Kyren Williams | Quentin Johnston | Sean Tucker | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""Christian Watson"": 13.0, ""D'Andre Swift"": 26.0, ""Dak Prescott"": 9.0, ""Dallas Goedert"": 4.0, ""Emeka Egbuka"": 26.0, ""Jordan Addison"": 2.0, ""Kyren Williams"": 48.0, ""Quentin Johnston"": 5.0, ""Sean Tucker"": 2.0, ""Zach Charbonnet"": 2.0}"
baseline,5,11,buy,True,,262.0,36.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Christian Watson | D'Andre Swift | J.K. Dobbins | Jahmyr Gibbs | Jaylin Noel | Jordan Addison | Kenny Gainwell | Matthew Stafford | Sam LaPorta | Wan'Dale Robinson | Zachariah Branch,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 18.0, ""D'Andre Swift"": 30.0, ""J.K. Dobbins"": 17.0, ""Jahmyr Gibbs"": 110.0, ""Jaylin Noel"": 2.0, ""Jordan Addison"": 7.0, ""Kenny Gainwell"": 6.0, ""Matthew Stafford"": 3.0, ""Sam LaPorta"": 16.0, ""Wan'Dale Robinson"": 6.0, ""Zachariah Branch"": 2.0}"
baseline,5,11,pass,True,,273.0,25.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | Christian Watson | D'Andre Swift | Derrick Henry | Jameson Williams | Jordan Addison | Kenny Gainwell | Kyle Pitts | Kyren Williams | Makai Lemon | Matthew Stafford | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 18.0, ""D'Andre Swift"": 30.0, ""Derrick Henry"": 74.0, ""Jameson Williams"": 20.0, ""Jordan Addison"": 7.0, ""Kenny Gainwell"": 6.0, ""Kyle Pitts"": 7.0, ""Kyren Williams"": 52.0, ""Makai Lemon"": 5.0, ""Matthew Stafford"": 3.0, ""Wan'Dale Robinson"": 6.0}"
baseline,5,12,buy,True,,240.0,58.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | DJ Moore | Demond Claiborne | Harold Fannin Jr. | Jacory Croskey-Merritt | Jahmyr Gibbs | KC Concepcion | Michael Wilson | Patrick Mahomes | Quentin Johnston | Rachaad White | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""DJ Moore"": 17.0, ""Demond Claiborne"": 5.0, ""Harold Fannin Jr."": 10.0, ""Jacory Croskey-Merritt"": 5.0, ""Jahmyr Gibbs"": 110.0, ""KC Concepcion"": 4.0, ""Michael Wilson"": 11.0, ""Patrick Mahomes"": 3.0, ""Quentin Johnston"": 11.0, ""Rachaad White"": 10.0, ""Wan'Dale Robinson"": 9.0}"
baseline,5,12,pass,True,,213.0,85.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | DJ Moore | Demond Claiborne | Harold Fannin Jr. | Jacory Croskey-Merritt | Jonathan Taylor | KC Concepcion | Michael Wilson | Patrick Mahomes | Quentin Johnston | Rachaad White | Wan'Dale Robinson,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""DJ Moore"": 17.0, ""Demond Claiborne"": 5.0, ""Harold Fannin Jr."": 10.0, ""Jacory Croskey-Merritt"": 5.0, ""Jonathan Taylor"": 83.0, ""KC Concepcion"": 4.0, ""Michael Wilson"": 11.0, ""Patrick Mahomes"": 3.0, ""Quentin Johnston"": 11.0, ""Rachaad White"": 10.0, ""Wan'Dale Robinson"": 9.0}"
baseline,5,13,buy,True,,255.0,43.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Chase Brown | DK Metcalf | DeVonta Smith | Harold Fannin Jr. | Jahmyr Gibbs | KC Concepcion | Makai Lemon | Patrick Mahomes | Quentin Johnston | Rhamondre Stevenson | Rico Dowdle | Woody Marks,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""DK Metcalf"": 8.0, ""DeVonta Smith"": 35.0, ""Harold Fannin Jr."": 12.0, ""Jahmyr Gibbs"": 110.0, ""KC Concepcion"": 4.0, ""Makai Lemon"": 4.0, ""Patrick Mahomes"": 2.0, ""Quentin Johnston"": 4.0, ""Rhamondre Stevenson"": 17.0, ""Rico Dowdle"": 11.0, ""Woody Marks"": 3.0}"
baseline,5,13,pass,True,,174.0,124.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Blake Corum | Chase Brown | DK Metcalf | Harold Fannin Jr. | KC Concepcion | Makai Lemon | Patrick Mahomes | Puka Nacua | Quentin Johnston | Rico Dowdle | T.J. Hockenson | Woody Marks,"{""Bhayshul Tuten"": 11.0, ""Blake Corum"": 4.0, ""Chase Brown"": 34.0, ""DK Metcalf"": 8.0, ""Harold Fannin Jr."": 12.0, ""KC Concepcion"": 4.0, ""Makai Lemon"": 4.0, ""Patrick Mahomes"": 2.0, ""Puka Nacua"": 72.0, ""Quentin Johnston"": 4.0, ""Rico Dowdle"": 11.0, ""T.J. Hockenson"": 5.0, ""Woody Marks"": 3.0}"
baseline,5,14,buy,True,,247.0,51.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Chuba Hubbard | Harold Fannin Jr. | Jahmyr Gibbs | Jaylen Warren | Jordan Addison | Luther Burden III | Makai Lemon | Michael Pittman | Patrick Mahomes | Rico Dowdle,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 8.0, ""Chase Brown"": 34.0, ""Chuba Hubbard"": 6.0, ""Harold Fannin Jr."": 12.0, ""Jahmyr Gibbs"": 110.0, ""Jaylen Warren"": 19.0, ""Jordan Addison"": 4.0, ""Luther Burden III"": 17.0, ""Makai Lemon"": 4.0, ""Michael Pittman"": 6.0, ""Patrick Mahomes"": 2.0, ""Rico Dowdle"": 14.0}"
baseline,5,14,pass,True,,251.0,47.0,0,0,0,0,0,0,0.0,Bhayshul Tuten | Brian Thomas Jr. | Chase Brown | Chuba Hubbard | DJ Moore | Harold Fannin Jr. | Jaylen Warren | Jonathan Taylor | Jordan Addison | Luther Burden III | Michael Pittman | Patrick Mahomes | Tony Pollard,"{""Bhayshul Tuten"": 11.0, ""Brian Thomas Jr."": 8.0, ""Chase Brown"": 34.0, ""Chuba Hubbard"": 6.0, ""DJ Moore"": 24.0, ""Harold Fannin Jr."": 12.0, ""Jaylen Warren"": 19.0, ""Jonathan Taylor"": 91.0, ""Jordan Addison"": 4.0, ""Luther Burden III"": 17.0, ""Michael Pittman"": 6.0, ""Patrick Mahomes"": 2.0, ""Tony Pollard"": 17.0}"
baseline,5,15,buy,True,,267.0,31.0,0,0,0,0,0,0,0.0,Antonio Williams | Bhayshul Tuten | Chase Brown | Chuba Hubbard | DeVonta Smith | Harold Fannin Jr. | Jahmyr Gibbs | KC Concepcion | Matthew Golden | Matthew Stafford | Michael Wilson | Rhamondre Stevenson | Wan'Dale Robinson,"{""Antonio Williams"": 3.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chuba Hubbard"": 7.0, ""DeVonta Smith"": 39.0, ""Harold Fannin Jr."": 11.0, ""Jahmyr Gibbs"": 110.0, ""KC Concepcion"": 3.0, ""Matthew Golden"": 2.0, ""Matthew Stafford"": 10.0, ""Michael Wilson"": 13.0, ""Rhamondre Stevenson"": 17.0, ""Wan'Dale Robinson"": 7.0}"
