period,chance_level,paired_rosters,roster_changed_rate,v1_actual_cap_feasible_rate,v5_actual_cap_feasible_rate,v5_only_feasible_rosters,v1_only_feasible_rosters,v1_mean_managed_forecast_season_points,v5_mean_managed_forecast_season_points,mean_managed_forecast_season_points_effect_v5_minus_v1,v1_mean_heldout_cap_probability,v5_mean_heldout_cap_probability,mean_heldout_cap_probability_effect_v5_minus_v1,v1_mean_heldout_salary_spend_mean,v5_mean_heldout_salary_spend_mean,mean_heldout_salary_spend_mean_effect_v5_minus_v1,v1_mean_heldout_salary_spend_p90,v5_mean_heldout_salary_spend_p90,mean_heldout_salary_spend_p90_effect_v5_minus_v1,v1_mean_heldout_salary_spend_p95,v5_mean_heldout_salary_spend_p95,mean_heldout_salary_spend_p95_effect_v5_minus_v1,v1_mean_actual_cap_overage,v5_mean_actual_cap_overage,mean_actual_cap_overage_effect_v5_minus_v1,v1_mean_actual_salary_spend,v5_mean_actual_salary_spend,mean_actual_salary_spend_effect_v5_minus_v1,v1_mean_point_salary_spend,v5_mean_point_salary_spend,mean_point_salary_spend_effect_v5_minus_v1,v1_mean_raw_actual_points_audit_only,v5_mean_raw_actual_points_audit_only,mean_raw_actual_points_audit_only_effect_v5_minus_v1,mean_actual_cap_feasible_effect_v5_minus_v1
2023,all,1000,0.88,0.097,0.084,31,44,1525.680065673828,1526.4446806640624,0.764614990234375,0.7472749999999999,0.749525,0.002249999999999998,292.310768285942,292.30666590393776,-0.004102382004259652,302.08157544250486,301.9778967213749,-0.103678721129895,304.8863035300374,304.6894604126036,-0.19684311743378619,28.368,28.766,0.398,325.676,326.192,0.516,309.8941637108326,306.36112731921673,-3.5330363916158696,1693.4246000976561,1692.9736989746093,-0.4509011230468759,-0.013
2023,0.6,250,0.88,0.08,0.052,4,11,1527.9041416015625,1529.4460224609375,1.541880859375,0.6180399999999999,0.6229600000000001,0.00492,295.5610983206582,295.54574171607493,-0.015356604583265153,305.4145559197903,305.2380250558853,-0.176530863904954,308.2498071083784,308.0305885298013,-0.2192185785770389,31.808,32.216,0.408,329.308,330.036,0.728,313.29030485630034,309.75285869646075,-3.5374461598396323,1695.5512021484376,1694.7920795898438,-0.75912255859375,-0.028
2023,0.7,250,0.896,0.1,0.068,4,12,1526.5163530273437,1527.5493662109375,1.03301318359375,0.71356,0.71142,-0.0021400000000000004,293.47398941238407,293.53465212203025,0.06066270964622709,303.25880900940894,303.20618033547396,-0.05262867393493457,306.0279128500938,305.89408835122583,-0.13382449886798553,29.092,29.716,0.624,326.392,327.464,1.072,311.1610982236862,307.6235295996666,-3.537568624019624,1692.089837890625,1697.3154375,5.225599609374998,-0.032
2023,0.8,250,0.88,0.096,0.084,10,13,1525.3447749023437,1525.1925380859375,-0.15223681640625,0.7849400000000001,0.79336,0.008419999999999999,291.59027179877285,291.44844367898463,-0.14182811978816698,301.2996491790771,301.1377972393513,-0.16185193972587922,304.11722856705194,303.81023217926025,-0.3069963877916359,27.772,28.292,0.52,325.028,325.58,0.552,309.1291760983467,305.48270426368714,-3.6464718346595792,1695.45519921875,1690.5807993164062,-4.874399902343752,-0.012
2023,0.9,250,0.864,0.112,0.132,13,8,1522.9549931640624,1523.5907958984376,0.635802734375,0.8725599999999999,0.87036,-0.0022000000000000014,288.61771361195326,288.6978260986614,0.08011248670816644,298.3532876617432,298.3295842547893,-0.023703406953812192,301.1502655946255,301.02293259012697,-0.12733300449848434,24.8,24.84,0.04,321.976,321.688,-0.288,305.9960756649971,302.58541671705245,-3.410658947944642,1690.6021611328124,1689.2064794921876,-1.395681640625,0.02
2024,all,1000,0.903,0.12,0.205,111,26,1639.6845147705078,1633.2374890136718,-6.447025756835938,0.744165,0.74311,-0.001055000000000001,292.3628152597922,292.39767626541436,0.0348610056221479,302.1996817627311,302.2848619627953,0.08518020006418174,304.9431966443897,305.0365359224856,0.09333927809595917,29.618,23.43,-6.188,326.157,318.924,-7.233,304.12875783574583,299.37702687096595,-4.751730964779854,1584.4028205566406,1585.2958381347655,0.8930175781250003,0.085
2024,0.6,250,0.896,0.096,0.172,24,5,1641.9976391601563,1635.6350439453124,-6.36259521484375,0.61698,0.6249,0.00792,295.6121491572023,295.4007575821376,-0.21139157506465972,305.510110932827,305.2648561355114,-0.24525479731559927,308.2824562120199,308.0580967658997,-0.22435944612026673,32.732,26.18,-6.552,329.72,322.264,-7.456,307.55270611286164,302.30081206989286,-5.251894042968753,1584.345921875,1589.4807963867188,5.13487451171875,0.076
2024,0.7,250,0.916,0.104,0.172,24,7,1640.886419921875,1634.4224038085938,-6.46401611328125,0.7039999999999998,0.7034199999999999,-0.000580000000000004,293.64992467434644,293.62516435272454,-0.024760321621897903,303.4987747349263,303.5516416354656,0.052866900539397875,306.2524619015694,306.3086919935465,0.0562300919771194,31.216,24.416,-6.8,328.076,320.404,-7.672,305.346520198822,300.50677815008163,-4.839742048740387,1584.4598422851564,1586.8184760742188,2.3586337890625,0.068
2024,0.8,250,0.888,0.128,0.236,33,6,1638.51834765625,1631.6733041992188,-6.84504345703125,0.7881800000000001,0.78446,-0.0037200000000000006,291.45983193428515,291.54671415972234,0.08688222543716528,301.29514874053,301.4609607615471,0.16581202101707276,304.0303943967819,304.19828484396925,0.167890447187423,28.552,21.7,-6.852,324.968,316.896,-8.072,303.19889997577667,298.60602614212036,-4.592873833656309,1586.7268022460937,1584.824478515625,-1.902323730468749,0.108
2024,0.9,250,0.912,0.152,0.24,30,8,1637.33565234375,1631.2192041015626,-6.1164482421875,0.8675,0.8596600000000001,-0.00784,288.729355273335,289.0180689670729,0.28871369373798395,298.4946926426411,298.8619893186569,0.3672966760158556,301.20747406718726,301.58107008652684,0.37359601933956105,25.972,21.424,-4.548,321.864,316.132,-5.732,300.41690505552293,296.09449112176895,-4.322413933753966,1582.0787158203125,1580.0596015625,-2.0191142578125,0.088
2025,all,1000,0.934,0.12,0.185,96,31,1629.7637180175782,1621.9667894287109,-7.796928588867187,0.716425,0.71178,-0.004645000000000003,292.56411295906724,292.7925055774635,0.2283926183962837,303.59806139874456,303.6348469274879,0.03678552874326664,306.61399117235544,306.66879655579925,0.054805383443831034,27.098,22.338,-4.76,323.976,318.373,-5.603,302.0017149538994,299.7407411581278,-2.2609737957715987,1579.383319946289,1597.0004956054688,17.617175659179686,0.065
2025,0.6,250,0.92,0.084,0.14,19,5,1634.12126171875,1625.7459321289064,-8.37532958984375,0.58306,0.5746600000000001,-0.008399999999999994,296.12310093271253,296.36471502733707,0.24161409462452094,307.2113564947605,307.2216783372879,0.010321842527389435,310.24044701402187,310.17787193279264,-0.06257508122921286,30.076,25.352,-4.724,327.276,321.904,-5.372,305.6778431687355,303.2589548139572,-2.41888835477829,1579.8249575195312,1600.0488740234375,20.22391650390625,0.056
2025,0.7,250,0.944,0.128,0.196,24,7,1632.0193715820312,1623.4979311523437,-8.5214404296875,0.67338,0.6735599999999999,0.00017999999999999616,293.9233866309094,294.0527662751436,0.1293796442341843,304.975680033636,304.9065685356617,-0.06911149797439703,307.97042396695616,307.9820132344723,0.011589267516132623,27.972,23.52,-4.452,324.852,319.652,-5.2,303.3924515724182,301.00932200717926,-2.383129565238952,1580.5927192382812,1598.1611176757813,17.5683984375,0.068
2025,0.8,250,0.928,0.12,0.188,24,7,1627.7299951171874,1620.9167001953124,-6.813294921875,0.76678,0.75802,-0.008760000000000006,291.4193139527893,291.7792014868545,0.3598875340652473,302.4487515867233,302.59816556081773,0.14941397409439378,305.4709775407791,305.6388891353607,0.16791159458160224,25.888,21.092,-4.796,322.624,317.14,-5.484,300.79027418041227,298.6541867046356,-2.136087475776674,1578.3776015625,1593.982712890625,15.605111328125,0.068
2025,0.9,250,0.944,0.148,0.216,29,12,1625.1842436523436,1617.7065942382812,-7.4776494140625,0.84248,0.84088,-0.0016000000000000046,288.7906503198576,288.9733395205188,0.18268920066118222,299.7564574798584,299.8129752761841,0.05651779632568037,302.77411616766454,302.8764119205713,0.10229575290680214,24.456,19.388,-5.068,321.152,314.796,-6.356,298.14629089403155,296.04050110673904,-2.1057897872924816,1578.7380014648438,1595.8092778320313,17.0712763671875,0.068
