league,model_family,candidate_id,candidate_source,origin,rows,rmse,parameters_json
beta,conditional_ppg_lightgbm_expanded,2,original,2015,395,3.724034240465542,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,3,original,2015,395,3.6340944124524057,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,4,original,2015,395,3.7030186275247394,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,5,original,2015,395,3.7185323776576644,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,6,original,2015,395,3.587611151597827,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,7,original,2015,395,3.6436220200649614,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,8,expanded,2015,395,3.6340486203135836,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,9,expanded,2015,395,3.6330076423479825,"{""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 250, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,10,expanded,2015,395,3.6444333204294557,"{""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 125, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,11,expanded,2015,395,3.6331548942697647,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,12,expanded,2015,395,3.6702360054009926,"{""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,13,expanded,2015,395,3.6731602410291857,"{""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,14,expanded,2015,395,3.668743325103414,"{""learning_rate"": 0.04, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 125, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,15,expanded,2015,395,3.6566496213469453,"{""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,0,original,2016,369,3.0384690326030737,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,1,original,2016,369,3.0516778178483666,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,2,original,2016,369,3.1009705447879656,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,3,original,2016,369,3.0139289386495873,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,4,original,2016,369,3.056987534121821,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,5,original,2016,369,3.103019298541047,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,6,original,2016,369,3.02821593794409,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,7,original,2016,369,3.026287306986197,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,8,expanded,2016,369,3.0255363184415573,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,9,expanded,2016,369,3.031174600293158,"{""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 250, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,10,expanded,2016,369,3.0281209009258085,"{""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 125, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,11,expanded,2016,369,3.0156859223126395,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,12,expanded,2016,369,3.0286007103195276,"{""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,13,expanded,2016,369,3.0329073051267,"{""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,14,expanded,2016,369,3.02850962819846,"{""learning_rate"": 0.04, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 125, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,15,expanded,2016,369,3.0305235419825003,"{""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,0,original,2017,402,2.9211422104845184,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,1,original,2017,402,2.896228177059196,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,2,original,2017,402,2.861760344507714,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,3,original,2017,402,2.890841700925954,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,4,original,2017,402,2.895240698513169,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,5,original,2017,402,2.856837236944137,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,6,original,2017,402,2.9150774785483793,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,7,original,2017,402,2.8898904674722736,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,8,expanded,2017,402,2.889359677310125,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,9,expanded,2017,402,2.8870720384806665,"{""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 250, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,10,expanded,2017,402,2.8960222413521506,"{""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 125, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,11,expanded,2017,402,2.878115560704411,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,12,expanded,2017,402,2.9001452895066318,"{""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,13,expanded,2017,402,2.897437632044167,"{""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,14,expanded,2017,402,2.895471990925917,"{""learning_rate"": 0.04, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 125, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,15,expanded,2017,402,2.8953854106040033,"{""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,0,original,2018,365,3.0414454543526186,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,1,original,2018,365,2.9938172727123433,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,2,original,2018,365,2.9891867627339868,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,3,original,2018,365,2.982447220677096,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,4,original,2018,365,2.976997680707962,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,5,original,2018,365,2.9832287339499803,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,6,original,2018,365,3.0352445834040562,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,7,original,2018,365,2.9851047530005954,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,8,expanded,2018,365,2.985510018898261,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,9,expanded,2018,365,2.9890142732519926,"{""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 250, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,10,expanded,2018,365,2.9916922041969496,"{""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 125, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,11,expanded,2018,365,2.9755797189189046,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,12,expanded,2018,365,2.980545203475782,"{""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,13,expanded,2018,365,2.9763389895421617,"{""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,14,expanded,2018,365,2.9761101271368946,"{""learning_rate"": 0.04, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 125, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,15,expanded,2018,365,2.9767324253853067,"{""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,0,original,2019,385,2.9522480410064595,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,1,original,2019,385,2.944641456518261,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,2,original,2019,385,2.9515390108650195,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,3,original,2019,385,2.9465286753085675,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,4,original,2019,385,2.973980495479973,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,5,original,2019,385,2.9863011357873757,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,6,original,2019,385,2.9549247860368397,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,7,original,2019,385,2.9274774495044196,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,8,expanded,2019,385,2.933418475912972,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,9,expanded,2019,385,2.9316544557283017,"{""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 250, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,10,expanded,2019,385,2.9370804839234093,"{""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 125, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,11,expanded,2019,385,2.9355970369626894,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,12,expanded,2019,385,2.9607985478353336,"{""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,13,expanded,2019,385,2.9608210894380287,"{""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,14,expanded,2019,385,2.954105083193026,"{""learning_rate"": 0.04, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 125, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,15,expanded,2019,385,2.961219530807681,"{""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,0,original,2020,409,3.1852706271536966,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,1,original,2020,409,3.1161155282579562,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
beta,conditional_ppg_lightgbm_expanded,2,original,2020,409,3.1146344240025807,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
beta,conditional_ppg_lightgbm_expanded,3,original,2020,409,3.1073140204946674,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
