year,trial,buffer,buffer_dollars,nominal_cap,status,roster,sampled_salary_spend,point_salary_spend,forecast_ev,actual_cap_feasible,actual_cap_overage,salary_model_fallback_players,minimum_salary_fallback_players,contains_top_n,qb_count,rb_count,wr_count,te_count,actual_points,drafted_only_points,actual_waiver_starts,actual_salary_spend,actual_salary_missing_players,raw_outcome_missing_players
2024,139,none,,,optimal,Anthony Richardson|Brian Robinson|Brian Thomas|Calvin Ridley|Ceedee Lamb|Chase Brown|George Kittle|Jonathon Brooks|Ladd Mcconkey|Marvin Harrison|Nathaniel Dell|Rome Odunze|Tyjae Spears,295.0585632324219,318.5411801338196,1663.059326171875,False,17.0,1,0,True,1,4,7,1,1606.320068359375,1482.4599609375,29,315.0,0,0
2024,139,5,5.0,303.0,optimal,Anthony Richardson|Brian Robinson|Brian Thomas|Ceedee Lamb|Chase Brown|Dalton Schultz|Davante Adams|Jonathon Brooks|Ladd Mcconkey|Mark Andrews|Nathaniel Dell|Rome Odunze|Tyjae Spears,293.8357849121094,302.8641495704651,1635.1142578125,True,0.0,1,0,True,1,4,6,2,1585.219970703125,1510.159912109375,35,276.0,0,0
2024,139,10,10.0,308.0,optimal,Anthony Richardson|Brian Robinson|Brian Thomas|Calvin Ridley|Ceedee Lamb|Chase Brown|Dalton Schultz|Jonathon Brooks|Ladd Mcconkey|Marvin Harrison|Nathaniel Dell|Rome Odunze|Tyjae Spears,286.7027587890625,304.3972496986389,1622.0684814453125,False,2.0,1,0,True,1,4,7,1,1503.919921875,1378.9599609375,42,300.0,0,0
2024,140,none,,,optimal,Chase Brown|Chris Godwin|Christian Watson|Chuba Hubbard|Jalen Hurts|Jaylen Waddle|Keon Coleman|Mark Andrews|Marvin Harrison|Mike Evans|Najee Harris|Rashee Rice|Tj Hockenson,295.3733825683594,302.75082862377167,1651.3289794921875,False,5.0,1,0,True,1,3,7,2,1658.43994140625,1647.6199951171875,26,303.0,0,0
2024,140,5,5.0,303.0,optimal,Chase Brown|Chris Godwin|Christian Watson|Jalen Hurts|Jaylen Waddle|Jonathon Brooks|Keon Coleman|Mark Andrews|Marvin Harrison|Mike Evans|Najee Harris|Rashee Rice|Tj Hockenson,294.9632873535156,301.99683368206024,1662.7989501953125,False,5.0,2,0,True,1,3,7,2,1559.9400634765625,1529.219970703125,34,303.0,0,0
2024,140,10,10.0,308.0,optimal,Chase Brown|Chris Godwin|Christian Watson|Chuba Hubbard|Jalen Hurts|Jaylen Waddle|Keon Coleman|Mark Andrews|Marvin Harrison|Mike Evans|Najee Harris|Rashee Rice|Tj Hockenson,295.3733825683594,302.75082862377167,1651.3289794921875,False,5.0,1,0,True,1,3,7,2,1658.43994140625,1647.6199951171875,26,303.0,0,0
2024,141,none,,,optimal,Aj Brown|Brock Bowers|Devonta Smith|Jake Ferguson|Jalen Hurts|James Cook|Jaxon Smith Njigba|Jaylen Waddle|Jonathon Brooks|Ladd Mcconkey|Rashee Rice|Rashid Shaheed|Tyjae Spears,296.7400817871094,309.93630743026733,1676.08349609375,False,19.0,2,0,True,1,3,7,2,1709.0400390625,1700.1199951171875,26,317.0,0,0
2024,141,5,5.0,303.0,optimal,Aj Brown|Brian Thomas|Devonta Smith|Jake Ferguson|Jalen Hurts|James Cook|Jaxon Smith Njigba|Jonathon Brooks|Ladd Mcconkey|Mark Andrews|Rashee Rice|Rashid Shaheed|Tyjae Spears,295.9182434082031,300.5119209289551,1667.2193603515625,True,0.0,2,0,True,1,3,7,2,1676.93994140625,1669.320068359375,23,297.0,0,0
2024,141,10,10.0,308.0,optimal,Aj Brown|Brock Bowers|Cooper Kupp|Dalton Schultz|Jalen Hurts|James Cook|Jaxon Smith Njigba|Jaylen Waddle|Jonathon Brooks|Ladd Mcconkey|Rashee Rice|Rashid Shaheed|Tyjae Spears,292.0144958496094,305.89229583740234,1671.1121826171875,False,34.0,2,0,True,1,3,7,2,1702.43994140625,1677.119873046875,25,332.0,0,0
2024,142,none,,,optimal,Brock Bowers|Chase Brown|Cooper Kupp|Ezekiel Elliott|Gus Edwards|Jalen Hurts|Jaxon Smith Njigba|Ladd Mcconkey|Mark Andrews|Rashee Rice|Tee Higgins|Tyjae Spears|Tyreek Hill,288.53338623046875,297.86011028289795,1682.349609375,False,75.0,1,0,True,1,4,6,2,1654.139892578125,1665.02001953125,31,373.0,0,0
2024,142,5,5.0,303.0,optimal,Cooper Kupp|Dallas Goedert|Gus Edwards|Jalen Hurts|Jaxon Smith Njigba|Jonathon Brooks|Ladd Mcconkey|Mark Andrews|Najee Harris|Rashee Rice|Tee Higgins|Tyjae Spears|Tyreek Hill,296.3770751953125,301.781201839447,1692.7557373046875,False,79.0,2,0,True,1,4,6,2,1532.239990234375,1543.9200439453125,34,377.0,0,0
