"Rank","Player","Team","Bye","POS","BB10","RTSports","Underdog","Drafters","AVG"
"185","J.J. Nelson","","","WR67","198","226","","","196.7"
"186","Jared Goff","DET","7","QB27","210","182","","","196.7"
"187","Allen Hurns","","","WR68","231","169","","","197.0"
"188","Danny Amendola","","","WR69","181","209","","","197.0"
"189","Marqise","Lee","","WR70","191","222","","","199.3"
"190","Breshad Perriman","","","WR71","209","207","","","200.0"
"191","Seattle Seahawks","DST","6","DST2","153","133","","","143.0"
"192","DeShone Kizer","","","QB28","200","200","","","201.0"
"193","Kansas City Chiefs","DST","10","DST3","148","142","","","145.0"
"194","Devin Funchess","","","WR72","194","235","","","202.7"
"195","Mike Williams","LAC","9","WR73","214","194","","","202.7"
"196","Austin Seferian-Jenkins","","","TE28","207","228","","","203.7"
"197","Kendall Wright","","","WR74","193","211","","","203.7"
"198","Charles Sims","","","RB65","211","197","","","204.0"
"199","Houston Texans","DST","7","DST4","154","145","","","149.5"
"200","Torrey Smith","","","WR75","196","229","","","205.7"
"201","Trevor Siemian","","","QB29","229","184","","","206.3"
"202","James Conner","ARI","8","RB66","203","231","","","207.3"
"203","Jay Cutler","","","QB30","158","150","","","154.0"
"204","Chris Carson","","","RB67","202","221","","","210.3"
"205","Ryan Tannehill","","","QB31","","126","","","160.5"
"206","Quincy Enunwa","","","WR76","","156","","","161.5"
"207","Arizona Cardinals","DST","8","DST5","168","157","","","162.5"
"208","Kenneth Dixon","","","RB68","","135","","","164.0"
"209","Charcandrick West","","","RB69","217","215","","","215.0"
"210","Minnesota Vikings","DST","9","DST6","174","158","","","166.0"
"211","New England Patriots","DST","9","DST7","167","168","","","167.5"
"212","Jesse James","","","TE29","220","237","","","218.0"
"213","Tavon Austin","","","WR77","246","220","","","218.3"
"214","William Fuller","V","","WR78","245","230","","","219.3"
"215","Travis Benjamin","","","WR79","218","250","","","222.3"
"216","Zach Miller","","","TE30","242","213","","","224.3"
"217","Paul Richardson Jr.","","","WR80","215","258","","","225.0"
"218","Marquise Goodwin","","","WR81","219","252","","","225.3"
"219","Chris Conley","","","WR82","240","224","","","226.0"
"220","Vance McDonald","","","TE31","223","248","","","226.7"
"221","Jaron Brown","","","WR83","235","227","","","227.0"
"222","Jalen Richard","","","RB70","261","201","","","228.3"
"223","Malcolm Mitchell","","","WR84","224","253","","","229.0"
"224","Carolina Panthers","DST","11","DST8","190","187","","","188.5"
"225","New York Giants","DST","8","DST9","192","192","","","192.0"
"226","Nelson Agholor","","","WR85","227","257","","","233.7"
"227","Robert Turbin","","","RB71","239","255","","","235.0"
"228","Devontae Booker","","","RB72","250","244","","","235.3"
"229","Alfred Morris","","","RB73","228","263","","","237.0"
"230","T.J. Yeldon","","","RB74","256","214","","","237.3"
"231","Mitchell Trubisky","BUF","6","QB32","263","223","","","238.3"
"232","Matt Breida","","","RB75","233","249","","","238.7"
"233","Tarik Cohen","","","RB76","236","259","","","239.7"
"234","Pittsburgh Steelers","DST","9","DST10","197","210","","","203.5"
"235","De","","'Angelo Henderson Sr.","","","RB77","230","267","","","241.0"
"236","Philadelphia Eagles","DST","10","DST11","201","216","","","208.5"
"237","ArDarius Stewart","","","WR86","241","262","","","244.3"
"238","Jacksonville Jaguars","DST","8","DST12","208","212","","","210.0"
"239","Mike Glennon","","","QB33","","199","","","212.0"
"240","Curtis Samuel","BUF","6","WR87","237","281","","","246.3"
"241","Josh Gordon","","","WR88","259","247","","","246.3"
"242","Los Angeles Rams","DST","8","DST13","222","205","","","213.5"
"243","Jimmy Garoppolo","LAR","8","QB34","260","260","","","250.3"
"244","Baltimore Ravens","DST","10","DST14","212","225","","","218.5"
"245","Vernon Davis","","","TE32","269","261","","","252.7"
"246","Brandon LaFell","","","WR89","238","303","","","254.3"
"247","Anquan Boldin","","","WR90","","234","","","224.5"
"248","Terrance Williams","","","WR91","271","266","","","254.7"
"249","Atlanta Falcons","DST","5","DST15","216","240","","","228.0"
"250","George Kittle","SF","11","TE33","267","269","","","257.0"
"251","Los Angeles Chargers","DST","9","DST16","225","232","","","228.5"
"252","Justin Tucker","","","K1","145","","","","145.0"
"253","Dede Westbrook","","","WR92","249","265","","","259.3"
"254","Benjamin Watson","","","TE34","255","308","","","259.7"
"255","Stephen Gostkowski","","","K2","151","","","","151.0"
"256","Phillip Dorsett","II","","WR93","243","279","","","261.0"
"257","Josh McCown","","","QB35","","219","","","234.5"
"258","Tyler Boyd","","","WR94","264","274","","","262.0"
"259","Branden Oliver","","","RB78","262","288","","","262.3"
"260","Tyler Higbee","LAR","8","TE35","257","275","","","263.0"
"261","Jermaine Kearse","","","WR95","232","304","","","263.3"
"262","Javorius Allen","","","RB79","254","291","","","263.7"
"263","Tampa Bay Buccaneers","DST","1","DST17","234","243","","","238.5"
"264","Tim Hightower","","","RB80","","242","","","239.0"
"265","Tom Savage","","","QB36","","218","","","240.0"
"266","Las Vegas Raiders","DST","","DST18","247","233","","","240.0"
"267","Matt Bryant","","","K3","166","","","","166.0"
"268","JuJu Smith-Schuster","KC","10","WR96","244","326","","","269.3"
"269","Dan Bailey","","","K4","172","","","","172.0"
"270","Jerick McKinnon","","","RB81","","239","","","246.0"
"271","Cincinnati Bengals","DST","6","DST19","253","241","","","247.0"
"272","Green Bay Packers","DST","8","DST20","252","245","","","248.5"
"273","Mason Crosby","","","K5","183","","","","183.0"
"274","Laquon Treadwell","IND","11","WR97","251","329","","","277.3"
"275","Dennis Pitta","","","TE36","","191","","","191.0"
"276","Brandon Coleman","","","WR98","","277","","","254.5"
"277","Miami Dolphins","DST","1","DST21","273","236","","","254.5"
"278","Eli Rogers","","","WR99","265","314","","","274.7"
"279","Tony Romo","","","QB37","","195","","","195.0"
"280","Orleans Darkwa","","","RB82","268","297","","","276.7"
"281","Kyle Juszczyk","SF","11","RB83","272","300","","","277.0"
"282","Patrick Mahomes II","KC","10","QB38","275","302","","","277.7"
"283","Paxton Lynch","","","QB39","","254","","","260.0"
"284","Cleveland Browns","DST","9","DST22","277","246","","","261.5"
"285","Buffalo Bills","DST","6","DST23","270","256","","","263.0"
"286","Kasen Williams","","","WR100","","251","","","263.5"
"287","Kenyan Drake","","","RB84","","284","","","264.0"
"288","Damiere Byrd","","","WR101","","238","","","265.0"
"289","Gerald Everett","","","TE37","258","319","","","283.0"
"290","Ladarius Green","","","TE38","","217","","","217.0"
"291","Zach Zenner","","","RB85","","292","","","266.5"
"292","Taywan Taylor","","","WR102","266","333","","","289.0"
"293","Chris Godwin","TB","1","WR103","248","359","","","298.0"
"294","Ryan Mathews","","","RB86","","272","","","269.5"
"295","Michael Floyd","","","WR104","","283","","","271.5"
"296","Cordarrelle Patterson","PIT","9","RB87","","295","","","272.0"
"297","Jermaine Gresham","","","TE39","","286","","","272.0"
"298","Dallas Cowboys","DST","6","DST24","276","270","","","273.0"
"299","Erik Swoope","","","TE40","","311","","","275.0"
"300","Tennessee Titans","DST","8","DST25","274","276","","","275.0"
"301","Indianapolis Colts","DST","11","DST26","281","271","","","276.0"
"302","Donnel Pumphrey","","","RB88","","356","","","298.0"
"303","DeAngelo Williams","","","RB89","","280","","","279.0"
"304","Dion Sims","","","TE41","","325","","","284.0"
"305","Victor Cruz","","","WR105","","289","","","280.0"
"306","Braxton Miller","","","WR106","","330","","","288.5"
"307","Jeremy Langford","","","RB90","","320","","","285.5"
"308","Chris Ivory","","","RB91","","296","","","286.5"
"309","New Orleans Saints","DST","5","DST27","283","290","","","286.5"
"310","Jeremy McNichols","WAS","5","RB92","","306","","","287.5"
"311","Brock Osweiler","","","QB40","","273","","","287.5"
"312","Wayne Gallman Jr.","","","RB93","","293","","","288.5"
"313","Aaron Jones Sr.","MIN","9","RB94","","343","","","303.0"
"314","T.J. Logan","","","RB95","","264","","","264.0"
"315","Rico Gathers","","","TE42","","299","","","290.0"
"316","Chad Williams","","","WR107","","268","","","268.0"
"317","Gary Barnidge","","","TE43","","310","","","291.5"
"318","Chad Henne","","","QB41","","278","","","291.5"
"319","Jeremy Kerley","","","WR108","","328","","","299.0"
"320","Mack Hollins","NE","9","WR109","","340","","","307.0"
"321","Kamar Aiken","","","WR110","","336","","","305.5"
"322","Damien Williams","","","RB96","","285","","","296.5"
"323","Chicago Bears","DST","9","DST28","278","321","","","299.5"
"324","Adam Shaheen","","","TE44","","350","","","314.5"
"325","San Francisco 49ers","DST","11","DST29","279","352","","","315.5"
"326","Kerwynn Williams","","","RB97","","332","","","306.0"
"327","Washington Commanders","DST","5","DST30","280","354","","","317.0"
"328","Detroit Lions","DST","7","DST31","282","315","","","298.5"
"329","Markus Wheaton","","","WR111","","363","","","322.5"
"330","Bruce Ellington","","","WR112","","312","","","299.0"
"331","Dontrelle Inman","","","WR113","","345","","","314.0"
"332","Seth DeValve","","","TE45","","388","","","336.5"
"333","Andre Ellington","","","RB98","","294","","","300.5"
"334","Teddy Bridgewater","","","QB42","","287","","","287.0"
"335","Matt Jones","","","RB99","","307","","","301.0"
"336","Maxx Williams","","","TE46","","358","","","323.0"
"337","Akeem Hunt","","","RB100","","","","","289.0"
"338","Ryan Switzer","","","WR114","","","","","290.0"
"339","Seth Roberts","","","WR115","","364","","","327.5"
"340","Jaelen Strong","","","WR116","","331","","","312.0"
"341","Dwayne Washington","","","RB101","","334","","","314.0"
"342","Sammie Coates","","","WR117","","361","","","328.5"
"343","Matt Moore","","","QB43","","316","","","306.5"
"344","Geronimo Allison","","","WR118","","389","","","343.5"
"345","Austin Carr","","","WR119","","","","","299.0"
"346","Cody Kessler","","","QB44","","301","","","307.0"
"347","Aldrick Robinson","","","WR120","","","","","300.0"
"348","Trey Burton","","","TE47","","377","","","339.0"
"349","Wendall Williams","","","WR121","","","","","303.0"
"350","Colin Kaepernick","","","QB45","","327","","","315.5"
"351","New York Jets","DST","11","DST32","","305","","","305.0"
"352","Fitzgerald Toussaint","","","RB102","","","","","306.0"
"353","Malcolm Brown","","","RB103","","309","","","309.0"
"354","Corey Clement","","","RB104","","","","","309.0"
"355","A.J. Derby","","","TE48","","380","","","345.0"
"356","C.J. Spiller","","","RB105","","335","","","323.0"
"357","Andre Holmes","","","WR122","","365","","","338.5"
"358","Mike Tolbert","","","RB106","","313","","","314.0"
"359","Alfred Blue","","","RB107","","324","","","319.0"
"360","Cameron Artis-Payne","","","RB108","","317","","","317.0"
"361","Matt Asiata","","","RB109","","318","","","318.0"
"362","Brian Quick","","","WR123","","322","","","322.0"
"363","Will","Tye","","TE49","","323","","","323.0"
"364","Alex Collins","","","RB110","","337","","","337.0"
"365","Travaris Cadet","","","RB111","","338","","","338.0"
"366","Richard Rodgers","","","TE50","","339","","","339.0"
"367","Ryan Griffin","","","TE51","","341","","","341.0"
"368","Tajae Sharpe","","","WR124","","342","","","342.0"
"369","Marquess Wilson","","","WR125","","344","","","344.0"
"370","Marcedes Lewis","","","TE52","","346","","","346.0"
"371","Vincent Jackson","","","WR126","","347","","","347.0"
"372","Lance Dunbar","","","RB112","","348","","","348.0"
"373","Chester Rogers","","","WR127","","349","","","349.0"
"374","Larry Donnell","","","TE53","","351","","","351.0"
"375","Tyler Ervin","","","RB113","","353","","","353.0"
"376","Lance Kendricks","","","TE54","","355","","","355.0"
"377","Christine Michael","","","RB114","","357","","","357.0"
"378","Adam Humphries","","","WR128","","360","","","360.0"
"379","Demarcus Robinson","SF","11","WR129","","362","","","362.0"
"380","Clive Walford","","","TE55","","366","","","366.0"
"381","Carlos Henderson","","","WR130","","367","","","367.0"
"382","Jake Butt","","","TE56","","368","","","368.0"
"383","Justin Hunter","","","WR131","","369","","","369.0"
"384","Jordan Leggett","","","TE57","","370","","","370.0"
"385","Christian Hackenberg","","","QB46","","371","","","371.0"
"386","Leonte Carroo","","","WR132","","372","","","372.0"
"387","Landry Jones","","","QB47","","373","","","373.0"
"388","Virgil Green","","","TE58","","374","","","374.0"
"389","Elijah Hood","","","RB115","","375","","","375.0"
"390","Benny Cunningham Jr.","","","RB116","","376","","","376.0"
"391","Elijah McGuire","","","RB117","","378","","","378.0"
"392","Shaun Draughn","","","RB118","","379","","","379.0"
"393","Albert Wilson","","","WR133","","381","","","381.0"
"394","AJ McCarron","","","QB48","","382","","","382.0"
"395","Jeff Heuerman","","","TE59","","383","","","383.0"
"396","Charone Peake","","","WR134","","384","","","384.0"
"397","Rashad Jennings","","","RB119","","385","","","385.0"
"398","Ricardo Louis","","","WR135","","386","","","386.0"
"399","Calvin Johnson","","","WR136","","387","","","387.0"
"400","Devante Mays","","","RB120","","390","","","390.0"
"401","Ryan Fitzpatrick","","","QB49","","391","","","391.0"
""
""
