"Rank","Player","Team","Bye","POS","BB10","RTSports","Underdog","Drafters","AVG"
"45","Lamar Miller","","","RB21","52","48","","","45.3"
"46","Allen Robinson","II","","WR21","39","53","","","48.3"
"47","Golden Tate","","","WR22","45","45","","","49.0"
"48","Dion Lewis","","","RB22","49","50","","","50.0"
"49","Josh Gordon ","","","WR23","46","55","","","50.3"
"50","Marvin Jones Jr. ","","","WR24","51","54","","","53.3"
"51","Deshaun Watson","CLE","11","QB2","73","44","","","56.3"
"52","Jimmy Graham","","","TE4","64","51","","","56.3"
"53","Chris Hogan","","","WR25","71","57","","","56.7"
"54","Carlos Hyde","","","RB23","57","65","","","60.0"
"55","Marquise Goodwin","","","WR26","77","58","","","60.7"
"56","Russell Wilson","NYG","9","QB3","65","52","","","60.7"
"57","Corey Davis","","","WR27","62","61","","","62.0"
"58","Greg lsen","O","","TE5","66","59","","","63.0"
"59","Rex Burkhead","","","RB24","68","66","","","63.3"
"60","Tevin Coleman","","","RB25","56","68","","","63.3"
"61","Tom Brady","","","QB4","79","56","","","65.7"
"62","Michael Crabtree","","","WR28","58","73","","","66.7"
"63","Marshawn Lynch ","","","RB26","80","74","","","67.3"
"64","Evan Engram","DEN","10","TE6","55","70","","","67.3"
"65","Emmanuel Sanders ","","","WR29","74","71","","","68.0"
"66","Julian Edelman ","","","WR30","60","77","","","69.0"
"67","Sony Michel","","","RB27","54","82","","","70.0"
"68","William Fuller V ","","","WR31","78","64","","","72.7"
"69","Cam Newton ","","","QB5","89","60","","","73.3"
"70","Alshon Jeffery","","","WR32","50","86","","","74.0"
"71","Kerryon Johnson ","","","RB28","87","75","","","74.3"
"72","Rashaad Penny","","","RB29","53","93","","","74.7"
"73","Jamaal Williams","","","RB30","83","87","","","76.7"
"74","Delanie Walker ","","","TE7","81","72","","","78.3"
"75","Sammy Watkins","","","WR33","61","100","","","78.7"
"76","Tarik Cohen","","","RB31","69","85","","","79.7"
"77","Drew Brees","","","QB6","95","69","","","81.0"
"78","Devin Funchess","","","WR34","63","95","","","82.0"
"79","Trey Burton ","","","TE8","96","83","","","82.3"
"80","Kyle Rudolph","","","TE9","86","80","","","83.0"
"81","Jordan Reed ","","","TE10","100","63","","","84.0"
"82","Cooper Kupp","SEA","7 ","WR35","76","96","","","84.0"
"83","Chris Carson","","","RB32","115","67","","","84.7"
"84","Jamison Crowder","","","WR36","82","76","","","85.0"
"85","Robert Woods","PIT","7","WR37","70","98","","","86.3"
"86","Isaiah Crowell ","","","RB33","93","79","","","87.3"
"87","Duke Johnson Jr.","","","RB34","75","84","","","89.3"
"88","Robbie Chosen","","","WR38","99","94","","","91.3"
"89","Pierre Garcon ","","","WR39","84","90","","","91.7"
"90","Ronald Jones","II","","RB35","72","99","","","93.0"
"91","Carson Wentz ","","","QB7","97","81","","","94.3"
"92","Nelson Agholor","","","WR40","91","109","","","95.7"
"93","Matthew Stafford","LAR","12","QB8","110","78","","","98.0"
"94","Kirk Cousins","ATL","8","QB9","107","89","","","98.7"
"95","Randall Cobb","","","WR41","90","112","","","98.7"
"96","Andrew Luck","","","QB10","117","88","","","100.0"
"97","Marlon Mack","","","RB36","94","103","","","100.0"
"98","Aaron Jones r.","MIN","10 S","RB37","88","114","","","101.3"
"99","Jordy Nelson","","","WR42","92","110","","","103.0"
"100","David Johnson","","","RB38","3","3","","","103.3"
"101","James White","","","RB39","109","113","","","104.7"
"102","Ben Roethlisberger","","","QB11","113","92","","","105.3"
"103","Sterling Shepard","TB","5","WR43","102","118","","","106.0"
"104","David Njoku","CLE","11","TE11","122","105","","","106.7"
"105","Jack Doyle ","","","TE12","104","108","","","107.3"
"106","Jimmy Garoppolo","LAR","12 ","QB12","111","102","","","108.3"
"107","Kenny Stills","","","WR44","105","124","","","109.3"
"108","Philip Rivers","","","QB13","118","101","","","110.7"
"109","Peyton Barber","","","RB40","154","111","","","112.7"
"110","C.J. Anderson","","","RB41","98","107","","","113.0"
"111","Kelvin Benjamin","","","WR45","108","116","","","113.0"
"112","Matt Ryan","","","QB14","127","97","","","113.7"
"113","Nick Chubb","HOU","10","RB42","85","133","","","115.0"
"114","George Kittle","SF","11","TE13","112","117","","","115.0"
"115","Patrick Mahomes II","KC","12","QB15","126","106","","","115.3"
"116","Jared Goff","DET","6","QB16","124","115","","","121.3"
"117","DeVante Parker","","","WR46","103","120","","","123.7"
"118","Marcus Mariota","WAS","4","QB17","128","119","","","126.7"
"119","Giovani Bernard","","","RB43","116","146","","","128.3"
"120","Mike Williams","LAC","8","WR47","155","128","","","129.0"
"121","Ty Montgomery","II","","RB44","120","138","","","130.0"
"122","Allen Hurns","","","WR48","133","122","","","130.3"
"123","Alex Smith ","","","QB18","139","126","","","133.3"
"124","Tyler Eifert ","","","TE14","136","135","","","134.0"
"125",".J. Howard","O","","TE15","130","143","","","134.3"
"126","DJ Moore","CHI","5","WR49","142","127","","","135.3"
"127","Kenny Golladay","","","WR50","132","158","","","136.0"
"128","Theo Riddick","","","RB45","114","134","","","136.3"
"129","Cameron Meredith ","","","WR51","135","123","","","136.7"
"130","Corey Clement","","","RB46","134","153","","","137.7"
"131","Bilal Powell ","","","RB47","138","156","","","138.0"
"132","Chris Thompson","","","RB48","67","62","","","138.3"
"133","Derek Carr","","","QB19","150","121","","","138.7"
"134","Devontae Booker","","","RB49","125","139","","","139.0"
"135","Matt Breida ","","","RB50","159","141","","","139.7"
"136","Dak Prescott","DAL","8","QB20","144","131","","","141.7"
"137","Keelan Cole Sr.","","","WR52","166","140","","","142.7"
"138","Calvin Ridley","TEN","8","WR53","143","145","","","143.7"
"139","Tyler Lockett","TEN","8","WR54","137","180","","","146.0"
"140","Latavius Murray","","","RB51","153","162","","","146.3"
"141","Jameis Winston","NYG","9 ","QB21","149","142","","","146.7"
"142","Adrian Peterson","","","RB52","213","132","","","147.0"
"143","Michael Gallup","WAS","4","WR55","178","129","","","149.0"
"144","Josh Doctson","","","WR56","131","159","","","150.7"
"145","Austin Seferian-Jenkins","","","TE16","157","136","","","153.0"
"146","Eric Ebron","","","TE17","151","173","","","155.3"
"147","Cameron Brate","","","TE18","141","157","","","156.0"
"148","John Brown","","","WR57","186","155","","","156.3"
"149","Chris Godwin","TB","5","WR58","165","167","","","157.0"
"150","Rishard Matthews","","","WR59","123","195","","","157.7"
"151","D","","'Onta Foreman","","","RB53","129","154","","","158.0"
"152","Anthony Miller","BAL","10","WR60","174","172","","","158.3"
"153","Eli Manning","","","QB22","177","151","","","160.7"
"154","LeGarrette Blount","","","RB54","161","179","","","162.3"
"155","Jared Cook","","","TE19","158","171","","","162.7"
"156","Austin Hooper","NE","11","TE20","169","170","","","163.3"
"157","Jordan Wilkins","","","RB55","192","161","","","163.7"
"158","Blake Bortles","","","QB23","164","163","","","163.7"
"159","Dez Bryant ","","","WR61","106","197","","","164.0"
"160","Charles Clay","","","TE21","162","176","","","164.7"
"161","Dede Westbrook","","","WR62","170","164","","","164.7"
"162","Andy Dalton","CAR","4 ","QB24","180","148","","","166.7"
"163","Austin Ekeler","WAS","4","RB56","175","169","","","167.0"
"164","Case Keenum","CHI","5","QB25","171","165","","","167.0"
"165","Marqise Lee ","","","WR63","119","186","","","168.0"
"166","Mitchell Trubisky","BUF","11","QB26","160","177","","","168.3"
"167","Nyheim Hines","","","RB57","156","168","","","169.0"
"168","Paul Richardson Jr. ","","","WR64","152","189","","","170.0"
"169","DeSean Jackson","","","WR65","145","199","","","173.7"
"170","Mohamed Sanu Sr.","","","WR66","140","204","","","174.0"
"171","Mike Gesicki","CIN","9","TE22","189","160","","","176.0"
"172","Benjamin Watson","","","TE23","179","188","","","176.7"
"173","Tyrell Williams","","","WR67","163","198","","","177.3"
"174","Alfred Morris","","","RB58","240","152","","","177.7"
"175","Doug Martin","","","RB59","176","174","","","179.0"
"176","John Ross","","","WR68","206","191","","","180.3"
"177","Jacksonville Jaguars","DST","9","DST1","121","104","","","112.5"
"178","Ricky Seals-Jones","","","TE24","181","196","","","181.3"
"179","Vance McDonald","","","TE25","173","190","","","183.0"
"180","Ted Ginn Jr.","","","WR69","148","229","","","183.3"
"181","T.J. Yeldon","","","RB60","198","184","","","185.7"
"182","Martavis Bryant ","","","WR70","146","201","","","186.3"
"183","Geronimo Allison ","","","WR71","202","213","","","187.0"
"184","Courtland Sutton","DEN","10","WR72","194","214","","","194.0"
"185","Samaje Perine","CIN","9","RB61","188","181","","","194.3"
"186","Javorius Allen","","","RB62","196","194","","","195.0"
"187","Christian Kirk","HU","10 O","WR73","197","209","","","196.0"
"188","Los Angeles Rams","DST","12","DST2","147","125","","","136.0"
"189","Tyrod Taylor","NYJ","11","QB27","203","202","","","196.7"
"190","James Conner","ARI","9","RB63","234","200","","","197.3"
"191","Ryan Tannehill","","","QB28","211","193","","","198.0"
"192","Spencer Ware","","","RB64","201","215","","","199.0"
"193","Danny Amendola","","","WR74","195","223","","","199.3"
"194","Hayden Hurst","","","TE26","215","178","","","199.7"
"195","Frank Gore ","","","RB65","190","218","","","200.7"
"196","James Washington","","","WR75","205","228","","","203.0"
"197","Donte Moncrief","","","WR76","193","231","","","204.0"
"198","Minnesota Vikings","DST","10","DST3","167","130","","","148.5"
"199","Mike Wallace ","","","WR77","183","236","","","205.3"
"200","Philadelphia Eagles","DST","9","DST4","168","137","","","152.5"
"201","Joe Flacco","CLE","11","QB29","229","203","","","208.0"
"202","Taywan Taylor","","","WR78","228","217","","","209.7"
"203","Los Angeles Chargers","DST","8","DST5","172","144","","","158.0"
"204","Ryan Grant ","","","WR79","220","220","","","211.0"
"205","Chris Ivory","","","RB66","216","221","","","212.3"
"206","Jeremy Hill ","","","RB67","231","208","","","214.7"
"207","Quincy Enunwa","","","WR80","207","238","","","215.7"
"208","Houston Texans","DST","10","DST6","184","147","","","165.5"
"209","Baltimore Ravens","DST","10","DST7","182","149","","","165.5"
"210","Denver Broncos","DST","10","DST8","191","150","","","170.5"
"211","Robert Kelley","","","RB68","244","210","","","219.3"
"212","Baker Mayfield","TB","5","QB30","243","212","","","221.3"
"213","New Orleans Saints","DST","6","DST9","187","166","","","176.5"
"214","Sam Darnold","SEA","7","QB31","262","211","","","223.7"
"215","Sam Bradford","","","QB32","250","207","","","224.0"
"216","Vernon Davis","","","TE27","225","250","","","225.3"
"217","Kalen Ballage","","","RB69","221","237","","","225.3"
"218","Darren Sproles","","","RB70","223","239","","","226.3"
"219","John Kelly Jr.","","","RB71","241","246","","","227.7"
"220","Kenneth Dixon","","","RB72","210","260","","","230.7"
"221","New England Patriots","DST","11","DST10","204","175","","","189.5"
"222","Antonio Gates","","","TE28","260","233","","","232.0"
"223","Pittsburgh Steelers","DST","7","DST11","199","182","","","190.5"
"224","Tre","","'Quan Smith","","","WR81","259","232","","","232.7"
"225","Dallas Goedert","PHI","9","TE29","246","245","","","233.0"
"226","Chicago Bears","DST","5","DST12","200","187","","","193.5"
"227","Albert Wilson ","","","WR82","214","261","","","235.3"
"228","Terrelle Pryor Sr.","","","WR83","227","253","","","235.7"
"229","Carolina Panthers","DST","4","DST13","209","183","","","196.0"
"230","Jake Butt ","","","TE30","236","258","","","236.7"
"231","Chase Edmonds","","","RB73","270","225","","","238.0"
"232","Cole Beasley","","","WR84","249","255","","","239.0"
"233","Phillip Dorsett","II","","WR85","293","216","","","239.7"
"234","Kansas City Chiefs","DST","12","DST14","219","185","","","202.0"
"235","Lamar Jackson","BAL","10","QB33","253","240","","","240.3"
"236","Seattle Seahawks","DST","7","DST15","224","192","","","208.0"
"237","Luke Willson","","","TE31","233","277","","","246.3"
"238","Brandon Marshall","","","WR86","267","252","","","248.0"
"239","Atlanta Falcons","DST","8","DST16","222","206","","","214.0"
"240","Rod Smith","","","RB74","275","249","","","249.3"
"241","Tennessee Titans","DST","8","DST17","218","219","","","218.5"
"242","Jonathan Stewart","","","RB75","254","244","","","251.7"
"243","Cordarrelle Patterson","PIT","7","RB76","279","267","","","252.3"
"244","Tyler Kroft ","","","TE32","226","297","","","252.7"
"245","Arizona Cardinals","DST","9","DST18","237","205","","","221.0"
"246","Nick Foles","","","QB34","301","222","","","253.3"
"247","Detroit Lions","DST","6","DST19","217","230","","","223.5"
"248","Wayne Gallman Jr.","","","RB77","263","269","","","255.3"
"249","Antonio Callaway","","","WR87","282","266","","","256.0"
"250","Corey Coleman","","","WR88","232","281","","","258.7"
"251","Jermaine Kearse","","","WR89","235","276","","","258.7"
"252","Dante Pettis","N","6 O","WR90","265","262","","","258.7"
"253","Josh Allen","BUF","11","QB35","316","224","","","260.3"
"254","Green Bay Packers","DST","7","DST20","239","226","","","232.5"
"255","Ryan Griffin","","","TE33","315","247","","","261.0"
"256","Jonathan Williams","","","RB78","283","274","","","261.0"
"257","Terrance Williams","","","WR91","271","285","","","263.0"
"258","Corey Grant ","","","RB79","261","288","","","263.0"
"259","Gerald Everett","","","TE34","230","302","","","263.3"
"260","Josh Rosen","","","QB36","285","257","","","263.3"
"261","Mike Gillislee","","","RB80","298","263","","","263.7"
"262","Taylor Gabriel","","","WR92","238","301","","","264.0"
"263","Nick Vannett","","","TE35","286","284","","","264.3"
"264","Hunter Henry","NE","11","TE36","212","","","","239.5"
"265","Jaron Brown","","","WR93","280","283","","","267.0"
"266","Ameer Abdullah","","","RB81","266","270","","","267.3"
"267","Cleveland Browns","DST","11","DST21","251","235","","","243.0"
"268","Jake Kumerow","","","WR94","343","248","","","276.7"
"269","C.J. Prosise ","","","RB82","277","280","","","269.0"
"270","Kevin White ","","","WR95","288","278","","","269.7"
"271","Tavon Austin","","","WR96","252","311","","","269.7"
"272","Dallas Cowboys","DST","8","DST22","264","234","","","249.0"
"273","Buffalo Bills","DST","11","DST23","245","256","","","250.5"
"274","Elijah McGuire","","","RB83","248","292","","","273.0"
"275","Jaylen Samuels","","","RB84","281","298","","","273.7"
"276","Willie Snead","IV","","WR97","256","307","","","274.0"
"277","Cincinnati Bengals","DST","9","DST24","257","251","","","254.0"
"278","Virgil Green","","","TE37","287","293","","","275.0"
"279","Tampa Bay Buccaneers","DST","5","DST25","242","268","","","255.0"
"280","San Francisco 49ers","DST","11","DST26","258","254","","","256.0"
"281","New York Giants","DST","9","DST27","272","242","","","257.0"
"282","Phillip Lindsay","","","RB85","338","265","","","286.0"
"283","Jordan Matthews","","","TE38","208","","","","208.0"
"284","DJ Chark Jr.","","","WR98","307","295","","","282.0"
"285","Zay Jones","ARI","9","WR99","276","287","","","282.7"
"286","Tyler Higbee","LAR","12","TE39","322","271","","","284.7"
"287","Washington Commanders","DST","4","DST28","255","279","","","267.0"
"288","Travis Benjamin","","","WR100","295","304","","","283.7"
"289","Trent Taylor","SF","11","WR101","278","309","","","283.7"
"290","Torrey Smith","","","WR102","284","286","","","285.7"
"291","Alfred Blue","","","RB86","353","290","","","298.0"
"292","Jesse James","","","TE40","300","313","","","286.7"
"293","Ryan Fitzpatrick","","","QB37","420","275","","","321.0"
"294","Boston Scott","","","RB87","310","","","","273.0"
"295","Rico Gathers","","","TE41","273","","","","275.0"
"296","Tyler Boyd","","","WR103","319","291","","","290.7"
"297","New York Jets","DST","11","DST29","314","241","","","277.5"
"298","Chris Warren","III","","RB88","333","243","","","288.0"
"299","Josh McCown","","","QB38","313","259","","","292.7"
"300","Curtis Samuel","BUF","11","WR104","302","316","","","292.7"
"301","Chester Rogers","","","WR105","291","","","","282.0"
"302","Chad Williams","","","WR106","331","273","","","298.3"
"303","Marcus Murphy ","","","RB89","370","294","","","311.3"
"304","Christine Michael","","","RB90","334","315","","","301.0"
"305","Jonnu Smith","PIT","7 ","TE42","299","","","","285.5"
"306","Jalen Richard","","","RB91","340","296","","","304.0"
"307","Las Vegas Raiders","DST","","DST30","309","264","","","286.5"
"308","Laquon Treadwell","IND","9","WR107","328","","","","292.0"
"309","Keke Coutee","","","WR108","294","","","","287.0"
"310","Jordan Akins","","","TE43","372","300","","","315.7"
"311","Ed Dickson","","","TE44","274","305","","","289.5"
"312","Jeff Heuerman ","","","TE45","367","282","","","317.0"
"313","Adam Shaheen","","","TE46","268","","","","268.0"
"314","Marquez Valdes-Scantling","SEA","7","WR109","341","","","","305.0"
"315","Blake Jarwin","","","TE47","323","","","","297.0"
"316","AJ McCarron","","","QB39","350","272","","","311.0"
"317","Bo Scarbrough","","","RB92","296","","","","295.0"
"318","Brice Butler","","","WR110","292","","","","295.5"
"319","Jacob Hollister","","","TE48","363","","","","318.5"
"320","J.J. Nelson","","","WR111","304","308","","","303.0"
"321","Stephen Anderson","","","TE49","289","306","","","297.5"
"322","Bruce Ellington","","","WR112","390","","","","334.0"
"323","Malcolm Brown ","","","RB93","345","","","","313.0"
"324","Javon Wims","","","WR113","384","","","","333.0"
"325","J","","'Mon Moore","","","WR114","325","","","","304.0"
"326","David Moore","CAR","4","WR115","433","","","","360.5"
"327","Tony Romo","","","QB40","","","","","289.0"
"328","DeAndre Washington","","","RB94","382","289","","","335.5"
"329","Orleans Darkwa","","","RB95","290","","","","290.0"
"330","Braxton Miller","","","WR116","","","","","290.0"
"331","Jacquizz Rodgers","","","RB96","377","","","","334.5"
"332","Wendell Smallwood","","","RB97","342","","","","317.5"
"333","Mark Andrews","BAL","10","TE50","337","","","","316.0"
"334","Equanimeous St. Brown","","","WR117","318","","","","307.0"
"335","Justin Jackson","","","RB98","297","","","","297.0"
"336","Garrett Celek","","","TE51","327","","","","312.5"
"337","J.D. McKissic","","","RB99","339","299","","","319.0"
"338","Kyle Juszczyk","SF","11","RB100","336","","","","318.0"
"339","Teddy Bridgewater","","","QB41","373","310","","","330.0"
"340","Chris Herndon","IV","","TE52","376","","","","338.5"
"341","Calvin Johnson","","","WR118","","","","","303.0"
"342","Malcolm Mitchell","","","WR119","303","","","","303.0"
"343","Jacoby Brissett","ARI","9","QB42","360","303","","","331.5"
"344","Elijhaa Penny","","","RB101","305","","","","305.0"
"345","Kamar Aiken","","","WR120","467","","","","386.0"
"346","De","","'Angelo Henderson Sr.","","","RB102","306","","","","306.0"
"347","Mark Walton","","","RB103","308","","","","308.0"
"348","Joe Williams","","","RB104","311","","","","311.0"
"349","Kendall Wright","","","WR121","312","","","","312.0"
"350","Adam Humphries","","","WR122","317","312","","","314.5"
"351","Seth DeValve","","","TE53","448","314","","","381.0"
"352","Cameron Artis-Payne","","","RB105","321","","","","321.0"
"353","Josh Reynolds","NYJ","11","WR123","326","","","","326.0"
"354","Michael Roberts","","","TE54","329","","","","329.0"
"355","Miami Dolphins","DST","11","DST31","330","","","","330.0"
"356","Henry Krieger-Coble","","","TE55","332","","","","332.0"
"357","Mack Hollins","NE","11","WR124","335","","","","335.0"
"358","Jeremy Maclin ","","","WR125","344","","","","344.0"
"359","Charles Sims","","","RB106","346","","","","346.0"
"360","Josh Adams","","","RB107","347","","","","347.0"
"361","Marcedes Lewis","","","TE56","348","","","","348.0"
"362","Brandon LaFell ","","","WR126","349","","","","349.0"
"363","Kapri Bibbs","","","RB108","351","","","","351.0"
"364","Indianapolis Colts","DST","9","DST32","352","","","","352.0"
"365","Kenny Britt","","","WR127","354","","","","354.0"
"366","Amara Darboh","","","WR128","355","","","","355.0"
"367","Terrance West","","","RB109","356","","","","356.0"
"368","Jeremy McNichols","WAS","4","RB110","357","","","","357.0"
"369","Jeremy Kerley","","","WR129","358","","","","358.0"
"370","Chris Thompson","","","WR130","359","","","","359.0"
"371","Deonte Thompson","","","WR131","361","","","","361.0"
"372","Charcandrick West","","","RB111","362","","","","362.0"
"373","Mike Davis","","","RB112","364","","","","364.0"
"374","Akrum Wadley","","","RB113","365","","","","365.0"
"375","Thomas Rawls","","","RB114","368","","","","368.0"
"376","Kevin Hogan","","","QB43","369","","","","369.0"
"377","Carlos Henderson","","","WR132","371","","","","371.0"
"378","DaeSean Hamilton","","","WR133","374","","","","374.0"
"379","Demarcus Robinson","SF","11","WR134","375","","","","375.0"
"380","Josh Hill","","","TE57","378","","","","378.0"
"381","Ryan Switzer","","","WR135","379","","","","379.0"
"382","Geoff Swaim ","","","TE58","380","","","","380.0"
"383","Robert Turbin ","","","RB115","381","","","","381.0"
"384","Trenton Cannon","","","RB116","383","","","","383.0"
"385","Braxton Berrios","HOU","10","WR136","385","","","","385.0"
"386","Ian Thomas","LV","","TE59","386","","","","386.0"
"387","Damien Williams","","","RB117","387","","","","387.0"
"388","Hakeem Valles","","","TE60","388","","","","388.0"
"389","Ito Smith ","","","RB118","389","","","","389.0"
"390","Trey Edmunds","","","RB119","391","","","","391.0"
"391","Roc Thomas","","","RB120","392","","","","392.0"
"392","Brandon Coleman","","","WR137","393","","","","393.0"
"393","Cody Latimer","","","WR138","394","","","","394.0"
"394","Jakeem Grant Sr.","","","WR139","395","","","","395.0"
"395","Rashard Higgins","","","WR140","396","","","","396.0"
"396","Jermaine Gresham","","","TE61","397","","","","397.0"
"397","Coby Fleener","","","TE62","398","","","","398.0"
"398","Dion Sims","","","TE63","399","","","","399.0"
"399","Auden Tate","","","WR141","400","","","","400.0"
"400","Chad Hansen","","","WR142","401","","","","401.0"
"401","Mason Rudolph","PIT","7","QB44","402","","","","402.0"
"402","Chris Conley","","","WR143","403","","","","403.0"
"403","Tajae Sharpe","","","WR144","404","","","","404.0"
"404","Niles Paul","","","TE64","405","","","","405.0"
"405","Nick Boyle","","","TE65","406","","","","406.0"
"406","Benny Cunningham Jr.","","","RB121","407","","","","407.0"
"407","Dalton Schultz","HOU","10","TE66","408","","","","408.0"
"408","Armanti Foreman","","","WR145","409","","","","409.0"
"409","T.J. Logan","","","RB122","410","","","","410.0"
"410","Ray-Ray McCloud III","ATL","8","WR146","411","","","","411.0"
"411","Brent Celek","","","TE67","413","","","","413.0"
"412","Richie James Jr.","","","WR147","414","","","","414.0"
"413","Nick Bellore","WAS","4","LB1","415","","","","415.0"
"414","Lamar Jordan","","","QB45","416","","","","416.0"
"415","Shelton Gibson","","","WR148","417","","","","417.0"
"416","Charone Peake","","","WR149","418","","","","418.0"
"417","Kenneth Farrow","","","RB123","419","","","","419.0"
"418","Allen Lazard","NYJ","11","WR150","421","","","","421.0"
"419","Andre Ellington","","","RB124","422","","","","422.0"
"420","Jordan Leggett","","","TE68","423","","","","423.0"
"421","Dwayne Allen","","","TE69","424","","","","424.0"
"422","Russell Shepard","","","WR151","425","","","","425.0"
"423","Raheem Mostert","LV"," ","RB125","426","","","","426.0"
"424","Brian Hoyer","","","QB46","427","","","","427.0"
"425","Derek Carrier","","","TE70","428","","","","428.0"
"426","Keith Ford","","","RB126","429","","","","429.0"
"427","Richard Rodgers","","","TE71","430","","","","430.0"
"428","Zach Zenner","","","RB127","431","","","","431.0"
"429","ArDarius tewart","S","","WR152","434","","","","434.0"
"430","Kerwynn Williams","","","RB128","435","","","","435.0"
"431","DeShone Kizer","","","QB47","436","","","","436.0"
"432","Travaris Cadet","","","RB129","437","","","","437.0"
"433","Trevor Siemian","","","QB48","438","","","","438.0"
"434","Aaron Ripkowski","","","RB130","439","","","","439.0"
"435","C.J. Fiedorowicz","","","TE72","440","","","","440.0"
"436","Chad Beebe","","","WR153","441","","","","441.0"
"437","Nick O","","'Leary","","","TE73","442","","","","442.0"
"438","Clive Walford","","","TE74","443","","","","443.0"
"439","Darren Fells","","","TE75","444","","","","444.0"
"440","Austin Davis","","","QB49","445","","","","445.0"
"441","Dan Arnold","","","TE76","446","","","","446.0"
"442","Jeff Janis","","","WR154","447","","","","447.0"
"443","Jamaal Charles","","","RB131","449","","","","449.0"
"444","Stevan Ridley","","","RB132","450","","","","450.0"
"445","Gehrig Dieter","","","WR155","451","","","","451.0"
"446","Chad Kelly","","","QB50","452","","","","452.0"
"447","Seth Roberts","","","WR156","453","","","","453.0"
"448","Daurice Fountain","","","WR157","454","","","","454.0"
"449","Marcus Johnson","","","WR158","455","","","","455.0"
"450","Trey Quinn","","","WR159","456","","","","456.0"
"451","Jordan Lasley","","","WR160","457","","","","457.0"
"452","Neal Sterling","","","TE77","458","","","","458.0"
"453","Kendrick Bourne","NE","11","WR161","459","","","","459.0"
"454","Terron Ward","","","RB133","460","","","","460.0"
"455","Aldrick Robinson","","","WR162","461","","","","461.0"
"456","Shane Vereen","","","RB134","462","","","","462.0"
"457","Ralph Webb","","","RB135","463","","","","463.0"
"458","C.J. Beathard","","","QB51","464","","","","464.0"
"459","A.J. Derby","","","TE78","465","","","","465.0"
"460","Demetrius Harris ","","","TE79","466","","","","466.0"
"461","Byron Marshall","","","RB136","468","","","","468.0"
"462","Keith Smith","","","RB137","469","","","","469.0"
"463","Davis Webb","","","QB52","470","","","","470.0"
"464","Troy Fumagalli","","","TE80","471","","","","471.0"
"465","Paul Perkins","","","RB138","472","","","","472.0"
"466","Tion Green","","","RB139","474","","","","474.0"
"467","Justin Hunter ","","","WR163","475","","","","475.0"
"468","Zach Pascal","NYG","9","WR164","476","","","","476.0"
"469","Zach Line","","","RB140","477","","","","477.0"
"470","Brett Hundley","","","QB53","478","","","","478.0"
"471","Josh Malone","","","WR165","479","","","","479.0"
"472","George Winn","","","RB141","480","","","","480.0"
