method,season,n,ppg_crps,ppg_mae_mean,ppg_bias,ppg_80_coverage,ppg_pit_mean,ppg_pit_ks,contribution_crps,contribution_mae_mean,contribution_bias,contribution_80_coverage,contribution_pit_mean,contribution_pit_ks,plus3_actual_rate,plus3_predicted_rate,plus3_brier,plus3_auc,plus5_actual_rate,plus5_predicted_rate,plus5_brier,plus5_auc,impact_actual_rate,impact_predicted_rate,impact_brier,impact_auc,zero_actual_rate,zero_predicted_rate,zero_brier,zero_auc,contribution_q90_spearman,tail_lift_surprise_spearman,raw_residual_mean,effective_sample_size,max_donor_probability,played_crps,played_mae_mean,played_bias,played_80_coverage,extended_absence_actual_rate,extended_absence_predicted_rate,extended_absence_brier,extended_absence_auc,zero_active_actual_rate,zero_active_predicted_rate,zero_active_brier,zero_active_auc,weighted_season_gap,weight_last3_seasons,weight_10plus_seasons,weighted_draft_distance,weighted_support_distance,mean_effective_draft_weight,draft_capital_coverage
draft_recency_hl8,2025,180.0,1.9329321830940418,2.702219092139428,0.11240827650024003,0.8277777777777777,0.49270793684105585,0.038561439573913,20.87557241517213,30.05287238836165,0.6714739423366886,0.7944444444444444,0.4891565620900532,0.04341270074295889,0.17222222222222222,0.18305182839316989,0.14265196607483097,0.5696038103485603,0.07777777777777778,0.0726071632820696,0.0723146844082101,0.5654044750430293,0.09444444444444444,0.12065225656914372,0.08394765428713061,0.667268134247564,0.044444444444444446,0.035476207292549605,0.03744471029294088,0.8219476744186046,0.5415986535752692,-0.0077780178400567905,-1.1291989613926727,56.84528754157169,0.050000000000000024,1.7415964238871346,2.638762406620064,0.23470746741607826,0.8722222222222222,0.15555555555555556,0.12507154744113003,0.12800024714727737,0.6043233082706767,0.022222222222222223,0.00683942395068436,0.02003022922740281,0.6207386363636364,6.578795782025073,0.3408059477164747,0.26768758422051886,0.23424147034505616,0.2544610939581419,0.3058184944913901,0.95
draft_support,2017,180.0,1.8789123135653674,2.658091559270785,0.48006389483682377,0.8111111111111111,0.45848101040836764,0.10811595880341635,19.953353259235115,29.122757280953465,5.47238492119903,0.7888888888888889,0.4646128821508348,0.08530764390499967,0.13333333333333333,0.18113113976781428,0.11703851039766645,0.5758547008547008,0.05555555555555555,0.08679338213372532,0.05285588765486279,0.5988235294117648,0.09444444444444444,0.14406857376960336,0.088236764388559,0.5795741609527246,0.03888888888888889,0.030586208864312587,0.03705244241568233,0.7043765483071841,0.4590332435015345,-0.10860417502597816,-1.407464765764614,60.50822975179701,0.050000000000000024,1.5459795081820624,2.402189362069329,0.06400994910312023,0.9111111111111111,0.13333333333333333,0.12018387568011357,0.11770025421158811,0.5323183760683761,0.005555555555555556,0.008503923360430212,0.00583789614912014,0.30446927374301674,4.822829159738764,0.3680970245503722,0.0,0.2895618769013944,0.23491836756229603,0.2696282678527309,0.8777777777777778
draft_support,2018,180.0,1.978587665666185,2.7756336792266425,-0.7578774248723019,0.8055555555555556,0.5715684842103259,0.12536968287578276,21.940969796884026,30.944835230362912,-6.810132667816498,0.8111111111111111,0.553519433393873,0.09942594524028925,0.2722222222222222,0.17642657575428114,0.20778582212033847,0.5334164200031157,0.12777777777777777,0.08505410806522991,0.11037902031405941,0.5810024923843811,0.16111111111111112,0.10268984548277094,0.12564231700690054,0.7780315140443024,0.011111111111111112,0.026014111646714917,0.012137931581512253,0.41292134831460675,0.5340186096672924,0.04957766186199162,-1.3709701009765913,61.71238800606928,0.05000000000000002,1.4785202899709888,2.2727336183102733,0.04466223770504675,0.9222222222222223,0.11666666666666667,0.12175718454616767,0.10595052736712343,0.5145253069781371,0.005555555555555556,0.006389496724998292,0.005734602731853886,0.3128491620111732,5.205245010588462,0.35092863174425254,0.09082618398779996,0.2846265737453496,0.23821826626077097,0.28816051177422214,0.8833333333333333
draft_support,2019,180.0,1.8751594332862336,2.5871383309377514,-0.34557888135352477,0.8166666666666667,0.5327984273550472,0.09169073149487972,20.207229234423533,28.208931516867363,-4.481360688121847,0.8555555555555555,0.5340645015473945,0.0889189184503903,0.18333333333333332,0.18420945619478452,0.1519807764441541,0.5091733663162235,0.08333333333333333,0.08533847482496451,0.07928380525139982,0.46101010101010104,0.10555555555555556,0.11433845566193546,0.09175223691227735,0.6757110166721151,0.03888888888888889,0.025166185220519142,0.0363492760465176,0.6044591246903386,0.5911658175213989,-0.05788861796145971,-1.2097265548311589,60.58717152333792,0.05000000000000002,1.3800381419505048,2.1509244827620666,-0.13665039587767472,0.9333333333333333,0.1,0.11786430127637494,0.08907164556150858,0.6416323731138546,0.011111111111111112,0.004411044944969674,0.011221266414738463,0.3595505617977528,5.6166221867626795,0.32901639916383846,0.163701640988395,0.265757210732275,0.23815219919164546,0.3144642458917408,0.9
draft_support,2020,180.0,1.8125735604057083,2.494838345016838,-0.663779401562751,0.8388888888888889,0.5616377358023423,0.14029521865844768,20.433639506622164,29.152851147914365,-3.430310207378457,0.8166666666666667,0.5317705361801894,0.07570209090113589,0.2,0.18514817883088514,0.15904111525556075,0.5623070987654321,0.08888888888888889,0.08506454065072282,0.08246204277838044,0.5080030487804879,0.12222222222222222,0.11629340113033894,0.10052401225221913,0.7269850402761795,0.022222222222222223,0.028095467623092823,0.021467177769052624,0.8366477272727273,0.6068138466524187,-0.05656141650462462,-1.1465381363737528,62.44669618823666,0.050000000000000024,1.5114429666415368,2.184711031496802,0.36482523232343034,0.9055555555555556,0.14444444444444443,0.12023797950283041,0.11927347987944674,0.6658341658341659,0.005555555555555556,0.007188465083835299,0.005949341738888498,0.31843575418994413,6.079032935313568,0.3016305327346627,0.21879859057974577,0.25564543620912766,0.22988777894704107,0.33043054017268575,0.9166666666666666
draft_support,2021,180.0,1.985570667992012,2.697690755904681,0.12486370322185775,0.8333333333333334,0.5078052094479221,0.07394348293691427,20.535830431381594,28.934881024857894,3.194370224843491,0.8111111111111111,0.48606372076386006,0.06774505263670882,0.15,0.18250457084386845,0.12900494521648453,0.5691115952553861,0.05555555555555555,0.08095101585988117,0.05455623853340236,0.5158823529411765,0.09444444444444444,0.11952646064519792,0.08222007562012631,0.7293395885961746,0.03888888888888889,0.026759355003038957,0.03547196918800947,0.6895127993393889,0.5569204670316581,-0.061503955883412044,-1.1169121207788761,62.115241391970805,0.050000000000000024,1.6025401767001124,2.2704863279499734,0.5144148804257492,0.9,0.15,0.11989570697972868,0.12022343095544996,0.6315662067296054,0.022222222222222223,0.008412001823945034,0.01929395636454613,0.6278409090909091,6.482208553200927,0.28216328656475115,0.2676015449261365,0.267022435869948,0.22700671531812297,0.30076407733731314,0.8944444444444445
draft_support,2022,180.0,1.7404894063395349,2.504088614488305,0.21410791427146122,0.85,0.4938627597400718,0.046643622829389,19.653814795793345,28.568352283234375,4.208737814464709,0.8111111111111111,0.4753070539764902,0.07127451294753095,0.16111111111111112,0.17500256004698309,0.13467823646361343,0.5759305777574789,0.03888888888888889,0.07719932007424839,0.04114334367910265,0.4516928158546656,0.11666666666666667,0.12787368938772847,0.10036526076009863,0.6555855046421084,0.022222222222222223,0.024738545136039146,0.019056614595465874,0.9076704545454546,0.5935405811527898,0.04955914277189625,-1.1600788627231269,63.11484145310848,0.05000000000000002,1.5401024791222069,2.3013035363313192,0.2664385648583098,0.9111111111111111,0.12777777777777777,0.12187182865529947,0.10292708327785319,0.6923289947382997,0.0,0.0075901440193261345,0.0005050679873800023,,6.899547750330752,0.2607545056072353,0.3034991248096783,0.25598199029328433,0.22473436426574162,0.30448104423337097,0.9222222222222223
draft_support,2023,180.0,2.049763990876106,2.9197580171487125,0.32364868001768843,0.75,0.4701461952898645,0.09311022547450631,20.74661521448928,31.06632353499203,1.228972015327362,0.7777777777777778,0.47377098298366804,0.09825259564995781,0.18888888888888888,0.17635059661787772,0.15537859697150208,0.4949637389202256,0.05555555555555555,0.07560605403649831,0.052797180886152664,0.6335294117647059,0.11666666666666667,0.11425376183301687,0.10325791769937911,0.5887990416292304,0.044444444444444446,0.029713752111403938,0.04040001370205592,0.6758720930232558,0.5074951815089501,-0.10187557229132585,-1.1762137038089198,64.18328322194539,0.05000000000000002,1.3462779503233786,2.1114143311373508,-0.2490786400223993,0.9555555555555556,0.08333333333333333,0.12435678565653162,0.07343080492003323,0.6492929292929293,0.016666666666666666,0.007539803710776657,0.013684954304677525,0.7090395480225988,7.368577647367475,0.23480469130858847,0.3378258034926803,0.2560793129499566,0.22438254851937808,0.30034238620173354,0.9166666666666666
draft_support,2024,180.0,1.9923379752588912,2.8748874204440984,-0.1549935458850044,0.7611111111111111,0.5127508156072184,0.07297152064276458,21.17529895962633,30.68907783485362,-1.0084899168733708,0.7833333333333333,0.5067578075537308,0.04387839962299733,0.2388888888888889,0.17378851604382778,0.18843785300188473,0.4802240706161942,0.08888888888888889,0.07517256174032146,0.08076257565088045,0.635670731707317,0.12222222222222222,0.10672415548931183,0.10484981792623481,0.6596662830840047,0.027777777777777776,0.027974380502639843,0.026049974120340054,0.6914285714285714,0.5472867411903218,0.05164768459931891,-1.1902157051341677,63.76665689299021,0.05000000000000002,1.4556523061794087,2.253606529674897,0.03851182562983184,0.9111111111111111,0.1388888888888889,0.11824739567304265,0.11396311488913866,0.6270967741935484,0.005555555555555556,0.0056803598861327464,0.005706813135474332,0.7430167597765364,7.8013868849240815,0.23890108092659648,0.3724067766714578,0.24414713967810833,0.22467819852298984,0.30915673794821763,0.9277777777777778
draft_support,2025,180.0,1.928243704827523,2.7022970598307046,0.11248247383928166,0.8166666666666667,0.4946507313222498,0.030886389887831767,20.89944154080835,30.193218120318914,1.118142263575313,0.8166666666666667,0.48745113751545766,0.054348665849477895,0.17222222222222222,0.1810869174436639,0.1435527085019477,0.5609439272569821,0.07777777777777778,0.07728870412510541,0.07171008494869356,0.5946643717728055,0.09444444444444444,0.12263810897776106,0.08548946003782436,0.6286539155539517,0.044444444444444446,0.03352451258102207,0.0386896897097069,0.7965116279069767,0.5299701783054467,-0.059246684568453764,-1.1512428633646123,65.5603858728963,0.05000000000000002,1.7671548474092238,2.6563511252526295,0.2814044746120853,0.8722222222222222,0.15555555555555556,0.12203647003630434,0.13101306093039086,0.5467575187969925,0.022222222222222223,0.006724432816951172,0.02038474824382587,0.6036931818181818,8.442951240914521,0.21963016280156597,0.42303474300590505,0.24037852468968848,0.2226464149880121,0.3058184944913901,0.95
production_baseline,2017,180.0,1.875171726269445,2.658081220437684,0.4800666496629641,0.8222222222222222,0.45842926511572984,0.1039730133816888,19.931573551455525,29.152371818504108,5.478444617109043,0.8,0.4651984643670709,0.09456673604407839,0.13333333333333333,0.18097979376585016,0.11754935267531103,0.5555555555555556,0.05555555555555555,0.0866169985570273,0.05244622279807983,0.6405882352941177,0.09444444444444444,0.1448124165403371,0.08884818123148683,0.5705521472392638,0.03888888888888889,0.030943494631493044,0.03747696654850951,0.6787778695293146,0.4432627307931329,-0.12439684352397706,-1.4263411464788964,60.624253392129745,0.050000000000000024,1.5559063327240097,2.4104366903396492,0.04724113173593794,0.9222222222222223,0.13333333333333333,0.12230867406636103,0.11887263592864772,0.5018696581196581,0.005555555555555556,0.008545131159301198,0.00582438735452836,0.29329608938547486,4.836839381558862,0.3668067743359268,0.0,0.33609825188316234,0.2627222519479374,0.0,0.8777777777777778
production_baseline,2018,180.0,1.9822149622515781,2.775690674042021,-0.758053488335416,0.8055555555555556,0.5711922269710429,0.12136806747810702,21.98983859138283,30.959540183278357,-6.815236285088052,0.8111111111111111,0.551622277656219,0.09425171122081094,0.2722222222222222,0.1762098644681313,0.2072906709696219,0.5338837825206418,0.12777777777777777,0.08378149673838627,0.11044315141306317,0.5906950983107172,0.16111111111111112,0.10259453791890376,0.1251863475864169,0.7748344370860927,0.011111111111111112,0.026361505785040807,0.012157310345007789,0.40168539325842695,0.5373993794045747,0.06497319876127865,-1.3877154906632911,61.53941907374737,0.05000000000000002,1.478673055857056,2.2805142468812294,0.03309048117295696,0.9277777777777778,0.11666666666666667,0.12360547104319315,0.1057298679200206,0.5157232704402516,0.005555555555555556,0.005991560902947494,0.005723716041555234,0.3240223463687151,5.208502906322859,0.3522421085246244,0.092062207639325,0.3369365903315798,0.26710890523197156,0.0,0.8833333333333333
production_baseline,2019,180.0,1.871819865247002,2.58689554568317,-0.34560582016267644,0.8222222222222222,0.5329157824997961,0.09069171150354816,20.20898518601014,28.200262164442048,-4.46461963185233,0.8555555555555555,0.5328277103956671,0.09020835760146878,0.18333333333333332,0.18467732394910563,0.15103176083967557,0.5223665223665224,0.08333333333333333,0.08507185307868485,0.07899096060348561,0.4808080808080808,0.10555555555555556,0.11413784330414142,0.09053682729073245,0.6943445570447859,0.03888888888888889,0.025452360970161438,0.03626583120593106,0.606523534269199,0.5986477570057084,-0.055522289782606454,-1.2254115961538488,59.98723992242188,0.05000000000000002,1.3917283436820407,2.167381485168583,-0.1450816317203059,0.9388888888888889,0.1,0.11975028916421195,0.08980913076904597,0.5987654320987654,0.011111111111111112,0.004250821827999248,0.011205667226738122,0.3539325842696629,5.630801565105826,0.32902748329920173,0.16529705409167125,0.31987672103336434,0.26869213198076813,0.0,0.9
production_baseline,2020,180.0,1.8064223122152574,2.4947131311217636,-0.6640167025816861,0.8333333333333334,0.5615861636541541,0.14910740252312715,20.407830725188806,29.199916265989717,-3.4078604251954827,0.8333333333333334,0.5317117524620814,0.07513297031377458,0.2,0.1859447137438533,0.15950061866500131,0.5466820987654321,0.08888888888888889,0.08486583030734579,0.08164754102381558,0.5598323170731707,0.12222222222222222,0.11585375909096653,0.10040060279179941,0.726409666283084,0.022222222222222223,0.028768950692658724,0.020701855072831885,0.8920454545454546,0.6028085460335345,-0.03692706565017438,-1.1514811382729486,62.84327706820283,0.050000000000000024,1.511791443179523,2.178575632656044,0.35957084021451463,0.9111111111111111,0.14444444444444443,0.12124064662107537,0.11885557879156622,0.6645854145854145,0.005555555555555556,0.006885621334350405,0.005918689219170618,0.32122905027932963,6.104656606128064,0.30027110016865605,0.2218661593244481,0.31492985989616246,0.259170150412608,0.0,0.9166666666666666
production_baseline,2021,180.0,1.9844192234459719,2.6974284654853453,0.12436844716376368,0.8222222222222222,0.5084878514165729,0.06235400359660742,20.538630556329043,28.942988991471157,3.194880116583411,0.8277777777777777,0.4872904926582094,0.07066798195450297,0.15,0.18219497431037565,0.12819182726410294,0.5831517792302106,0.05555555555555555,0.08223703981486591,0.054539638953782305,0.5511764705882353,0.09444444444444444,0.11996946449146595,0.08239464637823062,0.7199566943341754,0.03888888888888889,0.027087629395357925,0.0349843210432702,0.70355078447564,0.570178493900969,-0.027134582343076433,-1.137225729370175,62.090380169429814,0.050000000000000024,1.6047660231961687,2.2871954597145407,0.4908884203576659,0.8944444444444445,0.15,0.12152084200286706,0.12028539689349886,0.6281771968046478,0.022222222222222223,0.008366581070152344,0.019161207729042236,0.6321022727272727,6.496540525008991,0.28149824272225143,0.2692940306280134,0.3231592907401437,0.2578526968523232,0.0,0.8944444444444445
production_baseline,2022,180.0,1.739823673606659,2.5042890589379017,0.2141363470130507,0.8555555555555555,0.49316491050658634,0.050530379626994804,19.65575012890903,28.585689239054208,4.273667638462264,0.8055555555555556,0.475179924880942,0.07046814486510411,0.16111111111111112,0.1751286022496778,0.1354437222769188,0.545101621374743,0.03888888888888889,0.07607164658451054,0.041161777355269005,0.4203137902559868,0.11666666666666667,0.12843451385011523,0.10150665143779579,0.6328241988619348,0.022222222222222223,0.0248672121378226,0.01955658316039766,0.8536931818181818,0.5884395508123215,0.07138286161095507,-1.1777171719341093,63.32132122849975,0.05000000000000002,1.5454434507084054,2.3168009896111577,0.25579545830441924,0.9166666666666666,0.12777777777777777,0.12218122797018963,0.1030019339597582,0.6953752423151481,0.0,0.007534993930771515,0.0004544767302237652,,6.926146427304155,0.2581889540303723,0.3063651296434499,0.31335589920879847,0.2554799040674775,0.0,0.9222222222222223
production_baseline,2023,180.0,2.055812910307835,2.9198393639027054,0.32318377543804433,0.7611111111111111,0.4711536844627056,0.10086247856092084,20.776482966341185,31.04246421645755,1.1628158530426314,0.7888888888888889,0.47505242145828325,0.09308705872896317,0.18888888888888888,0.17460303775977024,0.1561827803922288,0.4828767123287671,0.05555555555555555,0.07533403359529192,0.05290702280122891,0.6217647058823529,0.11666666666666667,0.11419537090345919,0.10391110490851345,0.5735250074872716,0.044444444444444446,0.029482571785187477,0.04051209872169621,0.6780523255813954,0.5313056729878242,-0.06117061226169531,-1.1723882183145866,64.35536985703509,0.05000000000000002,1.3479708249177025,2.112675366665928,-0.2689182096911728,0.9555555555555556,0.08333333333333333,0.1264540281973273,0.07378970996635843,0.6468686868686868,0.016666666666666666,0.007188220274142216,0.013660035347476859,0.724105461393597,7.402730841959109,0.23074628827043364,0.3410849046008392,0.31684861601775854,0.25771904372419324,0.0,0.9166666666666666
